"",Council Approved Positions ,"","","","",Recommended Changes,"",""
Toronto Water ,"1,579.0 96.0 1,675.0 ","",(15.0) ,(6.5) ,(21.5) ,24.0 1.0 ,25.0 ,"1,588.0 90.5 1,678.5"
Transportation Services ,"1,241.4 59.2 1,300.6 ","",2.0 ,(1.4) ,0.6 ,0.0 1.0 ,1.0 ,"1,243.4 58.8 1,302.2"
Waterfront Secretariat ,8.0 0.0 8.0 ,"",0.0 ,1.0 ,1.0 ,0.0 2.0 ,2.0 ,8.0 3.0 11.0
"Sub-Total Citizen Centred Services ""B"" ","8,790.9 352.9 9,143.8 ","",(19.7) ,(31.4) ,(51.1) ,65.0 13.5 ,78.5 ,"8,836.2 335.0 9,171.2"
Internal Services ,"","",0.0 ,0.0 ,0.0 ,0.0 0.0 ,0.0 ,0.0 0.0 0.0
Office of the Chief Financial Officer ,122.0 3.0 125.0 ,"",0.0 ,(1.0) ,(1.0) ,0.0 0.0 ,0.0 ,122.0 2.0 124.0
Office of the Treasurer ,711.0 27.0 738.0 ,"",(1.0) ,0.0 ,(1.0) ,22.0 12.0 ,34.0 ,732.0 39.0 771.0
Public Information & Creative Services ,60.0 1.0 61.0 ,"",0.0 ,0.0 ,0.0 ,0.0 0.0 ,0.0 ,60.0 1.0 61.0
Facilities & Real Estate ,683.6 14.0 697.6 ,"",14.0 ,1.4 ,15.4 ,21.5 6.0 ,27.5 ,719.1 21.4 740.5
Fleet Services ,202.0 0.0 202.0 ,"",2.0 ,0.0 ,2.0 ,1.0 0.0 ,1.0 ,205.0 0.0 205.0
Information & Technology ,354.0 30.0 384.0 ,"",0.0 ,0.0 ,0.0 ,0.0 0.0 ,0.0 ,354.0 30.0 384.0
Sub-Total Internal Services ,"2,132.6 75.0 2,207.6 ","",15.0 ,0.4 ,15.4 ,44.5 18.0 ,62.5 ,"2,192.1 93.4 2,285.5"
City Manager,"","","","","","","",""
City Manager's Office ,393.0 6.0 399.0 ,"",0.0 ,0.0 ,0.0 ,0.0 0.0 ,0.0 ,393.0 6.0 399.0
Sub-Total City Manager ,393.0 6.0 399.0 ,"",0.0 ,0.0 ,0.0 ,0.0 0.0 ,0.0 ,393.0 6.0 399.0
Other City Programs,"","","","","","","",""
City Clerk's Office ,364.0 11.0 375.0 ,"",0.0 ,(5.5) ,(5.5) ,5.0 0.0 ,5.0 ,369.0 5.5 374.5
Legal Services ,241.0 15.0 256.0 ,"",0.0 ,0.0 ,0.0 ,4.0 0.0 ,4.0 ,245.0 15.0 260.0
Mayor's Office ,1.0 22.0 23.0 ,"",0.0 ,0.0 ,0.0 ,0.0 0.0 ,0.0 ,1.0 22.0 23.0
Council ,49.0 132.0 181.0 ,"",0.0 ,0.0 ,0.0 ,0.0 0.0 ,0.0 ,49.0 132.0 181.0
Auditor General's Office ,29.0 0.0 29.0 ,"",0.0 ,0.0 ,0.0 ,0.0 0.0 ,0.0 ,29.0 0.0 29.0
Office of the Lobbyist Registrar ,3.0 0.0 3.0 ,"",0.0 ,0.0 ,0.0 ,2.0 0.0 ,2.0 ,5.0 0.0 5.0
Office of the Ombudsperson ,0.0 0.0 0.0 ,"",0.0 ,0.0 ,0.0 ,3.0 0.0 ,3.0 ,3.0 0.0 3.0
Sub-Total Other City Programs ,687.0 180.0 867.0 ,"",0.0 ,(5.5) ,(5.5) ,14.0 0.0 ,14.0 ,701.0 174.5 875.5
TOTAL - CITY OPERATIONS ,"20,921.9 3,465.5 24,387.4 ","",54.4 ,(4.5) ,49.9 ,148.5 44.0 ,192.5 ,"21,124.8 3,505.0 24,629.8"
Special Purpose Bodies,"","","","","","","",""
Toronto Public Health ,"1,877.2 104.3 1,981.5 ","",(6.0) ,(51.0) ,(57.0) ,6.0 6.7 ,12.7 ,"1,877.2 60.0 1,937.2"
Toronto Public Library ,"1,818.7 0.0 1,818.7 ","",7.5 ,0.0 ,7.5 ,0.0 0.0 ,0.0 ,"1,826.2 0.0 1,826.2"
Association of Community Centres ,87.2 4.0 91.2 ,"",0.0 ,0.0 ,0.0 ,0.0 0.0 ,0.0 ,87.2 4.0 91.2
Exhibition Place ,145.5 372.0 517.5 ,"",0.0 ,0.0 ,0.0 ,2.0 0.0 ,2.0 ,147.5 372.0 519.5
Heritage Toronto ,6.0 0.0 6.0 ,"",0.0 ,0.0 ,0.0 ,0.0 0.0 ,0.0 ,6.0 0.0 6.0
Theatres ,94.6 82.6 177.2 ,"",(12.9) ,12.7 ,(0.2) ,0.0 0.0 ,0.0 ,81.7 95.3 177.0
Toronto Zoo ,259.0 95.0 354.0 ,"",0.0 ,0.0 ,0.0 ,2.0 2.3 ,4.3 ,261.0 97.3 358.3
Arena Boards of Management ,38.0 25.5 63.5 ,"",0.0 ,0.0 ,0.0 ,0.0 0.0 ,0.0 ,38.0 25.5 63.5
Yonge Dundas Square ,4.0 0.0 4.0 ,"",0.0 ,0.0 ,0.0 ,0.0 0.0 ,0.0 ,4.0 0.0 4.0
Parking Authority ,297.8 0.0 297.8 ,"",(0.8) ,0.0 ,(0.8) ,2.0 0.0 ,2.0 ,299.0 0.0 299.0
Parking Enforcement Unit ,395.0 0.0 395.0 ,"",0.0 ,0.0 ,0.0 ,0.0 0.0 ,0.0 ,395.0 0.0 395.0
Toronto Atmospheric Fund ,4.0 0.0 4.0 ,"",0.0 ,0.0 ,0.0 ,0.0 0.0 ,0.0 ,4.0 0.0 4.0
Toronto Transit Commission* ,"10,273.0 21.0 10,294.0 ","",174.0 ,0.0 ,174.0 ,248.0 0.0 ,248.0 ,"10,695.0 21.0 10,716.0"
Toronto Police Services(excludes Board) ,"7,707.0 6.0 7,713.0 ","",0.0 ,(3.0) ,(3.0) ,0.0 0.0 ,0.0 ,"7,707.0 3.0 7,710.0"
TOTAL - SPECIAL PURPOSE BODIES ,"23,007.0 710.4 23,717.4 ","",161.8 ,(41.3) ,120.5 ,260.0 9.0 ,269.0 ,"23,428.8 678.1 24,106.9"
TOTAL ,"43,928.9 4,175.9 48,104.8 ","",216.2 ,(45.8) ,170.4 ,408.5 53.0 ,461.5 ,"44,553.6 4,183.1 48,736.7"
