"",2005 ,"","","","","","","",2006,""
Tourism ,40.0 3.3 ,43.3 ,40.0 0.6 ,40.6 ,0.0 ,(2.7) (2.7) ,(6.2) ,"",0.0 (0.3) (0.3) 1.0 0.0 1.0 ,41.0 0.3 41.3
"Sub-Total Citizen Centred Services ""A"" ","8,808.3 2,700.2 11,508.5 ","","8,896.2 2,718.8 ","11,615.0 ",87.9 ,18.6 106.5 ,0.9 ,"",(35.0) (0.3) (35.3) 24.0 5.9 29.9 ,"8,885.2 2,724.4 11,609.6"
"Citizen Centred Services ""B""","","","","","","","","","",""
Building ,404.5 9.0 413.5 ,"",403.5 5.0 ,408.5 ,(1.0) ,(4.0) (5.0) ,(1.2) ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,403.5 5.0 408.5
Business Support ,87.0 0.0 ,87.0 ,87.0 0.0 ,87.0 ,0.0 ,0.0 0.0 ,0.0 ,"",(5.0) 0.0 (5.0) 0.0 0.0 0.0 ,82.0 0.0 82.0
City Planning ,306.0 15.0 321.0 ,"",306.0 12.0 ,318.0 ,0.0 ,(3.0) (3.0) ,(0.9) ,"",0.0 0.0 0.0 9.0 0.0 9.0 ,315.0 12.0 327.0
Clean & Beautiful Secretariat ,2.0 1.0 ,3.0 ,2.0 1.0 ,3.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 (1.0) (1.0) 0.0 0.0 0.0 ,2.0 0.0 2.0
Fire Services ,"3,184.7 0.0 3,184.7 ","","3,184.7 0.0 ","3,184.7 ",0.0 ,0.0 0.0 ,0.0 ,"",2.0 0.0 2.0 0.0 0.0 0.0 ,"3,186.7 0.0 3,186.7"
Municipal Licensing and Standards ,306.0 9.0 315.0 ,"",310.0 8.0 ,318.0 ,4.0 ,(1.0) 3.0 ,1.0 ,"",(1.0) 0.0 (1.0) 3.0 0.0 3.0 ,312.0 8.0 320.0
Solid Waste Management Services ,"1,331.0 91.3 1,422.3 ","","1,414.5 34.6 ","1,449.1 ",83.5 ,(56.7) 26.8 ,1.9 ,"",(28.0) 0.0 (28.0) 0.0 0.0 0.0 ,"1,386.5 34.6 1,421.1"
Transportation Services ,"1,277.4 77.9 1,355.3 ","","1,288.4 77.9 ","1,366.3 ",11.0 ,0.0 11.0 ,0.8 ,"",(13.0) 0.0 (13.0) 15.6 11.5 27.1 ,"1,291.0 89.4 1,380.4"
Waterfront Secretariat ,5.0 0.0 ,5.0 ,5.0 0.0 ,5.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 1.0 0.0 1.0 ,6.0 0.0 6.0
WES - Technical Services ,363.1 21.4 384.5 ,"",363.1 21.4 ,384.5 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,363.1 21.4 384.5
"Sub-Total Citizen Centred Services ""B"" ","7,266.7 224.6 7,491.3 ","","7,364.2 159.9 ","7,524.1 ",97.5 ,(64.7) 32.8 ,0.4 ,"",(45.0) (1.0) (46.0) 28.6 11.5 40.1 ,"7,347.8 170.4 7,518.2"
Internal Services,"","","","","","","","","",""
Office of the DCM and Chief Financial Officer ,170.0 0.0 170.0 ,"",170.0 0.0 ,170.0 ,0.0 ,0.0 0.0 ,0.0 ,"",(5.0) 0.0 (5.0) 0.0 0.0 0.0 ,165.0 0.0 165.0
Office of the Treasurer ,700.0 18.0 718.0 ,"",700.0 18.0 ,718.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 11.0 0.0 11.0 ,711.0 18.0 729.0
Corporate Communications ,83.0 0.0 ,83.0 ,83.0 0.0 ,83.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,83.0 0.0 83.0
Facilities & Real Estate ,695.9 12.4 708.3 ,"",695.9 12.4 ,708.3 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,695.9 12.4 708.3
Fleet Services ,202.0 0.0 202.0 ,"",198.0 0.0 ,198.0 ,(4.0) ,0.0 (4.0) ,(2.0) ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,198.0 0.0 198.0
Information & Technology ,322.0 15.0 337.0 ,"",309.0 26.0 ,335.0 ,(13.0) ,11.0 (2.0) ,(0.6) ,"",0.0 0.0 0.0 0.0 2.0 2.0 ,309.0 28.0 337.0
Sub-Total Internal Services ,"2,172.9 45.4 2,218.3 ","","2,155.9 56.4 ","2,212.3 ",(17.0) ,11.0 (6.0) ,(0.3) ,"",(5.0) 0.0 (5.0) 11.0 2.0 13.0 ,"2,161.9 58.4 2,220.3"
City Manager,"","","","","","","","","",""
City Manager's Office ,61.0 0.0 ,61.0 ,61.0 0.0 ,61.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 2.0 0.0 2.0 ,63.0 0.0 63.0
Human Resources ,299.0 6.0 305.0 ,"",299.0 6.0 ,305.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,299.0 6.0 305.0
Sub-Total City Manager ,360.0 6.0 366.0 ,"",360.0 6.0 ,366.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 2.0 0.0 2.0 ,362.0 6.0 368.0
Other City Programs,"","","","","","","","","",""
City Clerk's Office ,356.0 9.5 365.5 ,"",356.0 9.5 ,365.5 ,0.0 ,0.0 0.0 ,0.0 ,"",(5.0) 0.0 (5.0) 0.0 0.0 0.0 ,351.0 9.5 360.5
Legal Services ,225.0 14.0 239.0 ,"",224.0 13.0 ,237.0 ,(1.0) ,(1.0) (2.0) ,(0.8) ,"",(1.0) 0.0 (1.0) 4.0 1.0 5.0 ,227.0 14.0 241.0
Auditor General's Office ,28.0 0.0 ,28.0 ,28.0 0.0 ,28.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 2.0 0.0 2.0 ,30.0 0.0 30.0
Mayor's Office ,19.0 0.0 ,19.0 ,19.0 0.0 ,19.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,19.0 0.0 19.0
Council ,182.0 1.0 183.0 ,"",182.0 1.0 ,183.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,182.0 1.0 183.0
3 - 1 - 1 Program ,0.0 0.0 ,0.0 ,0.0 0.0 ,0.0 ,0.0 ,0.0 0.0 ,#DIV/0! ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,0.0 0.0 0.0
Sub-Total Other City Programs ,810.0 24.5 834.5 ,"",809.0 23.5 ,832.5 ,(1.0) ,(1.0) (2.0) ,(0.2) ,"",(6.0) 0.0 (6.0) 6.0 1.0 7.0 ,809.0 24.5 833.5
TOTAL - CITY OPERATIONS ,"19,417.9 3,000.7 22,418.6 ","","19,585.3 2,964.6 ","22,549.9 ",167.4 ,(36.1) 131.3 ,0.6 ,"",(91.0) (1.3) (92.3) 71.6 20.4 92.0 ,"19,565.9 2,983.7 22,549.6"
Special Purpose Bodies,"","","","","","","","","",""
Toronto Public Health ,"1,804.5 44.0 1,848.5 ","","1,746.8 86.9 ","1,833.7 ",(57.7) ,42.9 (14.8) ,(0.8) ,"",3.0 0.0 3.0 0.0 0.0 0.0 ,"1,749.8 86.9 1,836.7"
Toronto Public Library ,"1,813.2 0.0 1,813.2 ","","1,813.2 0.0 ","1,813.2 ",0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,"1,813.2 0.0 1,813.2"
Association of Community Centres ,87.1 3.0 ,90.1 ,87.1 3.0 ,90.1 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,87.1 3.0 90.1
Exhibition Place ,127.0 295.0 422.0 ,"",127.0 295.0 ,422.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 0.0 25.0 25.0 ,127.0 320.0 447.0
Heritage Toronto ,5.0 0.0 ,5.0 ,5.0 0.0 ,5.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,5.0 0.0 5.0
Theatres ,86.4 111.7 198.1 ,"",92.2 108.8 ,201.0 ,5.8 ,(2.9) 2.9 ,1.5 ,"",(4.0) 0.0 (4.0) 3.0 0.0 3.0 ,91.2 108.8 200.0
Toronto Zoo ,258.0 94.5 352.5 ,"",258.0 94.5 ,352.5 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.5 0.5 1.0 0.0 1.0 ,259.0 95.0 354.0
Arena Boards of Management ,37.0 26.5 ,63.5 ,38.0 25.5 ,63.5 ,1.0 ,(1.0) 0.0 ,0.0 ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,38.0 25.5 63.5
Yonge Dundas Square ,3.0 0.0 ,3.0 ,3.0 0.0 ,3.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 1.0 0.0 1.0 ,4.0 0.0 4.0
Parking Enforcement Unit ,395.0 0.0 395.0 ,"",395.0 0.0 ,395.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,395.0 0.0 395.0
Toronto Atmospheric Fund ,4.0 0.0 ,4.0 ,4.0 0.0 ,4.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,4.0 0.0 4.0
Toronto & Region Conservation Authority ,258.2 113.0 371.2 ,"",290.3 105.9 ,396.2 ,32.1 ,(7.1) 25.0 ,6.7 ,"",0.0 0.0 0.0 0.0 (1.5) (1.5) ,290.3 104.4 394.7
Toronto Transit Commission* ,"9,698.0 21.0 9,719.0 ","","9,926.0 23.0 ","9,949.0 ",228.0 ,2.0 230.0 ,2.4 ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,"9,926.0 23.0 9,949.0"
Toronto Police Services(excludes Board) ,"7,353.0 20.0 7,373.0 ","","7,353.0 15.0 ","7,368.0 ",0.0 ,(5.0) (5.0) ,(0.1) ,"",0.0 0.0 0.0 204.0 0.0 204.0 ,"7,557.0 15.0 7,572.0"
TOTAL - SPECIAL PURPOSE BODIES ,"21,929.4 728.7 22,658.1 ","","22,138.6 757.6 ","22,896.2 ",209.2 ,28.9 238.1 ,1.1 ,"",(1.0) 0.5 (0.5) 209.0 23.5 232.5 ,"22,346.6 781.6 23,128.2"
TOTAL LEVY OPERATIONS ,"41,347.3 3,729.4 45,076.7 ","","41,723.9 3,722.2 ","45,446.1 ",376.6 ,(7.2) 369.4 ,0.8 ,"",(92.0) (0.8) (92.8) 280.6 47.0 324.5 ,"41,912.5 3,765.3 45,677.8"
