"",2006 ,"","","","","","",2007,"",""
Solid Waste Management Services ,"1,223.6 142.6 1,366.2 ","1,182.0 157.6 ","1,339.6 ",(41.6) ,15.0 (26.6) ,(1.9) ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,"1,182.0 157.6 1,339.6"
Toronto Water ,"1,678.4 95.5 1,773.9 ","1,666.4 95.5 ","1,761.9 ",(12.0) ,0.0 (12.0) ,(0.7) ,"",0.0 0.0 0.0 ,18.0 0.0 18.0 ,"1,684.4 95.5 1,779.9"
Transportation Services ,"1,302.7 71.6 1,374.3 ","1,298.7 69.0 ","1,367.7 ",(4.0) ,(2.6) (6.6) ,(0.5) ,"",(10.0) 0.0 (10.0) ,8.0 0.0 8.0 ,"1,296.7 69.0 1,365.7"
Waterfront Secretariat ,6.0 1.0 7.0 ,6.0 1.0 ,7.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,6.0 1.0 7.0
WES - Technical Services ,201.6 (7.7) 193.9 ,206.7 (12.0) ,194.7 ,5.1 ,(4.3) 0.8 ,0.2 ,"",0.0 0.0 0.0 ,2.0 0.0 2.0 ,208.7 (12.0) 196.7
"Sub-Total Citizen Centred Services ""B"" ","8,780.3 337.1 9,117.4 ","8,733.7 346.6 ","9,080.3 ",(46.6) ,9.5 (37.1) ,(0.4) ,"",(11.5) (1.5) (13.0) ,35.0 1.0 36.0 ,"8,757.2 346.1 9,103.3"
Internal Services,"","","","","","","","","",""
Office of the Chief Financial Officer ,120.0 0.0 120.0 ,120.0 0.0 ,120.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,120.0 0.0 120.0
Office of the Treasurer ,710.0 18.0 728.0 ,707.0 18.0 ,725.0 ,(3.0) ,0.0 (3.0) ,(0.4) ,"",(2.0) 0.0 (2.0) ,5.0 10.0 15.0 ,710.0 28.0 738.0
Public Information & Creative Services ,60.0 0.0 60.0 ,60.0 0.0 ,60.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,60.0 0.0 60.0
Facilities & Real Estate ,696.0 12.4 708.4 ,678.0 12.0 ,690.0 ,(18.0) ,(0.4) (18.4) ,(2.6) ,"",0.0 0.0 0.0 ,6.6 2.0 8.6 ,684.6 14.0 698.6
Fleet Services ,199.0 0.0 199.0 ,199.0 0.0 ,199.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,3.0 0.0 3.0 ,202.0 0.0 202.0
Information & Technology ,337.0 (17.0) 320.0 ,333.0 0.0 ,333.0 ,(4.0) ,17.0 13.0 ,4.2 ,"",0.0 0.0 0.0 ,0.0 8.0 8.0 ,333.0 8.0 341.0
Sub-Total Internal Services ,"2,122.0 13.4 2,135.4 ","2,097.0 30.0 ","2,127.0 ",(25.0) ,16.6 (8.4) ,(0.4) ,"",(2.0) 0.0 (2.0) ,14.6 20.0 34.6 ,"2,109.6 50.0 2,159.6"
City Manager,"","","","","","","","","",""
City Manager's Office ,390.0 6.0 396.0 ,390.0 6.0 ,396.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,390.0 6.0 396.0
Sub-Total City Manager ,390.0 6.0 396.0 ,390.0 6.0 ,396.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,390.0 6.0 396.0
Other City Programs,"","","","","","","","","",""
City Clerk's Office ,369.0 4.5 373.5 ,363.0 4.5 ,367.5 ,(6.0) ,0.0 (6.0) ,(1.7) ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,363.0 4.5 367.5
Legal Services ,240.0 12.0 252.0 ,240.0 12.0 ,252.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,2.0 1.0 3.0 ,242.0 13.0 255.0
Auditor General's Office ,29.0 0.0 29.0 ,29.0 0.0 ,29.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,29.0 0.0 29.0
Mayor's Office ,1.0 18.0 19.0 ,1.0 18.0 ,19.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,0.0 4.0 4.0 ,1.0 22.0 23.0
Office of the Lobbyist Registrar ,0.0 ,2.0 0.0 ,2.0 ,2.0 ,0.0 2.0 ,n/a ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,2.0 0.0 2.0
Council ,50.0 133.0 183.0 ,50.0 133.0 ,183.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 (1.0) (1.0) ,0.0 0.0 0.0 ,50.0 132.0 182.0
Sub-Total Other City Programs ,689.0 167.5 856.5 ,685.0 167.5 ,852.5 ,(4.0) ,0.0 (4.0) ,(0.5) ,"",0.0 (1.0) (1.0) ,2.0 5.0 7.0 ,687.0 171.5 858.5
TOTAL - CITY OPERATIONS ,"20,881.0 3,276.1 24,157.1 ","20,787.4 3,408.0 ","24,195.4 ",(93.6) ,131.9 38.3 ,0.2 ,"",(23.9) (121.0) (144.9) ,95.1 134.7 229.8 ,"20,858.6 3,421.7 24,280.3"
Special Purpose Bodies,"","","","","","","","","",""
Toronto Public Health ,"2,028.9 74.1 2,103.0 ","1,839.3 79.2 ","1,918.5 ",(189.6) ,5.1 (184.5) ,(8.8) ,"",0.0 0.0 0.0 ,15.0 0.0 15.0 ,"1,854.3 79.2 1,933.5"
Toronto Public Library ,"1,813.2 0.0 1,813.2 ","1,814.2 0.0 ","1,814.2 ",1.0 ,0.0 1.0 ,0.1 ,"",(1.0) 0.0 (1.0) ,1.0 0.0 1.0 ,"1,814.2 0.0 1,814.2"
Association of Community Centres ,87.2 4.0 91.2 ,87.2 4.0 ,91.2 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,87.2 4.0 91.2
Exhibition Place ,127.0 320.0 447.0 ,127.0 372.0 ,499.0 ,0.0 ,52.0 52.0 ,11.6 ,"",0.0 0.0 0.0 ,13.5 0.0 13.5 ,140.5 372.0 512.5
Heritage Toronto ,5.0 0.0 5.0 ,5.0 0.0 ,5.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,1.0 0.0 1.0 ,6.0 0.0 6.0
Theatres ,92.5 109.4 201.9 ,92.5 75.1 ,167.6 ,0.0 ,(34.3) (34.3) ,(17.1) ,"",0.0 (2.0) (2.0) ,2.1 9.5 11.6 ,94.6 82.6 177.2
Toronto Zoo ,259.0 95.0 354.0 ,262.0 95.0 ,357.0 ,3.0 ,0.0 3.0 ,0.8 ,"",(3.0) 0.0 (3.0) ,0.0 0.0 0.0 ,259.0 95.0 354.0
Arena Boards of Management ,38.0 25.5 63.5 ,38.0 25.5 ,63.5 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,38.0 25.5 63.5
Yonge Dundas Square ,4.0 0.0 4.0 ,4.0 0.0 ,4.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,4.0 0.0 4.0
Parking Authority ,298.2 0.0 298.2 ,294.8 0.0 ,294.8 ,(3.4) ,0.0 (3.4) ,(1.2) ,"",0.0 0.0 0.0 ,3.0 0.0 3.0 ,297.8 0.0 297.8
Parking Enforcement Unit ,395.0 0.0 395.0 ,395.0 0.0 ,395.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,395.0 0.0 395.0
Toronto Atmospheric Fund ,4.0 0.0 4.0 ,4.0 0.0 ,4.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,4.0 0.0 4.0
Toronto & Region Conservation Authority ,290.3 104.4 394.7 ,280.1 126.7 ,406.8 ,(10.2) ,22.3 12.1 ,3.1 ,"",0.0 0.0 0.0 ,1.0 3.0 4.0 ,281.1 129.7 410.8
Toronto Transit Commission* ,"9,866.0 23.0 9,889.0 ","10,267.0 21.0 ","10,288.0 ",401.0 ,(2.0) 399.0 ,4.0 ,"",(17.0) 0.0 (17.0) ,13.0 0.0 13.0 ,"10,263.0 21.0 10,284.0"
Toronto Police Services(excludes Board) ,"7,579.0 1.0 7,580.0 ","7,611.0 1.0 ","7,612.0 ",32.0 ,0.0 32.0 ,0.4 ,"",0.0 0.0 0.0 ,93.0 0.0 93.0 ,"7,704.0 1.0 7,705.0"
TOTAL - SPECIAL PURPOSE BODIES ,"22,887.3 756.4 23,643.7 ","23,121.1 799.5 ","23,920.6 ",233.8 ,43.1 276.9 ,1.2 ,"",(21.0) (2.0) (23.0) ,142.6 12.5 155.1 ,"23,242.7 810.0 24,052.7"
TOTAL ,"43,768.3 4,032.5 47,800.8 ","43,908.5 4,207.5 ","48,116.0 ",140.2 ,175.0 315.2 ,0.7 ,"",(44.9) (123.0) (167.9) ,237.7 147.2 384.9 ,"44,101.3 4,231.7 48,333.0"
