Fleet Services ,"",209.0 0.0 209.0 ,"",205.0 0.0 205.0 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",205.0 0.0 205.0
Information & Technology ,"",496.8 78.7 575.5 ,"",490.8 78.7 569.5 ,6.0 ,0.0 ,6.0 ,"",0.0 0.0 ,0.0 ,"",6.0 ,0.0 ,6.0 ,"",496.8 78.7 575.5
Sub-Total Internal Services ,"","2,343.4 152.1 2,495.5 ","","2,302.9 141.1 2,444.0 ",9.0 ,3.0 ,12.0 ,"",10.1 1.0 ,11.1 ,"",19.1 ,4.0 ,23.1 ,"","2,322.0 145.1 2,467.1"
City Manager,"","","","","","","","","","","","","","","",""
City Manager's Office ,"",400.0 6.0 406.0 ,"",389.0 6.0 395.0 ,3.0 ,0.0 ,3.0 ,"",0.0 0.0 ,0.0 ,"",3.0 ,0.0 ,3.0 ,"",392.0 6.0 398.0
Sub-Total City Manager ,"",400.0 6.0 406.0 ,"",389.0 6.0 395.0 ,3.0 ,0.0 ,3.0 ,"",0.0 0.0 ,0.0 ,"",3.0 ,0.0 ,3.0 ,"",392.0 6.0 398.0
Other City Programs,"","","","","","","","","","","","","","","",""
City Clerk's Office ,"",435.0 8.5 443.5 ,"",428.0 8.5 436.5 ,7.0 ,46.1 ,53.1 ,"",0.0 0.0 ,0.0 ,"",7.0 ,46.1 ,53.1 ,"",435.0 54.6 489.6
Legal Services ,"",262.0 17.0 279.0 ,"",259.0 17.0 276.0 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",259.0 17.0 276.0
Mayor's Office ,"",1.0 22.0 23.0 ,"",1.0 22.0 23.0 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",1.0 22.0 23.0
City Council ,"",44.0 132.0 176.0 ,"",44.0 132.0 176.0 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",44.0 132.0 176.0
Auditor General's Office ,"",29.0 0.0 29.0 ,"",29.0 0.0 29.0 ,0.0 ,0.0 ,0.0 ,"",0.6 0.0 ,0.6 ,"",0.6 ,0.0 ,0.6 ,"",29.6 0.0 29.6
Office of the Lobbyist Registrar ,"",8.0 0.3 8.3 ,"",8.0 0.3 8.3 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",8.0 0.3 8.3
Office of the Integrity Commissioner ,"",0.0 0.5 0.5 ,"",0.0 0.5 0.5 ,1.0 ,0.0 ,1.0 ,"",0.0 0.0 ,0.0 ,"",1.0 ,0.0 ,1.0 ,"",1.0 0.5 1.5
Office of the Ombudsperson ,"",7.0 0.0 7.0 ,"",7.0 0.0 7.0 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",7.0 0.0 7.0
Sub-Total Other City Programs ,"",786.0 180.3 966.3 ,"",776.0 180.3 956.3 ,8.0 ,46.1 ,54.1 ,"",0.6 0.0 ,0.6 ,"",8.6 ,46.1 ,54.7 ,"","784.6 226.4 1,011.0"
TOTAL - CITY OPERATIONS ,"","18,983.4 3,488.1 22,471.5 ","","18,787.9 3,446.3 22,234.2 ",41.5 ,280.1 ,321.6 ,"",50.4 39.6 ,90.0 ,"",91.9 ,319.7 ,411.6 ,"","18,879.8 3,766.0 22,645.8"
"Agencies, Boards and Commissions","","","","","","","","","","","","","","","",""
Toronto Public Health ,"","1,810.9 74.7 1,885.6 ","","1,800.4 48.7 1,849.1 ",6.0 ,0.6 ,6.6 ,"",0.0 10.0 ,10.0 ,"",6.0 ,10.6 ,16.6 ,"","1,806.4 59.3 1,865.7"
Toronto Public Library ,"","1,832.6 0.0 1,832.6 ","","1,830.6 0.0 1,830.6 ",0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"","1,830.6 0.0 1,830.6"
Association of Community Centres ,"",87.2 4.0 91.2 ,"",87.2 4.0 91.2 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",87.2 4.0 91.2
Exhibition Place ,"",155.5 374.0 529.5 ,"",155.5 374.0 529.5 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",155.5 374.0 529.5
Heritage Toronto ,"",6.0 0.0 6.0 ,"",6.0 0.0 6.0 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",6.0 0.0 6.0
Theatres ,"",65.5 67.7 133.2 ,"",63.5 67.6 131.1 ,15.8 ,29.7 ,45.5 ,"",0.0 0.0 ,0.0 ,"",15.8 ,29.7 ,45.5 ,"",79.3 97.3 176.6
Toronto Zoo ,"",269.0 110.5 379.5 ,"",269.0 110.5 379.5 ,0.0 ,0.0 ,0.0 ,"",3.0 1.0 ,4.0 ,"",3.0 ,1.0 ,4.0 ,"",272.0 111.5 383.5
Arena Boards of Management ,"",38.0 27.5 65.5 ,"",38.0 24.5 62.5 ,3.0 ,0.0 ,3.0 ,"",0.0 0.0 ,0.0 ,"",3.0 ,0.0 ,3.0 ,"",41.0 24.5 65.5
Yonge-Dundas Square ,"",5.0 0.0 5.0 ,"",5.0 0.0 5.0 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",5.0 0.0 5.0
Parking Tag Enforcement & Operations ,"",395.0 0.0 395.0 ,"",395.0 0.0 395.0 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",395.0 0.0 395.0
Toronto Atmospheric Fund ,"",6.0 0.0 6.0 ,"",6.0 0.0 6.0 ,0.0 ,0.0 ,0.0 ,"",0.0 1.0 ,1.0 ,"",0.0 ,1.0 ,1.0 ,"",6.0 1.0 7.0
Toronto Transit Commission ,"","10,552.0 35.0 10,587.0 ","","10,410.0 35.0 10,445.0 ",46.0 ,0.0 ,46.0 ,"",69.0 0.0 ,69.0 ,"",115.0 ,0.0 ,115.0 ,"","10,525.0 35.0 10,560.0"
Wheel Transit ,"",462.0 0.0 462.0 ,"",462.0 0.0 462.0 ,68.0 ,0.0 ,68.0 ,"",0.0 0.0 ,0.0 ,"",68.0 ,0.0 ,68.0 ,"",530.0 0.0 530.0
Toronto Police Service (excludes Board) ,"","7,824.0 6.0 7,830.0 ","","7,824.0 6.0 7,830.0 ",4.0 ,0.0 ,4.0 ,"",0.0 0.0 ,0.0 ,"",4.0 ,0.0 ,4.0 ,"","7,828.0 6.0 7,834.0"
"TOTAL - AGENCIES, BOARDS & COMMISSIONS ","","23,508.7 699.4 24,208.1 ","","23,352.2 670.3 24,022.5 ",142.8 ,30.3 ,173.1 ,"",72.0 12.0 ,84.0 ,"",214.8 ,42.3 ,257.1 ,"","23,567.0 712.6 24,279.6"
TOTAL - LEVY OPERATIONS ,"","42,492.1 4,187.5 46,679.6 ","","42,140.1 4,116.6 46,256.7 ",184.3 ,310.4 ,494.7 ,"",122.4 51.6 ,174.0 ,"",306.7 ,362.0 ,668.7 ,"","42,446.8 4,478.6 46,925.4"
Non Levy Operations,"","","","","","","","","","","","","","","",""
Solid Waste Management Services ,"","1,167.0 190.8 1,357.8 ","","1,148.0 161.1 1,309.1 ","","","","","","","",0.0 ,0.0 ,0.0 ,"","1,148.0 161.1 1,309.1"
Toronto Water ,"","1,653.0 86.4 1,739.4 ","","1,640.0 86.4 1,726.4 ","","","","","","","",0.0 ,0.0 ,0.0 ,"","1,640.0 86.4 1,726.4"
Toronto Parking Authority ,"",299.6 0.0 299.6 ,"",298.0 0.0 298.0 ,"","","","","","","",0.0 ,0.0 ,0.0 ,"",298.0 0.0 298.0
TOTAL - NON LEVY OPERATIONS ,"","3,119.6 277.2 3,396.8 ","","3,086.0 247.5 3,333.5 ",0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"","3,086.0 247.5 3,333.5"
TOTAL ,"","45,611.7 4,464.7 50,076.4 ","","45,226.1 4,364.1 49,590.2 ",184.3 ,310.4 ,494.7 ,"",122.4 51.6 ,174.0 ,"",306.7 ,362.0 ,668.7 ,"","45,532.8 4,726.1 50,258.9"
