"EXEC. & 
SR. 
MGMT
(a)","MGMT 
WITH 
DIRECT 
REPORT
(b)","TOTAL
(i)=(c)+(h)","EXEC. & 
SR. 
MGMT
(j)","MGMT 
WITH 
DIRECT 
REPORT
(k)","TOTAL 
EXEC. & 
MGMT
(l)=(j)+(k)","*NON 
UNION 
EXEMPT
(m)","LOCAL 79
& FIRE 
FIGHTER
S
(n)","LOCAL 
416/OTHE
R
(o)","STUDENT
S & 
RECREAT
ION 
(p)","TOTAL NON 
UNION, LOCAL 79, 
416 & STUDENTS 
(q)=(m)+(o)+(p)+(q)","TOTAL
(n)=(l)+(m)","EXEC. & 
SR. 
MGMT
(ao)","MGMT 
WITH 
DIRECT 
REPORT
(ap)","TOTAL EXEC. 
& MGMT
(aq)=(ao)+(ap)","NON 
UNION 
EXEMPT
(ar)",
"0.0
0.0
0.0
0.0
0.0","(0.5)
2.8
0.7
0.5
(8.0)",,,8.4,,"4.0
          1.0","29.3
          1.0",1,,,,"0.0
0.0
0.0
0.0
0.0","(0.5)
2.8
9.1
0.5
(8.0)",,"0.0
0.0
5.0
(0.5)
8.0",
,,,,,,,,,,,,,,,,
,,1.8,,,0,,,,,0,0,,,(0.5),,
,,40.7,,,0,,,,,0,0,,,2.8,,
,,0.3,,,8.4,,,,,34.3,42.7,,,9.1,,
,,(1.9),,,0,,,,,2,2,,,0.5,,
,,0,,,0,,,,,0,0,,,(8.0),,
0,(4.5),40.9,0,8.4,8.4,5,30.3,1,0,36.3,44.7,0,3.9,3.9,12.5,
"0.0
0.0
0.0
0.0
0.0
0.0","4.0
2.0
0.0
0.0
1.0
(1.7)",,,"3.0
1.0",,12,"4
1.0
1.0
3.0
1.0","7
13.3",,,,"0.0
0.0
0.0
0.0
0.0
0.0","4.0
5.0
0.0
1.0
1.0
(1.7)",,"2.0
0.0
1.0
1.0
9.0
23.7",
,,"1.0
38.8
0.0
4.0
(3.0)
11.3",,,"0.0
3.0
0.0
1.0
0.0
0.0",,,,,"11.0
13.3
1.0
1.0
3.0
13.0","11.0
16.3
1.0
2.0
3.0
13.0",,,"4.0
5.0
0.0
1.0
1.0
(1.7)",,
0,5.3,52.1,0,4,4,12,10,20.3,0,42.3,46.3,0,9.3,9.3,36.7,
,,"(0.5)
(1.6)
(2.0)
(1.5)
0.0","3.0
1.0",1,"3.0
0.0
1.0
1.0
0.0",4,"1.0
6.0","0.5
30.9",3,"0.5
5.0
0.0
36.9
3.0","3.5
5.0
1.0
37.9
3.0","3.0
0.0
1.0
0.0
0.0","0.0
0.0
0.0
1.0
0.0","3.0
0.0
1.0
1.0
0.0","(2.0)
4.0
(10.0)
0.0
0.0",
0,0,(5.6),4,1,5,4,7,31.4,3,45.4,50.4,4,1,5,(8.0),
,,11,,,0,,40,,,40,40,0,0,0,7,
0,0,11,0,0,0,0,40,0,0,40,40,0,0,0,7,
,,"0.0
0.0
(2.0)
0.0
1.0
2.0
0.0
3.0
(1.0)",,,"0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0","4.0
1.0
2.0",7,,,"0.0
0.0
0.0
0.0
7.0
0.0
4.0
1.0
2.0","0.0
0.0
0.0
0.0
7.0
0.0
4.0
1.0
2.0","0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0","0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0","0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0","0.0
0.0
(2.0)
0.0
2.0
0.0
4.0
3.0
1.0",
0,0,3,0,0,0,7,7,0,0,14,14,0,0,0,8,
2005 STAFF RECOMMENDED CHANGES TO BASE BUDGET,,,2005 STAFF RECOMMENDED CHANGES TO NEW/ENHANCED,,,,,,,,,,,,,
MANAGEMENT,,,MANAGEMENT,,,,UNION STAFF,,,,,,MANAGEMENT,,,
"EXEC. & 
SR. 
MGMT
(a)","MGMT 
WITH 
DIRECT 
REPORT
(b)","TOTAL
(i)=(c)+(h)","EXEC. & 
SR. 
MGMT
(j)","MGMT 
WITH 
DIRECT 
REPORT
(k)","TOTAL 
EXEC. & 
MGMT
(l)=(j)+(k)","*NON 
UNION 
EXEMPT
(m)","LOCAL 79
& FIRE 
FIGHTER
S
(n)","LOCAL 
416/OTHE
R
(o)","STUDENT
S & 
RECREAT
ION 
(p)","TOTAL NON 
UNION, LOCAL 79, 
416 & STUDENTS 
(q)=(m)+(o)+(p)+(q)","TOTAL
(n)=(l)+(m)",,"EXEC. & 
SR. 
MGMT
(ao)","MGMT 
WITH 
DIRECT 
REPORT
(ap)","TOTAL EXEC. 
& MGMT
(aq)=(ao)+(ap)","NON 
UNION 
EXEMPT
(ar)"
,,"0.0
(1.0)
0.0
1.0",,1,"1.0
0.0
0.0
0.0",1,,,,"1.0
0.0
0.0
0.0","2.0
0.0
0.0
0.0",,"0.0
0.0
0.0
0.0","1.0
0.0
0.0
0.0","1.0
0.0
0.0
0.0","1.0
(1.0)
0.0
1.0"
0,0,0,0,1,1,1,0,0,0,1,2,,0,1,1,1
0,0.8,,4,14.4,,30,94.3,52.7,3,,,,4,15.2,,56.2
,,98.4,,,18.4,,,,,180,198.4,,,,19.2,
"0.0
0.0
1.0
0.0
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
2.0","(3.7)
0.0
0.0
0.0
(1.0)
0.0
0.0
0.0
0.0
1.0
0.0
0.0
0.0
0.0
0.0
(3.7)",,0,"8.5
8.5",,"8.9
1.0
9.9","27.3
27.3","(1.0)
3.0
106.0
108.0",0,,,"0.0
0.0
1.0
0.0
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
2.0","4.8
0.0
0.0
0.0
(1.0)
0.0
0.0
0.0
0.0
1.0
0.0
0.0
0.0
0.0
0.0
4.8",,"4.7
0.0
0.0
0.0
(0.8)
1.0
0.0
0.0
16.7
0.0
1.0
0.0
0.0
39.0
4.0
65.6",
,,,,,,,,,,,,,,,,
,,(40.2),,,8.5,,,,,35.2,43.7,,,4.8,,
,,0,,,0,,,,,0,0,,,0,,
,,1,,,0,,,,,0,0,,,1,,
,,0,,,0,,,,,0,0,,,0,,
,,11.4,,,0,,,,,0,0,,,0,,
,,0.2,,,0,,,,,4,4,,,0,,
,,0,,,0,,,,,0,0,,,0,,
,,0,,,0,,,,,0,0,,,0,,
,,"14.6
0.0
1.7
0.0
0.0
113.0
0.0",,,"0.0
0.0
0.0
0.0
0.0
0.0
0.0",,,,,"0.0
0.0
0.0
0.0
0.0
106.0
0.0","0.0
0.0
0.0
0.0
0.0
106.0
0.0",,,"0.0
1.0
0.0
0.0
0.0
0.0
0.0",,
,,101.7,,,8.5,,,,,145.2,153.7,,,6.8,,
2,(2.9),,4,22.9,,39.9,121.6,160.7,3,,,6,20,,121.8,
,,200.1,,,26.9,,,,,325.2,352.1,,,26,,
