"","",Operating Positions ,"","",Capital Positions ,"","",Total Positions,"","",""
Sub-Total Other City Programs ,901.3 ,852.0 (49.3) ,5.5% ,11.5 ,9.2 (2.4) ,20.4% ,912.8 ,861.2 (51.7) ,5.7% ,2.2% ,3.4%
Accountability Offices,"","","","","","","","","","",""
Auditor General's Office ,29.5 ,28.0 (1.5) ,5.1% ,0.0 ,0.0 0.0 ,0.0% ,29.5 ,28.0 (1.5) ,5.1% ,0.9% ,4.2%
Integrity Commissioner's Office ,3.0 ,3.0 0.0 ,0.0% ,0.0 ,0.0 0.0 ,0.0% ,3.0 ,3.0 0.0 ,0.0% ,0.0% ,0.0%
Lobbyist Registrar's Office ,8.3 ,8.0 (0.3) ,3.6% ,0.0 ,0.0 0.0 ,0.0% ,8.3 ,8.0 (0.3) ,3.6% ,0.0% ,3.6%
Ombudsman's Office ,12.0 ,10.0 (2.0) ,16.7% ,0.0 ,0.0 0.0 ,0.0% ,12.0 ,10.0 (2.0) ,16.7% ,0.0% ,16.7%
Sub-Total Accountability Offices ,52.8 ,49.0 (3.8) ,7.2% ,0.0 ,0.0 0.0 ,0.0% ,52.8 ,49.0 (3.8) ,7.2% ,0.5% ,6.7%
TOTAL - CITY OPERATIONS ,"22,410.1 ","21,455.5 (954.6) ",4.3% ,"1,023.9 ",816.5 (207.5) ,20.3% ,"23,434.0 ","22,272.0 (1,162.1) ",5.0% ,2.5% ,2.5%
Agencies,"","","","","","","","","","",""
Toronto Public Health ,"1,841.8 ","1,742.1 (99.7) ",5.4% ,33.5 ,27.3 (6.2) ,18.5% ,"1,875.3 ","1,769.4 (105.9) ",5.6% ,5.1% ,0.5%
Toronto Public Library ,"1,739.9 ","1,688.9 (51.0) ",2.9% ,0.0 ,0.0 0.0 ,0.0% ,"1,739.9 ","1,688.9 (51.0) ",2.9% ,2.7% ,0.2%
Association of Community Centres ,77.9 ,77.9 0.0 ,0.0% ,0.0 ,0.0 0.0 ,0.0% ,77.9 ,77.9 0.0 ,0.0% ,0.0% ,0.0%
Exhibition Place ,390.0 ,390.0 0.0 ,0.0% ,5.0 ,5.0 0.0 ,0.0% ,395.0 ,395.0 0.0 ,0.0% ,0.5% ,0.0%
Heritage Toronto ,7.0 ,7.0 0.0 ,0.0% ,0.0 ,0.0 0.0 ,0.0% ,7.0 ,7.0 0.0 ,0.0% ,0.0% ,0.0%
Theatres ,163.1 ,167.7 4.6 ,-2.8% ,0.0 ,0.0 0.0 ,0.0% ,163.1 ,167.7 4.6 ,-2.8% ,0.0% ,0.0%
Toronto Zoo ,402.5 ,386.5 (16.0) ,4.0% ,0.0 ,0.0 0.0 ,0.0% ,402.5 ,386.5 (16.0) ,4.0% ,2.3% ,1.6%
Arena Boards of Management ,66.6 ,66.6 0.0 ,0.0% ,0.0 ,0.0 0.0 ,0.0% ,66.6 ,66.6 0.0 ,0.0% ,0.0% ,0.0%
Yonge Dundas Square ,6.5 ,6.5 0.0 ,0.0% ,0.0 ,0.0 0.0 ,0.0% ,6.5 ,6.5 0.0 ,0.0% ,0.0% ,0.0%
Toronto & Region Conservation Authority ,409.3 ,409.3 0.0 ,0.0% ,0.0 ,0.0 0.0 ,0.0% ,409.3 ,409.3 0.0 ,0.0% ,0.0% ,0.0%
TTC - Conventional ,"11,691.0 ","11,470.0 (221.0) ",1.9% ,"2,021.0 ","1,661.0 (360.0) ",17.8% ,"13,712.0 ","13,131.0 (581.0) ",4.2% ,1.2% ,3.1%
TTC - WT ,562.0 ,550.0 (12.0) ,2.1% ,0.0 ,0.0 0.0 ,0.0% ,562.0 ,550.0 (12.0) ,2.1% ,0.8% ,1.4%
Toronto Police Service ,"7,883.0 ","7,493.0 (390.0) ",4.9% ,0.0 ,0.0 0.0 ,0.0% ,"7,883.0 ","7,493.0 (390.0) ",4.9% ,5.0% ,0.0%
Toronto Police Services Board ,7.0 ,7.0 0.0 ,0.0% ,0.0 ,0.0 0.0 ,0.0% ,7.0 ,7.0 0.0 ,0.0% ,0.0% ,0.0%
TOTAL - AGENCIES ,"25,247.6 ","24,462.5 (785.1) ",3.1% ,"2,059.5 ","1,693.3 (366.2) ",17.8% ,"27,307.1 ","26,155.8 (1,151.3) ",4.2% ,2.6% ,1.6%
Corporate Accounts,"","","","","","","","","","",""
Parking Tag Enforcement & Oper. ,394.0 ,382.0 (12.0) ,3.0% ,0.0 ,0.0 0.0 ,0.0% ,394.0 ,382.0 (12.0) ,3.0% ,0.0% ,3.0%
TOTAL - CORPORATE ACCOUNTS ,394.0 ,382.0 (12.0) ,3.0% ,0.0 ,0.0 0.0 ,0.0% ,394.0 ,382.0 (12.0) ,3.0% ,0.0% ,3.0%
TOTAL LEVY OPERATIONS ,"48,051.7 ","46,300.0 (1,751.7) ",3.6% ,"3,083.4 ","2,509.8 (573.7) ",18.6% ,"51,135.1 ","48,809.8 (2,325.3) ",4.5% ,2.5% ,2.0%
Non Levy Operations,"","","","","","","","","","",""
Solid Waste Management Services ,"1,081.7 ",965.7 (116.0) ,10.7% ,27.0 ,23.0 (4.0) ,14.8% ,"1,108.7 ",988.7 (120.0) ,10.8% ,1.9% ,8.9%
Toronto Parking Authority ,299.4 ,294.0 (5.4) ,1.8% ,0.0 ,0.0 0.0 ,0.0% ,299.4 ,294.0 (5.4) ,1.8% ,0.0% ,1.8%
Toronto Water ,"1,713.3 ","1,576.3 (137.0) ",8.0% ,48.4 ,48.4 0.0 ,0.0% ,"1,761.7 ","1,624.7 (137.0) ",7.8% ,3.0% ,4.8%
TOTAL NON LEVY OPERATIONS ,"3,094.4 ","2,836.0 (258.4) ",8.4% ,75.4 ,71.4 (4.0) ,5.3% ,"3,169.8 ","2,907.4 (262.4) ",8.3% ,2.3% ,6.0%
GRAND TOTAL ,"51,146.1 ","49,136.0 (2,010.1) ",3.9% ,"3,158.8 ","2,581.2 (577.7) ",18.3% ,"54,304.9 ","51,717.2 (2,587.7) ",4.8% ,2.5% ,2.2% 
