Integrity Commissioner's Office ,428 ,479 ,51 12.0% ,"",479 ,51 12.0%
Office of the Lobbyist Registrar ,"1,124 ","1,143 ",19 1.7% ,"","1,143 ",19 1.7%
Office of the Ombudsman ,"1,755 ","1,815 ",59 3.4% ,"","1,815 ",59 3.4%
Sub-Total Council Appointed Programs ,"8,025 ","8,199 ",175 2.2% ,211 ,"8,410 ",386 4.8%
TOTAL - CITY OPERATIONS ,"4,960,286 ","5,028,969 ","68,683 1.4% ","36,695 ","5,065,664 ","105,377 2.1%"
Agencies,"","","","","",""
Toronto Public Health ,"253,979 ","240,703 ","(13,276) (5.2%) ","2,504 ","243,208 ","(10,772) (4.2%)"
Toronto Public Library ,"188,708 ","192,504 ","3,796 2.0% ",958 ,"193,462 ","4,754 2.5%"
Association of Community Centres ,"7,900 ","7,920 ",20 0.3% ,"","7,920 ",20 0.3%
Exhibition Place ,"38,179 ","36,029 ","(2,150) (5.6%) ",537 ,"36,566 ","(1,613) (4.2%)"
Heritage Toronto ,761 ,768 ,7 0.9% ,"",768 ,7 0.9%
Theatres ,"23,324 ","23,164 ",(159) (0.7%) ,"","23,164 ",(159) (0.7%)
Toronto Zoo ,"50,594 ","51,173 ",579 1.1% ,"","51,173 ",579 1.1%
Arena Boards of Management ,"8,400 ","8,644 ",243 2.9% ,"","8,644 ",243 2.9%
Yonge-Dundas Square ,"2,266 ","2,335 ",69 3.0% ,"","2,335 ",69 3.0%
Toronto & Region Conservation Authority ,"39,919 ","40,519 ",600 1.5% ,"","40,519 ",600 1.5%
Toronto Transit Commission - Conventional ,"1,693,820 ","1,731,305 ","37,485 2.2% ","5,451 ","1,736,756 ","42,936 2.5%"
Toronto Transit Commission - Wheel Trans ,"115,313 ","123,666 ","8,353 7.2% ","","123,666 ","8,353 7.2%"
Toronto Police Service ,"1,172,317 ","1,130,929 ","(41,388) (3.5%) ","","1,130,929 ","(41,388) (3.5%)"
Toronto Police Services Board ,"3,116 ","3,049 ",(66) (2.1%) ,"","3,049 ",(66) (2.1%)
TOTAL - AGENCIES ,"3,598,597 ","3,592,709 ","(5,888) (0.2%) ","9,450 ","3,602,159 ","3,561 0.1%"
