Program,Category,Category Name,Expense/Revenue,Sum - 2015
"Facilities, Real Estate, Environment & Energy",930A,Contribution From Reserves/Reserve Funds,Revenues,-11945307
"Facilities, Real Estate, Environment & Energy",940A,Sundry and Other Revenues,Revenues,-8052725
Fire Services,750A,Inter-Divisional Recoveries,Revenues,-247406
Fire Services,805A,Provincial Subsidies,Revenues,-400000
Fire Services,850A,User Fees & Donations,Revenues,-13563515
Fire Services,920A,Transfers From Capital,Revenues,-231765
Fire Services,930A,Contribution From Reserves/Reserve Funds,Revenues,-404000
Fire Services,940A,Sundry and Other Revenues,Revenues,-2153500
Fleet Services,750A,Inter-Divisional Recoveries,Revenues,-47687225
Fleet Services,920A,Transfers From Capital,Revenues,-116482
Fleet Services,930A,Contribution From Reserves/Reserve Funds,Revenues,-121000
Fleet Services,940A,Sundry and Other Revenues,Revenues,-2784273
Heritage Toronto,805A,Provincial Subsidies,Revenues,-36200
Heritage Toronto,810A,Federal Subsidies,Revenues,-70000
Heritage Toronto,850A,User Fees & Donations,Revenues,-192500
Heritage Toronto,940A,Sundry and Other Revenues,Revenues,-150800
Information & Technology,750A,Inter-Divisional Recoveries,Revenues,-13508878
Information & Technology,850A,User Fees & Donations,Revenues,-186103
Information & Technology,920A,Transfers From Capital,Revenues,-30600915
Information & Technology,930A,Contribution From Reserves/Reserve Funds,Revenues,-4220064
Information & Technology,940A,Sundry and Other Revenues,Revenues,-726349
Legal Services,750A,Inter-Divisional Recoveries,Revenues,-22162478
Legal Services,850A,User Fees & Donations,Revenues,-2529571
Legal Services,920A,Transfers From Capital,Revenues,-1162621
Legal Services,930A,Contribution From Reserves/Reserve Funds,Revenues,-300000
Legal Services,940A,Sundry and Other Revenues,Revenues,-3106558
Long Term Care Homes & Services,750A,Inter-Divisional Recoveries,Revenues,-72800
Long Term Care Homes & Services,805A,Provincial Subsidies,Revenues,-146819121
Long Term Care Homes & Services,850A,User Fees & Donations,Revenues,-48652700
Long Term Care Homes & Services,920A,Transfers From Capital,Revenues,-260000
Long Term Care Homes & Services,940A,Sundry and Other Revenues,Revenues,-138000
Municipal Licensing & Standards,750A,Inter-Divisional Recoveries,Revenues,-1541461
Municipal Licensing & Standards,850A,User Fees & Donations,Revenues,-3590964
Municipal Licensing & Standards,860A,Licences & Permits Revenue,Revenues,-24357930
Municipal Licensing & Standards,930A,Contribution From Reserves/Reserve Funds,Revenues,-10000
Municipal Licensing & Standards,940A,Sundry and Other Revenues,Revenues,-318881
Non-Program Expenditures,850A,User Fees & Donations,Revenues,-1952942
Non-Program Expenditures,930A,Contribution From Reserves/Reserve Funds,Revenues,-159878514
Non-Program Expenditures,940A,Sundry and Other Revenues,Revenues,-6621288
Non-Program Revenues,750A,Inter-Divisional Recoveries,Revenues,-35299700
Non-Program Revenues,805A,Provincial Subsidies,Revenues,-42978535
Non-Program Revenues,850A,User Fees & Donations,Revenues,-1994876
Non-Program Revenues,860A,Licences & Permits Revenue,Revenues,-4002823
Non-Program Revenues,930A,Contribution From Reserves/Reserve Funds,Revenues,-91600000
Non-Program Revenues,940A,Sundry and Other Revenues,Revenues,-1046900691
Office of the Chief Financial Officer,750A,Inter-Divisional Recoveries,Revenues,-2707488
Office of the Chief Financial Officer,920A,Transfers From Capital,Revenues,-1925285
Office of the Chief Financial Officer,930A,Contribution From Reserves/Reserve Funds,Revenues,-2080839
Office of the Chief Financial Officer,940A,Sundry and Other Revenues,Revenues,-67092
Office of the Treasurer,750A,Inter-Divisional Recoveries,Revenues,-25310556
Office of the Treasurer,850A,User Fees & Donations,Revenues,-11935933
Office of the Treasurer,920A,Transfers From Capital,Revenues,-4584859
Office of the Treasurer,930A,Contribution From Reserves/Reserve Funds,Revenues,-1677671
Office of the Treasurer,940A,Sundry and Other Revenues,Revenues,-3400934
"Parks, Forestry & Recreation",750A,Inter-Divisional Recoveries,Revenues,-7561289
"Parks, Forestry & Recreation",805A,Provincial Subsidies,Revenues,-789972
"Parks, Forestry & Recreation",810A,Federal Subsidies,Revenues,-3500000
"Parks, Forestry & Recreation",850A,User Fees & Donations,Revenues,-76683270
"Parks, Forestry & Recreation",860A,Licences & Permits Revenue,Revenues,-8325925
"Parks, Forestry & Recreation",920A,Transfers From Capital,Revenues,-6532799
"Parks, Forestry & Recreation",930A,Contribution From Reserves/Reserve Funds,Revenues,-22867536
"Parks, Forestry & Recreation",940A,Sundry and Other Revenues,Revenues,-3706003
"Policy, Planning, Finance & Administration",750A,Inter-Divisional Recoveries,Revenues,-9367334
"Policy, Planning, Finance & Administration",805A,Provincial Subsidies,Revenues,-225000
"Policy, Planning, Finance & Administration",920A,Transfers From Capital,Revenues,-2389912
"Policy, Planning, Finance & Administration",930A,Contribution From Reserves/Reserve Funds,Revenues,-875
"Policy, Planning, Finance & Administration",940A,Sundry and Other Revenues,Revenues,-231165
Property Tax,940A,Property Tax,Revenues,-3848634765
Property Tax,,Special Levy for Scarborough Subway (Reserve Contribution),Revenues,-24846399
"Shelter, Support & Housing Administration",750A,Inter-Divisional Recoveries,Revenues,-11250
"Shelter, Support & Housing Administration",805A,Provincial Subsidies,Revenues,-147308363
"Shelter, Support & Housing Administration",810A,Federal Subsidies,Revenues,-157339042
"Shelter, Support & Housing Administration",820A,Other Subsidies,Revenues,1
"Shelter, Support & Housing Administration",850A,User Fees & Donations,Revenues,-472800
"Shelter, Support & Housing Administration",920A,Transfers From Capital,Revenues,-169289
"Shelter, Support & Housing Administration",930A,Contribution From Reserves/Reserve Funds,Revenues,-35588655
"Shelter, Support & Housing Administration",940A,Sundry and Other Revenues,Revenues,-37045
"Social Development, Finance & Administration",750A,Inter-Divisional Recoveries,Revenues,-498300
"Social Development, Finance & Administration",805A,Provincial Subsidies,Revenues,-4876422
"Social Development, Finance & Administration",810A,Federal Subsidies,Revenues,-2039101
"Social Development, Finance & Administration",930A,Contribution From Reserves/Reserve Funds,Revenues,-10523580
"Social Development, Finance & Administration",940A,Sundry and Other Revenues,Revenues,-108149
Solid Waste Management Services,750A,Inter-Divisional Recoveries,Revenues,-5984239
Solid Waste Management Services,805A,Provincial Subsidies,Revenues,-22015403
Solid Waste Management Services,850A,User Fees & Donations,Revenues,-272189187
Solid Waste Management Services,920A,Transfers From Capital,Revenues,-3327207
Solid Waste Management Services,940A,Sundry and Other Revenues,Revenues,-67269113
Theatres,850A,User Fees & Donations,Revenues,-12827713
Theatres,930A,Contribution From Reserves/Reserve Funds,Revenues,-2062340
Theatres,940A,Sundry and Other Revenues,Revenues,-3088390
Toronto & Region Conservation Authority,805A,Provincial Subsidies,Revenues,-1835000
Toronto & Region Conservation Authority,850A,User Fees & Donations,Revenues,-24799000
Toronto & Region Conservation Authority,930A,Contribution From Reserves/Reserve Funds,Revenues,-4598000
Toronto & Region Conservation Authority,940A,Sundry and Other Revenues,Revenues,-5231000
Toronto Atmospheric Fund,850A,User Fees & Donations,Revenues,-650000
Toronto Atmospheric Fund,940A,Sundry and Other Revenues,Revenues,-1925000
Toronto Building,750A,Inter-Divisional Recoveries,Revenues,-923845
Toronto Building,850A,User Fees & Donations,Revenues,-1628951
Toronto Building,860A,Licences & Permits Revenue,Revenues,-58172825
Toronto Building,920A,Transfers From Capital,Revenues,-434264
Toronto Building,940A,Sundry and Other Revenues,Revenues,-40000
Toronto Employment & Social Services,750A,Inter-Divisional Recoveries,Revenues,-354355
Toronto Employment & Social Services,805A,Provincial Subsidies,Revenues,-916636763
Toronto Employment & Social Services,820A,Other Subsidies,Revenues,-6799500
Toronto Employment & Social Services,930A,Contribution From Reserves/Reserve Funds,Revenues,-15233031
Toronto Employment & Social Services,940A,Sundry and Other Revenues,Revenues,-17800000
Toronto Paramedic Services,750A,Inter-Divisional Recoveries,Revenues,-894158
Toronto Paramedic Services,805A,Provincial Subsidies,Revenues,-118547465
Toronto Paramedic Services,850A,User Fees & Donations,Revenues,-1141716
Toronto Paramedic Services,920A,Transfers From Capital,Revenues,-75000
Toronto Paramedic Services,930A,Contribution From Reserves/Reserve Funds,Revenues,-409503
Toronto Paramedic Services,940A,Sundry and Other Revenues,Revenues,-2344532
Toronto Parking Authority,850A,User Fees & Donations,Revenues,-128878837
Toronto Parking Authority,930A,Contribution From Reserves/Reserve Funds,Revenues,-770000
Toronto Parking Authority,940A,Sundry and Other Revenues,Revenues,-4580603
Toronto Police Service,750A,Inter-Divisional Recoveries,Revenues,-9956100
Toronto Police Service,805A,Provincial Subsidies,Revenues,-112245200
Toronto Police Service,850A,User Fees & Donations,Revenues,-47018800
Toronto Police Service,930A,Contribution From Reserves/Reserve Funds,Revenues,-22534000
Toronto Police Service,940A,Sundry and Other Revenues,Revenues,-900000
Toronto Police Services Board,930A,Contribution From Reserves/Reserve Funds,Revenues,-750000
Toronto Public Health,750A,Inter-Divisional Recoveries,Revenues,-10541886
Toronto Public Health,805A,Provincial Subsidies,Revenues,-179589213
Toronto Public Health,810A,Federal Subsidies,Revenues,-387429
Toronto Public Health,850A,User Fees & Donations,Revenues,-1021746
Toronto Public Health,920A,Transfers From Capital,Revenues,-3638536
Toronto Public Health,930A,Contribution From Reserves/Reserve Funds,Revenues,-174281
Toronto Public Health,940A,Sundry and Other Revenues,Revenues,-1698906
Toronto Public Library,805A,Provincial Subsidies,Revenues,-5695400
Toronto Public Library,810A,Federal Subsidies,Revenues,-20000
Toronto Public Library,850A,User Fees & Donations,Revenues,-5031700
Toronto Public Library,920A,Transfers From Capital,Revenues,-312000
Toronto Public Library,930A,Contribution From Reserves/Reserve Funds,Revenues,-3559400
Toronto Public Library,940A,Sundry and Other Revenues,Revenues,-1897600
Toronto Transit Commission - Conventional,850A,User Fees & Donations,Revenues,-1206687700
Toronto Transit Commission - Conventional,930A,Contribution From Reserves/Reserve Funds,Revenues,-9897500
Toronto Transit Commission - Conventional,940A,Sundry and Other Revenues,Revenues,-3504300
Toronto Transit Commission - Wheel Trans,850A,User Fees & Donations,Revenues,-6214300
Toronto Transit Commission - Wheel Trans,930A,Contribution From Reserves/Reserve Funds,Revenues,-300000
Toronto Water,750A,Inter-Divisional Recoveries,Revenues,-25000
Toronto Water,850A,User Fees & Donations,Revenues,-39831361
Toronto Water,920A,Transfers From Capital,Revenues,-2667146
Toronto Water,930A,Contribution From Reserves/Reserve Funds,Revenues,-195000
Toronto Water,940A,Sundry and Other Revenues,Revenues,-1038416542
Toronto Zoo,805A,Provincial Subsidies,Revenues,-1011500
Toronto Zoo,850A,User Fees & Donations,Revenues,-36565403
Toronto Zoo,920A,Transfers From Capital,Revenues,-171000
Toronto Zoo,930A,Contribution From Reserves/Reserve Funds,Revenues,-386000
Toronto Zoo,940A,Sundry and Other Revenues,Revenues,-721200
Transportation Services,750A,Inter-Divisional Recoveries,Revenues,-8728149
Transportation Services,850A,User Fees & Donations,Revenues,-37562485
Transportation Services,860A,Licences & Permits Revenue,Revenues,-6176070
Transportation Services,920A,Transfers From Capital,Revenues,-26997481
Transportation Services,930A,Contribution From Reserves/Reserve Funds,Revenues,-22414099
Transportation Services,940A,Sundry and Other Revenues,Revenues,-40961343
Yonge-Dundas Square,850A,User Fees & Donations,Revenues,-1000000
Yonge-Dundas Square,860A,Licences & Permits Revenue,Revenues,-345000
Yonge-Dundas Square,940A,Sundry and Other Revenues,Revenues,-527649
Total Result,,,,-11599101769
