Program,Category,Category Name,Expense/Revenue,Sum - 2015
Fleet Services,510A,Contribution To Reserves/Reserve Funds,Expenses,660028
Fleet Services,700A,Inter-Divisional Charges,Expenses,582328
Heritage Toronto,100A,Salaries And Benefits,Expenses,550300
Heritage Toronto,200A,Materials & Supplies,Expenses,70400
Heritage Toronto,400A,Service And Rent,Expenses,133500
Heritage Toronto,510A,Contribution To Reserves/Reserve Funds,Expenses,1266
Heritage Toronto,650A,Other Expenditures,Expenses,6000
Information & Technology,100A,Salaries And Benefits,Expenses,94653797
Information & Technology,200A,Materials & Supplies,Expenses,122495
Information & Technology,300A,Equipment,Expenses,1243247
Information & Technology,400A,Service And Rent,Expenses,24903595
Information & Technology,510A,Contribution To Reserves/Reserve Funds,Expenses,126565
Information & Technology,650A,Other Expenditures,Expenses,396
Information & Technology,700A,Inter-Divisional Charges,Expenses,490951
Integrity Commissioner's Office,100A,Salaries And Benefits,Expenses,387754
Integrity Commissioner's Office,200A,Materials & Supplies,Expenses,1556
Integrity Commissioner's Office,300A,Equipment,Expenses,6452
Integrity Commissioner's Office,400A,Service And Rent,Expenses,27242
Integrity Commissioner's Office,510A,Contribution To Reserves/Reserve Funds,Expenses,4365
Integrity Commissioner's Office,700A,Inter-Divisional Charges,Expenses,400
Legal Services,100A,Salaries And Benefits,Expenses,40463694
Legal Services,200A,Materials & Supplies,Expenses,407331
Legal Services,300A,Equipment,Expenses,109558
Legal Services,400A,Service And Rent,Expenses,1410603
Legal Services,510A,Contribution To Reserves/Reserve Funds,Expenses,69502
Legal Services,700A,Inter-Divisional Charges,Expenses,7107200
Long Term Care Homes & Services,100A,Salaries And Benefits,Expenses,197781300
Long Term Care Homes & Services,200A,Materials & Supplies,Expenses,18590200
Long Term Care Homes & Services,300A,Equipment,Expenses,2873400
Long Term Care Homes & Services,400A,Service And Rent,Expenses,20187422
Long Term Care Homes & Services,510A,Contribution To Reserves/Reserve Funds,Expenses,1901532
Long Term Care Homes & Services,650A,Other Expenditures,Expenses,114850
Long Term Care Homes & Services,700A,Inter-Divisional Charges,Expenses,689923
Mayor's Office,100A,Salaries And Benefits,Expenses,2199586
Mayor's Office,200A,Materials & Supplies,Expenses,5000
Mayor's Office,400A,Service And Rent,Expenses,87524
Mayor's Office,700A,Inter-Divisional Charges,Expenses,5000
Municipal Licensing & Standards,100A,Salaries And Benefits,Expenses,42021565
Municipal Licensing & Standards,200A,Materials & Supplies,Expenses,1118858
Municipal Licensing & Standards,300A,Equipment,Expenses,407381
Municipal Licensing & Standards,400A,Service And Rent,Expenses,1744319
Municipal Licensing & Standards,510A,Contribution To Reserves/Reserve Funds,Expenses,749348
Municipal Licensing & Standards,650A,Other Expenditures,Expenses,250000
Municipal Licensing & Standards,700A,Inter-Divisional Charges,Expenses,4566991
Non-Program Expenditures,100A,Salaries And Benefits,Expenses,55041113
Non-Program Expenditures,200A,Materials & Supplies,Expenses,1125600
Non-Program Expenditures,400A,Service And Rent,Expenses,307964120
Non-Program Expenditures,510A,Contribution To Reserves/Reserve Funds,Expenses,76162600
Non-Program Expenditures,650A,Other Expenditures,Expenses,149396573
Non-Program Expenditures,700A,Inter-Divisional Charges,Expenses,18504182
Non-Program Revenues,400A,Service And Rent,Expenses,5767329
Non-Program Revenues,510A,Contribution To Reserves/Reserve Funds,Expenses,107481000
Non-Program Revenues,650A,Other Expenditures,Expenses,304500
Non-Program Revenues,700A,Inter-Divisional Charges,Expenses,3368131
Office of the Chief Financial Officer,100A,Salaries And Benefits,Expenses,15431315
Office of the Chief Financial Officer,200A,Materials & Supplies,Expenses,66041
Office of the Chief Financial Officer,300A,Equipment,Expenses,9246
Office of the Chief Financial Officer,400A,Service And Rent,Expenses,710987
Office of the Chief Financial Officer,510A,Contribution To Reserves/Reserve Funds,Expenses,77406
Office of the Chief Financial Officer,650A,Other Expenditures,Expenses,500
Office of the Chief Financial Officer,700A,Inter-Divisional Charges,Expenses,263067
Office of the Lobbyist Registrar,100A,Salaries And Benefits,Expenses,1036130
Office of the Lobbyist Registrar,200A,Materials & Supplies,Expenses,7517
Office of the Lobbyist Registrar,300A,Equipment,Expenses,280
Office of the Lobbyist Registrar,400A,Service And Rent,Expenses,78000
Office of the Lobbyist Registrar,510A,Contribution To Reserves/Reserve Funds,Expenses,1578
Office of the Lobbyist Registrar,700A,Inter-Divisional Charges,Expenses,600
Office of the Ombudsman,100A,Salaries And Benefits,Expenses,1493782
Office of the Ombudsman,200A,Materials & Supplies,Expenses,12569
Office of the Ombudsman,300A,Equipment,Expenses,13468
Office of the Ombudsman,400A,Service And Rent,Expenses,221685
Office of the Ombudsman,510A,Contribution To Reserves/Reserve Funds,Expenses,2082
Office of the Ombudsman,700A,Inter-Divisional Charges,Expenses,11800
Office of the Treasurer,100A,Salaries And Benefits,Expenses,64410453
Office of the Treasurer,200A,Materials & Supplies,Expenses,296975
Office of the Treasurer,300A,Equipment,Expenses,114130
Office of the Treasurer,400A,Service And Rent,Expenses,8103462
Office of the Treasurer,510A,Contribution To Reserves/Reserve Funds,Expenses,128997
Office of the Treasurer,650A,Other Expenditures,Expenses,1482918
Office of the Treasurer,700A,Inter-Divisional Charges,Expenses,2300659
"Parks, Forestry & Recreation",100A,Salaries And Benefits,Expenses,288071988
"Parks, Forestry & Recreation",200A,Materials & Supplies,Expenses,37019576
"Parks, Forestry & Recreation",300A,Equipment,Expenses,3416294
"Parks, Forestry & Recreation",400A,Service And Rent,Expenses,67650366
"Parks, Forestry & Recreation",510A,Contribution To Reserves/Reserve Funds,Expenses,10416236
"Parks, Forestry & Recreation",650A,Other Expenditures,Expenses,10087526
"Parks, Forestry & Recreation",700A,Inter-Divisional Charges,Expenses,21514490
"Policy, Planning, Finance & Administration",100A,Salaries And Benefits,Expenses,18994536
"Policy, Planning, Finance & Administration",200A,Materials & Supplies,Expenses,1092616
"Policy, Planning, Finance & Administration",300A,Equipment,Expenses,87989
"Policy, Planning, Finance & Administration",400A,Service And Rent,Expenses,881232
"Policy, Planning, Finance & Administration",510A,Contribution To Reserves/Reserve Funds,Expenses,125721
"Policy, Planning, Finance & Administration",700A,Inter-Divisional Charges,Expenses,774878
Property Tax,510A,Special Levy for Scarborough Subway,Expenses,24846399
"Shelter, Support & Housing Administration",100A,Salaries And Benefits,Expenses,68280876
"Shelter, Support & Housing Administration",200A,Materials & Supplies,Expenses,4238261
"Shelter, Support & Housing Administration",300A,Equipment,Expenses,173051
"Shelter, Support & Housing Administration",400A,Service And Rent,Expenses,70154451
"Shelter, Support & Housing Administration",510A,Contribution To Reserves/Reserve Funds,Expenses,4841870
"Shelter, Support & Housing Administration",650A,Other Expenditures,Expenses,513551595
"Shelter, Support & Housing Administration",700A,Inter-Divisional Charges,Expenses,1169167
"Social Development, Finance & Administration",100A,Salaries And Benefits,Expenses,14694532
"Social Development, Finance & Administration",200A,Materials & Supplies,Expenses,92479
"Social Development, Finance & Administration",300A,Equipment,Expenses,17609
"Social Development, Finance & Administration",400A,Service And Rent,Expenses,4713298
"Social Development, Finance & Administration",510A,Contribution To Reserves/Reserve Funds,Expenses,121704
"Social Development, Finance & Administration",650A,Other Expenditures,Expenses,29060900
"Social Development, Finance & Administration",700A,Inter-Divisional Charges,Expenses,307196
Solid Waste Management Services,100A,Salaries And Benefits,Expenses,93897682
Solid Waste Management Services,200A,Materials & Supplies,Expenses,5508906
Solid Waste Management Services,300A,Equipment,Expenses,387100
Solid Waste Management Services,400A,Service And Rent,Expenses,125369831
Solid Waste Management Services,510A,Contribution To Reserves/Reserve Funds,Expenses,37469158
Solid Waste Management Services,650A,Other Expenditures,Expenses,73035119
Solid Waste Management Services,700A,Inter-Divisional Charges,Expenses,35117352
Theatres,100A,Salaries And Benefits,Expenses,10652574
Theatres,200A,Materials & Supplies,Expenses,2032922
Theatres,300A,Equipment,Expenses,436163
Theatres,400A,Service And Rent,Expenses,6606268
Theatres,505A,Contribution To Capital,Expenses,952151
Theatres,510A,Contribution To Reserves/Reserve Funds,Expenses,1708104
Theatres,650A,Other Expenditures,Expenses,935489
Toronto & Region Conservation Authority,100A,Salaries And Benefits,Expenses,32520000
Toronto & Region Conservation Authority,200A,Materials & Supplies,Expenses,4211000
Toronto & Region Conservation Authority,300A,Equipment,Expenses,1252000
Toronto & Region Conservation Authority,400A,Service And Rent,Expenses,1936000
Toronto Atmospheric Fund,100A,Salaries And Benefits,Expenses,953000
Toronto Atmospheric Fund,200A,Materials & Supplies,Expenses,20000
Toronto Atmospheric Fund,400A,Service And Rent,Expenses,1102000
Toronto Atmospheric Fund,650A,Other Expenditures,Expenses,500000
Toronto Building,100A,Salaries And Benefits,Expenses,44512469
Toronto Building,200A,Materials & Supplies,Expenses,202876
Toronto Building,300A,Equipment,Expenses,286047
Toronto Building,400A,Service And Rent,Expenses,1206912
Toronto Building,510A,Contribution To Reserves/Reserve Funds,Expenses,3303580
Toronto Building,650A,Other Expenditures,Expenses,278488
Toronto Building,700A,Inter-Divisional Charges,Expenses,654965
Toronto Employment & Social Services,100A,Salaries And Benefits,Expenses,187755901
Toronto Employment & Social Services,200A,Materials & Supplies,Expenses,14773718
Toronto Employment & Social Services,300A,Equipment,Expenses,876541
Toronto Employment & Social Services,400A,Service And Rent,Expenses,91476581
Toronto Employment & Social Services,510A,Contribution To Reserves/Reserve Funds,Expenses,7828197
Toronto Employment & Social Services,650A,Other Expenditures,Expenses,786426895
Toronto Employment & Social Services,700A,Inter-Divisional Charges,Expenses,24115059
Toronto Paramedic Services,100A,Salaries And Benefits,Expenses,164585965
Toronto Paramedic Services,200A,Materials & Supplies,Expenses,6466792
Toronto Paramedic Services,300A,Equipment,Expenses,1013209
Toronto Paramedic Services,400A,Service And Rent,Expenses,9875558
Toronto Paramedic Services,505A,Contribution To Capital,Expenses,756000
Toronto Paramedic Services,510A,Contribution To Reserves/Reserve Funds,Expenses,5966232
Toronto Paramedic Services,650A,Other Expenditures,Expenses,8937
Toronto Paramedic Services,700A,Inter-Divisional Charges,Expenses,9436306
Toronto Parking Authority,100A,Salaries And Benefits,Expenses,23278828
Toronto Parking Authority,200A,Materials & Supplies,Expenses,9203872
Toronto Parking Authority,300A,Equipment,Expenses,7370051
Toronto Parking Authority,400A,Service And Rent,Expenses,23006365
Toronto Parking Authority,650A,Other Expenditures,Expenses,71370324
Toronto Police Service,100A,Salaries And Benefits,Expenses,1028821700
Toronto Police Service,200A,Materials & Supplies,Expenses,19807600
Toronto Police Service,300A,Equipment,Expenses,3105400
Toronto Police Service,400A,Service And Rent,Expenses,62565888
Toronto Police Service,510A,Contribution To Reserves/Reserve Funds,Expenses,37797489
Toronto Police Service,700A,Inter-Divisional Charges,Expenses,20218912
Toronto Police Services Board,100A,Salaries And Benefits,Expenses,969200
Toronto Police Services Board,200A,Materials & Supplies,Expenses,7300
Toronto Police Services Board,400A,Service And Rent,Expenses,883300
Toronto Police Services Board,505A,Contribution To Capital,Expenses,610600
Toronto Police Services Board,700A,Inter-Divisional Charges,Expenses,645400
Toronto Public Health,100A,Salaries And Benefits,Expenses,181685344
Toronto Public Health,200A,Materials & Supplies,Expenses,3767314
Toronto Public Health,300A,Equipment,Expenses,1520758
Toronto Public Health,400A,Service And Rent,Expenses,40090641
Toronto Public Health,510A,Contribution To Reserves/Reserve Funds,Expenses,1487521
Toronto Public Health,650A,Other Expenditures,Expenses,8537753
Toronto Public Health,700A,Inter-Divisional Charges,Expenses,16890139
Toronto Public Library,100A,Salaries And Benefits,Expenses,141221781
Toronto Public Library,200A,Materials & Supplies,Expenses,26496300
Toronto Public Library,300A,Equipment,Expenses,566799
Toronto Public Library,400A,Service And Rent,Expenses,18152446
Toronto Public Library,505A,Contribution To Capital,Expenses,1378000
Toronto Public Library,510A,Contribution To Reserves/Reserve Funds,Expenses,892981
Toronto Transit Commission - Conventional,100A,Salaries And Benefits,Expenses,1212667300
Toronto Transit Commission - Conventional,200A,Materials & Supplies,Expenses,318563899
Toronto Transit Commission - Conventional,300A,Equipment,Expenses,32345400
Toronto Transit Commission - Conventional,400A,Service And Rent,Expenses,78515300
Toronto Transit Commission - Conventional,505A,Contribution To Capital,Expenses,13936000
Toronto Transit Commission - Conventional,650A,Other Expenditures,Expenses,34216000
Toronto Transit Commission - Conventional,700A,Inter-Divisional Charges,Expenses,3576400
Toronto Transit Commission - Wheel Trans,100A,Salaries And Benefits,Expenses,57920300
Toronto Transit Commission - Wheel Trans,200A,Materials & Supplies,Expenses,14507100
Toronto Transit Commission - Wheel Trans,400A,Service And Rent,Expenses,42200900
Toronto Transit Commission - Wheel Trans,650A,Other Expenditures,Expenses,684800
Toronto Water,100A,Salaries And Benefits,Expenses,171294425
Toronto Water,200A,Materials & Supplies,Expenses,101530390
Toronto Water,300A,Equipment,Expenses,2343378
Toronto Water,400A,Service And Rent,Expenses,67032605
Toronto Water,510A,Contribution To Reserves/Reserve Funds,Expenses,667049840
Toronto Water,650A,Other Expenditures,Expenses,19958366
Toronto Water,700A,Inter-Divisional Charges,Expenses,67445885
Toronto Zoo,100A,Salaries And Benefits,Expenses,28944770
Toronto Zoo,200A,Materials & Supplies,Expenses,8137539
Toronto Zoo,300A,Equipment,Expenses,335899
Toronto Zoo,400A,Service And Rent,Expenses,12135532
Toronto Zoo,510A,Contribution To Reserves/Reserve Funds,Expenses,1040427
Transportation Services,100A,Salaries And Benefits,Expenses,99098510
Transportation Services,200A,Materials & Supplies,Expenses,42961268
Transportation Services,300A,Equipment,Expenses,601528
Transportation Services,400A,Service And Rent,Expenses,168520132
Transportation Services,510A,Contribution To Reserves/Reserve Funds,Expenses,23841701
Transportation Services,650A,Other Expenditures,Expenses,795009
Transportation Services,700A,Inter-Divisional Charges,Expenses,14538393
Yonge-Dundas Square,100A,Salaries And Benefits,Expenses,569957
Yonge-Dundas Square,200A,Materials & Supplies,Expenses,189493
Yonge-Dundas Square,300A,Equipment,Expenses,40000
Yonge-Dundas Square,400A,Service And Rent,Expenses,1463723
Yonge-Dundas Square,510A,Contribution To Reserves/Reserve Funds,Expenses,2773
Total Result,,,,11614621518
