TOURISM,Tourism,2003,2006,ECONDEV,Economic Development & Culture,guess
TRANSPORTATION,Transportation Services,2003,,,,
TREASURER,Office of the Treasurer,2006,,,,
TTCCONV,Toronto Transit Commission - Conventional,2004,,,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,2004,,,,
WATER,Toronto Water,2003,,,,
WATERFRONT,Waterfront Secretariat,2006,2012,CITYMANAGER,,
WORLDYOUTH,World Youth Day,2003,2003,ECONDEV,Economic Development & Culture,guess
YONGEDUNDAS,Yonge-Dundas Square,2003,,,,
ZOO,Toronto Zoo,2003,,,,
