Office of the Treasurer ,663.0 28.0 691.0 ,656.0 24.2 680.2 ,"",(7.0) (3.8) (10.8)
"Facilities, Real Estate, Environment & Energy ",892.2 36.3 928.5 ,894.2 33.3 927.5 ,"",2.0 (3.0) (1.0)
Fleet Services ,175.0 1.0 176.0 ,175.0 1.0 176.0,"",""
Information & Technology ,599.0 3.0 602.0 ,616.0 3.0 619.0 ,"",17.0 17.0
311 Toronto ,126.0 20.0 146.0 ,125.0 20.0 145.0 ,"",(1.0) (1.0)
Sub-Total Internal Services ,"2,557.2 93.3 2,650.5 ","2,567.2 83.5 2,650.7 ","",10.0 (5.8) 4.2
City Manager,"","","",""
City Manager's Office ,414.5 14.0 428.5 ,403.0 10.0 413.0 ,"",(11.5) (4.0) (15.5)
Sub-Total City Manager ,414.5 14.0 428.5 ,403.0 10.0 413.0 ,"",(11.5) (4.0) (15.5)
Other City Programs,"","","",""
City Clerk's Office ,396.3 8.1 404.4 ,399.1 4.5 403.6 ,"",2.8 (3.6) (0.9)
Legal Services ,268.5 32.4 300.9 ,273.5 32.4 305.9 ,"",5.0 5.0
Mayor's Office ,1.0 19.0 20.0 ,1.0 19.0 20.0,"",""
City Council ,44.0 132.0 176.0 ,44.0 136.0 180.0 ,"",4.0 4.0
Auditor General's Office ,29.5 29.5 ,31.5 31.5 ,"",2.0 2.0
Office of the Lobbyist Registrar ,8.0 0.3 8.3 ,8.0 0.3 8.3,"",""
Integrity Commissioner's Office ,3.0 3.0 ,3.0 3.0,"",""
Office of the Ombudsman ,12.0 12.0 ,12.0 12.0,"",""
Sub-Total Other City Programs ,762.3 191.8 954.1 ,772.1 192.2 964.2 ,"",9.8 0.4 10.2
TOTAL - CITY OPERATIONS ,"19,120.9 3,303.0 22,423.9 ","19,432.2 3,316.4 22,748.6 ","",311.3 21.4 328.7
Agencies,"","","",""
Toronto Public Health ,"1,818.0 24.0 1,842.0 ","1,822.0 28.0 1,850.0 ","",4.0 4.0 8.0
Toronto Public Library ,"1,739.9 1,739.9 ","1,736.0 1,736.0 ","",(3.9) (3.9)
Association of Community Centres ,77.9 77.9 ,77.9 77.9,"",""
Exhibition Place ,185.0 194.0 379.0 ,185.0 171.0 356.0 ,"",(23.0) (23.0)
Heritage Toronto ,7.0 7.0 ,7.0 7.0,"",""
Theatres ,87.1 76.0 163.1 ,87.1 84.8 171.9 ,"",8.8 8.8
Toronto Zoo ,277.7 124.8 402.5 ,277.7 116.3 394.0 ,"",(8.5) (8.5)
Arena Boards of Management ,44.3 22.2 66.6 ,44.3 23.4 67.7 ,"",1.2 1.2
Yonge-Dundas Square ,6.0 0.5 6.5 ,6.0 0.5 6.5,"",""
Parking Tag Enforcement & Operations ,394.0 394.0 ,394.0 394.0,"",""
Toronto & Region Conservation Authority ,334.0 85.6 419.6 ,334.0 85.6 419.6,"",""
Toronto Atmospheric Fund ,8.0 8.0 ,8.0 8.0,"",""
Toronto Transit Commission - Conventional ,"11,683.0 8.0 11,691.0 ","11,860.0 10.0 11,870.0 ","",177.0 2.0 179.0
Toronto Transit Commission - Wheel Trans ,562.0 562.0 ,565.0 565.0 ,"",3.0 3.0
Toronto Police Service ,"7,883.0 7,883.0 ","7,881.0 7,881.0 ","",(2.0) (2.0)
Toronto Police Services Board ,7.0 7.0 ,7.0 7.0,"",""
Sub-Total Agencies ,"25,113.9 535.2 25,649.0 ","25,292.0 519.6 25,811.6 ","",178.1 (15.5) 162.6
Total Tax Supported Operations ,"44,234.8 3,838.1 48,072.9 ","44,724.1 3,836.0 48,560.2 ","",489.4 5.9 491.2
