_META_START_,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,
Association of Community Centres,Social Economic & Neighbourhood Development,,940A,Sundry and Other Revenues,1500,
Capital & Corporate Financing,Corporate Accounts,,750A,Inter-Divisional Recoveries,2777457,
Capital & Corporate Financing,Corporate Accounts,,805A,Provincial Subsidies,2440580,
Capital & Corporate Financing,Corporate Accounts,,930A,Contribution From Reserves/Reserve Funds,16273000,
Capital & Corporate Financing,Corporate Accounts,,940A,Sundry and Other Revenues,1815045,
Children's Services,Child Care Delivery,,750A,Inter-Divisional Recoveries,10200000,
Children's Services,Child Care Delivery,,805A,Provincial Subsidies,257667349,
Children's Services,Child Care Delivery,,850A,User Fees & Donations,25595668,
Children's Services,Child Care Delivery,,920A,Transfers From Capital,984195,
Children's Services,Child Care Delivery,,930A,Contribution From Reserves/Reserve Funds,2716919,
Children's Services,Child Care System Management,,805A,Provincial Subsidies,76136256,
Children's Services,Child Care System Management,,850A,User Fees & Donations,-26068,Non-normal value
Children's Services,Child Care System Management,,920A,Transfers From Capital,296435,
Children's Services,Child Care System Management,,930A,Contribution From Reserves/Reserve Funds,1400001,
City Clerk's Office,GV-Elect Government,Elections,930A,Contribution From Reserves/Reserve Funds,5580013,
City Clerk's Office,GV-Elect Government,Elections,940A,Sundry and Other Revenues,150,
City Clerk's Office,GV-Make Government Work,Government & Official Services,750A,Inter-Divisional Recoveries,80479,
City Clerk's Office,GV-Make Government Work,Government & Official Services,920A,Transfers From Capital,1099515,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,750A,Inter-Divisional Recoveries,87500,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,850A,User Fees & Donations,351786,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,940A,Sundry and Other Revenues,32556,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,750A,Inter-Divisional Recoveries,8764304,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,850A,User Fees & Donations,187400,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,940A,Sundry and Other Revenues,625302,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,750A,Inter-Divisional Recoveries,484664,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,850A,User Fees & Donations,14900,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,920A,Transfers From Capital,135000,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,940A,Sundry and Other Revenues,147620,
City Council,,,930A,Contribution From Reserves/Reserve Funds,40000,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,750A,Inter-Divisional Recoveries,2500,
City Manager's Office,CM-Internal Auditing,Audit Reporting,750A,Inter-Divisional Recoveries,609900,
City Manager's Office,CM-Internal Auditing,Audit Reporting,940A,Sundry and Other Revenues,35789,
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,940A,Sundry and Other Revenues,6316,
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,930A,Contribution From Reserves/Reserve Funds,-320260,Non-normal value
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,750A,Inter-Divisional Recoveries,65135,
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,930A,Contribution From Reserves/Reserve Funds,376342,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,930A,Contribution From Reserves/Reserve Funds,49500,
City Manager's Office,CM-Strategic Communications,Internal Communications,930A,Contribution From Reserves/Reserve Funds,49500,
City Manager's Office,CM-Strategic Communications,Media Relations,930A,Contribution From Reserves/Reserve Funds,82500,
City Manager's Office,CM-Strategic Communications,Public Communications,750A,Inter-Divisional Recoveries,1143428,
City Manager's Office,CM-Strategic Communications,Public Communications,930A,Contribution From Reserves/Reserve Funds,-181500,Non-normal value
City Manager's Office,HR Employee & Labour Relations,,750A,Inter-Divisional Recoveries,1127496,
City Manager's Office,HR Employee & Labour Relations,,920A,Transfers From Capital,416367,
City Manager's Office,HR Employee & Labour Relations,,940A,Sundry and Other Revenues,159170,
City Manager's Office,HR Employment Services,,750A,Inter-Divisional Recoveries,1577719,
City Manager's Office,HR Employment Services,,920A,Transfers From Capital,416366,
City Manager's Office,HR Organizational & Employee Effectiveness,,750A,Inter-Divisional Recoveries,293177,
City Manager's Office,HR Organizational & Employee Effectiveness,,920A,Transfers From Capital,1249726,
City Manager's Office,HR Safe & Healthy Workplaces,,750A,Inter-Divisional Recoveries,313537,
City Manager's Office,HR Safe & Healthy Workplaces,,920A,Transfers From Capital,416367,
City Planning,City Building & Policy Development,,850A,User Fees & Donations,127640,
City Planning,City Building & Policy Development,,920A,Transfers From Capital,2037893,
City Planning,City Building & Policy Development,,940A,Sundry and Other Revenues,849981,
City Planning,"Development Review, Decision & Implementation",,850A,User Fees & Donations,24827204,
City Planning,"Development Review, Decision & Implementation",,930A,Contribution From Reserves/Reserve Funds,11857,
City Planning,"Development Review, Decision & Implementation",,940A,Sundry and Other Revenues,127731,
Court Services,Court Case Management,,750A,Inter-Divisional Recoveries,5699444,
Court Services,Court Case Management,,850A,User Fees & Donations,203350,
Court Services,Court Case Management,,940A,Sundry and Other Revenues,33486980,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,750A,Inter-Divisional Recoveries,904573,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,850A,User Fees & Donations,12250,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,940A,Sundry and Other Revenues,78800,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,750A,Inter-Divisional Recoveries,137336,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,850A,User Fees & Donations,4900,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,940A,Sundry and Other Revenues,31520,
Court Services,Default Fine Collection Management,,750A,Inter-Divisional Recoveries,686680,
Court Services,Default Fine Collection Management,,850A,User Fees & Donations,24500,
Court Services,Default Fine Collection Management,,940A,Sundry and Other Revenues,157600,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,750A,Inter-Divisional Recoveries,1890293,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,805A,Provincial Subsidies,1049000,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,850A,User Fees & Donations,5000,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,940A,Sundry and Other Revenues,861600,
Economic Development & Culture,EC-Business Services,Filming Activity,860A,Licences & Permits Revenue,547000,
Economic Development & Culture,EC-Cultural Services,Arts Programming,850A,User Fees & Donations,242049,
Economic Development & Culture,EC-Cultural Services,Arts Programming,860A,Licences & Permits Revenue,148640,
Economic Development & Culture,EC-Cultural Services,Arts Programming,930A,Contribution From Reserves/Reserve Funds,200000,
Economic Development & Culture,EC-Cultural Services,Arts Programming,940A,Sundry and Other Revenues,20900,
Economic Development & Culture,EC-Cultural Services,Cultural Development,810A,Federal Subsidies,75000,
Economic Development & Culture,EC-Cultural Services,Cultural Development,850A,User Fees & Donations,193830,
Economic Development & Culture,EC-Cultural Services,Cultural Development,940A,Sundry and Other Revenues,82900,
Economic Development & Culture,EC-Cultural Services,Cultural Grants,930A,Contribution From Reserves/Reserve Funds,3200000,
Economic Development & Culture,EC-Cultural Services,Events Programming,940A,Sundry and Other Revenues,2263031,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,805A,Provincial Subsidies,242700,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,810A,Federal Subsidies,79172,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,820A,Other Subsidies,37000,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,850A,User Fees & Donations,1636736,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,860A,Licences & Permits Revenue,179766,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,920A,Transfers From Capital,657000,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,940A,Sundry and Other Revenues,521250,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,920A,Transfers From Capital,379000,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,940A,Sundry and Other Revenues,11284,
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,810A,Federal Subsidies,32500,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,850A,User Fees & Donations,5000,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,930A,Contribution From Reserves/Reserve Funds,100000,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,940A,Sundry and Other Revenues,84000,
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,805A,Provincial Subsidies,40000,
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,930A,Contribution From Reserves/Reserve Funds,448023,
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,940A,Sundry and Other Revenues,50000,
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,805A,Provincial Subsidies,200000,
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,930A,Contribution From Reserves/Reserve Funds,150000,
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,940A,Sundry and Other Revenues,508597,
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,850A,User Fees & Donations,10000,
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,920A,Transfers From Capital,831812,
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,940A,Sundry and Other Revenues,25126,
Engineering & Construction Services,WT-Engineering Information,Land Information,750A,Inter-Divisional Recoveries,475570,
Engineering & Construction Services,WT-Engineering Information,Land Information,850A,User Fees & Donations,498340,
Engineering & Construction Services,WT-Engineering Information,Land Information,920A,Transfers From Capital,4158332,
Engineering & Construction Services,WT-Engineering Information,Land Information,940A,Sundry and Other Revenues,65126,
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,850A,User Fees & Donations,602152,
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,860A,Licences & Permits Revenue,328215,
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,920A,Transfers From Capital,2565043,
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,940A,Sundry and Other Revenues,410326,
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,850A,User Fees & Donations,2904014,
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,860A,Licences & Permits Revenue,723195,
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,920A,Transfers From Capital,730193,
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,940A,Sundry and Other Revenues,2092725,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,850A,User Fees & Donations,1776358,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,860A,Licences & Permits Revenue,578340,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,920A,Transfers From Capital,23567787,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,940A,Sundry and Other Revenues,486522,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,850A,User Fees & Donations,326243,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,920A,Transfers From Capital,18860883,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,940A,Sundry and Other Revenues,175879,
Exhibition Place,"Conventions, Conferences & Meetings",,850A,User Fees & Donations,2556798,
Exhibition Place,"Conventions, Conferences & Meetings",,930A,Contribution From Reserves/Reserve Funds,2249357,
Exhibition Place,Exhibition Place Asset Management,,850A,User Fees & Donations,1171816,
Exhibition Place,Exhibition Place Asset Management,,930A,Contribution From Reserves/Reserve Funds,418000,
Exhibition Place,Exhibition Place Parking Access,,850A,User Fees & Donations,7293925,
Exhibition Place,Exhibitions & Events,,850A,User Fees & Donations,22931008,
Exhibition Place,Exhibitions & Events,,930A,Contribution From Reserves/Reserve Funds,50000,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,750A,Inter-Divisional Recoveries,8884414,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,850A,User Fees & Donations,239544,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,930A,Contribution From Reserves/Reserve Funds,6087580,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,940A,Sundry and Other Revenues,780398,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,805A,Provincial Subsidies,250000,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,850A,User Fees & Donations,120030,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,930A,Contribution From Reserves/Reserve Funds,402061,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,940A,Sundry and Other Revenues,110000,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,930A,Contribution From Reserves/Reserve Funds,268994,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,940A,Sundry and Other Revenues,1112500,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Research & Policy Development,930A,Contribution From Reserves/Reserve Funds,459642,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,750A,Inter-Divisional Recoveries,12424921,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,810A,Federal Subsidies,160256,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,850A,User Fees & Donations,446490,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,940A,Sundry and Other Revenues,303712,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,750A,Inter-Divisional Recoveries,18483158,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,810A,Federal Subsidies,45703,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,850A,User Fees & Donations,605419,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,920A,Transfers From Capital,9495624,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,940A,Sundry and Other Revenues,1774667,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,750A,Inter-Divisional Recoveries,6087993,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,850A,User Fees & Donations,0,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,920A,Transfers From Capital,800000,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,940A,Sundry and Other Revenues,293031,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,750A,Inter-Divisional Recoveries,5691262,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,850A,User Fees & Donations,42392564,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,920A,Transfers From Capital,73800,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,930A,Contribution From Reserves/Reserve Funds,4553328,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,940A,Sundry and Other Revenues,2762241,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Acquisition,940A,Sundry and Other Revenues,928227,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,850A,User Fees & Donations,0,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,930A,Contribution From Reserves/Reserve Funds,50000,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,940A,Sundry and Other Revenues,610508,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,750A,Inter-Divisional Recoveries,224094,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,930A,Contribution From Reserves/Reserve Funds,545000,
Fire Services,Fire Rescue & Emergency Response,,750A,Inter-Divisional Recoveries,150332,
Fire Services,Fire Rescue & Emergency Response,,850A,User Fees & Donations,14040378,
Fire Services,Fire Rescue & Emergency Response,,920A,Transfers From Capital,144856,
Fire Services,Fire Rescue & Emergency Response,,940A,Sundry and Other Revenues,102739,
Fire Services,FR-Disaster Response & Event Support,"Chemical, Biological, Radiological, Nuclear & Exposive Resp.",805A,Provincial Subsidies,100000,
Fire Services,FR-Disaster Response & Event Support,Event Support,930A,Contribution From Reserves/Reserve Funds,-4,Non-normal value
Fire Services,FR-Disaster Response & Event Support,Heavy Urban Search & Rescue,805A,Provincial Subsidies,300000,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Development Review,850A,User Fees & Donations,14086,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,750A,Inter-Divisional Recoveries,6217,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,850A,User Fees & Donations,459449,
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,750A,Inter-Divisional Recoveries,1554,
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,850A,User Fees & Donations,1003,
Fire Services,FR-Fire Safety Education,School Based Fire Education,930A,Contribution From Reserves/Reserve Funds,4,
Fire Services,FR-Fire Safety Education,School Based Fire Education,940A,Sundry and Other Revenues,8061,
Fleet Services,FL-Fleet Management,Fleet Acquisition,750A,Inter-Divisional Recoveries,168051,
Fleet Services,FL-Fleet Management,Fleet Acquisition,920A,Transfers From Capital,80000,
Fleet Services,FL-Fleet Management,Fleet Acquisition,930A,Contribution From Reserves/Reserve Funds,164415,
Fleet Services,FL-Fleet Management,Fleet Acquisition,940A,Sundry and Other Revenues,856663,
Fleet Services,FL-Fleet Management,Fleet Disposal,940A,Sundry and Other Revenues,275800,
Fleet Services,FL-Fleet Management,Fleet Maintenance,750A,Inter-Divisional Recoveries,32670596,
Fleet Services,FL-Fleet Management,Fleet Maintenance,920A,Transfers From Capital,690280,
Fleet Services,FL-Fleet Management,Fleet Maintenance,930A,Contribution From Reserves/Reserve Funds,-38415,Non-normal value
Fleet Services,FL-Fleet Management,Fleet Maintenance,940A,Sundry and Other Revenues,-1272068,Non-normal value
Fleet Services,FL-Fleet Management,Vehicle Safety,940A,Sundry and Other Revenues,1592054,
Fleet Services,FL-Fuel Management,Fuel Acquisition,750A,Inter-Divisional Recoveries,12435504,
Fleet Services,FL-Fuel Management,Fuel Acquisition,940A,Sundry and Other Revenues,1069025,
Fleet Services,FL-Fuel Management,Fuel Distribution,750A,Inter-Divisional Recoveries,2387301,
Fleet Services,FL-Fuel Management,Fuel Distribution,930A,Contribution From Reserves/Reserve Funds,14000,
Fleet Services,FL-Fuel Management,Fuel Distribution,940A,Sundry and Other Revenues,358936,
Heritage Toronto,Heritage Fundraising & Partnership Development,,850A,User Fees & Donations,151000,
Heritage Toronto,Heritage Fundraising & Partnership Development,,940A,Sundry and Other Revenues,40000,
Heritage Toronto,Heritage Promotion & Education,,810A,Federal Subsidies,38000,
Heritage Toronto,Heritage Promotion & Education,,850A,User Fees & Donations,69000,
Heritage Toronto,Heritage Promotion & Education,,940A,Sundry and Other Revenues,161500,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,750A,Inter-Divisional Recoveries,929408,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,850A,User Fees & Donations,188126,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,920A,Transfers From Capital,150078,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,930A,Contribution From Reserves/Reserve Funds,40714,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,940A,Sundry and Other Revenues,122013,
Information & Technology,IT-Business IT Solutions,IT Common Components,750A,Inter-Divisional Recoveries,368387,
Information & Technology,IT-Business IT Solutions,IT Common Components,920A,Transfers From Capital,236239,
Information & Technology,IT-Business IT Solutions,IT Common Components,930A,Contribution From Reserves/Reserve Funds,40714,
Information & Technology,IT-Business IT Solutions,IT Common Components,940A,Sundry and Other Revenues,73208,
Information & Technology,IT-Business IT Solutions,Solution Implementation,750A,Inter-Divisional Recoveries,1752162,
Information & Technology,IT-Business IT Solutions,Solution Implementation,920A,Transfers From Capital,26805915,
Information & Technology,IT-Business IT Solutions,Solution Implementation,930A,Contribution From Reserves/Reserve Funds,40714,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,750A,Inter-Divisional Recoveries,1799620,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,920A,Transfers From Capital,360119,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,930A,Contribution From Reserves/Reserve Funds,40714,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,750A,Inter-Divisional Recoveries,3006688,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,850A,User Fees & Donations,208800,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,920A,Transfers From Capital,871976,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,930A,Contribution From Reserves/Reserve Funds,3185858,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,940A,Sundry and Other Revenues,90809,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,750A,Inter-Divisional Recoveries,4999814,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,920A,Transfers From Capital,259914,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,930A,Contribution From Reserves/Reserve Funds,16413,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,940A,Sundry and Other Revenues,5591,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",750A,Inter-Divisional Recoveries,509866,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",920A,Transfers From Capital,1559405,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",930A,Contribution From Reserves/Reserve Funds,30000,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",940A,Sundry and Other Revenues,24402,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,750A,Inter-Divisional Recoveries,1151365,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,920A,Transfers From Capital,629581,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,930A,Contribution From Reserves/Reserve Funds,310714,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,940A,Sundry and Other Revenues,410326,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,750A,Inter-Divisional Recoveries,11008,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,920A,Transfers From Capital,1353369,
Legal Services,Civil Litigation,,750A,Inter-Divisional Recoveries,5391940,
Legal Services,Civil Litigation,,930A,Contribution From Reserves/Reserve Funds,700000,
Legal Services,Prosecution,,750A,Inter-Divisional Recoveries,13842691,
Legal Services,Solicitor,,750A,Inter-Divisional Recoveries,3035945,
Legal Services,Solicitor,,850A,User Fees & Donations,2529571,
Legal Services,Solicitor,,920A,Transfers From Capital,1322621,
Legal Services,Solicitor,,930A,Contribution From Reserves/Reserve Funds,201246,
Legal Services,Solicitor,,940A,Sundry and Other Revenues,3408314,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,805A,Provincial Subsidies,1374900,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,850A,User Fees & Donations,213000,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,805A,Provincial Subsidies,4076300,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,805A,Provincial Subsidies,5287900,
Long Term Care Homes & Services,Long Term Care Homes,,750A,Inter-Divisional Recoveries,89700,
Long Term Care Homes & Services,Long Term Care Homes,,805A,Provincial Subsidies,142944723,
Long Term Care Homes & Services,Long Term Care Homes,,850A,User Fees & Donations,50987800,
Long Term Care Homes & Services,Long Term Care Homes,,920A,Transfers From Capital,260000,
Long Term Care Homes & Services,Long Term Care Homes,,930A,Contribution From Reserves/Reserve Funds,103400,
Long Term Care Homes & Services,Long Term Care Homes,,940A,Sundry and Other Revenues,139000,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,850A,User Fees & Donations,62277,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,860A,Licences & Permits Revenue,732754,
