_META_START_,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,
Affordable Housing Office,Housing Policy & Partnerships,,510A,Contribution To Reserves/Reserve Funds,1881,
Affordable Housing Office,Housing Policy & Partnerships,,700A,Inter-Divisional Charges,162884,
Affordable Housing Office,New Affordable Housing Development,,100A,Salaries And Benefits,844968,
Affordable Housing Office,New Affordable Housing Development,,200A,Materials & Supplies,3853,
Affordable Housing Office,New Affordable Housing Development,,300A,Equipment,834,
Affordable Housing Office,New Affordable Housing Development,,400A,Service And Rent,54091,
Affordable Housing Office,New Affordable Housing Development,,510A,Contribution To Reserves/Reserve Funds,1886,
Affordable Housing Office,New Affordable Housing Development,,700A,Inter-Divisional Charges,162884,
Arena Boards of Management,Community Ice & Facility Booking,,100A,Salaries And Benefits,4478873,
Arena Boards of Management,Community Ice & Facility Booking,,200A,Materials & Supplies,2224298,
Arena Boards of Management,Community Ice & Facility Booking,,300A,Equipment,44733,
Arena Boards of Management,Community Ice & Facility Booking,,400A,Service And Rent,1079405,
Arena Boards of Management,Community Ice & Facility Booking,,505A,Contribution To Capital,546370,
Arena Boards of Management,Community Ice & Facility Booking,,510A,Contribution To Reserves/Reserve Funds,270175,
Association of Community Centres,Social Economic & Neighbourhood Development,,100A,Salaries And Benefits,6787008,
Association of Community Centres,Social Economic & Neighbourhood Development,,200A,Materials & Supplies,464950,
Association of Community Centres,Social Economic & Neighbourhood Development,,300A,Equipment,3406,
Association of Community Centres,Social Economic & Neighbourhood Development,,400A,Service And Rent,628436,
Association of Community Centres,Social Economic & Neighbourhood Development,,510A,Contribution To Reserves/Reserve Funds,29231,
Association of Community Centres,Social Economic & Neighbourhood Development,,650A,Other Expenditures,7000,
Auditor General's Office,,,100A,Salaries And Benefits,4572464,
Auditor General's Office,,,200A,Materials & Supplies,16189,
Auditor General's Office,,,300A,Equipment,47126,
Auditor General's Office,,,400A,Service And Rent,96833,
Auditor General's Office,,,510A,Contribution To Reserves/Reserve Funds,7681,
Auditor General's Office,,,700A,Inter-Divisional Charges,22272,
Capital & Corporate Financing,Corporate Accounts,,505A,Contribution To Capital,216379465,
Capital & Corporate Financing,Corporate Accounts,,510A,Contribution To Reserves/Reserve Funds,18911638,
Capital & Corporate Financing,Corporate Accounts,,650A,Other Expenditures,486164265,
Capital & Corporate Financing,Corporate Accounts,,700A,Inter-Divisional Charges,978187,
Children's Services,Child Care Delivery,,100A,Salaries And Benefits,78439654,
Children's Services,Child Care Delivery,,200A,Materials & Supplies,2596160,
Children's Services,Child Care Delivery,,300A,Equipment,686870,
Children's Services,Child Care Delivery,,400A,Service And Rent,275537224,
Children's Services,Child Care Delivery,,510A,Contribution To Reserves/Reserve Funds,952319,
Children's Services,Child Care Delivery,,650A,Other Expenditures,733870,
Children's Services,Child Care Delivery,,700A,Inter-Divisional Charges,4626704,
Children's Services,Child Care System Management,,100A,Salaries And Benefits,5884060,
Children's Services,Child Care System Management,,200A,Materials & Supplies,42949,
Children's Services,Child Care System Management,,300A,Equipment,54642,
Children's Services,Child Care System Management,,400A,Service And Rent,80919808,
Children's Services,Child Care System Management,,510A,Contribution To Reserves/Reserve Funds,328430,
Children's Services,Child Care System Management,,650A,Other Expenditures,-7270,Non-normal value
Children's Services,Child Care System Management,,700A,Inter-Divisional Charges,169688,
City Clerk's Office,GV-Elect Government,Elections,100A,Salaries And Benefits,4288942,
City Clerk's Office,GV-Elect Government,Elections,200A,Materials & Supplies,22004,
City Clerk's Office,GV-Elect Government,Elections,300A,Equipment,7000,
City Clerk's Office,GV-Elect Government,Elections,400A,Service And Rent,953001,
City Clerk's Office,GV-Elect Government,Elections,650A,Other Expenditures,254,
City Clerk's Office,GV-Elect Government,Elections,700A,Inter-Divisional Charges,308962,
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,100A,Salaries And Benefits,1987131,
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,200A,Materials & Supplies,17707,
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,300A,Equipment,1250,
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,400A,Service And Rent,31884,
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,650A,Other Expenditures,31017,
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,700A,Inter-Divisional Charges,8500,
City Clerk's Office,GV-Make Government Work,Government & Official Services,100A,Salaries And Benefits,8821775,
City Clerk's Office,GV-Make Government Work,Government & Official Services,200A,Materials & Supplies,66883,
City Clerk's Office,GV-Make Government Work,Government & Official Services,300A,Equipment,37292,
City Clerk's Office,GV-Make Government Work,Government & Official Services,400A,Service And Rent,166592,
City Clerk's Office,GV-Make Government Work,Government & Official Services,510A,Contribution To Reserves/Reserve Funds,187709,
City Clerk's Office,GV-Make Government Work,Government & Official Services,700A,Inter-Divisional Charges,54711,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,100A,Salaries And Benefits,7086927,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,200A,Materials & Supplies,23184,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,300A,Equipment,3444,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,400A,Service And Rent,608954,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,700A,Inter-Divisional Charges,632349,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,100A,Salaries And Benefits,6510987,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,200A,Materials & Supplies,875832,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,300A,Equipment,21841,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,400A,Service And Rent,5527119,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,510A,Contribution To Reserves/Reserve Funds,221224,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,700A,Inter-Divisional Charges,106023,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,100A,Salaries And Benefits,10536839,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,200A,Materials & Supplies,67975,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,300A,Equipment,15908,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,400A,Service And Rent,410252,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,510A,Contribution To Reserves/Reserve Funds,55700,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,650A,Other Expenditures,1500,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,700A,Inter-Divisional Charges,14404,
City Council,,,100A,Salaries And Benefits,18622473,
City Council,,,200A,Materials & Supplies,1281482,
City Council,,,300A,Equipment,102000,
City Council,,,400A,Service And Rent,595500,
City Council,,,510A,Contribution To Reserves/Reserve Funds,99217,
City Council,,,700A,Inter-Divisional Charges,253279,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,100A,Salaries And Benefits,602839,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,200A,Materials & Supplies,1692,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,300A,Equipment,1633,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,400A,Service And Rent,5657,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,700A,Inter-Divisional Charges,6910,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,100A,Salaries And Benefits,419067,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,200A,Materials & Supplies,1262,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,300A,Equipment,95,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,400A,Service And Rent,1948,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,100A,Salaries And Benefits,774670,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,200A,Materials & Supplies,1723,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,300A,Equipment,2091,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,400A,Service And Rent,6715,
City Manager's Office,CM-Executive Management,Accountability Processes,100A,Salaries And Benefits,97943,
City Manager's Office,CM-Executive Management,Accountability Processes,200A,Materials & Supplies,819,
City Manager's Office,CM-Executive Management,Accountability Processes,400A,Service And Rent,1266,
City Manager's Office,CM-Executive Management,City Manager,100A,Salaries And Benefits,632583,
City Manager's Office,CM-Executive Management,City Manager,200A,Materials & Supplies,4346,
City Manager's Office,CM-Executive Management,City Manager,300A,Equipment,9700,
City Manager's Office,CM-Executive Management,City Manager,400A,Service And Rent,23985,
City Manager's Office,CM-Executive Management,City Manager,510A,Contribution To Reserves/Reserve Funds,19973,
City Manager's Office,CM-Executive Management,City Manager,700A,Inter-Divisional Charges,12800,
City Manager's Office,CM-Executive Management,Corporate Issues & Agenda Management,100A,Salaries And Benefits,489165,
City Manager's Office,CM-Executive Management,Corporate Issues & Agenda Management,200A,Materials & Supplies,1487,
City Manager's Office,CM-Executive Management,Corporate Issues & Agenda Management,400A,Service And Rent,15776,
City Manager's Office,CM-Executive Management,Financial Management & Program Support,100A,Salaries And Benefits,674574,
City Manager's Office,CM-Executive Management,Financial Management & Program Support,200A,Materials & Supplies,2346,
City Manager's Office,CM-Executive Management,Financial Management & Program Support,400A,Service And Rent,6421,
City Manager's Office,CM-Executive Management,Performance Management & Benchmarking,100A,Salaries And Benefits,954565,
City Manager's Office,CM-Executive Management,Performance Management & Benchmarking,200A,Materials & Supplies,1190,
City Manager's Office,CM-Executive Management,Performance Management & Benchmarking,400A,Service And Rent,12626,
City Manager's Office,CM-Internal Auditing,Audit Reporting,100A,Salaries And Benefits,938844,
City Manager's Office,CM-Internal Auditing,Audit Reporting,200A,Materials & Supplies,436,
City Manager's Office,CM-Internal Auditing,Audit Reporting,300A,Equipment,25493,
City Manager's Office,CM-Internal Auditing,Audit Reporting,400A,Service And Rent,16892,
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,100A,Salaries And Benefits,192636,
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,200A,Materials & Supplies,164,
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,400A,Service And Rent,3221,
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,100A,Salaries And Benefits,1131659,
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,200A,Materials & Supplies,1128,
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,400A,Service And Rent,68594,
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,100A,Salaries And Benefits,1505704,
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,200A,Materials & Supplies,1128,
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,400A,Service And Rent,12512,
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,100A,Salaries And Benefits,866595,
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,200A,Materials & Supplies,369,
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,400A,Service And Rent,10899,
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,700A,Inter-Divisional Charges,7500,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,100A,Salaries And Benefits,776549,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,200A,Materials & Supplies,1800,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,300A,Equipment,705,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,400A,Service And Rent,45558,
City Manager's Office,CM-Strategic Communications,Internal Communications,100A,Salaries And Benefits,791652,
City Manager's Office,CM-Strategic Communications,Internal Communications,200A,Materials & Supplies,1800,
City Manager's Office,CM-Strategic Communications,Internal Communications,300A,Equipment,705,
City Manager's Office,CM-Strategic Communications,Internal Communications,400A,Service And Rent,40674,
City Manager's Office,CM-Strategic Communications,Internal Communications,700A,Inter-Divisional Charges,5000,
City Manager's Office,CM-Strategic Communications,Media Relations,100A,Salaries And Benefits,1132400,
City Manager's Office,CM-Strategic Communications,Media Relations,200A,Materials & Supplies,3000,
City Manager's Office,CM-Strategic Communications,Media Relations,300A,Equipment,1175,
City Manager's Office,CM-Strategic Communications,Media Relations,400A,Service And Rent,75930,
City Manager's Office,CM-Strategic Communications,Public Communications,100A,Salaries And Benefits,3031525,
City Manager's Office,CM-Strategic Communications,Public Communications,200A,Materials & Supplies,2347,
City Manager's Office,CM-Strategic Communications,Public Communications,300A,Equipment,4115,
City Manager's Office,CM-Strategic Communications,Public Communications,400A,Service And Rent,34726,
City Manager's Office,CM-Strategic Communications,Public Communications,700A,Inter-Divisional Charges,25950,
City Manager's Office,HR Employee & Labour Relations,,100A,Salaries And Benefits,6676617,
City Manager's Office,HR Employee & Labour Relations,,200A,Materials & Supplies,26582,
City Manager's Office,HR Employee & Labour Relations,,300A,Equipment,-5278,Non-normal value
City Manager's Office,HR Employee & Labour Relations,,400A,Service And Rent,1639813,
City Manager's Office,HR Employee & Labour Relations,,510A,Contribution To Reserves/Reserve Funds,37783,
City Manager's Office,HR Employee & Labour Relations,,700A,Inter-Divisional Charges,83213,
City Manager's Office,HR Employment Services,,100A,Salaries And Benefits,10762391,
City Manager's Office,HR Employment Services,,200A,Materials & Supplies,38948,
City Manager's Office,HR Employment Services,,300A,Equipment,29865,
City Manager's Office,HR Employment Services,,400A,Service And Rent,383723,
City Manager's Office,HR Employment Services,,510A,Contribution To Reserves/Reserve Funds,16664,
City Manager's Office,HR Employment Services,,700A,Inter-Divisional Charges,30531,
City Manager's Office,HR Organizational & Employee Effectiveness,,100A,Salaries And Benefits,7042158,
City Manager's Office,HR Organizational & Employee Effectiveness,,200A,Materials & Supplies,37233,
City Manager's Office,HR Organizational & Employee Effectiveness,,300A,Equipment,14670,
City Manager's Office,HR Organizational & Employee Effectiveness,,400A,Service And Rent,1362169,
City Manager's Office,HR Organizational & Employee Effectiveness,,700A,Inter-Divisional Charges,48109,
City Manager's Office,HR Safe & Healthy Workplaces,,100A,Salaries And Benefits,10182106,
City Manager's Office,HR Safe & Healthy Workplaces,,200A,Materials & Supplies,56739,
City Manager's Office,HR Safe & Healthy Workplaces,,300A,Equipment,16809,
City Manager's Office,HR Safe & Healthy Workplaces,,400A,Service And Rent,677871,
City Manager's Office,HR Safe & Healthy Workplaces,,510A,Contribution To Reserves/Reserve Funds,16664,
City Manager's Office,HR Safe & Healthy Workplaces,,700A,Inter-Divisional Charges,37742,
City Planning,City Building & Policy Development,,100A,Salaries And Benefits,17974676,
City Planning,City Building & Policy Development,,200A,Materials & Supplies,68911,
City Planning,City Building & Policy Development,,300A,Equipment,85998,
City Planning,City Building & Policy Development,,400A,Service And Rent,848829,
City Planning,City Building & Policy Development,,510A,Contribution To Reserves/Reserve Funds,63138,
City Planning,City Building & Policy Development,,650A,Other Expenditures,317000,
City Planning,City Building & Policy Development,,700A,Inter-Divisional Charges,266404,
City Planning,"Development Review, Decision & Implementation",,100A,Salaries And Benefits,22071273,
City Planning,"Development Review, Decision & Implementation",,200A,Materials & Supplies,102818,
City Planning,"Development Review, Decision & Implementation",,300A,Equipment,77546,
City Planning,"Development Review, Decision & Implementation",,400A,Service And Rent,704137,
City Planning,"Development Review, Decision & Implementation",,510A,Contribution To Reserves/Reserve Funds,18086,
City Planning,"Development Review, Decision & Implementation",,650A,Other Expenditures,103700,
City Planning,"Development Review, Decision & Implementation",,700A,Inter-Divisional Charges,607251,
Court Services,Court Case Management,,100A,Salaries And Benefits,11807123,
Court Services,Court Case Management,,200A,Materials & Supplies,84484,
Court Services,Court Case Management,,300A,Equipment,22315,
Court Services,Court Case Management,,400A,Service And Rent,8253995,
Court Services,Court Case Management,,510A,Contribution To Reserves/Reserve Funds,70032,
Court Services,Court Case Management,,650A,Other Expenditures,377601,
Court Services,Court Case Management,,700A,Inter-Divisional Charges,15738928,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,100A,Salaries And Benefits,5487444,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,200A,Materials & Supplies,37777,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,300A,Equipment,35589,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,400A,Service And Rent,742284,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,510A,Contribution To Reserves/Reserve Funds,4219,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,650A,Other Expenditures,15338,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,700A,Inter-Divisional Charges,991531,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,100A,Salaries And Benefits,341784,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,200A,Materials & Supplies,2307,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,300A,Equipment,517,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,400A,Service And Rent,159306,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,510A,Contribution To Reserves/Reserve Funds,1688,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,650A,Other Expenditures,6135,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,700A,Inter-Divisional Charges,379251,
Court Services,Default Fine Collection Management,,100A,Salaries And Benefits,1408476,
Court Services,Default Fine Collection Management,,200A,Materials & Supplies,2731,
Court Services,Default Fine Collection Management,,300A,Equipment,1830,
Court Services,Default Fine Collection Management,,400A,Service And Rent,787282,
Court Services,Default Fine Collection Management,,510A,Contribution To Reserves/Reserve Funds,8438,
Court Services,Default Fine Collection Management,,650A,Other Expenditures,1414476,
Court Services,Default Fine Collection Management,,700A,Inter-Divisional Charges,1896256,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,100A,Salaries And Benefits,1795301,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,200A,Materials & Supplies,11951,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,300A,Equipment,5550,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,400A,Service And Rent,63250,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,510A,Contribution To Reserves/Reserve Funds,4856,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,650A,Other Expenditures,125796,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,700A,Inter-Divisional Charges,16200,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,100A,Salaries And Benefits,1565805,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,200A,Materials & Supplies,37774,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,300A,Equipment,4196,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,400A,Service And Rent,720853,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,650A,Other Expenditures,1735820,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,700A,Inter-Divisional Charges,31574,
Economic Development & Culture,EC-Business Services,Filming Activity,100A,Salaries And Benefits,970674,
Economic Development & Culture,EC-Business Services,Filming Activity,200A,Materials & Supplies,30585,
Economic Development & Culture,EC-Business Services,Filming Activity,300A,Equipment,7000,
Economic Development & Culture,EC-Business Services,Filming Activity,400A,Service And Rent,188208,
Economic Development & Culture,EC-Business Services,Filming Activity,650A,Other Expenditures,46089,
Economic Development & Culture,EC-Business Services,Filming Activity,700A,Inter-Divisional Charges,400,
Economic Development & Culture,EC-Cultural Services,Arts Programming,100A,Salaries And Benefits,2082111,
Economic Development & Culture,EC-Cultural Services,Arts Programming,200A,Materials & Supplies,101155,
Economic Development & Culture,EC-Cultural Services,Arts Programming,300A,Equipment,11647,
Economic Development & Culture,EC-Cultural Services,Arts Programming,400A,Service And Rent,206641,
Economic Development & Culture,EC-Cultural Services,Arts Programming,650A,Other Expenditures,365000,
Economic Development & Culture,EC-Cultural Services,Arts Programming,700A,Inter-Divisional Charges,8263,
Economic Development & Culture,EC-Cultural Services,Cultural Development,100A,Salaries And Benefits,1142261,
Economic Development & Culture,EC-Cultural Services,Cultural Development,200A,Materials & Supplies,174994,
Economic Development & Culture,EC-Cultural Services,Cultural Development,300A,Equipment,6158,
Economic Development & Culture,EC-Cultural Services,Cultural Development,400A,Service And Rent,877816,
Economic Development & Culture,EC-Cultural Services,Cultural Development,650A,Other Expenditures,274248,
Economic Development & Culture,EC-Cultural Services,Cultural Development,700A,Inter-Divisional Charges,2297,
Economic Development & Culture,EC-Cultural Services,Cultural Grants,100A,Salaries And Benefits,10862,
Economic Development & Culture,EC-Cultural Services,Cultural Grants,650A,Other Expenditures,27819200,
Economic Development & Culture,EC-Cultural Services,Events Programming,100A,Salaries And Benefits,3681730,
Economic Development & Culture,EC-Cultural Services,Events Programming,200A,Materials & Supplies,49496,
Economic Development & Culture,EC-Cultural Services,Events Programming,300A,Equipment,3997,
Economic Development & Culture,EC-Cultural Services,Events Programming,400A,Service And Rent,3154763,
Economic Development & Culture,EC-Cultural Services,Events Programming,510A,Contribution To Reserves/Reserve Funds,80505,
Economic Development & Culture,EC-Cultural Services,Events Programming,650A,Other Expenditures,1031,
Economic Development & Culture,EC-Cultural Services,Events Programming,700A,Inter-Divisional Charges,168664,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,100A,Salaries And Benefits,10554746,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,200A,Materials & Supplies,687592,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,300A,Equipment,79408,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,400A,Service And Rent,1421279,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,510A,Contribution To Reserves/Reserve Funds,878651,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,650A,Other Expenditures,76403,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,700A,Inter-Divisional Charges,176386,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,100A,Salaries And Benefits,1487070,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,200A,Materials & Supplies,8588,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,300A,Equipment,7500,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,400A,Service And Rent,79873,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,650A,Other Expenditures,6052,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,700A,Inter-Divisional Charges,12190,
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,100A,Salaries And Benefits,1553779,
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,200A,Materials & Supplies,36660,
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,400A,Service And Rent,61447,
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,650A,Other Expenditures,45000,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,100A,Salaries And Benefits,1918758,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,200A,Materials & Supplies,82518,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,300A,Equipment,2150,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,400A,Service And Rent,450545,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,650A,Other Expenditures,175799,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,700A,Inter-Divisional Charges,38124,
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,100A,Salaries And Benefits,703408,
