Program,Service,Activity,Category,Category Name,Expense/Revenue,Sum - 2016
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,100A,Salaries And Benefits,Expenses,"7,086,927"
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,200A,Materials & Supplies,Expenses,"23,184"
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,300A,Equipment,Expenses,"3,444"
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,400A,Service And Rent,Expenses,"608,954"
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,700A,Inter-Divisional Charges,Expenses,"632,349"
City Clerk's Office,GV-Open Government,Corporate Information Production Services,100A,Salaries And Benefits,Expenses,"6,510,987"
City Clerk's Office,GV-Open Government,Corporate Information Production Services,200A,Materials & Supplies,Expenses,"875,832"
City Clerk's Office,GV-Open Government,Corporate Information Production Services,300A,Equipment,Expenses,"21,841"
City Clerk's Office,GV-Open Government,Corporate Information Production Services,400A,Service And Rent,Expenses,"5,527,119"
City Clerk's Office,GV-Open Government,Corporate Information Production Services,510A,Contribution To Reserves/Reserve Funds,Expenses,"221,224"
City Clerk's Office,GV-Open Government,Corporate Information Production Services,700A,Inter-Divisional Charges,Expenses,"106,023"
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,100A,Salaries And Benefits,Expenses,"10,536,839"
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,200A,Materials & Supplies,Expenses,"67,975"
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,300A,Equipment,Expenses,"15,908"
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,400A,Service And Rent,Expenses,"410,252"
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,510A,Contribution To Reserves/Reserve Funds,Expenses,"55,700"
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,650A,Other Expenditures,Expenses,"1,500"
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,700A,Inter-Divisional Charges,Expenses,"14,404"
City Council,City Council,City Council,100A,Salaries And Benefits,Expenses,"18,622,473"
City Council,City Council,City Council,200A,Materials & Supplies,Expenses,"1,281,482"
City Council,City Council,City Council,300A,Equipment,Expenses,"102,000"
City Council,City Council,City Council,400A,Service And Rent,Expenses,"595,500"
City Council,City Council,City Council,510A,Contribution To Reserves/Reserve Funds,Expenses,"99,217"
City Council,City Council,City Council,700A,Inter-Divisional Charges,Expenses,"253,279"
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,100A,Salaries And Benefits,Expenses,"602,839"
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,200A,Materials & Supplies,Expenses,"1,692"
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,300A,Equipment,Expenses,"1,633"
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,400A,Service And Rent,Expenses,"5,657"
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,700A,Inter-Divisional Charges,Expenses,"6,910"
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,100A,Salaries And Benefits,Expenses,"419,067"
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,200A,Materials & Supplies,Expenses,"1,262"
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,300A,Equipment,Expenses,95
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,400A,Service And Rent,Expenses,"1,948"
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,100A,Salaries And Benefits,Expenses,"774,670"
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,200A,Materials & Supplies,Expenses,"1,723"
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,300A,Equipment,Expenses,"2,091"
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,400A,Service And Rent,Expenses,"6,715"
City Manager's Office,CM-Executive Management,Accountability Processes,100A,Salaries And Benefits,Expenses,"97,943"
City Manager's Office,CM-Executive Management,Accountability Processes,200A,Materials & Supplies,Expenses,819
City Manager's Office,CM-Executive Management,Accountability Processes,400A,Service And Rent,Expenses,"1,266"
City Manager's Office,CM-Executive Management,City Manager,100A,Salaries And Benefits,Expenses,"632,583"
City Manager's Office,CM-Executive Management,City Manager,200A,Materials & Supplies,Expenses,"4,346"
City Manager's Office,CM-Executive Management,City Manager,300A,Equipment,Expenses,"9,700"
City Manager's Office,CM-Executive Management,City Manager,400A,Service And Rent,Expenses,"23,985"
City Manager's Office,CM-Executive Management,City Manager,510A,Contribution To Reserves/Reserve Funds,Expenses,"19,973"
City Manager's Office,CM-Executive Management,City Manager,700A,Inter-Divisional Charges,Expenses,"12,800"
City Manager's Office,CM-Executive Management,Corporate Issues & Agenda Management,100A,Salaries And Benefits,Expenses,"489,165"
City Manager's Office,CM-Executive Management,Corporate Issues & Agenda Management,200A,Materials & Supplies,Expenses,"1,487"
City Manager's Office,CM-Executive Management,Corporate Issues & Agenda Management,400A,Service And Rent,Expenses,"15,776"
City Manager's Office,CM-Executive Management,Financial Management & Program Support,100A,Salaries And Benefits,Expenses,"674,574"
City Manager's Office,CM-Executive Management,Financial Management & Program Support,200A,Materials & Supplies,Expenses,"2,346"
City Manager's Office,CM-Executive Management,Financial Management & Program Support,400A,Service And Rent,Expenses,"6,421"
City Manager's Office,CM-Executive Management,Performance Management & Benchmarking,100A,Salaries And Benefits,Expenses,"954,565"
City Manager's Office,CM-Executive Management,Performance Management & Benchmarking,200A,Materials & Supplies,Expenses,"1,190"
City Manager's Office,CM-Executive Management,Performance Management & Benchmarking,400A,Service And Rent,Expenses,"12,626"
City Manager's Office,CM-Internal Auditing,Audit Reporting,100A,Salaries And Benefits,Expenses,"938,844"
City Manager's Office,CM-Internal Auditing,Audit Reporting,200A,Materials & Supplies,Expenses,436
City Manager's Office,CM-Internal Auditing,Audit Reporting,300A,Equipment,Expenses,"25,493"
City Manager's Office,CM-Internal Auditing,Audit Reporting,400A,Service And Rent,Expenses,"16,892"
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,100A,Salaries And Benefits,Expenses,"192,636"
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,200A,Materials & Supplies,Expenses,164
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,400A,Service And Rent,Expenses,"3,221"
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,100A,Salaries And Benefits,Expenses,"1,131,659"
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,200A,Materials & Supplies,Expenses,"1,128"
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,400A,Service And Rent,Expenses,"68,594"
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,100A,Salaries And Benefits,Expenses,"1,505,704"
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,200A,Materials & Supplies,Expenses,"1,128"
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,400A,Service And Rent,Expenses,"12,512"
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,100A,Salaries And Benefits,Expenses,"866,595"
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,200A,Materials & Supplies,Expenses,369
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,400A,Service And Rent,Expenses,"10,899"
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,700A,Inter-Divisional Charges,Expenses,"7,500"
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,100A,Salaries And Benefits,Expenses,"776,549"
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,200A,Materials & Supplies,Expenses,"1,800"
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,300A,Equipment,Expenses,705
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,400A,Service And Rent,Expenses,"45,558"
City Manager's Office,CM-Strategic Communications,Internal Communications,100A,Salaries And Benefits,Expenses,"791,652"
City Manager's Office,CM-Strategic Communications,Internal Communications,200A,Materials & Supplies,Expenses,"1,800"
City Manager's Office,CM-Strategic Communications,Internal Communications,300A,Equipment,Expenses,705
City Manager's Office,CM-Strategic Communications,Internal Communications,400A,Service And Rent,Expenses,"40,674"
City Manager's Office,CM-Strategic Communications,Internal Communications,700A,Inter-Divisional Charges,Expenses,"5,000"
City Manager's Office,CM-Strategic Communications,Media Relations,100A,Salaries And Benefits,Expenses,"1,132,400"
City Manager's Office,CM-Strategic Communications,Media Relations,200A,Materials & Supplies,Expenses,"3,000"
City Manager's Office,CM-Strategic Communications,Media Relations,300A,Equipment,Expenses,"1,175"
City Manager's Office,CM-Strategic Communications,Media Relations,400A,Service And Rent,Expenses,"75,930"
City Manager's Office,CM-Strategic Communications,Public Communications,100A,Salaries And Benefits,Expenses,"3,031,525"
City Manager's Office,CM-Strategic Communications,Public Communications,200A,Materials & Supplies,Expenses,"2,347"
City Manager's Office,CM-Strategic Communications,Public Communications,300A,Equipment,Expenses,"4,115"
City Manager's Office,CM-Strategic Communications,Public Communications,400A,Service And Rent,Expenses,"34,726"
City Manager's Office,CM-Strategic Communications,Public Communications,700A,Inter-Divisional Charges,Expenses,"25,950"
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,100A,Salaries And Benefits,Expenses,"6,676,617"
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,200A,Materials & Supplies,Expenses,"26,582"
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,300A,Equipment,Expenses,"(5,278)"
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,400A,Service And Rent,Expenses,"1,639,813"
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,510A,Contribution To Reserves/Reserve Funds,Expenses,"37,783"
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,700A,Inter-Divisional Charges,Expenses,"83,213"
City Manager's Office,HR Employment Services,HR Employment Services,100A,Salaries And Benefits,Expenses,"10,762,391"
City Manager's Office,HR Employment Services,HR Employment Services,200A,Materials & Supplies,Expenses,"38,948"
City Manager's Office,HR Employment Services,HR Employment Services,300A,Equipment,Expenses,"29,865"
City Manager's Office,HR Employment Services,HR Employment Services,400A,Service And Rent,Expenses,"383,723"
City Manager's Office,HR Employment Services,HR Employment Services,510A,Contribution To Reserves/Reserve Funds,Expenses,"16,664"
City Manager's Office,HR Employment Services,HR Employment Services,700A,Inter-Divisional Charges,Expenses,"30,531"
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,100A,Salaries And Benefits,Expenses,"7,042,158"
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,200A,Materials & Supplies,Expenses,"37,233"
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,300A,Equipment,Expenses,"14,670"
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,400A,Service And Rent,Expenses,"1,362,169"
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,700A,Inter-Divisional Charges,Expenses,"48,109"
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,100A,Salaries And Benefits,Expenses,"10,182,106"
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,200A,Materials & Supplies,Expenses,"56,739"
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,300A,Equipment,Expenses,"16,809"
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,400A,Service And Rent,Expenses,"677,871"
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,510A,Contribution To Reserves/Reserve Funds,Expenses,"16,664"
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,700A,Inter-Divisional Charges,Expenses,"37,742"
City Planning,City Building & Policy Development,City Building & Policy Development,100A,Salaries And Benefits,Expenses,"17,974,676"
City Planning,City Building & Policy Development,City Building & Policy Development,200A,Materials & Supplies,Expenses,"68,911"
City Planning,City Building & Policy Development,City Building & Policy Development,300A,Equipment,Expenses,"85,998"
City Planning,City Building & Policy Development,City Building & Policy Development,400A,Service And Rent,Expenses,"848,829"
City Planning,City Building & Policy Development,City Building & Policy Development,510A,Contribution To Reserves/Reserve Funds,Expenses,"63,138"
City Planning,City Building & Policy Development,City Building & Policy Development,650A,Other Expenditures,Expenses,"317,000"
City Planning,City Building & Policy Development,City Building & Policy Development,700A,Inter-Divisional Charges,Expenses,"266,404"
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",100A,Salaries And Benefits,Expenses,"22,071,273"
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",200A,Materials & Supplies,Expenses,"102,818"
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",300A,Equipment,Expenses,"77,546"
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",400A,Service And Rent,Expenses,"704,137"
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",510A,Contribution To Reserves/Reserve Funds,Expenses,"18,086"
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",650A,Other Expenditures,Expenses,"103,700"
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",700A,Inter-Divisional Charges,Expenses,"607,251"
Court Services,Court Case Management,Court Case Management,100A,Salaries And Benefits,Expenses,"11,807,123"
Court Services,Court Case Management,Court Case Management,200A,Materials & Supplies,Expenses,"84,484"
Court Services,Court Case Management,Court Case Management,300A,Equipment,Expenses,"22,315"
Court Services,Court Case Management,Court Case Management,400A,Service And Rent,Expenses,"8,253,995"
Court Services,Court Case Management,Court Case Management,510A,Contribution To Reserves/Reserve Funds,Expenses,"70,032"
Court Services,Court Case Management,Court Case Management,650A,Other Expenditures,Expenses,"377,601"
Court Services,Court Case Management,Court Case Management,700A,Inter-Divisional Charges,Expenses,"15,738,928"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,100A,Salaries And Benefits,Expenses,"5,487,444"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,200A,Materials & Supplies,Expenses,"37,777"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,300A,Equipment,Expenses,"35,589"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,400A,Service And Rent,Expenses,"742,284"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,510A,Contribution To Reserves/Reserve Funds,Expenses,"4,219"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,650A,Other Expenditures,Expenses,"15,338"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,700A,Inter-Divisional Charges,Expenses,"991,531"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,100A,Salaries And Benefits,Expenses,"341,784"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,200A,Materials & Supplies,Expenses,"2,307"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,300A,Equipment,Expenses,517
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,400A,Service And Rent,Expenses,"159,306"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,510A,Contribution To Reserves/Reserve Funds,Expenses,"1,688"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,650A,Other Expenditures,Expenses,"6,135"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,700A,Inter-Divisional Charges,Expenses,"379,251"
Court Services,Default Fine Collection Management,Default Fine Collection Management,100A,Salaries And Benefits,Expenses,"1,408,476"
Court Services,Default Fine Collection Management,Default Fine Collection Management,200A,Materials & Supplies,Expenses,"2,731"
Court Services,Default Fine Collection Management,Default Fine Collection Management,300A,Equipment,Expenses,"1,830"
Court Services,Default Fine Collection Management,Default Fine Collection Management,400A,Service And Rent,Expenses,"787,282"
Court Services,Default Fine Collection Management,Default Fine Collection Management,510A,Contribution To Reserves/Reserve Funds,Expenses,"8,438"
Court Services,Default Fine Collection Management,Default Fine Collection Management,650A,Other Expenditures,Expenses,"1,414,476"
Court Services,Default Fine Collection Management,Default Fine Collection Management,700A,Inter-Divisional Charges,Expenses,"1,896,256"
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,100A,Salaries And Benefits,Expenses,"1,795,301"
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,200A,Materials & Supplies,Expenses,"11,951"
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,300A,Equipment,Expenses,"5,550"
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,400A,Service And Rent,Expenses,"63,250"
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,510A,Contribution To Reserves/Reserve Funds,Expenses,"4,856"
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,650A,Other Expenditures,Expenses,"125,796"
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,700A,Inter-Divisional Charges,Expenses,"16,200"
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,100A,Salaries And Benefits,Expenses,"1,565,805"
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,200A,Materials & Supplies,Expenses,"37,774"
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,300A,Equipment,Expenses,"4,196"
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,400A,Service And Rent,Expenses,"720,853"
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,650A,Other Expenditures,Expenses,"1,735,820"
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,700A,Inter-Divisional Charges,Expenses,"31,574"
Economic Development & Culture,EC-Business Services,Filming Activity,100A,Salaries And Benefits,Expenses,"970,674"
Economic Development & Culture,EC-Business Services,Filming Activity,200A,Materials & Supplies,Expenses,"30,585"
Economic Development & Culture,EC-Business Services,Filming Activity,300A,Equipment,Expenses,"7,000"
