City Clerk's Office,GV-Open Government,Corporate Information Production Services,200A,Materials & Supplies,Expenses,875832
City Clerk's Office,GV-Open Government,Corporate Information Production Services,300A,Equipment,Expenses,21841
City Clerk's Office,GV-Open Government,Corporate Information Production Services,400A,Service And Rent,Expenses,5527119
City Clerk's Office,GV-Open Government,Corporate Information Production Services,510A,Contribution To Reserves/Reserve Funds,Expenses,221224
City Clerk's Office,GV-Open Government,Corporate Information Production Services,700A,Inter-Divisional Charges,Expenses,106023
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,100A,Salaries And Benefits,Expenses,10536839
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,200A,Materials & Supplies,Expenses,67975
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,300A,Equipment,Expenses,15908
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,400A,Service And Rent,Expenses,410252
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,510A,Contribution To Reserves/Reserve Funds,Expenses,55700
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,650A,Other Expenditures,Expenses,1500
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,700A,Inter-Divisional Charges,Expenses,14404
City Council,City Council,City Council,100A,Salaries And Benefits,Expenses,18622473
City Council,City Council,City Council,200A,Materials & Supplies,Expenses,1281482
City Council,City Council,City Council,300A,Equipment,Expenses,102000
City Council,City Council,City Council,400A,Service And Rent,Expenses,595500
City Council,City Council,City Council,510A,Contribution To Reserves/Reserve Funds,Expenses,99217
City Council,City Council,City Council,700A,Inter-Divisional Charges,Expenses,253279
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,100A,Salaries And Benefits,Expenses,602839
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,200A,Materials & Supplies,Expenses,1692
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,300A,Equipment,Expenses,1633
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,400A,Service And Rent,Expenses,5657
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,700A,Inter-Divisional Charges,Expenses,6910
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,100A,Salaries And Benefits,Expenses,419067
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,200A,Materials & Supplies,Expenses,1262
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,300A,Equipment,Expenses,95
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,400A,Service And Rent,Expenses,1948
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,100A,Salaries And Benefits,Expenses,774670
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,200A,Materials & Supplies,Expenses,1723
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,300A,Equipment,Expenses,2091
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,400A,Service And Rent,Expenses,6715
City Manager's Office,CM-Executive Management,Accountability Processes,100A,Salaries And Benefits,Expenses,97943
City Manager's Office,CM-Executive Management,Accountability Processes,200A,Materials & Supplies,Expenses,819
City Manager's Office,CM-Executive Management,Accountability Processes,400A,Service And Rent,Expenses,1266
City Manager's Office,CM-Executive Management,City Manager,100A,Salaries And Benefits,Expenses,632583
City Manager's Office,CM-Executive Management,City Manager,200A,Materials & Supplies,Expenses,4346
City Manager's Office,CM-Executive Management,City Manager,300A,Equipment,Expenses,9700
City Manager's Office,CM-Executive Management,City Manager,400A,Service And Rent,Expenses,23985
City Manager's Office,CM-Executive Management,City Manager,510A,Contribution To Reserves/Reserve Funds,Expenses,19973
City Manager's Office,CM-Executive Management,City Manager,700A,Inter-Divisional Charges,Expenses,12800
City Manager's Office,CM-Executive Management,Corporate Issues & Agenda Management,100A,Salaries And Benefits,Expenses,489165
City Manager's Office,CM-Executive Management,Corporate Issues & Agenda Management,200A,Materials & Supplies,Expenses,1487
City Manager's Office,CM-Executive Management,Corporate Issues & Agenda Management,400A,Service And Rent,Expenses,15776
City Manager's Office,CM-Executive Management,Financial Management & Program Support,100A,Salaries And Benefits,Expenses,674574
City Manager's Office,CM-Executive Management,Financial Management & Program Support,200A,Materials & Supplies,Expenses,2346
City Manager's Office,CM-Executive Management,Financial Management & Program Support,400A,Service And Rent,Expenses,6421
City Manager's Office,CM-Executive Management,Performance Management & Benchmarking,100A,Salaries And Benefits,Expenses,954565
City Manager's Office,CM-Executive Management,Performance Management & Benchmarking,200A,Materials & Supplies,Expenses,1190
City Manager's Office,CM-Executive Management,Performance Management & Benchmarking,400A,Service And Rent,Expenses,12626
City Manager's Office,CM-Internal Auditing,Audit Reporting,100A,Salaries And Benefits,Expenses,938844
City Manager's Office,CM-Internal Auditing,Audit Reporting,200A,Materials & Supplies,Expenses,436
City Manager's Office,CM-Internal Auditing,Audit Reporting,300A,Equipment,Expenses,25493
City Manager's Office,CM-Internal Auditing,Audit Reporting,400A,Service And Rent,Expenses,16892
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,100A,Salaries And Benefits,Expenses,192636
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,200A,Materials & Supplies,Expenses,164
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,400A,Service And Rent,Expenses,3221
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,100A,Salaries And Benefits,Expenses,1131659
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,200A,Materials & Supplies,Expenses,1128
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,400A,Service And Rent,Expenses,68594
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,100A,Salaries And Benefits,Expenses,1505704
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,200A,Materials & Supplies,Expenses,1128
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,400A,Service And Rent,Expenses,12512
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,100A,Salaries And Benefits,Expenses,866595
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,200A,Materials & Supplies,Expenses,369
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,400A,Service And Rent,Expenses,10899
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,700A,Inter-Divisional Charges,Expenses,7500
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,100A,Salaries And Benefits,Expenses,776549
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,200A,Materials & Supplies,Expenses,1800
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,300A,Equipment,Expenses,705
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,400A,Service And Rent,Expenses,45558
City Manager's Office,CM-Strategic Communications,Internal Communications,100A,Salaries And Benefits,Expenses,791652
City Manager's Office,CM-Strategic Communications,Internal Communications,200A,Materials & Supplies,Expenses,1800
City Manager's Office,CM-Strategic Communications,Internal Communications,300A,Equipment,Expenses,705
City Manager's Office,CM-Strategic Communications,Internal Communications,400A,Service And Rent,Expenses,40674
City Manager's Office,CM-Strategic Communications,Internal Communications,700A,Inter-Divisional Charges,Expenses,5000
City Manager's Office,CM-Strategic Communications,Media Relations,100A,Salaries And Benefits,Expenses,1132400
City Manager's Office,CM-Strategic Communications,Media Relations,200A,Materials & Supplies,Expenses,3000
City Manager's Office,CM-Strategic Communications,Media Relations,300A,Equipment,Expenses,1175
City Manager's Office,CM-Strategic Communications,Media Relations,400A,Service And Rent,Expenses,75930
City Manager's Office,CM-Strategic Communications,Public Communications,100A,Salaries And Benefits,Expenses,3031525
City Manager's Office,CM-Strategic Communications,Public Communications,200A,Materials & Supplies,Expenses,2347
City Manager's Office,CM-Strategic Communications,Public Communications,300A,Equipment,Expenses,4115
City Manager's Office,CM-Strategic Communications,Public Communications,400A,Service And Rent,Expenses,34726
City Manager's Office,CM-Strategic Communications,Public Communications,700A,Inter-Divisional Charges,Expenses,25950
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,100A,Salaries And Benefits,Expenses,6676617
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,200A,Materials & Supplies,Expenses,26582
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,300A,Equipment,Expenses,-5278
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,400A,Service And Rent,Expenses,1639813
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,510A,Contribution To Reserves/Reserve Funds,Expenses,37783
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,700A,Inter-Divisional Charges,Expenses,83213
City Manager's Office,HR Employment Services,HR Employment Services,100A,Salaries And Benefits,Expenses,10762391
City Manager's Office,HR Employment Services,HR Employment Services,200A,Materials & Supplies,Expenses,38948
City Manager's Office,HR Employment Services,HR Employment Services,300A,Equipment,Expenses,29865
City Manager's Office,HR Employment Services,HR Employment Services,400A,Service And Rent,Expenses,383723
City Manager's Office,HR Employment Services,HR Employment Services,510A,Contribution To Reserves/Reserve Funds,Expenses,16664
City Manager's Office,HR Employment Services,HR Employment Services,700A,Inter-Divisional Charges,Expenses,30531
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,100A,Salaries And Benefits,Expenses,7042158
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,200A,Materials & Supplies,Expenses,37233
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,300A,Equipment,Expenses,14670
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,400A,Service And Rent,Expenses,1362169
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,700A,Inter-Divisional Charges,Expenses,48109
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,100A,Salaries And Benefits,Expenses,10182106
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,200A,Materials & Supplies,Expenses,56739
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,300A,Equipment,Expenses,16809
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,400A,Service And Rent,Expenses,677871
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,510A,Contribution To Reserves/Reserve Funds,Expenses,16664
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,700A,Inter-Divisional Charges,Expenses,37742
City Planning,City Building & Policy Development,City Building & Policy Development,100A,Salaries And Benefits,Expenses,17974676
City Planning,City Building & Policy Development,City Building & Policy Development,200A,Materials & Supplies,Expenses,68911
City Planning,City Building & Policy Development,City Building & Policy Development,300A,Equipment,Expenses,85998
City Planning,City Building & Policy Development,City Building & Policy Development,400A,Service And Rent,Expenses,848829
City Planning,City Building & Policy Development,City Building & Policy Development,510A,Contribution To Reserves/Reserve Funds,Expenses,63138
City Planning,City Building & Policy Development,City Building & Policy Development,650A,Other Expenditures,Expenses,317000
City Planning,City Building & Policy Development,City Building & Policy Development,700A,Inter-Divisional Charges,Expenses,266404
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",100A,Salaries And Benefits,Expenses,22071273
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",200A,Materials & Supplies,Expenses,102818
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",300A,Equipment,Expenses,77546
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",400A,Service And Rent,Expenses,704137
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",510A,Contribution To Reserves/Reserve Funds,Expenses,18086
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",650A,Other Expenditures,Expenses,103700
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",700A,Inter-Divisional Charges,Expenses,607251
Court Services,Court Case Management,Court Case Management,100A,Salaries And Benefits,Expenses,11807123
Court Services,Court Case Management,Court Case Management,200A,Materials & Supplies,Expenses,84484
Court Services,Court Case Management,Court Case Management,300A,Equipment,Expenses,22315
Court Services,Court Case Management,Court Case Management,400A,Service And Rent,Expenses,8253995
Court Services,Court Case Management,Court Case Management,510A,Contribution To Reserves/Reserve Funds,Expenses,70032
Court Services,Court Case Management,Court Case Management,650A,Other Expenditures,Expenses,377601
Court Services,Court Case Management,Court Case Management,700A,Inter-Divisional Charges,Expenses,15738928
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,100A,Salaries And Benefits,Expenses,5487444
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,200A,Materials & Supplies,Expenses,37777
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,300A,Equipment,Expenses,35589
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,400A,Service And Rent,Expenses,742284
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,510A,Contribution To Reserves/Reserve Funds,Expenses,4219
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,650A,Other Expenditures,Expenses,15338
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,700A,Inter-Divisional Charges,Expenses,991531
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,100A,Salaries And Benefits,Expenses,341784
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,200A,Materials & Supplies,Expenses,2307
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,300A,Equipment,Expenses,517
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,400A,Service And Rent,Expenses,159306
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,510A,Contribution To Reserves/Reserve Funds,Expenses,1688
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,650A,Other Expenditures,Expenses,6135
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,700A,Inter-Divisional Charges,Expenses,379251
Court Services,Default Fine Collection Management,Default Fine Collection Management,100A,Salaries And Benefits,Expenses,1408476
Court Services,Default Fine Collection Management,Default Fine Collection Management,200A,Materials & Supplies,Expenses,2731
Court Services,Default Fine Collection Management,Default Fine Collection Management,300A,Equipment,Expenses,1830
Court Services,Default Fine Collection Management,Default Fine Collection Management,400A,Service And Rent,Expenses,787282
Court Services,Default Fine Collection Management,Default Fine Collection Management,510A,Contribution To Reserves/Reserve Funds,Expenses,8438
Court Services,Default Fine Collection Management,Default Fine Collection Management,650A,Other Expenditures,Expenses,1414476
Court Services,Default Fine Collection Management,Default Fine Collection Management,700A,Inter-Divisional Charges,Expenses,1896256
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,100A,Salaries And Benefits,Expenses,1795301
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,200A,Materials & Supplies,Expenses,11951
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,300A,Equipment,Expenses,5550
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,400A,Service And Rent,Expenses,63250
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,510A,Contribution To Reserves/Reserve Funds,Expenses,4856
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,650A,Other Expenditures,Expenses,125796
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,700A,Inter-Divisional Charges,Expenses,16200
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,100A,Salaries And Benefits,Expenses,1565805
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,200A,Materials & Supplies,Expenses,37774
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,300A,Equipment,Expenses,4196
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,400A,Service And Rent,Expenses,720853
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,650A,Other Expenditures,Expenses,1735820
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,700A,Inter-Divisional Charges,Expenses,31574
Economic Development & Culture,EC-Business Services,Filming Activity,100A,Salaries And Benefits,Expenses,970674
Economic Development & Culture,EC-Business Services,Filming Activity,200A,Materials & Supplies,Expenses,30585
Economic Development & Culture,EC-Business Services,Filming Activity,300A,Equipment,Expenses,7000
Economic Development & Culture,EC-Business Services,Filming Activity,400A,Service And Rent,Expenses,188208
Economic Development & Culture,EC-Business Services,Filming Activity,650A,Other Expenditures,Expenses,46089
Economic Development & Culture,EC-Business Services,Filming Activity,700A,Inter-Divisional Charges,Expenses,400
Economic Development & Culture,EC-Cultural Services,Arts Programming,100A,Salaries And Benefits,Expenses,2082111
Economic Development & Culture,EC-Cultural Services,Arts Programming,200A,Materials & Supplies,Expenses,101155
Economic Development & Culture,EC-Cultural Services,Arts Programming,300A,Equipment,Expenses,11647
Economic Development & Culture,EC-Cultural Services,Arts Programming,400A,Service And Rent,Expenses,206641
Economic Development & Culture,EC-Cultural Services,Arts Programming,650A,Other Expenditures,Expenses,365000
Economic Development & Culture,EC-Cultural Services,Arts Programming,700A,Inter-Divisional Charges,Expenses,8263
Economic Development & Culture,EC-Cultural Services,Cultural Development,100A,Salaries And Benefits,Expenses,1142261
Economic Development & Culture,EC-Cultural Services,Cultural Development,200A,Materials & Supplies,Expenses,174994
Economic Development & Culture,EC-Cultural Services,Cultural Development,300A,Equipment,Expenses,6158
Economic Development & Culture,EC-Cultural Services,Cultural Development,400A,Service And Rent,Expenses,877816
Economic Development & Culture,EC-Cultural Services,Cultural Development,650A,Other Expenditures,Expenses,274248
Economic Development & Culture,EC-Cultural Services,Cultural Development,700A,Inter-Divisional Charges,Expenses,2297
Economic Development & Culture,EC-Cultural Services,Cultural Grants,100A,Salaries And Benefits,Expenses,10862
Economic Development & Culture,EC-Cultural Services,Cultural Grants,650A,Other Expenditures,Expenses,27819200
Economic Development & Culture,EC-Cultural Services,Events Programming,100A,Salaries And Benefits,Expenses,3681730
