Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Salaries And Benefits,100A,Expenses,832180,
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Service And Rent,400A,Expenses,55246,
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,Contribution To Capital,505A,Expenses,559519,
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,Contribution To Reserves/Reserve Funds,510A,Expenses,270175,
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,Equipment,300A,Expenses,43508,
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,Materials & Supplies,200A,Expenses,2147208,
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,Salaries And Benefits,100A,Expenses,4348489,
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,Service And Rent,400A,Expenses,1031504,
Association of Community Centres,Public Space - Community Access,Public Space - Community Access,Service And Rent,400A,Expenses,25000,
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Contribution To Reserves/Reserve Funds,510A,Expenses,29231,
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Equipment,300A,Expenses,3337,
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Materials & Supplies,200A,Expenses,449823,
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Other Expenditures,650A,Expenses,7000,
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Salaries And Benefits,100A,Expenses,6620822,
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Service And Rent,400A,Expenses,764847,
Auditor General's Office,Auditor General's Office,Auditor General's Office,Contribution To Reserves/Reserve Funds,510A,Expenses,7681,
Auditor General's Office,Auditor General's Office,Auditor General's Office,Equipment,300A,Expenses,8121,
Auditor General's Office,Auditor General's Office,Auditor General's Office,Inter-Divisional Charges,700A,Expenses,22272,
Auditor General's Office,Auditor General's Office,Auditor General's Office,Materials & Supplies,200A,Expenses,15950,
Auditor General's Office,Auditor General's Office,Auditor General's Office,Salaries And Benefits,100A,Expenses,4520927,
Auditor General's Office,Auditor General's Office,Auditor General's Office,Service And Rent,400A,Expenses,142383,
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Contribution To Capital,505A,Expenses,227642150,
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Contribution To Reserves/Reserve Funds,510A,Expenses,18911638,
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Inter-Divisional Charges,700A,Expenses,933106,
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Other Expenditures,650A,Expenses,454045125,
Children's Services,Child Care Delivery,Child Care Delivery,Contribution To Reserves/Reserve Funds,510A,Expenses,952319,
Children's Services,Child Care Delivery,Child Care Delivery,Equipment,300A,Expenses,672010,
Children's Services,Child Care Delivery,Child Care Delivery,Inter-Divisional Charges,700A,Expenses,4312524,
Children's Services,Child Care Delivery,Child Care Delivery,Materials & Supplies,200A,Expenses,2483482,
Children's Services,Child Care Delivery,Child Care Delivery,Other Expenditures,650A,Expenses,725997,
Children's Services,Child Care Delivery,Child Care Delivery,Salaries And Benefits,100A,Expenses,77475308,
Children's Services,Child Care Delivery,Child Care Delivery,Service And Rent,400A,Expenses,274306201,
Children's Services,Child Care System Management,Child Care System Management,Contribution To Reserves/Reserve Funds,510A,Expenses,328430,
Children's Services,Child Care System Management,Child Care System Management,Equipment,300A,Expenses,53516,
Children's Services,Child Care System Management,Child Care System Management,Inter-Divisional Charges,700A,Expenses,411691,
Children's Services,Child Care System Management,Child Care System Management,Materials & Supplies,200A,Expenses,38894,
Children's Services,Child Care System Management,Child Care System Management,Other Expenditures,650A,Expenses,-10821,Non-normal value
Children's Services,Child Care System Management,Child Care System Management,Salaries And Benefits,100A,Expenses,8800249,
Children's Services,Child Care System Management,Child Care System Management,Service And Rent,400A,Expenses,81930406,
City Clerk's Office,GV-Elect Government,Elections,Equipment,300A,Expenses,7000,
City Clerk's Office,GV-Elect Government,Elections,Inter-Divisional Charges,700A,Expenses,235833,
City Clerk's Office,GV-Elect Government,Elections,Materials & Supplies,200A,Expenses,22004,
City Clerk's Office,GV-Elect Government,Elections,Salaries And Benefits,100A,Expenses,4590847,
City Clerk's Office,GV-Elect Government,Elections,Service And Rent,400A,Expenses,413826,
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,Equipment,300A,Expenses,1250,
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,Inter-Divisional Charges,700A,Expenses,8500,
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,Materials & Supplies,200A,Expenses,17707,
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,Other Expenditures,650A,Expenses,31017,
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,Salaries And Benefits,100A,Expenses,2196757,
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,Service And Rent,400A,Expenses,31884,
City Clerk's Office,GV-Make Government Work,Government & Official Services,Contribution To Reserves/Reserve Funds,510A,Expenses,187709,
City Clerk's Office,GV-Make Government Work,Government & Official Services,Equipment,300A,Expenses,37292,
City Clerk's Office,GV-Make Government Work,Government & Official Services,Inter-Divisional Charges,700A,Expenses,64711,
City Clerk's Office,GV-Make Government Work,Government & Official Services,Materials & Supplies,200A,Expenses,347183,
City Clerk's Office,GV-Make Government Work,Government & Official Services,Salaries And Benefits,100A,Expenses,8298202,
City Clerk's Office,GV-Make Government Work,Government & Official Services,Service And Rent,400A,Expenses,590483,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Equipment,300A,Expenses,3444,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Inter-Divisional Charges,700A,Expenses,630397,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Materials & Supplies,200A,Expenses,23184,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Salaries And Benefits,100A,Expenses,7139682,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Service And Rent,400A,Expenses,608954,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Contribution To Reserves/Reserve Funds,510A,Expenses,221224,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Equipment,300A,Expenses,11666,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Inter-Divisional Charges,700A,Expenses,105913,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Materials & Supplies,200A,Expenses,874296,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Salaries And Benefits,100A,Expenses,6399036,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Service And Rent,400A,Expenses,4963295,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Contribution To Reserves/Reserve Funds,510A,Expenses,55700,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Equipment,300A,Expenses,8405,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Inter-Divisional Charges,700A,Expenses,36916,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Materials & Supplies,200A,Expenses,59475,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Other Expenditures,650A,Expenses,1500,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Salaries And Benefits,100A,Expenses,10640054,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Service And Rent,400A,Expenses,393195,
City Council,City Council,City Council,Contribution To Reserves/Reserve Funds,510A,Expenses,99217,
City Council,City Council,City Council,Equipment,300A,Expenses,182000,
City Council,City Council,City Council,Inter-Divisional Charges,700A,Expenses,244219,
City Council,City Council,City Council,Materials & Supplies,200A,Expenses,1253604,
City Council,City Council,City Council,Salaries And Benefits,100A,Expenses,18672088,
City Council,City Council,City Council,Service And Rent,400A,Expenses,371500,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,Equipment,300A,Expenses,1633,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,Materials & Supplies,200A,Expenses,2937,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,Salaries And Benefits,100A,Expenses,870717,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,Service And Rent,400A,Expenses,4412,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,Equipment,300A,Expenses,95,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,Inter-Divisional Charges,700A,Expenses,6910,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,Materials & Supplies,200A,Expenses,1262,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,Salaries And Benefits,100A,Expenses,312913,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,Service And Rent,400A,Expenses,1948,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,Equipment,300A,Expenses,2091,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,Materials & Supplies,200A,Expenses,1723,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,Salaries And Benefits,100A,Expenses,593937,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,Service And Rent,400A,Expenses,6715,
City Manager's Office,CM-Executive Management,Accountability Processes,Materials & Supplies,200A,Expenses,819,
City Manager's Office,CM-Executive Management,Accountability Processes,Salaries And Benefits,100A,Expenses,191819,
City Manager's Office,CM-Executive Management,Accountability Processes,Service And Rent,400A,Expenses,1266,
City Manager's Office,CM-Executive Management,City Manager,Contribution To Reserves/Reserve Funds,510A,Expenses,19973,
City Manager's Office,CM-Executive Management,City Manager,Equipment,300A,Expenses,9700,
City Manager's Office,CM-Executive Management,City Manager,Inter-Divisional Charges,700A,Expenses,12800,
City Manager's Office,CM-Executive Management,City Manager,Materials & Supplies,200A,Expenses,9858,
City Manager's Office,CM-Executive Management,City Manager,Salaries And Benefits,100A,Expenses,68433,
City Manager's Office,CM-Executive Management,City Manager,Service And Rent,400A,Expenses,18472,
City Manager's Office,CM-Executive Management,Corporate Issues & Agenda Management,Materials & Supplies,200A,Expenses,1487,
City Manager's Office,CM-Executive Management,Corporate Issues & Agenda Management,Salaries And Benefits,100A,Expenses,977636,
City Manager's Office,CM-Executive Management,Corporate Issues & Agenda Management,Service And Rent,400A,Expenses,15776,
City Manager's Office,CM-Executive Management,Financial Management & Program Support,Materials & Supplies,200A,Expenses,2346,
City Manager's Office,CM-Executive Management,Financial Management & Program Support,Salaries And Benefits,100A,Expenses,969995,
City Manager's Office,CM-Executive Management,Financial Management & Program Support,Service And Rent,400A,Expenses,6421,
City Manager's Office,CM-Executive Management,Performance Management & Benchmarking,Materials & Supplies,200A,Expenses,1190,
City Manager's Office,CM-Executive Management,Performance Management & Benchmarking,Salaries And Benefits,100A,Expenses,652302,
City Manager's Office,CM-Executive Management,Performance Management & Benchmarking,Service And Rent,400A,Expenses,12626,
City Manager's Office,CM-Internal Auditing,Audit Reporting,Equipment,300A,Expenses,25000,
City Manager's Office,CM-Internal Auditing,Audit Reporting,Materials & Supplies,200A,Expenses,929,
City Manager's Office,CM-Internal Auditing,Audit Reporting,Salaries And Benefits,100A,Expenses,921650,
City Manager's Office,CM-Internal Auditing,Audit Reporting,Service And Rent,400A,Expenses,16892,
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,Materials & Supplies,200A,Expenses,164,
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,Salaries And Benefits,100A,Expenses,163368,
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,Service And Rent,400A,Expenses,3221,
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,Materials & Supplies,200A,Expenses,1128,
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,Salaries And Benefits,100A,Expenses,1130245,
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,Service And Rent,400A,Expenses,12512,
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,Inter-Divisional Charges,700A,Expenses,7500,
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,Materials & Supplies,200A,Expenses,1128,
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,Salaries And Benefits,100A,Expenses,1817746,
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,Service And Rent,400A,Expenses,82512,
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,Materials & Supplies,200A,Expenses,631,
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,Salaries And Benefits,100A,Expenses,938461,
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,Service And Rent,400A,Expenses,386978,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,Equipment,300A,Expenses,705,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,Inter-Divisional Charges,700A,Expenses,30950,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,Materials & Supplies,200A,Expenses,1800,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,Salaries And Benefits,100A,Expenses,901706,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,Service And Rent,400A,Expenses,45558,
City Manager's Office,CM-Strategic Communications,Internal Communications,Equipment,300A,Expenses,705,
City Manager's Office,CM-Strategic Communications,Internal Communications,Materials & Supplies,200A,Expenses,1800,
City Manager's Office,CM-Strategic Communications,Internal Communications,Salaries And Benefits,100A,Expenses,951380,
City Manager's Office,CM-Strategic Communications,Internal Communications,Service And Rent,400A,Expenses,40674,
City Manager's Office,CM-Strategic Communications,Media Relations,Equipment,300A,Expenses,1175,
City Manager's Office,CM-Strategic Communications,Media Relations,Materials & Supplies,200A,Expenses,3000,
City Manager's Office,CM-Strategic Communications,Media Relations,Salaries And Benefits,100A,Expenses,1372994,
City Manager's Office,CM-Strategic Communications,Media Relations,Service And Rent,400A,Expenses,75930,
City Manager's Office,CM-Strategic Communications,Public Communications,Equipment,300A,Expenses,4115,
City Manager's Office,CM-Strategic Communications,Public Communications,Materials & Supplies,200A,Expenses,3400,
City Manager's Office,CM-Strategic Communications,Public Communications,Salaries And Benefits,100A,Expenses,2841464,
City Manager's Office,CM-Strategic Communications,Public Communications,Service And Rent,400A,Expenses,183674,
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Contribution To Reserves/Reserve Funds,510A,Expenses,37783,
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Equipment,300A,Expenses,8722,
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Inter-Divisional Charges,700A,Expenses,82045,
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Materials & Supplies,200A,Expenses,26582,
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Salaries And Benefits,100A,Expenses,6574835,
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Service And Rent,400A,Expenses,1110713,
City Manager's Office,HR Employment Services,HR Employment Services,Contribution To Reserves/Reserve Funds,510A,Expenses,16664,
City Manager's Office,HR Employment Services,HR Employment Services,Equipment,300A,Expenses,29865,
City Manager's Office,HR Employment Services,HR Employment Services,Inter-Divisional Charges,700A,Expenses,30531,
City Manager's Office,HR Employment Services,HR Employment Services,Materials & Supplies,200A,Expenses,38948,
City Manager's Office,HR Employment Services,HR Employment Services,Salaries And Benefits,100A,Expenses,11155345,
City Manager's Office,HR Employment Services,HR Employment Services,Service And Rent,400A,Expenses,383723,
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Contribution To Reserves/Reserve Funds,510A,Expenses,16664,
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Equipment,300A,Expenses,14670,
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Inter-Divisional Charges,700A,Expenses,48109,
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Materials & Supplies,200A,Expenses,37233,
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Salaries And Benefits,100A,Expenses,6586428,
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Service And Rent,400A,Expenses,1552169,
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Contribution To Reserves/Reserve Funds,510A,Expenses,16664,
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Equipment,300A,Expenses,16809,
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Inter-Divisional Charges,700A,Expenses,37742,
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Materials & Supplies,200A,Expenses,56739,
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Salaries And Benefits,100A,Expenses,10449035,
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Service And Rent,400A,Expenses,677871,
City Planning,City Building & Policy Development,City Building & Policy Development,Contribution To Reserves/Reserve Funds,510A,Expenses,63138,
City Planning,City Building & Policy Development,City Building & Policy Development,Equipment,300A,Expenses,85998,
City Planning,City Building & Policy Development,City Building & Policy Development,Inter-Divisional Charges,700A,Expenses,400931,
City Planning,City Building & Policy Development,City Building & Policy Development,Materials & Supplies,200A,Expenses,76061,
City Planning,City Building & Policy Development,City Building & Policy Development,Other Expenditures,650A,Expenses,317000,
City Planning,City Building & Policy Development,City Building & Policy Development,Salaries And Benefits,100A,Expenses,17063756,
City Planning,City Building & Policy Development,City Building & Policy Development,Service And Rent,400A,Expenses,864930,
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Contribution To Reserves/Reserve Funds,510A,Expenses,18086,
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Equipment,300A,Expenses,77546,
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Inter-Divisional Charges,700A,Expenses,612692,
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Materials & Supplies,200A,Expenses,111667,
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Other Expenditures,650A,Expenses,83700,
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Salaries And Benefits,100A,Expenses,22592547,
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Service And Rent,400A,Expenses,708037,
Court Services,Court Case Management,Court Case Management,Contribution To Reserves/Reserve Funds,510A,Expenses,70032,
Court Services,Court Case Management,Court Case Management,Equipment,300A,Expenses,48671,
Court Services,Court Case Management,Court Case Management,Inter-Divisional Charges,700A,Expenses,16096765,
Court Services,Court Case Management,Court Case Management,Materials & Supplies,200A,Expenses,106163,
Court Services,Court Case Management,Court Case Management,Other Expenditures,650A,Expenses,383110,
Court Services,Court Case Management,Court Case Management,Salaries And Benefits,100A,Expenses,12146789,
Court Services,Court Case Management,Court Case Management,Service And Rent,400A,Expenses,6701939,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Contribution To Reserves/Reserve Funds,510A,Expenses,4219,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Equipment,300A,Expenses,53051,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Inter-Divisional Charges,700A,Expenses,920405,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Materials & Supplies,200A,Expenses,44498,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Other Expenditures,650A,Expenses,15670,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Salaries And Benefits,100A,Expenses,5823792,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Service And Rent,400A,Expenses,671400,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Contribution To Reserves/Reserve Funds,510A,Expenses,1688,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Equipment,300A,Expenses,788,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Inter-Divisional Charges,700A,Expenses,472489,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Materials & Supplies,200A,Expenses,3045,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Other Expenditures,650A,Expenses,6268,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Salaries And Benefits,100A,Expenses,344349,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Service And Rent,400A,Expenses,130800,
Court Services,Default Fine Collection Management,Default Fine Collection Management,Contribution To Reserves/Reserve Funds,510A,Expenses,8438,
Court Services,Default Fine Collection Management,Default Fine Collection Management,Equipment,300A,Expenses,2865,
Court Services,Default Fine Collection Management,Default Fine Collection Management,Inter-Divisional Charges,700A,Expenses,1943823,
Court Services,Default Fine Collection Management,Default Fine Collection Management,Materials & Supplies,200A,Expenses,4040,
Court Services,Default Fine Collection Management,Default Fine Collection Management,Other Expenditures,650A,Expenses,1415140,
Court Services,Default Fine Collection Management,Default Fine Collection Management,Salaries And Benefits,100A,Expenses,1467609,
Court Services,Default Fine Collection Management,Default Fine Collection Management,Service And Rent,400A,Expenses,643251,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,Contribution To Reserves/Reserve Funds,510A,Expenses,4856,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,Equipment,300A,Expenses,5550,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,Inter-Divisional Charges,700A,Expenses,13200,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,Materials & Supplies,200A,Expenses,11951,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,Other Expenditures,650A,Expenses,125796,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,Salaries And Benefits,100A,Expenses,1763146,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,Service And Rent,400A,Expenses,63250,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Equipment,300A,Expenses,4196,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Inter-Divisional Charges,700A,Expenses,31521,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Materials & Supplies,200A,Expenses,37774,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Other Expenditures,650A,Expenses,1185820,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Salaries And Benefits,100A,Expenses,1489616,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Service And Rent,400A,Expenses,1001526,
Economic Development & Culture,EC-Business Services,Filming Activity,Equipment,300A,Expenses,7000,
Economic Development & Culture,EC-Business Services,Filming Activity,Inter-Divisional Charges,700A,Expenses,400,
Economic Development & Culture,EC-Business Services,Filming Activity,Materials & Supplies,200A,Expenses,30585,
Economic Development & Culture,EC-Business Services,Filming Activity,Other Expenditures,650A,Expenses,46089,
Economic Development & Culture,EC-Business Services,Filming Activity,Salaries And Benefits,100A,Expenses,933601,
Economic Development & Culture,EC-Business Services,Filming Activity,Service And Rent,400A,Expenses,188208,
Economic Development & Culture,EC-Cultural Services,Arts Programming,Equipment,300A,Expenses,11647,
Economic Development & Culture,EC-Cultural Services,Arts Programming,Inter-Divisional Charges,700A,Expenses,8263,
Economic Development & Culture,EC-Cultural Services,Arts Programming,Materials & Supplies,200A,Expenses,101155,
Economic Development & Culture,EC-Cultural Services,Arts Programming,Other Expenditures,650A,Expenses,365000,
Economic Development & Culture,EC-Cultural Services,Arts Programming,Salaries And Benefits,100A,Expenses,2005444,
Economic Development & Culture,EC-Cultural Services,Arts Programming,Service And Rent,400A,Expenses,206641,
Economic Development & Culture,EC-Cultural Services,Cultural Development,Equipment,300A,Expenses,6158,
Economic Development & Culture,EC-Cultural Services,Cultural Development,Inter-Divisional Charges,700A,Expenses,6351,
Economic Development & Culture,EC-Cultural Services,Cultural Development,Materials & Supplies,200A,Expenses,169321,
