Economic Development & Culture,300A,Equipment,107270,
Economic Development & Culture,400A,Service and Rent,8983439,
Economic Development & Culture,510A,Contribution to Reserves/Reserve Funds,930061,
Economic Development & Culture,650A,Other Expenditures,26952322,
Economic Development & Culture,700A,Inter-Divisional Charges,427114,
Emergency Medical Services,100A,Salaries and Benefits,148723124,
Emergency Medical Services,200A,Materials and Supplies,6331159,
Emergency Medical Services,300A,Equipment,782940,
Emergency Medical Services,400A,Service and Rent,9719255,
Emergency Medical Services,505A,Contribution to Capital,472000,
Emergency Medical Services,510A,Contribution to Reserves/Reserve Funds,5297670,
Emergency Medical Services,650A,Other Expenditures,10937,
Emergency Medical Services,700A,Inter-Divisional Charges,10030363,
Engineering & Construction Services,100A,Salaries and Benefits,57084259,
Engineering & Construction Services,200A,Materials and Supplies,393689,
Engineering & Construction Services,300A,Equipment,223819,
Engineering & Construction Services,400A,Service and Rent,8808245,
Engineering & Construction Services,510A,Contribution to Reserves/Reserve Funds,771686,
Engineering & Construction Services,700A,Inter-Divisional Charges,3271024,
Exhibition Place,100A,Salaries and Benefits,31747600,
Exhibition Place,200A,Materials and Supplies,4371800,
Exhibition Place,300A,Equipment,176800,
Exhibition Place,400A,Service and Rent,19632121,
Exhibition Place,505A,Contribution to Capital,500000,
Exhibition Place,510A,Contribution to Reserves/Reserve Funds,1998260,
Exhibition Place,650A,Other Expenditures,-14775850,Non-normal value
Facilities Management & Real Estate,100A,Salaries and Benefits,79222117,
Facilities Management & Real Estate,200A,Materials and Supplies,29559036,
Facilities Management & Real Estate,300A,Equipment,558503,
Facilities Management & Real Estate,400A,Service and Rent,65097691,
Facilities Management & Real Estate,510A,Contribution to Reserves/Reserve Funds,1816962,
Facilities Management & Real Estate,650A,Other Expenditures,6290960,
Facilities Management & Real Estate,700A,Inter-Divisional Charges,1913592,
Fire Services,100A,Salaries and Benefits,382787177,
Fire Services,200A,Materials and Supplies,7995520,
Fire Services,300A,Equipment,822273,
Fire Services,400A,Service and Rent,6326259,
Fire Services,510A,Contribution to Reserves/Reserve Funds,8835353,
Fire Services,700A,Inter-Divisional Charges,6364112,
Fleet Services,100A,Salaries and Benefits,17593295,
Fleet Services,200A,Materials and Supplies,21367382,
Fleet Services,300A,Equipment,80424,
Fleet Services,400A,Service and Rent,7614979,
Fleet Services,510A,Contribution to Reserves/Reserve Funds,85559,
Fleet Services,700A,Inter-Divisional Charges,524137,
Heritage Toronto,100A,Salaries and Benefits,456000,
Heritage Toronto,200A,Materials and Supplies,91900,
Heritage Toronto,400A,Service and Rent,188600,
Heritage Toronto,510A,Contribution to Reserves/Reserve Funds,0,
Heritage Toronto,650A,Other Expenditures,3600,
Information & Technology,100A,Salaries and Benefits,79920519,
Information & Technology,200A,Materials and Supplies,220477,
Information & Technology,300A,Equipment,546333,
Information & Technology,400A,Service and Rent,25582215,
Information & Technology,510A,Contribution to Reserves/Reserve Funds,108402,
Information & Technology,650A,Other Expenditures,396,
Information & Technology,700A,Inter-Divisional Charges,436665,
Integrity Commissioner's Office,100A,Salaries and Benefits,233805,
Integrity Commissioner's Office,200A,Materials and Supplies,1213,
Integrity Commissioner's Office,300A,Equipment,50,
Integrity Commissioner's Office,400A,Service and Rent,11559,
Integrity Commissioner's Office,510A,Contribution to Reserves/Reserve Funds,4192,
Integrity Commissioner's Office,700A,Inter-Divisional Charges,400,
Legal Services,100A,Salaries and Benefits,36879842,
Legal Services,200A,Materials and Supplies,336652,
Legal Services,300A,Equipment,64504,
Legal Services,400A,Service and Rent,1395476,
Legal Services,510A,Contribution to Reserves/Reserve Funds,58882,
Legal Services,700A,Inter-Divisional Charges,6695567,
Long Term Care Homes & Services,100A,Salaries and Benefits,189572551,
Long Term Care Homes & Services,200A,Materials and Supplies,18854750,
Long Term Care Homes & Services,300A,Equipment,2264430,
Long Term Care Homes & Services,400A,Service and Rent,16958626,
Long Term Care Homes & Services,510A,Contribution to Reserves/Reserve Funds,1809387,
Long Term Care Homes & Services,650A,Other Expenditures,145350,
Long Term Care Homes & Services,700A,Inter-Divisional Charges,575700,
Mayor's Office,100A,Salaries and Benefits,1468984,
Mayor's Office,200A,Materials and Supplies,9759,
Mayor's Office,300A,Equipment,1000,
Mayor's Office,400A,Service and Rent,53000,
Mayor's Office,700A,Inter-Divisional Charges,8575,
Municipal Licensing & Standards,100A,Salaries and Benefits,40119304,
Municipal Licensing & Standards,200A,Materials and Supplies,1116534,
Municipal Licensing & Standards,300A,Equipment,276508,
Municipal Licensing & Standards,400A,Service and Rent,1985980,
Municipal Licensing & Standards,510A,Contribution to Reserves/Reserve Funds,848184,
Municipal Licensing & Standards,650A,Other Expenditures,214000,
Municipal Licensing & Standards,700A,Inter-Divisional Charges,4737886,
Non-Program,100A,Salaries and Benefits,44962051,
Non-Program,200A,Materials and Supplies,200000,
Non-Program,300A,Equipment,,no value provided
Non-Program,400A,Service and Rent,337149918,
Non-Program,505A,Contribution to Capital,218515000,
Non-Program,510A,Contribution to Reserves/Reserve Funds,111344238,
Non-Program,650A,Other Expenditures,569419279,
Non-Program,700A,Inter-Divisional Charges,21572760,
Office of the Chief Financial Officer,100A,Salaries and Benefits,15281009,
Office of the Chief Financial Officer,200A,Materials and Supplies,65158,
Office of the Chief Financial Officer,300A,Equipment,6601,
Office of the Chief Financial Officer,400A,Service and Rent,649221,
Office of the Chief Financial Officer,510A,Contribution to Reserves/Reserve Funds,72618,
Office of the Chief Financial Officer,650A,Other Expenditures,500,
Office of the Chief Financial Officer,700A,Inter-Divisional Charges,179318,
Office of the Lobbyist Registrar,100A,Salaries and Benefits,1002903,
Office of the Lobbyist Registrar,200A,Materials and Supplies,7314,
Office of the Lobbyist Registrar,300A,Equipment,2185,
Office of the Lobbyist Registrar,400A,Service and Rent,72912,
Office of the Lobbyist Registrar,510A,Contribution to Reserves/Reserve Funds,1386,
Office of the Lobbyist Registrar,700A,Inter-Divisional Charges,600,
Office of the Ombudsman,100A,Salaries and Benefits,1348152,
Office of the Ombudsman,200A,Materials and Supplies,12243,
Office of the Ombudsman,300A,Equipment,6774,
Office of the Ombudsman,400A,Service and Rent,212576,
Office of the Ombudsman,510A,Contribution to Reserves/Reserve Funds,1797,
Office of the Ombudsman,700A,Inter-Divisional Charges,11800,
Office of the Treasurer,100A,Salaries and Benefits,61655850,
Office of the Treasurer,200A,Materials and Supplies,1333219,
Office of the Treasurer,300A,Equipment,106160,
Office of the Treasurer,400A,Service and Rent,6940339,
Office of the Treasurer,510A,Contribution to Reserves/Reserve Funds,113609,
Office of the Treasurer,650A,Other Expenditures,1472600,
Office of the Treasurer,700A,Inter-Divisional Charges,2138504,
"Parks, Forestry & Recreation",100A,Salaries and Benefits,265087384,
"Parks, Forestry & Recreation",200A,Materials and Supplies,32319019,
"Parks, Forestry & Recreation",300A,Equipment,2535192,
"Parks, Forestry & Recreation",400A,Service and Rent,55656644,
"Parks, Forestry & Recreation",510A,Contribution to Reserves/Reserve Funds,9700353,
"Parks, Forestry & Recreation",650A,Other Expenditures,11714244,
"Parks, Forestry & Recreation",700A,Inter-Divisional Charges,18887707,
"Policy, Planning, Finance & Admin",100A,Salaries and Benefits,17897996,
"Policy, Planning, Finance & Admin",200A,Materials and Supplies,1201843,
"Policy, Planning, Finance & Admin",300A,Equipment,89823,
"Policy, Planning, Finance & Admin",400A,Service and Rent,625924,
"Policy, Planning, Finance & Admin",510A,Contribution to Reserves/Reserve Funds,94244,
"Policy, Planning, Finance & Admin",650A,Other Expenditures,8000,
"Policy, Planning, Finance & Admin",700A,Inter-Divisional Charges,2138917,
"Shelter, Support & Housing Admin",100A,Salaries and Benefits,66742811,
"Shelter, Support & Housing Admin",200A,Materials and Supplies,4439162,
"Shelter, Support & Housing Admin",300A,Equipment,210822,
"Shelter, Support & Housing Admin",400A,Service and Rent,68284498,
"Shelter, Support & Housing Admin",510A,Contribution to Reserves/Reserve Funds,1170160,
"Shelter, Support & Housing Admin",650A,Other Expenditures,543670039,
"Shelter, Support & Housing Admin",700A,Inter-Divisional Charges,1014583,
"Social Development, Finance & Admin",100A,Salaries and Benefits,13713485,
"Social Development, Finance & Admin",200A,Materials and Supplies,119959,
"Social Development, Finance & Admin",300A,Equipment,24327,
"Social Development, Finance & Admin",400A,Service and Rent,2783025,
"Social Development, Finance & Admin",510A,Contribution to Reserves/Reserve Funds,112679,
"Social Development, Finance & Admin",650A,Other Expenditures,17724160,
"Social Development, Finance & Admin",700A,Inter-Divisional Charges,319489,
Solid Waste Management Services,100A,Salaries and Benefits,92432495,
Solid Waste Management Services,200A,Materials and Supplies,5775881,
Solid Waste Management Services,300A,Equipment,868099,
Solid Waste Management Services,400A,Service and Rent,115306835,
Solid Waste Management Services,510A,Contribution to Reserves/Reserve Funds,34332341,
Solid Waste Management Services,650A,Other Expenditures,70752376,
Solid Waste Management Services,700A,Inter-Divisional Charges,30474672,
Theatres,100A,Salaries and Benefits,11012100,
Theatres,200A,Materials and Supplies,1914900,
Theatres,300A,Equipment,356600,
Theatres,400A,Service and Rent,6985644,
Theatres,510A,Contribution to Reserves/Reserve Funds,1600800,
Theatres,650A,Other Expenditures,1739100,
Toronto Atmospheric Fund,100A,Salaries and Benefits,801837,
Toronto Atmospheric Fund,200A,Materials and Supplies,19563,
Toronto Atmospheric Fund,400A,Service and Rent,167000,
Toronto Atmospheric Fund,650A,Other Expenditures,1229600,
Toronto Buildings,100A,Salaries and Benefits,41935424,
Toronto Buildings,200A,Materials and Supplies,244898,
Toronto Buildings,300A,Equipment,171046,
Toronto Buildings,400A,Service and Rent,1298796,
Toronto Buildings,510A,Contribution to Reserves/Reserve Funds,2656562,
Toronto Buildings,650A,Other Expenditures,278488,
Toronto Buildings,700A,Inter-Divisional Charges,505408,
Toronto Employment & Social Services,100A,Salaries and Benefits,192749859,
Toronto Employment & Social Services,200A,Materials and Supplies,15753330,
Toronto Employment & Social Services,300A,Equipment,606878,
Toronto Employment & Social Services,400A,Service and Rent,51379927,
Toronto Employment & Social Services,505A,Contribution to Capital,24893728,
Toronto Employment & Social Services,510A,Contribution to Reserves/Reserve Funds,469682661,
Toronto Employment & Social Services,650A,Other Expenditures,467800000,
Toronto Employment & Social Services,700A,Inter-Divisional Charges,23525866,
Toronto Parking Authority,100A,Salaries and Benefits,22103000,
Toronto Parking Authority,200A,Materials and Supplies,7059200,
Toronto Parking Authority,300A,Equipment,7377200,
Toronto Parking Authority,400A,Service and Rent,17150200,
Toronto Parking Authority,650A,Other Expenditures,81708400,
Toronto Police Service,100A,Salaries and Benefits,912933200,
Toronto Police Service,200A,Materials and Supplies,20608800,
Toronto Police Service,300A,Equipment,1561700,
Toronto Police Service,400A,Service and Rent,33458500,
Toronto Police Service,510A,Contribution to Reserves/Reserve Funds,29775800,
Toronto Police Service,700A,Inter-Divisional Charges,21387300,
Toronto Police Services Board,100A,Salaries and Benefits,1003700,
Toronto Police Services Board,200A,Materials and Supplies,7300,
Toronto Police Services Board,400A,Service and Rent,543900,
Toronto Police Services Board,505A,Contribution to Capital,610600,
Toronto Police Services Board,700A,Inter-Divisional Charges,610400,
Toronto Public Health,100A,Salaries and Benefits,175625371,
Toronto Public Health,200A,Materials and Supplies,4014097,
Toronto Public Health,300A,Equipment,916994,
Toronto Public Health,400A,Service and Rent,37779250,
Toronto Public Health,510A,Contribution to Reserves/Reserve Funds,1431732,
Toronto Public Health,650A,Other Expenditures,8745855,
Toronto Public Health,700A,Inter-Divisional Charges,15910382,
Toronto Public Library,100A,Salaries and Benefits,136554454,
Toronto Public Library,200A,Materials and Supplies,19904100,
Toronto Public Library,300A,Equipment,524300,
Toronto Public Library,400A,Service and Rent,22365000,
Toronto Public Library,505A,Contribution to Capital,1888000,
Toronto Public Library,510A,Contribution to Reserves/Reserve Funds,790500,
Toronto Public Library,650A,Other Expenditures,4000,
Toronto Region Conservation Authority,100A,Salaries and Benefits,30235400,
Toronto Region Conservation Authority,200A,Materials and Supplies,4421700,
Toronto Region Conservation Authority,300A,Equipment,820600,
Toronto Region Conservation Authority,400A,Service and Rent,8512900,
Toronto Region Conservation Authority,650A,Other Expenditures,-5634600,Non-normal value
Toronto Transit Commission - Wheel Trans,100A,Salaries and Benefits,54483900,
Toronto Transit Commission - Wheel Trans,200A,Materials and Supplies,13792300,
Toronto Transit Commission - Wheel Trans,400A,Service and Rent,33516400,
Toronto Transit Commission - Wheel Trans,650A,Other Expenditures,576700,
Toronto Transit Commission-Conventional,100A,Salaries and Benefits,1127908200,
Toronto Transit Commission-Conventional,200A,Materials and Supplies,289808900,
Toronto Transit Commission-Conventional,300A,Equipment,30638200,
Toronto Transit Commission-Conventional,400A,Service and Rent,58337700,
Toronto Transit Commission-Conventional,650A,Other Expenditures,30766400,
Toronto Transit Commission-Conventional,700A,Inter-Divisional Charges,3489000,
Toronto Water,100A,Salaries and Benefits,161228157,
Toronto Water,200A,Materials and Supplies,94086103,
Toronto Water,300A,Equipment,2473116,
Toronto Water,400A,Service and Rent,44378447,
Toronto Water,510A,Contribution to Reserves/Reserve Funds,553793067,
Toronto Water,650A,Other Expenditures,19478831,
Toronto Water,700A,Inter-Divisional Charges,65359432,
Toronto Zoo,100A,Salaries and Benefits,28227725,
Toronto Zoo,200A,Materials and Supplies,8416330,
Toronto Zoo,300A,Equipment,650500,
Toronto Zoo,400A,Service and Rent,13698150,
Toronto Zoo,510A,Contribution to Reserves/Reserve Funds,3110183,
Transportation Services,100A,Salaries and Benefits,92394183,
Transportation Services,200A,Materials and Supplies,41448344,
Transportation Services,300A,Equipment,748774,
Transportation Services,400A,Service and Rent,162672497,
Transportation Services,510A,Contribution to Reserves/Reserve Funds,19034432,
Transportation Services,650A,Other Expenditures,527268,
Transportation Services,700A,Inter-Divisional Charges,14621330,
Yonge-Dundas Square,100A,Salaries and Benefits,510942,
Yonge-Dundas Square,200A,Materials and Supplies,173136,
Yonge-Dundas Square,300A,Equipment,40000,
Yonge-Dundas Square,400A,Service and Rent,1342701,
Yonge-Dundas Square,510A,Contribution to Reserves/Reserve Funds,2387,
