_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,
COMMCENTRES,Association of Community Centres,200A,Materials & Supplies,436597,
COMMCENTRES,Association of Community Centres,300A,Equipment,3337,
COMMCENTRES,Association of Community Centres,400A,Service And Rent,947771,
COMMCENTRES,Association of Community Centres,510A,Contribution To Reserves/Reserve Funds,25850,
COMMCENTRES,Association of Community Centres,650A,Other Expenditures,7000,
AUDITGEN,Auditor General's Office,100A,Salaries And Benefits,4541766,
AUDITGEN,Auditor General's Office,200A,Materials & Supplies,15708,
AUDITGEN,Auditor General's Office,300A,Equipment,7954,
AUDITGEN,Auditor General's Office,400A,Service And Rent,90542,
AUDITGEN,Auditor General's Office,510A,Contribution To Reserves/Reserve Funds,6841,
AUDITGEN,Auditor General's Office,700A,Inter-Divisional Charges,22272,
CORPFINANCING,Capital & Corporate Financing,505A,Contribution To Capital,240366500,
CORPFINANCING,Capital & Corporate Financing,510A,Contribution To Reserves/Reserve Funds,18911638,
CORPFINANCING,Capital & Corporate Financing,650A,Other Expenditures,428586000,
CORPFINANCING,Capital & Corporate Financing,700A,Inter-Divisional Charges,470223,
CHILDSERV,Children's Services,100A,Salaries And Benefits,80237542,
CHILDSERV,Children's Services,200A,Materials & Supplies,2591699,
CHILDSERV,Children's Services,300A,Equipment,630320,
CHILDSERV,Children's Services,400A,Service And Rent,332816718,
CHILDSERV,Children's Services,510A,Contribution To Reserves/Reserve Funds,1178949,
CHILDSERV,Children's Services,650A,Other Expenditures,694500,
CHILDSERV,Children's Services,700A,Inter-Divisional Charges,3583460,
CLERK,City Clerk's Office,100A,Salaries And Benefits,44062666,
CLERK,City Clerk's Office,200A,Materials & Supplies,1821760,
CLERK,City Clerk's Office,300A,Equipment,561685,
CLERK,City Clerk's Office,400A,Service And Rent,11241987,
CLERK,City Clerk's Office,510A,Contribution To Reserves/Reserve Funds,448899,
CLERK,City Clerk's Office,650A,Other Expenditures,40917,
CLERK,City Clerk's Office,700A,Inter-Divisional Charges,2297219,
COUNCIL,City Council,100A,Salaries And Benefits,20208462,
COUNCIL,City Council,200A,Materials & Supplies,1259607,
COUNCIL,City Council,300A,Equipment,92000,
COUNCIL,City Council,400A,Service And Rent,391500,
COUNCIL,City Council,510A,Contribution To Reserves/Reserve Funds,91630,
COUNCIL,City Council,700A,Inter-Divisional Charges,244219,
CITYMANAGER,City Manager's Office,100A,Salaries And Benefits,51314727,
CITYMANAGER,City Manager's Office,200A,Materials & Supplies,199003,
CITYMANAGER,City Manager's Office,300A,Equipment,144562,
CITYMANAGER,City Manager's Office,400A,Service And Rent,3394518,
CITYMANAGER,City Manager's Office,510A,Contribution To Reserves/Reserve Funds,91307,
CITYMANAGER,City Manager's Office,700A,Inter-Divisional Charges,257552,
PLANNING,City Planning,100A,Salaries And Benefits,37314374,
PLANNING,City Planning,200A,Materials & Supplies,187729,
PLANNING,City Planning,300A,Equipment,163544,
PLANNING,City Planning,400A,Service And Rent,2544238,
PLANNING,City Planning,510A,Contribution To Reserves/Reserve Funds,64117,
PLANNING,City Planning,650A,Other Expenditures,400700,
PLANNING,City Planning,700A,Inter-Divisional Charges,932666,
COURTSERV,Court Services,100A,Salaries And Benefits,20371616,
COURTSERV,Court Services,200A,Materials & Supplies,177396,
COURTSERV,Court Services,300A,Equipment,67525,
COURTSERV,Court Services,400A,Service And Rent,9413638,
COURTSERV,Court Services,510A,Contribution To Reserves/Reserve Funds,70642,
COURTSERV,Court Services,650A,Other Expenditures,1920187,
COURTSERV,Court Services,700A,Inter-Divisional Charges,21793288,
ECONDEV,Economic Development & Culture,100A,Salaries And Benefits,26601861,
ECONDEV,Economic Development & Culture,200A,Materials & Supplies,1435530,
ECONDEV,Economic Development & Culture,300A,Equipment,157604,
ECONDEV,Economic Development & Culture,400A,Service And Rent,11554427,
ECONDEV,Economic Development & Culture,510A,Contribution To Reserves/Reserve Funds,930061,
ECONDEV,Economic Development & Culture,650A,Other Expenditures,31285057,
ECONDEV,Economic Development & Culture,700A,Inter-Divisional Charges,429545,
ENGINEERING,Engineering & Construction Services,100A,Salaries And Benefits,56977632,
ENGINEERING,Engineering & Construction Services,200A,Materials & Supplies,399613,
ENGINEERING,Engineering & Construction Services,300A,Equipment,251416,
ENGINEERING,Engineering & Construction Services,400A,Service And Rent,3458165,
ENGINEERING,Engineering & Construction Services,510A,Contribution To Reserves/Reserve Funds,778686,
ENGINEERING,Engineering & Construction Services,700A,Inter-Divisional Charges,3736390,
EXHIBPLACE,Exhibition Place,100A,Salaries And Benefits,31992202,
EXHIBPLACE,Exhibition Place,200A,Materials & Supplies,4273093,
EXHIBPLACE,Exhibition Place,300A,Equipment,176840,
EXHIBPLACE,Exhibition Place,400A,Service And Rent,18367044,
EXHIBPLACE,Exhibition Place,505A,Contribution To Capital,500000,
EXHIBPLACE,Exhibition Place,510A,Contribution To Reserves/Reserve Funds,1921856,
EXHIBPLACE,Exhibition Place,650A,Other Expenditures,-12792981,Non-normal value
FACILITIES,"Facilities, Real Estate, Environment & Energy",100A,Salaries And Benefits,83140161,
FACILITIES,"Facilities, Real Estate, Environment & Energy",200A,Materials & Supplies,28359696,
FACILITIES,"Facilities, Real Estate, Environment & Energy",300A,Equipment,530964,
FACILITIES,"Facilities, Real Estate, Environment & Energy",400A,Service And Rent,65559316,
FACILITIES,"Facilities, Real Estate, Environment & Energy",510A,Contribution To Reserves/Reserve Funds,1827633,
FACILITIES,"Facilities, Real Estate, Environment & Energy",650A,Other Expenditures,7593960,
FACILITIES,"Facilities, Real Estate, Environment & Energy",700A,Inter-Divisional Charges,1735168,
FIRE,Fire Services,100A,Salaries And Benefits,393961314,
FIRE,Fire Services,200A,Materials & Supplies,8027000,
FIRE,Fire Services,300A,Equipment,839591,
FIRE,Fire Services,400A,Service And Rent,6435910,
FIRE,Fire Services,510A,Contribution To Reserves/Reserve Funds,8835900,
FIRE,Fire Services,700A,Inter-Divisional Charges,7435100,
FLEET,Fleet Services,100A,Salaries And Benefits,17067419,
FLEET,Fleet Services,200A,Materials & Supplies,21609755,
FLEET,Fleet Services,300A,Equipment,114124,
FLEET,Fleet Services,400A,Service And Rent,7774969,
FLEET,Fleet Services,510A,Contribution To Reserves/Reserve Funds,655559,
FLEET,Fleet Services,700A,Inter-Divisional Charges,567071,
HERITAGE,Heritage Toronto,100A,Salaries And Benefits,550300,
HERITAGE,Heritage Toronto,200A,Materials & Supplies,70400,
HERITAGE,Heritage Toronto,400A,Service And Rent,133500,
HERITAGE,Heritage Toronto,510A,Contribution To Reserves/Reserve Funds,1100,
HERITAGE,Heritage Toronto,650A,Other Expenditures,19225,
IT,Information & Technology,100A,Salaries And Benefits,83687326,
IT,Information & Technology,200A,Materials & Supplies,284905,
IT,Information & Technology,300A,Equipment,1143972,
IT,Information & Technology,400A,Service And Rent,24734722,
IT,Information & Technology,510A,Contribution To Reserves/Reserve Funds,104852,
IT,Information & Technology,650A,Other Expenditures,396,
IT,Information & Technology,700A,Inter-Divisional Charges,477319,
INTEGRITYCOMM,Integrity Commissioner's Office,100A,Salaries And Benefits,278021,
INTEGRITYCOMM,Integrity Commissioner's Office,200A,Materials & Supplies,1535,
INTEGRITYCOMM,Integrity Commissioner's Office,300A,Equipment,51,
INTEGRITYCOMM,Integrity Commissioner's Office,400A,Service And Rent,14923,
INTEGRITYCOMM,Integrity Commissioner's Office,510A,Contribution To Reserves/Reserve Funds,4192,
INTEGRITYCOMM,Integrity Commissioner's Office,700A,Inter-Divisional Charges,400,
LEGAL,Legal Services,100A,Salaries And Benefits,38002887,
LEGAL,Legal Services,200A,Materials & Supplies,407331,
LEGAL,Legal Services,300A,Equipment,105587,
LEGAL,Legal Services,400A,Service And Rent,1415784,
LEGAL,Legal Services,510A,Contribution To Reserves/Reserve Funds,58882,
LEGAL,Legal Services,700A,Inter-Divisional Charges,7054000,
LONGTERMHOME,Long Term Care Homes & Services,100A,Salaries And Benefits,189823841,
LONGTERMHOME,Long Term Care Homes & Services,200A,Materials & Supplies,18438355,
LONGTERMHOME,Long Term Care Homes & Services,300A,Equipment,2260900,
LONGTERMHOME,Long Term Care Homes & Services,400A,Service And Rent,18735732,
LONGTERMHOME,Long Term Care Homes & Services,510A,Contribution To Reserves/Reserve Funds,1809387,
LONGTERMHOME,Long Term Care Homes & Services,650A,Other Expenditures,145350,
LONGTERMHOME,Long Term Care Homes & Services,700A,Inter-Divisional Charges,585971,
MAYOR,Mayor's Office,100A,Salaries And Benefits,1029725,
MAYOR,Mayor's Office,200A,Materials & Supplies,6581,
MAYOR,Mayor's Office,300A,Equipment,500,
MAYOR,Mayor's Office,400A,Service And Rent,44086,
MAYOR,Mayor's Office,700A,Inter-Divisional Charges,7607,
LICENCING,Municipal Licensing & Standards,100A,Salaries And Benefits,41176396,
LICENCING,Municipal Licensing & Standards,200A,Materials & Supplies,1191186,
LICENCING,Municipal Licensing & Standards,300A,Equipment,186508,
LICENCING,Municipal Licensing & Standards,400A,Service And Rent,1871480,
LICENCING,Municipal Licensing & Standards,510A,Contribution To Reserves/Reserve Funds,848184,
LICENCING,Municipal Licensing & Standards,650A,Other Expenditures,194000,
LICENCING,Municipal Licensing & Standards,700A,Inter-Divisional Charges,4578270,
CORPEXPENDITURES,Non-Program Expenditures,100A,Salaries And Benefits,52841300,
CORPEXPENDITURES,Non-Program Expenditures,200A,Materials & Supplies,200000,
CORPEXPENDITURES,Non-Program Expenditures,400A,Service And Rent,335785845,
CORPEXPENDITURES,Non-Program Expenditures,510A,Contribution To Reserves/Reserve Funds,91732600,
CORPEXPENDITURES,Non-Program Expenditures,650A,Other Expenditures,135965551,
CORPEXPENDITURES,Non-Program Expenditures,700A,Inter-Divisional Charges,62527874,
CORPREVENUES,Non-Program Revenues,400A,Service And Rent,5767329,
CORPREVENUES,Non-Program Revenues,510A,Contribution To Reserves/Reserve Funds,-327,Non-normal value
CORPREVENUES,Non-Program Revenues,650A,Other Expenditures,290000,
CORPREVENUES,Non-Program Revenues,700A,Inter-Divisional Charges,3208747,
CFO,Office of the Chief Financial Officer,100A,Salaries And Benefits,15171807,
CFO,Office of the Chief Financial Officer,200A,Materials & Supplies,65723,
CFO,Office of the Chief Financial Officer,300A,Equipment,18746,
CFO,Office of the Chief Financial Officer,400A,Service And Rent,694365,
CFO,Office of the Chief Financial Officer,510A,Contribution To Reserves/Reserve Funds,72618,
CFO,Office of the Chief Financial Officer,650A,Other Expenditures,500,
CFO,Office of the Chief Financial Officer,700A,Inter-Divisional Charges,178767,
LOBBYREG,Office of the Lobbyist Registrar,100A,Salaries And Benefits,1021676,
LOBBYREG,Office of the Lobbyist Registrar,200A,Materials & Supplies,7418,
LOBBYREG,Office of the Lobbyist Registrar,300A,Equipment,2233,
LOBBYREG,Office of the Lobbyist Registrar,400A,Service And Rent,54053,
LOBBYREG,Office of the Lobbyist Registrar,510A,Contribution To Reserves/Reserve Funds,1386,
LOBBYREG,Office of the Lobbyist Registrar,700A,Inter-Divisional Charges,600,
OMBUDSMAN,Office of the Ombudsman,100A,Salaries And Benefits,1385691,
OMBUDSMAN,Office of the Ombudsman,200A,Materials & Supplies,12411,
OMBUDSMAN,Office of the Ombudsman,300A,Equipment,6923,
OMBUDSMAN,Office of the Ombudsman,400A,Service And Rent,217187,
OMBUDSMAN,Office of the Ombudsman,510A,Contribution To Reserves/Reserve Funds,1797,
OMBUDSMAN,Office of the Ombudsman,700A,Inter-Divisional Charges,11800,
TREASURER,Office of the Treasurer,100A,Salaries And Benefits,62264906,
TREASURER,Office of the Treasurer,200A,Materials & Supplies,1191730,
TREASURER,Office of the Treasurer,300A,Equipment,108495,
TREASURER,Office of the Treasurer,400A,Service And Rent,7048742,
TREASURER,Office of the Treasurer,510A,Contribution To Reserves/Reserve Funds,109409,
TREASURER,Office of the Treasurer,650A,Other Expenditures,1397732,
TREASURER,Office of the Treasurer,700A,Inter-Divisional Charges,2265684,
PARKS,"Parks, Forestry & Recreation",100A,Salaries And Benefits,273326487,
PARKS,"Parks, Forestry & Recreation",200A,Materials & Supplies,33786130,
PARKS,"Parks, Forestry & Recreation",300A,Equipment,3290673,
PARKS,"Parks, Forestry & Recreation",400A,Service And Rent,61977278,
PARKS,"Parks, Forestry & Recreation",510A,Contribution To Reserves/Reserve Funds,9824733,
PARKS,"Parks, Forestry & Recreation",650A,Other Expenditures,11327319,
PARKS,"Parks, Forestry & Recreation",700A,Inter-Divisional Charges,19512212,
POLICYADMIN,"Policy, Planning, Finance & Administration",100A,Salaries And Benefits,19109221,
POLICYADMIN,"Policy, Planning, Finance & Administration",200A,Materials & Supplies,1145402,
POLICYADMIN,"Policy, Planning, Finance & Administration",300A,Equipment,87989,
POLICYADMIN,"Policy, Planning, Finance & Administration",400A,Service And Rent,845972,
POLICYADMIN,"Policy, Planning, Finance & Administration",510A,Contribution To Reserves/Reserve Funds,116669,
POLICYADMIN,"Policy, Planning, Finance & Administration",700A,Inter-Divisional Charges,757609,
PROPERTYTAX,Property Tax,510A,Special Levy for Scarborough Subway (Reserve Contribution),12207000,
SHELTERADMIN,"Shelter, Support & Housing Administration",100A,Salaries And Benefits,67202490,
SHELTERADMIN,"Shelter, Support & Housing Administration",200A,Materials & Supplies,4270689,
SHELTERADMIN,"Shelter, Support & Housing Administration",300A,Equipment,176551,
SHELTERADMIN,"Shelter, Support & Housing Administration",400A,Service And Rent,68431016,
SHELTERADMIN,"Shelter, Support & Housing Administration",510A,Contribution To Reserves/Reserve Funds,1162722,
SHELTERADMIN,"Shelter, Support & Housing Administration",650A,Other Expenditures,505028985,
SHELTERADMIN,"Shelter, Support & Housing Administration",700A,Inter-Divisional Charges,1111569,
SOCIALDEV,"Social Development, Finance & Administration",100A,Salaries And Benefits,14174388,
SOCIALDEV,"Social Development, Finance & Administration",200A,Materials & Supplies,99727,
SOCIALDEV,"Social Development, Finance & Administration",300A,Equipment,18609,
SOCIALDEV,"Social Development, Finance & Administration",400A,Service And Rent,3656260,
SOCIALDEV,"Social Development, Finance & Administration",510A,Contribution To Reserves/Reserve Funds,112679,
SOCIALDEV,"Social Development, Finance & Administration",650A,Other Expenditures,22414200,
SOCIALDEV,"Social Development, Finance & Administration",700A,Inter-Divisional Charges,300989,
SOLIDWASTE,Solid Waste Management Services,100A,Salaries And Benefits,92401735,
SOLIDWASTE,Solid Waste Management Services,200A,Materials & Supplies,5957949,
SOLIDWASTE,Solid Waste Management Services,300A,Equipment,441743,
SOLIDWASTE,Solid Waste Management Services,400A,Service And Rent,125687198,
SOLIDWASTE,Solid Waste Management Services,510A,Contribution To Reserves/Reserve Funds,40788762,
SOLIDWASTE,Solid Waste Management Services,650A,Other Expenditures,57578234,
SOLIDWASTE,Solid Waste Management Services,700A,Inter-Divisional Charges,31170221,
THEATRES,Theatres,100A,Salaries And Benefits,10411925,
THEATRES,Theatres,200A,Materials & Supplies,1825752,
THEATRES,Theatres,300A,Equipment,709361,
THEATRES,Theatres,400A,Service And Rent,6154950,
THEATRES,Theatres,510A,Contribution To Reserves/Reserve Funds,1936500,
THEATRES,Theatres,650A,Other Expenditures,1122751,
REGIONCONSERV,Toronto & Region Conservation Authority,100A,Salaries And Benefits,30785400,
REGIONCONSERV,Toronto & Region Conservation Authority,200A,Materials & Supplies,4421700,
REGIONCONSERV,Toronto & Region Conservation Authority,300A,Equipment,820600,
REGIONCONSERV,Toronto & Region Conservation Authority,400A,Service And Rent,2878300,
ATMOSPHERE,Toronto Atmospheric Fund,100A,Salaries And Benefits,948949,
ATMOSPHERE,Toronto Atmospheric Fund,200A,Materials & Supplies,19993,
ATMOSPHERE,Toronto Atmospheric Fund,400A,Service And Rent,1006058,
ATMOSPHERE,Toronto Atmospheric Fund,650A,Other Expenditures,450000,
BUILDINGS,Toronto Building,100A,Salaries And Benefits,42460061,
BUILDINGS,Toronto Building,200A,Materials & Supplies,239901,
BUILDINGS,Toronto Building,300A,Equipment,451047,
BUILDINGS,Toronto Building,400A,Service And Rent,1196097,
BUILDINGS,Toronto Building,510A,Contribution To Reserves/Reserve Funds,3170562,
BUILDINGS,Toronto Building,650A,Other Expenditures,278488,
BUILDINGS,Toronto Building,700A,Inter-Divisional Charges,612849,
SOCIALSERV,Toronto Employment & Social Services,100A,Salaries And Benefits,190739930,
SOCIALSERV,Toronto Employment & Social Services,200A,Materials & Supplies,14102272,
SOCIALSERV,Toronto Employment & Social Services,300A,Equipment,275028,
SOCIALSERV,Toronto Employment & Social Services,400A,Service And Rent,88987884,
SOCIALSERV,Toronto Employment & Social Services,505A,Contribution To Capital,1100000,
SOCIALSERV,Toronto Employment & Social Services,510A,Contribution To Reserves/Reserve Funds,22317128,
SOCIALSERV,Toronto Employment & Social Services,650A,Other Expenditures,831240338,
SOCIALSERV,Toronto Employment & Social Services,700A,Inter-Divisional Charges,23565010,
PARAMEDIC,Toronto Paramedic Services,100A,Salaries And Benefits,154358062,
PARAMEDIC,Toronto Paramedic Services,200A,Materials & Supplies,6433031,
PARAMEDIC,Toronto Paramedic Services,300A,Equipment,787811,
PARAMEDIC,Toronto Paramedic Services,400A,Service And Rent,9770025,
PARAMEDIC,Toronto Paramedic Services,505A,Contribution To Capital,472000,
PARAMEDIC,Toronto Paramedic Services,510A,Contribution To Reserves/Reserve Funds,5647670,
PARAMEDIC,Toronto Paramedic Services,650A,Other Expenditures,8937,
PARAMEDIC,Toronto Paramedic Services,700A,Inter-Divisional Charges,9704944,
PARKING,Toronto Parking Authority,100A,Salaries And Benefits,22457751,
PARKING,Toronto Parking Authority,200A,Materials & Supplies,7425911,
PARKING,Toronto Parking Authority,300A,Equipment,7377200,
PARKING,Toronto Parking Authority,400A,Service And Rent,20318032,
PARKING,Toronto Parking Authority,650A,Other Expenditures,80856899,
POLICE,Toronto Police Service,100A,Salaries And Benefits,966681012,
POLICE,Toronto Police Service,200A,Materials & Supplies,21068800,
POLICE,Toronto Police Service,300A,Equipment,1835100,
POLICE,Toronto Police Service,400A,Service And Rent,37848700,
POLICE,Toronto Police Service,510A,Contribution To Reserves/Reserve Funds,38297700,
POLICE,Toronto Police Service,700A,Inter-Divisional Charges,19819800,
POLICEBOARD,Toronto Police Services Board,100A,Salaries And Benefits,1022100,
POLICEBOARD,Toronto Police Services Board,200A,Materials & Supplies,7300,
POLICEBOARD,Toronto Police Services Board,400A,Service And Rent,872800,
POLICEBOARD,Toronto Police Services Board,505A,Contribution To Capital,610600,
POLICEBOARD,Toronto Police Services Board,700A,Inter-Divisional Charges,645400,
PUBLICHEALTH,Toronto Public Health,100A,Salaries And Benefits,177907501,
PUBLICHEALTH,Toronto Public Health,200A,Materials & Supplies,4028367,
PUBLICHEALTH,Toronto Public Health,300A,Equipment,884563,
PUBLICHEALTH,Toronto Public Health,400A,Service And Rent,37479721,
PUBLICHEALTH,Toronto Public Health,510A,Contribution To Reserves/Reserve Funds,1431732,
PUBLICHEALTH,Toronto Public Health,650A,Other Expenditures,9378683,
PUBLICHEALTH,Toronto Public Health,700A,Inter-Divisional Charges,16521638,
LIBRARY,Toronto Public Library,100A,Salaries And Benefits,137797840,
LIBRARY,Toronto Public Library,200A,Materials & Supplies,20459676,
LIBRARY,Toronto Public Library,300A,Equipment,523316,
LIBRARY,Toronto Public Library,400A,Service And Rent,22796752,
LIBRARY,Toronto Public Library,505A,Contribution To Capital,1848000,
LIBRARY,Toronto Public Library,510A,Contribution To Reserves/Reserve Funds,790521,
LIBRARY,Toronto Public Library,650A,Other Expenditures,4030,
TTCCONV,Toronto Transit Commission - Conventional,100A,Salaries And Benefits,1156115100,
TTCCONV,Toronto Transit Commission - Conventional,200A,Materials & Supplies,311374799,
TTCCONV,Toronto Transit Commission - Conventional,300A,Equipment,31906700,
TTCCONV,Toronto Transit Commission - Conventional,400A,Service And Rent,69401400,
TTCCONV,Toronto Transit Commission - Conventional,650A,Other Expenditures,34194300,
TTCCONV,Toronto Transit Commission - Conventional,700A,Inter-Divisional Charges,3566800,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,100A,Salaries And Benefits,58076400,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,200A,Materials & Supplies,14873100,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,400A,Service And Rent,38931600,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,650A,Other Expenditures,680800,
WATER,Toronto Water,100A,Salaries And Benefits,164734698,
WATER,Toronto Water,200A,Materials & Supplies,94399392,
WATER,Toronto Water,300A,Equipment,2650006,
WATER,Toronto Water,400A,Service And Rent,52163454,
WATER,Toronto Water,510A,Contribution To Reserves/Reserve Funds,622699158,
WATER,Toronto Water,650A,Other Expenditures,20271352,
WATER,Toronto Water,700A,Inter-Divisional Charges,65168395,
ZOO,Toronto Zoo,100A,Salaries And Benefits,28151490,
ZOO,Toronto Zoo,200A,Materials & Supplies,8269999,
ZOO,Toronto Zoo,300A,Equipment,365899,
ZOO,Toronto Zoo,400A,Service And Rent,12666068,
ZOO,Toronto Zoo,510A,Contribution To Reserves/Reserve Funds,2302386,
TRANSPORTATION,Transportation Services,100A,Salaries And Benefits,95018744,
TRANSPORTATION,Transportation Services,200A,Materials & Supplies,41651054,
TRANSPORTATION,Transportation Services,300A,Equipment,737001,
TRANSPORTATION,Transportation Services,400A,Service And Rent,166053359,
TRANSPORTATION,Transportation Services,510A,Contribution To Reserves/Reserve Funds,21034432,
TRANSPORTATION,Transportation Services,650A,Other Expenditures,718948,
TRANSPORTATION,Transportation Services,700A,Inter-Divisional Charges,14988145,
YONGEDUNDAS,Yonge-Dundas Square,100A,Salaries And Benefits,542321,
YONGEDUNDAS,Yonge-Dundas Square,200A,Materials & Supplies,184086,
YONGEDUNDAS,Yonge-Dundas Square,300A,Equipment,40000,
YONGEDUNDAS,Yonge-Dundas Square,400A,Service And Rent,1446767,
YONGEDUNDAS,Yonge-Dundas Square,510A,Contribution To Reserves/Reserve Funds,2387,
