_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,
ARENAS,Arena Boards of Management,850A,User Fees & Donations,7271235,
ARENAS,Arena Boards of Management,940A,Sundry and Other Revenues,992168,
COMMCENTRES,Association of Community Centres,850A,User Fees & Donations,281700,
COMMCENTRES,Association of Community Centres,930A,Contribution From Reserves/Reserve Funds,339489,
COMMCENTRES,Association of Community Centres,940A,Sundry and Other Revenues,1500,
CORPFINANCING,Capital & Corporate Financing,750A,Inter-Divisional Recoveries,2874457,
CORPFINANCING,Capital & Corporate Financing,805A,Provincial Subsidies,1431000,
CORPFINANCING,Capital & Corporate Financing,930A,Contribution From Reserves/Reserve Funds,29570000,
CORPFINANCING,Capital & Corporate Financing,940A,Sundry and Other Revenues,2319222,
CHILDSERV,Children's Services,750A,Inter-Divisional Recoveries,10200000,
CHILDSERV,Children's Services,805A,Provincial Subsidies,298298770,
CHILDSERV,Children's Services,850A,User Fees & Donations,19037500,
CHILDSERV,Children's Services,920A,Transfers From Capital,1561500,
CHILDSERV,Children's Services,930A,Contribution From Reserves/Reserve Funds,15919025,
CLERK,City Clerk's Office,750A,Inter-Divisional Recoveries,9846652,
CLERK,City Clerk's Office,850A,User Fees & Donations,572888,
CLERK,City Clerk's Office,920A,Transfers From Capital,1154000,
CLERK,City Clerk's Office,930A,Contribution From Reserves/Reserve Funds,15580192,
CLERK,City Clerk's Office,940A,Sundry and Other Revenues,910782,
COUNCIL,City Council,930A,Contribution From Reserves/Reserve Funds,2330000,
CITYMANAGER,City Manager's Office,750A,Inter-Divisional Recoveries,3707520,
CITYMANAGER,City Manager's Office,810A,Federal Subsidies,17850,
CITYMANAGER,City Manager's Office,850A,User Fees & Donations,15900,
CITYMANAGER,City Manager's Office,920A,Transfers From Capital,4151873,
CITYMANAGER,City Manager's Office,930A,Contribution From Reserves/Reserve Funds,698000,
CITYMANAGER,City Manager's Office,940A,Sundry and Other Revenues,158633,
PLANNING,City Planning,850A,User Fees & Donations,21898094,
PLANNING,City Planning,920A,Transfers From Capital,2278563,
PLANNING,City Planning,930A,Contribution From Reserves/Reserve Funds,924032,
PLANNING,City Planning,940A,Sundry and Other Revenues,898350,
COURTSERV,Court Services,750A,Inter-Divisional Recoveries,5445342,
COURTSERV,Court Services,850A,User Fees & Donations,378291,
COURTSERV,Court Services,940A,Sundry and Other Revenues,61773822,
ECONDEV,Economic Development & Culture,805A,Provincial Subsidies,3050200,
ECONDEV,Economic Development & Culture,810A,Federal Subsidies,1181672,
ECONDEV,Economic Development & Culture,820A,Other Subsidies,37000,
ECONDEV,Economic Development & Culture,850A,User Fees & Donations,2437664,
ECONDEV,Economic Development & Culture,860A,Licences & Permits Revenue,613366,
ECONDEV,Economic Development & Culture,920A,Transfers From Capital,1036000,
ECONDEV,Economic Development & Culture,930A,Contribution From Reserves/Reserve Funds,10520934,
ECONDEV,Economic Development & Culture,940A,Sundry and Other Revenues,4824329,
ENGINEERING,Engineering & Construction Services,850A,User Fees & Donations,6305601,
ENGINEERING,Engineering & Construction Services,860A,Licences & Permits Revenue,2301756,
ENGINEERING,Engineering & Construction Services,920A,Transfers From Capital,46271564,
ENGINEERING,Engineering & Construction Services,940A,Sundry and Other Revenues,3118647,
EXHIBPLACE,Exhibition Place,850A,User Fees & Donations,41946518,
EXHIBPLACE,Exhibition Place,930A,Contribution From Reserves/Reserve Funds,2591536,
FACILITIES,"Facilities, Real Estate, Environment & Energy",750A,Inter-Divisional Recoveries,49244020,
FACILITIES,"Facilities, Real Estate, Environment & Energy",805A,Provincial Subsidies,180000,
FACILITIES,"Facilities, Real Estate, Environment & Energy",810A,Federal Subsidies,220480,
FACILITIES,"Facilities, Real Estate, Environment & Energy",850A,User Fees & Donations,43113390,
FACILITIES,"Facilities, Real Estate, Environment & Energy",920A,Transfers From Capital,9170965,
FACILITIES,"Facilities, Real Estate, Environment & Energy",930A,Contribution From Reserves/Reserve Funds,11865855,
FACILITIES,"Facilities, Real Estate, Environment & Energy",940A,Sundry and Other Revenues,9633089,
FIRE,Fire Services,750A,Inter-Divisional Recoveries,385924,
FIRE,Fire Services,805A,Provincial Subsidies,400000,
FIRE,Fire Services,850A,User Fees & Donations,13548915,
FIRE,Fire Services,930A,Contribution From Reserves/Reserve Funds,187900,
FIRE,Fire Services,940A,Sundry and Other Revenues,110800,
FLEET,Fleet Services,750A,Inter-Divisional Recoveries,44769729,
FLEET,Fleet Services,920A,Transfers From Capital,115873,
FLEET,Fleet Services,940A,Sundry and Other Revenues,2903295,
HERITAGE,Heritage Toronto,805A,Provincial Subsidies,36200,
HERITAGE,Heritage Toronto,810A,Federal Subsidies,70000,
HERITAGE,Heritage Toronto,850A,User Fees & Donations,192500,
HERITAGE,Heritage Toronto,930A,Contribution From Reserves/Reserve Funds,13225,
HERITAGE,Heritage Toronto,940A,Sundry and Other Revenues,150800,
IT,Information & Technology,750A,Inter-Divisional Recoveries,12913569,
IT,Information & Technology,850A,User Fees & Donations,103061,
IT,Information & Technology,920A,Transfers From Capital,23335891,
IT,Information & Technology,930A,Contribution From Reserves/Reserve Funds,4815290,
IT,Information & Technology,940A,Sundry and Other Revenues,726349,
LEGAL,Legal Services,750A,Inter-Divisional Recoveries,21795330,
LEGAL,Legal Services,850A,User Fees & Donations,2473908,
LEGAL,Legal Services,920A,Transfers From Capital,807956,
LEGAL,Legal Services,930A,Contribution From Reserves/Reserve Funds,300000,
LEGAL,Legal Services,940A,Sundry and Other Revenues,2474119,
LONGTERMHOME,Long Term Care Homes & Services,750A,Inter-Divisional Recoveries,69100,
LONGTERMHOME,Long Term Care Homes & Services,805A,Provincial Subsidies,137075384,
LONGTERMHOME,Long Term Care Homes & Services,850A,User Fees & Donations,48462422,
LONGTERMHOME,Long Term Care Homes & Services,920A,Transfers From Capital,260000,
LONGTERMHOME,Long Term Care Homes & Services,940A,Sundry and Other Revenues,142900,
LICENCING,Municipal Licensing & Standards,750A,Inter-Divisional Recoveries,1510461,
LICENCING,Municipal Licensing & Standards,850A,User Fees & Donations,3310044,
LICENCING,Municipal Licensing & Standards,860A,Licences & Permits Revenue,23725155,
LICENCING,Municipal Licensing & Standards,930A,Contribution From Reserves/Reserve Funds,20000,
LICENCING,Municipal Licensing & Standards,940A,Sundry and Other Revenues,403053,
CORPEXPENDITURES,Non-Program Expenditures,805A,Provincial Subsidies,14859939,
CORPEXPENDITURES,Non-Program Expenditures,810A,Federal Subsidies,14859939,
CORPEXPENDITURES,Non-Program Expenditures,850A,User Fees & Donations,1449836,
CORPEXPENDITURES,Non-Program Expenditures,930A,Contribution From Reserves/Reserve Funds,138473491,
CORPEXPENDITURES,Non-Program Expenditures,940A,Sundry and Other Revenues,44809482,
CORPREVENUES,Non-Program Revenues,750A,Inter-Divisional Recoveries,35299700,
CORPREVENUES,Non-Program Revenues,850A,User Fees & Donations,1871534,
CORPREVENUES,Non-Program Revenues,860A,Licences & Permits Revenue,4446608,
CORPREVENUES,Non-Program Revenues,930A,Contribution From Reserves/Reserve Funds,97600000,
CORPREVENUES,Non-Program Revenues,940A,Sundry and Other Revenues,869138764,
CFO,Office of the Chief Financial Officer,750A,Inter-Divisional Recoveries,2117342,
CFO,Office of the Chief Financial Officer,920A,Transfers From Capital,2524525,
CFO,Office of the Chief Financial Officer,930A,Contribution From Reserves/Reserve Funds,2078764,
CFO,Office of the Chief Financial Officer,940A,Sundry and Other Revenues,36130,
TREASURER,Office of the Treasurer,750A,Inter-Divisional Recoveries,24641946,
TREASURER,Office of the Treasurer,850A,User Fees & Donations,11005905,
TREASURER,Office of the Treasurer,920A,Transfers From Capital,3786870,
TREASURER,Office of the Treasurer,930A,Contribution From Reserves/Reserve Funds,1382164,
TREASURER,Office of the Treasurer,940A,Sundry and Other Revenues,3196934,
PARKS,"Parks, Forestry & Recreation",750A,Inter-Divisional Recoveries,7009167,
PARKS,"Parks, Forestry & Recreation",805A,Provincial Subsidies,609972,
PARKS,"Parks, Forestry & Recreation",810A,Federal Subsidies,3500000,
PARKS,"Parks, Forestry & Recreation",850A,User Fees & Donations,76330516,
PARKS,"Parks, Forestry & Recreation",860A,Licences & Permits Revenue,8906278,
PARKS,"Parks, Forestry & Recreation",920A,Transfers From Capital,5504059,
PARKS,"Parks, Forestry & Recreation",930A,Contribution From Reserves/Reserve Funds,18747699,
PARKS,"Parks, Forestry & Recreation",940A,Sundry and Other Revenues,3519935,
POLICYADMIN,"Policy, Planning, Finance & Administration",750A,Inter-Divisional Recoveries,9471093,
POLICYADMIN,"Policy, Planning, Finance & Administration",805A,Provincial Subsidies,85000,
POLICYADMIN,"Policy, Planning, Finance & Administration",920A,Transfers From Capital,2389912,
POLICYADMIN,"Policy, Planning, Finance & Administration",940A,Sundry and Other Revenues,232040,
PROPERTYTAX,Property Tax,940A,Property Tax,3762089651,
PROPERTYTAX,Property Tax,940A,Special Levy for Scarborough Subway,12207000,revenue code was missing
SHELTERADMIN,"Shelter, Support & Housing Administration",750A,Inter-Divisional Recoveries,37989783,
SHELTERADMIN,"Shelter, Support & Housing Administration",805A,Provincial Subsidies,131649626,
SHELTERADMIN,"Shelter, Support & Housing Administration",810A,Federal Subsidies,166507179,
SHELTERADMIN,"Shelter, Support & Housing Administration",820A,Other Subsidies,75957067,
SHELTERADMIN,"Shelter, Support & Housing Administration",850A,User Fees & Donations,902400,
SHELTERADMIN,"Shelter, Support & Housing Administration",920A,Transfers From Capital,149616,
SHELTERADMIN,"Shelter, Support & Housing Administration",930A,Contribution From Reserves/Reserve Funds,36675474,
SHELTERADMIN,"Shelter, Support & Housing Administration",940A,Sundry and Other Revenues,37045,
SOCIALDEV,"Social Development, Finance & Administration",750A,Inter-Divisional Recoveries,561100,
SOCIALDEV,"Social Development, Finance & Administration",805A,Provincial Subsidies,3155602,
SOCIALDEV,"Social Development, Finance & Administration",810A,Federal Subsidies,1975491,
SOCIALDEV,"Social Development, Finance & Administration",930A,Contribution From Reserves/Reserve Funds,5063080,
SOCIALDEV,"Social Development, Finance & Administration",940A,Sundry and Other Revenues,102158,
SOLIDWASTE,Solid Waste Management Services,750A,Inter-Divisional Recoveries,5804561,
SOLIDWASTE,Solid Waste Management Services,805A,Provincial Subsidies,17675874,
SOLIDWASTE,Solid Waste Management Services,850A,User Fees & Donations,270380190,
SOLIDWASTE,Solid Waste Management Services,920A,Transfers From Capital,3439978,
SOLIDWASTE,Solid Waste Management Services,930A,Contribution From Reserves/Reserve Funds,5503047,
SOLIDWASTE,Solid Waste Management Services,940A,Sundry and Other Revenues,51222192,
THEATRES,Theatres,850A,User Fees & Donations,12312867,
THEATRES,Theatres,930A,Contribution From Reserves/Reserve Funds,2317400,
THEATRES,Theatres,940A,Sundry and Other Revenues,2773525,
REGIONCONSERV,Toronto & Region Conservation Authority,805A,Provincial Subsidies,1961000,
REGIONCONSERV,Toronto & Region Conservation Authority,850A,User Fees & Donations,24174000,
REGIONCONSERV,Toronto & Region Conservation Authority,940A,Sundry and Other Revenues,9399000,
ATMOSPHERE,Toronto Atmospheric Fund,850A,User Fees & Donations,816000,
ATMOSPHERE,Toronto Atmospheric Fund,940A,Sundry and Other Revenues,1609000,
BUILDINGS,Toronto Building,750A,Inter-Divisional Recoveries,896132,
BUILDINGS,Toronto Building,850A,User Fees & Donations,1628951,
BUILDINGS,Toronto Building,860A,Licences & Permits Revenue,55998919,
BUILDINGS,Toronto Building,920A,Transfers From Capital,483844,
BUILDINGS,Toronto Building,930A,Contribution From Reserves/Reserve Funds,280000,
BUILDINGS,Toronto Building,940A,Sundry and Other Revenues,65000,
SOCIALSERV,Toronto Employment & Social Services,750A,Inter-Divisional Recoveries,218168,
SOCIALSERV,Toronto Employment & Social Services,805A,Provincial Subsidies,938590373,
SOCIALSERV,Toronto Employment & Social Services,820A,Other Subsidies,23599500,
SOCIALSERV,Toronto Employment & Social Services,920A,Transfers From Capital,616402,
SOCIALSERV,Toronto Employment & Social Services,930A,Contribution From Reserves/Reserve Funds,20138866,
SOCIALSERV,Toronto Employment & Social Services,940A,Sundry and Other Revenues,16800000,
PARAMEDIC,Toronto Paramedic Services,750A,Inter-Divisional Recoveries,922088,
PARAMEDIC,Toronto Paramedic Services,805A,Provincial Subsidies,115031058,
PARAMEDIC,Toronto Paramedic Services,850A,User Fees & Donations,1190583,
PARAMEDIC,Toronto Paramedic Services,920A,Transfers From Capital,156143,
PARAMEDIC,Toronto Paramedic Services,940A,Sundry and Other Revenues,773932,
PARKING,Toronto Parking Authority,850A,User Fees & Donations,133910290,
PARKING,Toronto Parking Authority,940A,Sundry and Other Revenues,4525503,
POLICE,Toronto Police Service,750A,Inter-Divisional Recoveries,20682200,
POLICE,Toronto Police Service,805A,Provincial Subsidies,41495400,
POLICE,Toronto Police Service,850A,User Fees & Donations,47815000,
POLICE,Toronto Police Service,930A,Contribution From Reserves/Reserve Funds,17897312,
POLICEBOARD,Toronto Police Services Board,930A,Contribution From Reserves/Reserve Funds,800000,
PUBLICHEALTH,Toronto Public Health,750A,Inter-Divisional Recoveries,10407536,
PUBLICHEALTH,Toronto Public Health,805A,Provincial Subsidies,174900996,
PUBLICHEALTH,Toronto Public Health,810A,Federal Subsidies,570539,
PUBLICHEALTH,Toronto Public Health,850A,User Fees & Donations,996701,
PUBLICHEALTH,Toronto Public Health,920A,Transfers From Capital,3968288,
PUBLICHEALTH,Toronto Public Health,930A,Contribution From Reserves/Reserve Funds,293778,
PUBLICHEALTH,Toronto Public Health,940A,Sundry and Other Revenues,1512132,
LIBRARY,Toronto Public Library,805A,Provincial Subsidies,5685704,
LIBRARY,Toronto Public Library,810A,Federal Subsidies,20000,
LIBRARY,Toronto Public Library,850A,User Fees & Donations,5208648,
LIBRARY,Toronto Public Library,920A,Transfers From Capital,339971,
LIBRARY,Toronto Public Library,930A,Contribution From Reserves/Reserve Funds,2825000,
LIBRARY,Toronto Public Library,940A,Sundry and Other Revenues,2503377,
TTCCONV,Toronto Transit Commission - Conventional,850A,User Fees & Donations,1166478100,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,850A,User Fees & Donations,5738800,
WATER,Toronto Water,850A,User Fees & Donations,35303046,
WATER,Toronto Water,920A,Transfers From Capital,2012963,
WATER,Toronto Water,930A,Contribution From Reserves/Reserve Funds,195000,
WATER,Toronto Water,940A,Sundry and Other Revenues,984575447,
ZOO,Toronto Zoo,805A,Provincial Subsidies,1102500,
ZOO,Toronto Zoo,850A,User Fees & Donations,37981755,
ZOO,Toronto Zoo,920A,Transfers From Capital,171000,
ZOO,Toronto Zoo,930A,Contribution From Reserves/Reserve Funds,386000,
ZOO,Toronto Zoo,940A,Sundry and Other Revenues,671200,
TRANSPORTATION,Transportation Services,750A,Inter-Divisional Recoveries,7115354,
TRANSPORTATION,Transportation Services,850A,User Fees & Donations,30045689,
TRANSPORTATION,Transportation Services,860A,Licences & Permits Revenue,6040166,
TRANSPORTATION,Transportation Services,920A,Transfers From Capital,27353983,
TRANSPORTATION,Transportation Services,930A,Contribution From Reserves/Reserve Funds,25765264,
TRANSPORTATION,Transportation Services,940A,Sundry and Other Revenues,37774681,
YONGEDUNDAS,Yonge-Dundas Square,850A,User Fees & Donations,1000000,
YONGEDUNDAS,Yonge-Dundas Square,860A,Licences & Permits Revenue,345000,
YONGEDUNDAS,Yonge-Dundas Square,940A,Sundry and Other Revenues,477649,
