_META_START_,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,
AFFHOUSING,Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,100A,Salaries And Benefits,719131
AFFHOUSING,Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,400A,Service And Rent,55558
AFFHOUSING,Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,510A,Contribution To Reserves/Reserve Funds,1881
AFFHOUSING,Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,300A,Equipment,832
AFFHOUSING,Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,700A,Inter-Divisional Charges,162884
AFFHOUSING,Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,200A,Materials & Supplies,3850
AFFHOUSING,Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,100A,Salaries And Benefits,718915
AFFHOUSING,Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,400A,Service And Rent,55559
AFFHOUSING,Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,510A,Contribution To Reserves/Reserve Funds,1886
AFFHOUSING,Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,300A,Equipment,833
AFFHOUSING,Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,700A,Inter-Divisional Charges,162884
AFFHOUSING,Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,200A,Materials & Supplies,3853
AFFHOUSING,Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,100A,Salaries And Benefits,844969
AFFHOUSING,Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,400A,Service And Rent,54090
ARENAS,Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,505A,Contribution To Capital,546370
ARENAS,Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,510A,Contribution To Reserves/Reserve Funds,270175.24
ARENAS,Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,300A,Equipment,44732.98
ARENAS,Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,200A,Materials & Supplies,2224298.1
ARENAS,Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,100A,Salaries And Benefits,4478873.46
ARENAS,Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,400A,Service And Rent,1079405.09
COMMCENTRES,Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,510A,Contribution To Reserves/Reserve Funds,29231.41
COMMCENTRES,Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,300A,Equipment,3405.8
COMMCENTRES,Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,200A,Materials & Supplies,464949.65
COMMCENTRES,Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,650A,Other Expenditures,7000
COMMCENTRES,Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,100A,Salaries And Benefits,6787007.51
COMMCENTRES,Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,400A,Service And Rent,628435.96
AUDITGEN,Auditor General's Office,Auditor General's Office,Auditor General's Office,510A,Contribution To Reserves/Reserve Funds,7680.85
AUDITGEN,Auditor General's Office,Auditor General's Office,Auditor General's Office,300A,Equipment,47126.03
AUDITGEN,Auditor General's Office,Auditor General's Office,Auditor General's Office,700A,Inter-Divisional Charges,22272.48
AUDITGEN,Auditor General's Office,Auditor General's Office,Auditor General's Office,200A,Materials & Supplies,11030.04
AUDITGEN,Auditor General's Office,Auditor General's Office,Auditor General's Office,100A,Salaries And Benefits,4783464.67
AUDITGEN,Auditor General's Office,Auditor General's Office,Auditor General's Office,400A,Service And Rent,101992.45
CORPFINANCING,Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,505A,Contribution To Capital,216379464.96
CORPFINANCING,Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,510A,Contribution To Reserves/Reserve Funds,18911637.96
CORPFINANCING,Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,700A,Inter-Divisional Charges,978186.96
CORPFINANCING,Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,650A,Other Expenditures,486164265.01
CHILDSERV,Children's Services,Child Care Delivery,Child Care Delivery,510A,Contribution To Reserves/Reserve Funds,952318.2
CHILDSERV,Children's Services,Child Care Delivery,Child Care Delivery,300A,Equipment,686869.54
CHILDSERV,Children's Services,Child Care Delivery,Child Care Delivery,700A,Inter-Divisional Charges,4626708.5
CHILDSERV,Children's Services,Child Care Delivery,Child Care Delivery,200A,Materials & Supplies,2596160.48
CHILDSERV,Children's Services,Child Care Delivery,Child Care Delivery,650A,Other Expenditures,726600
CHILDSERV,Children's Services,Child Care Delivery,Child Care Delivery,100A,Salaries And Benefits,78497453.85
CHILDSERV,Children's Services,Child Care Delivery,Child Care Delivery,400A,Service And Rent,276794489.48
CHILDSERV,Children's Services,Child Care System Management,Child Care System Management,510A,Contribution To Reserves/Reserve Funds,328429.8
CHILDSERV,Children's Services,Child Care System Management,Child Care System Management,300A,Equipment,54642.46
CHILDSERV,Children's Services,Child Care System Management,Child Care System Management,700A,Inter-Divisional Charges,169682.53
CHILDSERV,Children's Services,Child Care System Management,Child Care System Management,200A,Materials & Supplies,42946.52
CHILDSERV,Children's Services,Child Care System Management,Child Care System Management,100A,Salaries And Benefits,5884063.85
CHILDSERV,Children's Services,Child Care System Management,Child Care System Management,400A,Service And Rent,99100741.84
CLERK,City Clerk's Office,GV-Elect Government,GV-Elect Government,300A,Equipment,7000
CLERK,City Clerk's Office,GV-Elect Government,GV-Elect Government,700A,Inter-Divisional Charges,308962.2
CLERK,City Clerk's Office,GV-Elect Government,GV-Elect Government,200A,Materials & Supplies,22003.52
CLERK,City Clerk's Office,GV-Elect Government,GV-Elect Government,650A,Other Expenditures,253.86
CLERK,City Clerk's Office,GV-Elect Government,GV-Elect Government,100A,Salaries And Benefits,4288942.32
CLERK,City Clerk's Office,GV-Elect Government,GV-Elect Government,400A,Service And Rent,953000.73
CLERK,City Clerk's Office,GV-Make Government Work,GV-Make Government Work,510A,Contribution To Reserves/Reserve Funds,187709.08
CLERK,City Clerk's Office,GV-Make Government Work,GV-Make Government Work,300A,Equipment,41986.31
CLERK,City Clerk's Office,GV-Make Government Work,GV-Make Government Work,700A,Inter-Divisional Charges,695560.31
CLERK,City Clerk's Office,GV-Make Government Work,GV-Make Government Work,200A,Materials & Supplies,107773.62
CLERK,City Clerk's Office,GV-Make Government Work,GV-Make Government Work,650A,Other Expenditures,31017.04
CLERK,City Clerk's Office,GV-Make Government Work,GV-Make Government Work,100A,Salaries And Benefits,17895832.77
CLERK,City Clerk's Office,GV-Make Government Work,GV-Make Government Work,400A,Service And Rent,807430
CLERK,City Clerk's Office,GV-Open Government,GV-Open Government,510A,Contribution To Reserves/Reserve Funds,276923.96
CLERK,City Clerk's Office,GV-Open Government,GV-Open Government,300A,Equipment,37749.11
CLERK,City Clerk's Office,GV-Open Government,GV-Open Government,700A,Inter-Divisional Charges,120427.04
CLERK,City Clerk's Office,GV-Open Government,GV-Open Government,200A,Materials & Supplies,943806.56
CLERK,City Clerk's Office,GV-Open Government,GV-Open Government,650A,Other Expenditures,1500
CLERK,City Clerk's Office,GV-Open Government,GV-Open Government,100A,Salaries And Benefits,17047826.02
CLERK,City Clerk's Office,GV-Open Government,GV-Open Government,400A,Service And Rent,5937371.03
COUNCIL,City Council,City Council,City Council,510A,Contribution To Reserves/Reserve Funds,99216.8
COUNCIL,City Council,City Council,City Council,300A,Equipment,102000
COUNCIL,City Council,City Council,City Council,700A,Inter-Divisional Charges,253278.7
COUNCIL,City Council,City Council,City Council,200A,Materials & Supplies,1281482.24
COUNCIL,City Council,City Council,City Council,100A,Salaries And Benefits,18622473.12
COUNCIL,City Council,City Council,City Council,400A,Service And Rent,595500
CITYMANAGER,City Manager's Office,"CM-Equity, Diversity & Human Rights","CM-Equity, Diversity & Human Rights",300A,Equipment,3819
CITYMANAGER,City Manager's Office,"CM-Equity, Diversity & Human Rights","CM-Equity, Diversity & Human Rights",700A,Inter-Divisional Charges,6910
CITYMANAGER,City Manager's Office,"CM-Equity, Diversity & Human Rights","CM-Equity, Diversity & Human Rights",200A,Materials & Supplies,4677
CITYMANAGER,City Manager's Office,"CM-Equity, Diversity & Human Rights","CM-Equity, Diversity & Human Rights",100A,Salaries And Benefits,1796575.83
CITYMANAGER,City Manager's Office,"CM-Equity, Diversity & Human Rights","CM-Equity, Diversity & Human Rights",400A,Service And Rent,14319.76
CITYMANAGER,City Manager's Office,CM-Executive Management,CM-Executive Management,510A,Contribution To Reserves/Reserve Funds,19973
CITYMANAGER,City Manager's Office,CM-Executive Management,CM-Executive Management,300A,Equipment,9700
CITYMANAGER,City Manager's Office,CM-Executive Management,CM-Executive Management,700A,Inter-Divisional Charges,12800
CITYMANAGER,City Manager's Office,CM-Executive Management,CM-Executive Management,200A,Materials & Supplies,10187.55
CITYMANAGER,City Manager's Office,CM-Executive Management,CM-Executive Management,100A,Salaries And Benefits,2848829.46
CITYMANAGER,City Manager's Office,CM-Executive Management,CM-Executive Management,400A,Service And Rent,60074.06
CITYMANAGER,City Manager's Office,CM-Internal Auditing,CM-Internal Auditing,300A,Equipment,25493
CITYMANAGER,City Manager's Office,CM-Internal Auditing,CM-Internal Auditing,200A,Materials & Supplies,950.24
CITYMANAGER,City Manager's Office,CM-Internal Auditing,CM-Internal Auditing,100A,Salaries And Benefits,1131479.87
CITYMANAGER,City Manager's Office,CM-Internal Auditing,CM-Internal Auditing,400A,Service And Rent,19763.08
CITYMANAGER,City Manager's Office,CM-Strategic & Corporate Policy,CM-Strategic & Corporate Policy,700A,Inter-Divisional Charges,7500
CITYMANAGER,City Manager's Office,CM-Strategic & Corporate Policy,CM-Strategic & Corporate Policy,200A,Materials & Supplies,2625
CITYMANAGER,City Manager's Office,CM-Strategic & Corporate Policy,CM-Strategic & Corporate Policy,100A,Salaries And Benefits,3642019.86
CITYMANAGER,City Manager's Office,CM-Strategic & Corporate Policy,CM-Strategic & Corporate Policy,400A,Service And Rent,92004.88
CITYMANAGER,City Manager's Office,CM-Strategic Communications,CM-Strategic Communications,300A,Equipment,6701.08
CITYMANAGER,City Manager's Office,CM-Strategic Communications,CM-Strategic Communications,700A,Inter-Divisional Charges,30950
CITYMANAGER,City Manager's Office,CM-Strategic Communications,CM-Strategic Communications,200A,Materials & Supplies,8947.16
CITYMANAGER,City Manager's Office,CM-Strategic Communications,CM-Strategic Communications,100A,Salaries And Benefits,5732126.04
CITYMANAGER,City Manager's Office,CM-Strategic Communications,CM-Strategic Communications,400A,Service And Rent,196887.91
CITYMANAGER,City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,510A,Contribution To Reserves/Reserve Funds,37783.46
CITYMANAGER,City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,300A,Equipment,5546.12
CITYMANAGER,City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,700A,Inter-Divisional Charges,83212.89
CITYMANAGER,City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,200A,Materials & Supplies,25060.21
CITYMANAGER,City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,100A,Salaries And Benefits,6676616.8
CITYMANAGER,City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,400A,Service And Rent,1630510.39
CITYMANAGER,City Manager's Office,HR Employment Services,HR Employment Services,510A,Contribution To Reserves/Reserve Funds,16664.35
CITYMANAGER,City Manager's Office,HR Employment Services,HR Employment Services,300A,Equipment,29864.83
CITYMANAGER,City Manager's Office,HR Employment Services,HR Employment Services,700A,Inter-Divisional Charges,30530.91
CITYMANAGER,City Manager's Office,HR Employment Services,HR Employment Services,200A,Materials & Supplies,37310.06
CITYMANAGER,City Manager's Office,HR Employment Services,HR Employment Services,100A,Salaries And Benefits,10762391.02
CITYMANAGER,City Manager's Office,HR Employment Services,HR Employment Services,400A,Service And Rent,385360.83
CITYMANAGER,City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,510A,Contribution To Reserves/Reserve Funds,16664.36
CITYMANAGER,City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,300A,Equipment,14669.58
CITYMANAGER,City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,700A,Inter-Divisional Charges,48109.45
CITYMANAGER,City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,200A,Materials & Supplies,35589.95
CITYMANAGER,City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,100A,Salaries And Benefits,7042157.77
CITYMANAGER,City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,400A,Service And Rent,1363812.71
CITYMANAGER,City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,510A,Contribution To Reserves/Reserve Funds,16664.36
CITYMANAGER,City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,300A,Equipment,16809.48
CITYMANAGER,City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,700A,Inter-Divisional Charges,37741.83
CITYMANAGER,City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,200A,Materials & Supplies,51962.62
CITYMANAGER,City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,100A,Salaries And Benefits,10182105.57
CITYMANAGER,City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,400A,Service And Rent,682647.21
PLANNING,City Planning,City Building & Policy Development,City Building & Policy Development,510A,Contribution To Reserves/Reserve Funds,63138.07
PLANNING,City Planning,City Building & Policy Development,City Building & Policy Development,300A,Equipment,85998.2
PLANNING,City Planning,City Building & Policy Development,City Building & Policy Development,700A,Inter-Divisional Charges,266403.6
PLANNING,City Planning,City Building & Policy Development,City Building & Policy Development,200A,Materials & Supplies,68910
PLANNING,City Planning,City Building & Policy Development,City Building & Policy Development,650A,Other Expenditures,317000
PLANNING,City Planning,City Building & Policy Development,City Building & Policy Development,100A,Salaries And Benefits,17974675.64
PLANNING,City Planning,City Building & Policy Development,City Building & Policy Development,400A,Service And Rent,848827.2
PLANNING,City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",510A,Contribution To Reserves/Reserve Funds,18085.77
PLANNING,City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",300A,Equipment,77545.9
PLANNING,City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",700A,Inter-Divisional Charges,607251.19
PLANNING,City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",200A,Materials & Supplies,102816.9
PLANNING,City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",650A,Other Expenditures,103700.12
PLANNING,City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",100A,Salaries And Benefits,22071272.44
PLANNING,City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",400A,Service And Rent,704137.4
COURTSERV,Court Services,Court Case Management,Court Case Management,510A,Contribution To Reserves/Reserve Funds,70032.32
COURTSERV,Court Services,Court Case Management,Court Case Management,300A,Equipment,22314.5
COURTSERV,Court Services,Court Case Management,Court Case Management,700A,Inter-Divisional Charges,15738928.43
COURTSERV,Court Services,Court Case Management,Court Case Management,200A,Materials & Supplies,84484.46
COURTSERV,Court Services,Court Case Management,Court Case Management,650A,Other Expenditures,377601.14
COURTSERV,Court Services,Court Case Management,Court Case Management,100A,Salaries And Benefits,11807122.51
COURTSERV,Court Services,Court Case Management,Court Case Management,400A,Service And Rent,8253994.63
COURTSERV,Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,510A,Contribution To Reserves/Reserve Funds,5906.34
COURTSERV,Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,300A,Equipment,36105.5
COURTSERV,Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,700A,Inter-Divisional Charges,1370782.7
COURTSERV,Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,200A,Materials & Supplies,40084.44
COURTSERV,Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,650A,Other Expenditures,21473.06
COURTSERV,Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,100A,Salaries And Benefits,5829228.36
COURTSERV,Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,400A,Service And Rent,901589.68
COURTSERV,Court Services,Default Fine Collection Management,Default Fine Collection Management,510A,Contribution To Reserves/Reserve Funds,8437.63
COURTSERV,Court Services,Default Fine Collection Management,Default Fine Collection Management,300A,Equipment,1830
COURTSERV,Court Services,Default Fine Collection Management,Default Fine Collection Management,700A,Inter-Divisional Charges,1896256.43
COURTSERV,Court Services,Default Fine Collection Management,Default Fine Collection Management,200A,Materials & Supplies,2731.1
COURTSERV,Court Services,Default Fine Collection Management,Default Fine Collection Management,650A,Other Expenditures,1414475.8
COURTSERV,Court Services,Default Fine Collection Management,Default Fine Collection Management,100A,Salaries And Benefits,1408476.08
COURTSERV,Court Services,Default Fine Collection Management,Default Fine Collection Management,400A,Service And Rent,787282.08
ECONDEV,Economic Development & Culture,EC-Business Services,EC-Business Services,510A,Contribution To Reserves/Reserve Funds,4856.15
ECONDEV,Economic Development & Culture,EC-Business Services,EC-Business Services,300A,Equipment,16746.03
ECONDEV,Economic Development & Culture,EC-Business Services,EC-Business Services,700A,Inter-Divisional Charges,48174.26
ECONDEV,Economic Development & Culture,EC-Business Services,EC-Business Services,200A,Materials & Supplies,130310.9
ECONDEV,Economic Development & Culture,EC-Business Services,EC-Business Services,650A,Other Expenditures,1907704.76
ECONDEV,Economic Development & Culture,EC-Business Services,EC-Business Services,100A,Salaries And Benefits,4456592.34
ECONDEV,Economic Development & Culture,EC-Business Services,EC-Business Services,400A,Service And Rent,1034467.37
ECONDEV,Economic Development & Culture,EC-Cultural Services,EC-Cultural Services,510A,Contribution To Reserves/Reserve Funds,959155.72
ECONDEV,Economic Development & Culture,EC-Cultural Services,EC-Cultural Services,300A,Equipment,101208.68
ECONDEV,Economic Development & Culture,EC-Cultural Services,EC-Cultural Services,700A,Inter-Divisional Charges,355609.67
ECONDEV,Economic Development & Culture,EC-Cultural Services,EC-Cultural Services,200A,Materials & Supplies,1076937.01
ECONDEV,Economic Development & Culture,EC-Cultural Services,EC-Cultural Services,650A,Other Expenditures,31955975.89
ECONDEV,Economic Development & Culture,EC-Cultural Services,EC-Cultural Services,100A,Salaries And Benefits,17815409.09
ECONDEV,Economic Development & Culture,EC-Cultural Services,EC-Cultural Services,400A,Service And Rent,6298299.58
ECONDEV,Economic Development & Culture,EC-Economic Competitiveness Services,EC-Economic Competitiveness Services,300A,Equipment,9649.69
ECONDEV,Economic Development & Culture,EC-Economic Competitiveness Services,EC-Economic Competitiveness Services,700A,Inter-Divisional Charges,200180.06
ECONDEV,Economic Development & Culture,EC-Economic Competitiveness Services,EC-Economic Competitiveness Services,200A,Materials & Supplies,240082.62
ECONDEV,Economic Development & Culture,EC-Economic Competitiveness Services,EC-Economic Competitiveness Services,650A,Other Expenditures,625648.34
ECONDEV,Economic Development & Culture,EC-Economic Competitiveness Services,EC-Economic Competitiveness Services,100A,Salaries And Benefits,6701343.33
ECONDEV,Economic Development & Culture,EC-Economic Competitiveness Services,EC-Economic Competitiveness Services,400A,Service And Rent,1340298.06
ENGINEERING,Engineering & Construction Services,WT-Engineering Information,WT-Engineering Information,510A,Contribution To Reserves/Reserve Funds,80857
ENGINEERING,Engineering & Construction Services,WT-Engineering Information,WT-Engineering Information,300A,Equipment,59538.84
ENGINEERING,Engineering & Construction Services,WT-Engineering Information,WT-Engineering Information,700A,Inter-Divisional Charges,248097.74
ENGINEERING,Engineering & Construction Services,WT-Engineering Information,WT-Engineering Information,200A,Materials & Supplies,55186.65
ENGINEERING,Engineering & Construction Services,WT-Engineering Information,WT-Engineering Information,100A,Salaries And Benefits,8440990.51
ENGINEERING,Engineering & Construction Services,WT-Engineering Information,WT-Engineering Information,400A,Service And Rent,390044.03
ENGINEERING,Engineering & Construction Services,WT-Engineering Review & Acceptance,WT-Engineering Review & Acceptance,510A,Contribution To Reserves/Reserve Funds,107809.54
ENGINEERING,Engineering & Construction Services,WT-Engineering Review & Acceptance,WT-Engineering Review & Acceptance,300A,Equipment,63499.51
ENGINEERING,Engineering & Construction Services,WT-Engineering Review & Acceptance,WT-Engineering Review & Acceptance,700A,Inter-Divisional Charges,154199.59
ENGINEERING,Engineering & Construction Services,WT-Engineering Review & Acceptance,WT-Engineering Review & Acceptance,200A,Materials & Supplies,101028.53
ENGINEERING,Engineering & Construction Services,WT-Engineering Review & Acceptance,WT-Engineering Review & Acceptance,100A,Salaries And Benefits,11893789.91
ENGINEERING,Engineering & Construction Services,WT-Engineering Review & Acceptance,WT-Engineering Review & Acceptance,400A,Service And Rent,764242.9
ENGINEERING,Engineering & Construction Services,WT-Municipal Infrastructure Construction,WT-Municipal Infrastructure Construction,510A,Contribution To Reserves/Reserve Funds,608380.59
ENGINEERING,Engineering & Construction Services,WT-Municipal Infrastructure Construction,WT-Municipal Infrastructure Construction,300A,Equipment,383551.68
ENGINEERING,Engineering & Construction Services,WT-Municipal Infrastructure Construction,WT-Municipal Infrastructure Construction,700A,Inter-Divisional Charges,3444238.43
ENGINEERING,Engineering & Construction Services,WT-Municipal Infrastructure Construction,WT-Municipal Infrastructure Construction,200A,Materials & Supplies,325625.46
ENGINEERING,Engineering & Construction Services,WT-Municipal Infrastructure Construction,WT-Municipal Infrastructure Construction,100A,Salaries And Benefits,41201380.68
ENGINEERING,Engineering & Construction Services,WT-Municipal Infrastructure Construction,WT-Municipal Infrastructure Construction,400A,Service And Rent,2434491.53
EXHIBPLACE,Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",200A,Materials & Supplies,275710
EXHIBPLACE,Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",100A,Salaries And Benefits,1000314
EXHIBPLACE,Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",400A,Service And Rent,3530131
EXHIBPLACE,Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,510A,Contribution To Reserves/Reserve Funds,1066852
EXHIBPLACE,Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,300A,Equipment,165840
EXHIBPLACE,Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,200A,Materials & Supplies,2005734
EXHIBPLACE,Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,650A,Other Expenditures,-517432
EXHIBPLACE,Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,100A,Salaries And Benefits,6971773
EXHIBPLACE,Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,400A,Service And Rent,4276860
EXHIBPLACE,Exhibition Place,Exhibition Place Parking Access,Exhibition Place Parking Access,650A,Other Expenditures,-39140
EXHIBPLACE,Exhibition Place,Exhibition Place Parking Access,Exhibition Place Parking Access,100A,Salaries And Benefits,1419391
EXHIBPLACE,Exhibition Place,Exhibition Place Parking Access,Exhibition Place Parking Access,400A,Service And Rent,1137333
EXHIBPLACE,Exhibition Place,Exhibitions & Events,Exhibitions & Events,510A,Contribution To Reserves/Reserve Funds,972500
