_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,
COURTSERV,Court Services,700A,Inter-Divisional Charges,21141377,
ECONDEV,Economic Development & Culture,100A,Salaries and Benefits,24781405,
ECONDEV,Economic Development & Culture,200A,Materials and Supplies,1249131,
ECONDEV,Economic Development & Culture,300A,Equipment,107270,
ECONDEV,Economic Development & Culture,400A,Service and Rent,8983439,
ECONDEV,Economic Development & Culture,510A,Contribution to Reserves/Reserve Funds,930061,
ECONDEV,Economic Development & Culture,650A,Other Expenditures,26952322,
ECONDEV,Economic Development & Culture,700A,Inter-Divisional Charges,427114,
PARAMEDIC,Emergency Medical Services,100A,Salaries and Benefits,148723124,
PARAMEDIC,Emergency Medical Services,200A,Materials and Supplies,6331159,
PARAMEDIC,Emergency Medical Services,300A,Equipment,782940,
PARAMEDIC,Emergency Medical Services,400A,Service and Rent,9719255,
PARAMEDIC,Emergency Medical Services,505A,Contribution to Capital,472000,
PARAMEDIC,Emergency Medical Services,510A,Contribution to Reserves/Reserve Funds,5297670,
PARAMEDIC,Emergency Medical Services,650A,Other Expenditures,10937,
PARAMEDIC,Emergency Medical Services,700A,Inter-Divisional Charges,10030363,
ENGINEERING,Engineering & Construction Services,100A,Salaries and Benefits,57084259,
ENGINEERING,Engineering & Construction Services,200A,Materials and Supplies,393689,
ENGINEERING,Engineering & Construction Services,300A,Equipment,223819,
ENGINEERING,Engineering & Construction Services,400A,Service and Rent,8808245,
ENGINEERING,Engineering & Construction Services,510A,Contribution to Reserves/Reserve Funds,771686,
ENGINEERING,Engineering & Construction Services,700A,Inter-Divisional Charges,3271024,
EXHIBPLACE,Exhibition Place,100A,Salaries and Benefits,31747600,
EXHIBPLACE,Exhibition Place,200A,Materials and Supplies,4371800,
EXHIBPLACE,Exhibition Place,300A,Equipment,176800,
EXHIBPLACE,Exhibition Place,400A,Service and Rent,19632121,
EXHIBPLACE,Exhibition Place,505A,Contribution to Capital,500000,
EXHIBPLACE,Exhibition Place,510A,Contribution to Reserves/Reserve Funds,1998260,
EXHIBPLACE,Exhibition Place,650A,Other Expenditures,-14775850,Non-normal value
FACILITIES,Facilities Management & Real Estate,100A,Salaries and Benefits,79222117,
FACILITIES,Facilities Management & Real Estate,200A,Materials and Supplies,29559036,
FACILITIES,Facilities Management & Real Estate,300A,Equipment,558503,
FACILITIES,Facilities Management & Real Estate,400A,Service and Rent,65097691,
FACILITIES,Facilities Management & Real Estate,510A,Contribution to Reserves/Reserve Funds,1816962,
FACILITIES,Facilities Management & Real Estate,650A,Other Expenditures,6290960,
FACILITIES,Facilities Management & Real Estate,700A,Inter-Divisional Charges,1913592,
FIRE,Fire Services,100A,Salaries and Benefits,382787177,
FIRE,Fire Services,200A,Materials and Supplies,7995520,
FIRE,Fire Services,300A,Equipment,822273,
FIRE,Fire Services,400A,Service and Rent,6326259,
FIRE,Fire Services,510A,Contribution to Reserves/Reserve Funds,8835353,
FIRE,Fire Services,700A,Inter-Divisional Charges,6364112,
FLEET,Fleet Services,100A,Salaries and Benefits,17593295,
FLEET,Fleet Services,200A,Materials and Supplies,21367382,
FLEET,Fleet Services,300A,Equipment,80424,
FLEET,Fleet Services,400A,Service and Rent,7614979,
FLEET,Fleet Services,510A,Contribution to Reserves/Reserve Funds,85559,
FLEET,Fleet Services,700A,Inter-Divisional Charges,524137,
HERITAGE,Heritage Toronto,100A,Salaries and Benefits,456000,
HERITAGE,Heritage Toronto,200A,Materials and Supplies,91900,
HERITAGE,Heritage Toronto,400A,Service and Rent,188600,
HERITAGE,Heritage Toronto,510A,Contribution to Reserves/Reserve Funds,0,
HERITAGE,Heritage Toronto,650A,Other Expenditures,3600,
IT,Information & Technology,100A,Salaries and Benefits,79920519,
IT,Information & Technology,200A,Materials and Supplies,220477,
IT,Information & Technology,300A,Equipment,546333,
IT,Information & Technology,400A,Service and Rent,25582215,
IT,Information & Technology,510A,Contribution to Reserves/Reserve Funds,108402,
IT,Information & Technology,650A,Other Expenditures,396,
IT,Information & Technology,700A,Inter-Divisional Charges,436665,
INTEGRITYCOMM,Integrity Commissioner's Office,100A,Salaries and Benefits,233805,
INTEGRITYCOMM,Integrity Commissioner's Office,200A,Materials and Supplies,1213,
INTEGRITYCOMM,Integrity Commissioner's Office,300A,Equipment,50,
INTEGRITYCOMM,Integrity Commissioner's Office,400A,Service and Rent,11559,
INTEGRITYCOMM,Integrity Commissioner's Office,510A,Contribution to Reserves/Reserve Funds,4192,
INTEGRITYCOMM,Integrity Commissioner's Office,700A,Inter-Divisional Charges,400,
LEGAL,Legal Services,100A,Salaries and Benefits,36879842,
LEGAL,Legal Services,200A,Materials and Supplies,336652,
LEGAL,Legal Services,300A,Equipment,64504,
LEGAL,Legal Services,400A,Service and Rent,1395476,
LEGAL,Legal Services,510A,Contribution to Reserves/Reserve Funds,58882,
LEGAL,Legal Services,700A,Inter-Divisional Charges,6695567,
LONGTERMHOME,Long Term Care Homes & Services,100A,Salaries and Benefits,189572551,
LONGTERMHOME,Long Term Care Homes & Services,200A,Materials and Supplies,18854750,
LONGTERMHOME,Long Term Care Homes & Services,300A,Equipment,2264430,
LONGTERMHOME,Long Term Care Homes & Services,400A,Service and Rent,16958626,
LONGTERMHOME,Long Term Care Homes & Services,510A,Contribution to Reserves/Reserve Funds,1809387,
LONGTERMHOME,Long Term Care Homes & Services,650A,Other Expenditures,145350,
LONGTERMHOME,Long Term Care Homes & Services,700A,Inter-Divisional Charges,575700,
MAYOR,Mayor's Office,100A,Salaries and Benefits,1468984,
MAYOR,Mayor's Office,200A,Materials and Supplies,9759,
MAYOR,Mayor's Office,300A,Equipment,1000,
MAYOR,Mayor's Office,400A,Service and Rent,53000,
MAYOR,Mayor's Office,700A,Inter-Divisional Charges,8575,
LICENCING,Municipal Licensing & Standards,100A,Salaries and Benefits,40119304,
LICENCING,Municipal Licensing & Standards,200A,Materials and Supplies,1116534,
LICENCING,Municipal Licensing & Standards,300A,Equipment,276508,
LICENCING,Municipal Licensing & Standards,400A,Service and Rent,1985980,
LICENCING,Municipal Licensing & Standards,510A,Contribution to Reserves/Reserve Funds,848184,
LICENCING,Municipal Licensing & Standards,650A,Other Expenditures,214000,
LICENCING,Municipal Licensing & Standards,700A,Inter-Divisional Charges,4737886,
CORPEXPENDITURES,Non-Program,100A,Salaries and Benefits,44962051,
CORPEXPENDITURES,Non-Program,200A,Materials and Supplies,200000,
CORPEXPENDITURES,Non-Program,300A,Equipment,,no value provided
CORPEXPENDITURES,Non-Program,400A,Service and Rent,337149918,
CORPEXPENDITURES,Non-Program,505A,Contribution to Capital,218515000,
CORPEXPENDITURES,Non-Program,510A,Contribution to Reserves/Reserve Funds,111344238,
CORPEXPENDITURES,Non-Program,650A,Other Expenditures,569419279,
CORPEXPENDITURES,Non-Program,700A,Inter-Divisional Charges,21572760,
CFO,Office of the Chief Financial Officer,100A,Salaries and Benefits,15281009,
CFO,Office of the Chief Financial Officer,200A,Materials and Supplies,65158,
CFO,Office of the Chief Financial Officer,300A,Equipment,6601,
CFO,Office of the Chief Financial Officer,400A,Service and Rent,649221,
CFO,Office of the Chief Financial Officer,510A,Contribution to Reserves/Reserve Funds,72618,
CFO,Office of the Chief Financial Officer,650A,Other Expenditures,500,
CFO,Office of the Chief Financial Officer,700A,Inter-Divisional Charges,179318,
LOBBYREG,Office of the Lobbyist Registrar,100A,Salaries and Benefits,1002903,
LOBBYREG,Office of the Lobbyist Registrar,200A,Materials and Supplies,7314,
LOBBYREG,Office of the Lobbyist Registrar,300A,Equipment,2185,
LOBBYREG,Office of the Lobbyist Registrar,400A,Service and Rent,72912,
LOBBYREG,Office of the Lobbyist Registrar,510A,Contribution to Reserves/Reserve Funds,1386,
LOBBYREG,Office of the Lobbyist Registrar,700A,Inter-Divisional Charges,600,
OMBUDSMAN,Office of the Ombudsman,100A,Salaries and Benefits,1348152,
OMBUDSMAN,Office of the Ombudsman,200A,Materials and Supplies,12243,
OMBUDSMAN,Office of the Ombudsman,300A,Equipment,6774,
OMBUDSMAN,Office of the Ombudsman,400A,Service and Rent,212576,
OMBUDSMAN,Office of the Ombudsman,510A,Contribution to Reserves/Reserve Funds,1797,
OMBUDSMAN,Office of the Ombudsman,700A,Inter-Divisional Charges,11800,
TREASURER,Office of the Treasurer,100A,Salaries and Benefits,61655850,
TREASURER,Office of the Treasurer,200A,Materials and Supplies,1333219,
TREASURER,Office of the Treasurer,300A,Equipment,106160,
TREASURER,Office of the Treasurer,400A,Service and Rent,6940339,
TREASURER,Office of the Treasurer,510A,Contribution to Reserves/Reserve Funds,113609,
TREASURER,Office of the Treasurer,650A,Other Expenditures,1472600,
TREASURER,Office of the Treasurer,700A,Inter-Divisional Charges,2138504,
PARKS,"Parks, Forestry & Recreation",100A,Salaries and Benefits,265087384,
PARKS,"Parks, Forestry & Recreation",200A,Materials and Supplies,32319019,
PARKS,"Parks, Forestry & Recreation",300A,Equipment,2535192,
PARKS,"Parks, Forestry & Recreation",400A,Service and Rent,55656644,
PARKS,"Parks, Forestry & Recreation",510A,Contribution to Reserves/Reserve Funds,9700353,
PARKS,"Parks, Forestry & Recreation",650A,Other Expenditures,11714244,
PARKS,"Parks, Forestry & Recreation",700A,Inter-Divisional Charges,18887707,
POLICYADMIN,"Policy, Planning, Finance & Admin",100A,Salaries and Benefits,17897996,
POLICYADMIN,"Policy, Planning, Finance & Admin",200A,Materials and Supplies,1201843,
POLICYADMIN,"Policy, Planning, Finance & Admin",300A,Equipment,89823,
POLICYADMIN,"Policy, Planning, Finance & Admin",400A,Service and Rent,625924,
POLICYADMIN,"Policy, Planning, Finance & Admin",510A,Contribution to Reserves/Reserve Funds,94244,
POLICYADMIN,"Policy, Planning, Finance & Admin",650A,Other Expenditures,8000,
POLICYADMIN,"Policy, Planning, Finance & Admin",700A,Inter-Divisional Charges,2138917,
SHELTERADMIN,"Shelter, Support & Housing Admin",100A,Salaries and Benefits,66742811,
SHELTERADMIN,"Shelter, Support & Housing Admin",200A,Materials and Supplies,4439162,
SHELTERADMIN,"Shelter, Support & Housing Admin",300A,Equipment,210822,
SHELTERADMIN,"Shelter, Support & Housing Admin",400A,Service and Rent,68284498,
SHELTERADMIN,"Shelter, Support & Housing Admin",510A,Contribution to Reserves/Reserve Funds,1170160,
SHELTERADMIN,"Shelter, Support & Housing Admin",650A,Other Expenditures,543670039,
SHELTERADMIN,"Shelter, Support & Housing Admin",700A,Inter-Divisional Charges,1014583,
SOCIALDEV,"Social Development, Finance & Admin",100A,Salaries and Benefits,13713485,
SOCIALDEV,"Social Development, Finance & Admin",200A,Materials and Supplies,119959,
SOCIALDEV,"Social Development, Finance & Admin",300A,Equipment,24327,
SOCIALDEV,"Social Development, Finance & Admin",400A,Service and Rent,2783025,
SOCIALDEV,"Social Development, Finance & Admin",510A,Contribution to Reserves/Reserve Funds,112679,
SOCIALDEV,"Social Development, Finance & Admin",650A,Other Expenditures,17724160,
SOCIALDEV,"Social Development, Finance & Admin",700A,Inter-Divisional Charges,319489,
SOLIDWASTE,Solid Waste Management Services,100A,Salaries and Benefits,92432495,
SOLIDWASTE,Solid Waste Management Services,200A,Materials and Supplies,5775881,
SOLIDWASTE,Solid Waste Management Services,300A,Equipment,868099,
SOLIDWASTE,Solid Waste Management Services,400A,Service and Rent,115306835,
SOLIDWASTE,Solid Waste Management Services,510A,Contribution to Reserves/Reserve Funds,34332341,
SOLIDWASTE,Solid Waste Management Services,650A,Other Expenditures,70752376,
SOLIDWASTE,Solid Waste Management Services,700A,Inter-Divisional Charges,30474672,
THEATRES,Theatres,100A,Salaries and Benefits,11012100,
THEATRES,Theatres,200A,Materials and Supplies,1914900,
THEATRES,Theatres,300A,Equipment,356600,
THEATRES,Theatres,400A,Service and Rent,6985644,
THEATRES,Theatres,510A,Contribution to Reserves/Reserve Funds,1600800,
THEATRES,Theatres,650A,Other Expenditures,1739100,
ATMOSPHERE,Toronto Atmospheric Fund,100A,Salaries and Benefits,801837,
ATMOSPHERE,Toronto Atmospheric Fund,200A,Materials and Supplies,19563,
ATMOSPHERE,Toronto Atmospheric Fund,400A,Service and Rent,167000,
ATMOSPHERE,Toronto Atmospheric Fund,650A,Other Expenditures,1229600,
BUILDINGS,Toronto Buildings,100A,Salaries and Benefits,41935424,
BUILDINGS,Toronto Buildings,200A,Materials and Supplies,244898,
BUILDINGS,Toronto Buildings,300A,Equipment,171046,
BUILDINGS,Toronto Buildings,400A,Service and Rent,1298796,
BUILDINGS,Toronto Buildings,510A,Contribution to Reserves/Reserve Funds,2656562,
BUILDINGS,Toronto Buildings,650A,Other Expenditures,278488,
BUILDINGS,Toronto Buildings,700A,Inter-Divisional Charges,505408,
SOCIALSERV,Toronto Employment & Social Services,100A,Salaries and Benefits,192749859,
SOCIALSERV,Toronto Employment & Social Services,200A,Materials and Supplies,15753330,
SOCIALSERV,Toronto Employment & Social Services,300A,Equipment,606878,
SOCIALSERV,Toronto Employment & Social Services,400A,Service and Rent,51379927,
SOCIALSERV,Toronto Employment & Social Services,505A,Contribution to Capital,24893728,
SOCIALSERV,Toronto Employment & Social Services,510A,Contribution to Reserves/Reserve Funds,469682661,
SOCIALSERV,Toronto Employment & Social Services,650A,Other Expenditures,467800000,
SOCIALSERV,Toronto Employment & Social Services,700A,Inter-Divisional Charges,23525866,
PARKING,Toronto Parking Authority,100A,Salaries and Benefits,22103000,
PARKING,Toronto Parking Authority,200A,Materials and Supplies,7059200,
PARKING,Toronto Parking Authority,300A,Equipment,7377200,
PARKING,Toronto Parking Authority,400A,Service and Rent,17150200,
PARKING,Toronto Parking Authority,650A,Other Expenditures,81708400,
POLICE,Toronto Police Service,100A,Salaries and Benefits,912933200,
POLICE,Toronto Police Service,200A,Materials and Supplies,20608800,
POLICE,Toronto Police Service,300A,Equipment,1561700,
POLICE,Toronto Police Service,400A,Service and Rent,33458500,
POLICE,Toronto Police Service,510A,Contribution to Reserves/Reserve Funds,29775800,
POLICE,Toronto Police Service,700A,Inter-Divisional Charges,21387300,
POLICEBOARD,Toronto Police Services Board,100A,Salaries and Benefits,1003700,
POLICEBOARD,Toronto Police Services Board,200A,Materials and Supplies,7300,
POLICEBOARD,Toronto Police Services Board,400A,Service and Rent,543900,
POLICEBOARD,Toronto Police Services Board,505A,Contribution to Capital,610600,
POLICEBOARD,Toronto Police Services Board,700A,Inter-Divisional Charges,610400,
PUBLICHEALTH,Toronto Public Health,100A,Salaries and Benefits,175625371,
PUBLICHEALTH,Toronto Public Health,200A,Materials and Supplies,4014097,
PUBLICHEALTH,Toronto Public Health,300A,Equipment,916994,
PUBLICHEALTH,Toronto Public Health,400A,Service and Rent,37779250,
PUBLICHEALTH,Toronto Public Health,510A,Contribution to Reserves/Reserve Funds,1431732,
PUBLICHEALTH,Toronto Public Health,650A,Other Expenditures,8745855,
PUBLICHEALTH,Toronto Public Health,700A,Inter-Divisional Charges,15910382,
LIBRARY,Toronto Public Library,100A,Salaries and Benefits,136554454,
LIBRARY,Toronto Public Library,200A,Materials and Supplies,19904100,
LIBRARY,Toronto Public Library,300A,Equipment,524300,
LIBRARY,Toronto Public Library,400A,Service and Rent,22365000,
LIBRARY,Toronto Public Library,505A,Contribution to Capital,1888000,
LIBRARY,Toronto Public Library,510A,Contribution to Reserves/Reserve Funds,790500,
LIBRARY,Toronto Public Library,650A,Other Expenditures,4000,
REGIONCONSERV,Toronto Region Conservation Authority,100A,Salaries and Benefits,30235400,
REGIONCONSERV,Toronto Region Conservation Authority,200A,Materials and Supplies,4421700,
REGIONCONSERV,Toronto Region Conservation Authority,300A,Equipment,820600,
REGIONCONSERV,Toronto Region Conservation Authority,400A,Service and Rent,8512900,
REGIONCONSERV,Toronto Region Conservation Authority,650A,Other Expenditures,-5634600,Non-normal value
TTCWHEEL,Toronto Transit Commission - Wheel Trans,100A,Salaries and Benefits,54483900,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,200A,Materials and Supplies,13792300,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,400A,Service and Rent,33516400,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,650A,Other Expenditures,576700,
TTCCONV,Toronto Transit Commission-Conventional,100A,Salaries and Benefits,1127908200,
TTCCONV,Toronto Transit Commission-Conventional,200A,Materials and Supplies,289808900,
TTCCONV,Toronto Transit Commission-Conventional,300A,Equipment,30638200,
TTCCONV,Toronto Transit Commission-Conventional,400A,Service and Rent,58337700,
TTCCONV,Toronto Transit Commission-Conventional,650A,Other Expenditures,30766400,
TTCCONV,Toronto Transit Commission-Conventional,700A,Inter-Divisional Charges,3489000,
WATER,Toronto Water,100A,Salaries and Benefits,161228157,
WATER,Toronto Water,200A,Materials and Supplies,94086103,
WATER,Toronto Water,300A,Equipment,2473116,
WATER,Toronto Water,400A,Service and Rent,44378447,
WATER,Toronto Water,510A,Contribution to Reserves/Reserve Funds,553793067,
WATER,Toronto Water,650A,Other Expenditures,19478831,
WATER,Toronto Water,700A,Inter-Divisional Charges,65359432,
ZOO,Toronto Zoo,100A,Salaries and Benefits,28227725,
ZOO,Toronto Zoo,200A,Materials and Supplies,8416330,
ZOO,Toronto Zoo,300A,Equipment,650500,
ZOO,Toronto Zoo,400A,Service and Rent,13698150,
ZOO,Toronto Zoo,510A,Contribution to Reserves/Reserve Funds,3110183,
TRANSPORTATION,Transportation Services,100A,Salaries and Benefits,92394183,
TRANSPORTATION,Transportation Services,200A,Materials and Supplies,41448344,
TRANSPORTATION,Transportation Services,300A,Equipment,748774,
TRANSPORTATION,Transportation Services,400A,Service and Rent,162672497,
TRANSPORTATION,Transportation Services,510A,Contribution to Reserves/Reserve Funds,19034432,
TRANSPORTATION,Transportation Services,650A,Other Expenditures,527268,
TRANSPORTATION,Transportation Services,700A,Inter-Divisional Charges,14621330,
YONGEDUNDAS,Yonge-Dundas Square,100A,Salaries and Benefits,510942,
YONGEDUNDAS,Yonge-Dundas Square,200A,Materials and Supplies,173136,
YONGEDUNDAS,Yonge-Dundas Square,300A,Equipment,40000,
YONGEDUNDAS,Yonge-Dundas Square,400A,Service and Rent,1342701,
YONGEDUNDAS,Yonge-Dundas Square,510A,Contribution to Reserves/Reserve Funds,2387,
