_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner,700A,Interdivisional Charges,0.4,
LOBBYREG,Accountability Offices - Lobbyist Registrar,100A,Salaries and Benefits,969.5,
LOBBYREG,Accountability Offices - Lobbyist Registrar,200A,Materials and Supplies,10.1,
LOBBYREG,Accountability Offices - Lobbyist Registrar,300A,Equipment,2.1,
LOBBYREG,Accountability Offices - Lobbyist Registrar,400A,Services & Rents,77.6,
LOBBYREG,Accountability Offices - Lobbyist Registrar,505A,Contributions to Capital,0,
LOBBYREG,Accountability Offices - Lobbyist Registrar,510A,Contributions to Reserve/Res Funds,1.4,
LOBBYREG,Accountability Offices - Lobbyist Registrar,650A,Other Expenditures,0,
LOBBYREG,Accountability Offices - Lobbyist Registrar,700A,Interdivisional Charges,0.6,
COMMCENTRES,Association of Community Centres,100A,Salaries and Benefits,5924.2,
COMMCENTRES,Association of Community Centres,200A,Materials and Supplies,497.3,
COMMCENTRES,Association of Community Centres,300A,Equipment,4,
COMMCENTRES,Association of Community Centres,400A,Services & Rents,485,
COMMCENTRES,Association of Community Centres,505A,Contributions to Capital,,
COMMCENTRES,Association of Community Centres,510A,Contributions to Reserve/Res Funds,25,
COMMCENTRES,Association of Community Centres,650A,Other Expenditures,15.8,
COMMCENTRES,Association of Community Centres,700A,Interdivisional Charges,,
AFFHOUSING,Affordable Housing Office,100A,Salaries and Benefits,2076.6314,
AFFHOUSING,Affordable Housing Office,200A,Materials and Supplies,12.22496,
AFFHOUSING,Affordable Housing Office,300A,Equipment,8.2142,
AFFHOUSING,Affordable Housing Office,400A,Services & Rents,152.74759,
AFFHOUSING,Affordable Housing Office,505A,Contributions to Capital,0,
AFFHOUSING,Affordable Housing Office,510A,Contributions to Reserve/Res Funds,4.64307,
AFFHOUSING,Affordable Housing Office,650A,Other Expenditures,0,
AFFHOUSING,Affordable Housing Office,700A,Interdivisional Charges,326.386,
COMMCENTRES,Association of Community Centres,100A,Salaries and Benefits,5924.17716,
COMMCENTRES,Association of Community Centres,200A,Materials and Supplies,497.287,
COMMCENTRES,Association of Community Centres,300A,Equipment,3.99079633,
COMMCENTRES,Association of Community Centres,400A,Services & Rents,485.00556,
COMMCENTRES,Association of Community Centres,505A,Contributions to Capital,,
COMMCENTRES,Association of Community Centres,510A,Contributions to Reserve/Res Funds,25.0494,
COMMCENTRES,Association of Community Centres,650A,Other Expenditures,15.8,
ARENAS,Arena Boards of Management,100A,Salaries and Benefits,3956.706,
ARENAS,Arena Boards of Management,200A,Materials and Supplies,1812.314,
ARENAS,Arena Boards of Management,300A,Equipment,47.2,
ARENAS,Arena Boards of Management,400A,Services & Rents,723.662,
ARENAS,Arena Boards of Management,505A,Contributions to Capital,22.046,
ARENAS,Arena Boards of Management,510A,Contributions to Reserve/Res Funds,168.821,
ARENAS,Arena Boards of Management,650A,Other Expenditures,0,
ARENAS,Arena Boards of Management,700A,Interdivisional Charges,0,
CHILDSERV,Children's Services,100A,Salaries and Benefits,74833.1,
CHILDSERV,Children's Services,200A,Materials and Supplies,3249.4,
CHILDSERV,Children's Services,300A,Equipment,713.95,
CHILDSERV,Children's Services,400A,Services & Rents,308087.6,
CHILDSERV,Children's Services,505A,Contributions to Capital,0,
CHILDSERV,Children's Services,510A,Contributions to Reserve/Res Funds,1144.365,
CHILDSERV,Children's Services,650A,Other Expenditures,1034.1,
CHILDSERV,Children's Services,700A,Interdivisional Charges,3429,
CLERK,City Clerk's Office,100A,Salaries and Benefits,35569,
CLERK,City Clerk's Office,200A,Materials and Supplies,1332.2,
CLERK,City Clerk's Office,300A,Equipment,151.2,
CLERK,City Clerk's Office,400A,Services & Rents,7652.6,
CLERK,City Clerk's Office,505A,Contributions to Capital,,
CLERK,City Clerk's Office,510A,Contributions to Reserve/Res Funds,449.8,
CLERK,City Clerk's Office,650A,Other Expenditures,44.5,
CLERK,City Clerk's Office,700A,Interdivisional Charges,2377.1,
COUNCIL,City Council,100A,Salaries and Benefits,17401.3,
COUNCIL,City Council,200A,Materials and Supplies,1173.1,
COUNCIL,City Council,300A,Equipment,8,
COUNCIL,City Council,400A,Services & Rents,301.2,
COUNCIL,City Council,505A,Contributions to Capital,,
COUNCIL,City Council,510A,Contributions to Reserve/Res Funds,90.5,
COUNCIL,City Council,650A,Other Expenditures, ,
COUNCIL,City Council,700A,Interdivisional Charges,171.3,
CITYMANAGER,City Manager's Office,100A,Salaries and Benefits,39660.985,
CITYMANAGER,City Manager's Office,200A,Materials and Supplies,200.235,
CITYMANAGER,City Manager's Office,300A,Equipment,76.674,
CITYMANAGER,City Manager's Office,400A,Services & Rents,3003.854,
CITYMANAGER,City Manager's Office,505A,Contributions to Capital,,
CITYMANAGER,City Manager's Office,510A,Contributions to Reserve/Res Funds,76.157,
CITYMANAGER,City Manager's Office,650A,Other Expenditures,,
CITYMANAGER,City Manager's Office,700A,Interdivisional Charges,489.197,
PLANNING,City Planning,100A,Salaries and Benefits,35741.431,
PLANNING,City Planning,200A,Materials and Supplies,187.331,
PLANNING,City Planning,300A,Equipment,163.944,
PLANNING,City Planning,400A,Services & Rents,1595.39,
PLANNING,City Planning,505A,Contributions to Capital,,
PLANNING,City Planning,510A,Contributions to Reserve/Res Funds,63.3,
PLANNING,City Planning,650A,Other Expenditures,343.7,
PLANNING,City Planning,700A,Interdivisional Charges,583.1,
COURTSERV,Court Services,100A,Salaries and Benefits,21058.6705246923,
COURTSERV,Court Services,200A,Materials and Supplies,206.30387,
COURTSERV,Court Services,300A,Equipment,91.675,
COURTSERV,Court Services,400A,Services & Rents,10115.906,
COURTSERV,Court Services,505A,Contributions to Capital,,
COURTSERV,Court Services,510A,Contributions to Reserve/Res Funds,69.74009,
COURTSERV,Court Services,650A,Other Expenditures,1989.5,
COURTSERV,Court Services,700A,Interdivisional Charges,18730.36976,
ECONDEV,Economic Development & Culture,100A,Salaries and Benefits,23762.159,
ECONDEV,Economic Development & Culture,200A,Materials and Supplies,1015.501,
ECONDEV,Economic Development & Culture,300A,Equipment,132.409,
ECONDEV,Economic Development & Culture,400A,Services & Rents,5471.625,
ECONDEV,Economic Development & Culture,505A,Contributions to Capital, ,
ECONDEV,Economic Development & Culture,510A,Contributions to Reserve/Res Funds,929,
ECONDEV,Economic Development & Culture,650A,Other Expenditures,21464.824,
ECONDEV,Economic Development & Culture,700A,Interdivisional Charges,436.701,
PARAMEDIC,Emergency Medical Services,100A,Salaries and Benefits,137477,
PARAMEDIC,Emergency Medical Services,200A,Materials and Supplies,5547.7,
PARAMEDIC,Emergency Medical Services,300A,Equipment,988.1,
PARAMEDIC,Emergency Medical Services,400A,Services & Rents,9887.38,
PARAMEDIC,Emergency Medical Services,505A,Contributions to Capital,472,
PARAMEDIC,Emergency Medical Services,510A,Contributions to Reserve/Res Funds,4997.13,
PARAMEDIC,Emergency Medical Services,650A,Other Expenditures,31.2,
PARAMEDIC,Emergency Medical Services,700A,Interdivisional Charges,10135,
EXHIBPLACE,Exhibition Place,100A,Salaries and Benefits,37534.1,
EXHIBPLACE,Exhibition Place,200A,Materials and Supplies,5476.9,
EXHIBPLACE,Exhibition Place,300A,Equipment,176.8,
EXHIBPLACE,Exhibition Place,400A,Services & Rents,36233.8,
EXHIBPLACE,Exhibition Place,505A,Contributions to Capital,,
EXHIBPLACE,Exhibition Place,510A,Contributions to Reserve/Res Funds,976.8,
EXHIBPLACE,Exhibition Place,510A,Contributions to CCRF Naming Rights,1168,
EXHIBPLACE,Exhibition Place,650A,Other Expenditures,-16801.3,Non-normal value
EXHIBPLACE,Exhibition Place,700A,Interdivisional Charges,,
FACILITIES,Facilities Management and Real Estate,100A,Salaries and Benefits,74570.817,
FACILITIES,Facilities Management and Real Estate,200A,Materials and Supplies,30894.27,
FACILITIES,Facilities Management and Real Estate,300A,Equipment,1261.365,
FACILITIES,Facilities Management and Real Estate,400A,Services & Rents,63094.447,
FACILITIES,Facilities Management and Real Estate,505A,Contributions to Capital,3278.3,
FACILITIES,Facilities Management and Real Estate,510A,Contributions to Reserve/Res Funds,1802.125,
FACILITIES,Facilities Management and Real Estate,650A,Other Expenditures,10.6,
FACILITIES,Facilities Management and Real Estate,700A,Interdivisional Charges,1943.353,
FIRE,Fire Services,100A,Salaries and Benefits,339981.04,
FIRE,Fire Services,200A,Materials and Supplies,7925.44,
FIRE,Fire Services,300A,Equipment,770.2,
FIRE,Fire Services,400A,Services & Rents,5979.3,
FIRE,Fire Services,505A,Contributions to Capital,,
FIRE,Fire Services,510A,Contributions to Reserve/Res Funds,8747.5,
FIRE,Fire Services,650A,Other Expenditures,0,
FIRE,Fire Services,700A,Interdivisional Charges,6352.7,
FLEET,Fleet Services,100A,Salaries and Benefits,16337.6,
FLEET,Fleet Services,200A,Materials and Supplies,24484.1,
FLEET,Fleet Services,300A,Equipment,96.5,
FLEET,Fleet Services,400A,Services & Rents,6024.9,
FLEET,Fleet Services,505A,Contributions to Capital,,
FLEET,Fleet Services,510A,Contributions to Reserve/Res Funds,84.5,
FLEET,Fleet Services,650A,Other Expenditures,,
FLEET,Fleet Services,700A,Interdivisional Charges,440.7,
HERITAGE,Heritage Toronto,100A,Salaries and Benefits,489,
HERITAGE,Heritage Toronto,200A,Materials and Supplies,113.7,
HERITAGE,Heritage Toronto,300A,Equipment,,
HERITAGE,Heritage Toronto,400A,Services & Rents,272.3,
HERITAGE,Heritage Toronto,505A,Contributions to Capital,,
HERITAGE,Heritage Toronto,510A,Contributions to Reserve/Res Funds,1,
HERITAGE,Heritage Toronto,650A,Other Expenditures,4.8,
HERITAGE,Heritage Toronto,700A,Interdivisional Charges,,
IT,Information and Technology,100A,Salaries and Benefits,68310.24264,
IT,Information and Technology,200A,Materials and Supplies,247.6481,
IT,Information and Technology,300A,Equipment,546.1889,
IT,Information and Technology,400A,Services & Rents,27391.7887,
IT,Information and Technology,505A,Contributions to Capital,,
IT,Information and Technology,510A,Contributions to Reserve/Res Funds,107.19528,
IT,Information and Technology,650A,Other Expenditures,0.3957,
IT,Information and Technology,700A,Interdivisional Charges,493.7133,
LEGAL,Legal Services,100A,Salaries and Benefits,34265.2868,
LEGAL,Legal Services,200A,Materials and Supplies,336.65214,
LEGAL,Legal Services,300A,Equipment,24.50398,
LEGAL,Legal Services,400A,Services & Rents,1297.43891,
LEGAL,Legal Services,505A,Contributions to Capital,,
LEGAL,Legal Services,510A,Contributions to Reserve/Res Funds,58.13089,
LEGAL,Legal Services,650A,Other Expenditures,,
LEGAL,Legal Services,700A,Interdivisional Charges,5689,
LONGTERMHOME,Long Term Care Homes and Services,100A,Salaries and Benefits,183521.7,
LONGTERMHOME,Long Term Care Homes and Services,200A,Materials and Supplies,18771.9,
LONGTERMHOME,Long Term Care Homes and Services,300A,Equipment,2459.9,
LONGTERMHOME,Long Term Care Homes and Services,400A,Services & Rents,17314.9,
LONGTERMHOME,Long Term Care Homes and Services,505A,Contributions to Capital,,
LONGTERMHOME,Long Term Care Homes and Services,510A,Contributions to Reserve/Res Funds,1791.6,
LONGTERMHOME,Long Term Care Homes and Services,650A,Other Expenditures,129.5,
LONGTERMHOME,Long Term Care Homes and Services,700A,Interdivisional Charges,775.8,
LICENCING,Municipal Licensing and Standards,100A,Salaries and Benefits,38590.4,
LICENCING,Municipal Licensing and Standards,200A,Materials and Supplies,1220,
LICENCING,Municipal Licensing and Standards,300A,Equipment,214.7,
LICENCING,Municipal Licensing and Standards,400A,Services & Rents,1775.6,
LICENCING,Municipal Licensing and Standards,505A,Contributions to Capital,,
LICENCING,Municipal Licensing and Standards,510A,Contributions to Reserve/Res Funds,725.7,
LICENCING,Municipal Licensing and Standards,650A,Other Expenditures,208,
LICENCING,Municipal Licensing and Standards,700A,Interdivisional Charges,4599.2,
CORPFINANCING,Capital & Corporate Finance / Non-Program,100A,Salaries and Benefits,49305.852,
CORPFINANCING,Capital & Corporate Finance / Non-Program,200A,Materials and Supplies,170,
CORPFINANCING,Capital & Corporate Finance / Non-Program,300A,Equipment,0,
CORPFINANCING,Capital & Corporate Finance / Non-Program,400A,Services & Rents,414725.646,
CORPFINANCING,Capital & Corporate Finance / Non-Program,505A,Contributions to Capital,199035,
CORPFINANCING,Capital & Corporate Finance / Non-Program,510A,Contributions to Reserve/Res Funds,101179.238,
CORPFINANCING,Capital & Corporate Finance / Non-Program,650A,Other Expenditures,585542.34,
CORPFINANCING,Capital & Corporate Finance / Non-Program,700A,Interdivisional Charges,22500.694,
CFO,Office of the Chief Financial Officer,100A,Salaries and Benefits,15840.1,
CFO,Office of the Chief Financial Officer,200A,Materials and Supplies,69.5,
CFO,Office of the Chief Financial Officer,300A,Equipment,6.5,
CFO,Office of the Chief Financial Officer,400A,Services & Rents,594.5,
CFO,Office of the Chief Financial Officer,505A,Contributions to Capital,,
CFO,Office of the Chief Financial Officer,510A,Contributions to Reserve/Res Funds,71.7,
CFO,Office of the Chief Financial Officer,650A,Other Expenditures,2,
CFO,Office of the Chief Financial Officer,700A,Interdivisional Charges,180.7,
MAYOR,Office of the Mayor,100A,Salaries and Benefits,1813.6,
MAYOR,Office of the Mayor,200A,Materials and Supplies,12.5,
MAYOR,Office of the Mayor,300A,Equipment,3,
MAYOR,Office of the Mayor,400A,Services & Rents,67.1,
MAYOR,Office of the Mayor,505A,Contributions to Capital,,
MAYOR,Office of the Mayor,510A,Contributions to Reserve/Res Funds,,
MAYOR,Office of the Mayor,650A,Other Expenditures,,
MAYOR,Office of the Mayor,700A,Interdivisional Charges,12.1,
TREASURER,Office of the Treasurer,100A,Salaries and Benefits,61298.7,
TREASURER,Office of the Treasurer,200A,Materials and Supplies,1389.7,
TREASURER,Office of the Treasurer,300A,Equipment,115,
TREASURER,Office of the Treasurer,400A,Services & Rents,6753.7,
TREASURER,Office of the Treasurer,505A,Contributions to Capital,,
TREASURER,Office of the Treasurer,510A,Contributions to Reserve/Res Funds,286.9,
TREASURER,Office of the Treasurer,650A,Other Expenditures,1340.6,
TREASURER,Office of the Treasurer,700A,Interdivisional Charges,2158.7,
PARKINGTAGS,Parking Tags Enforcement & Operations,100A,Salaries and Benefits,36334.4,
PARKINGTAGS,Parking Tags Enforcement & Operations,200A,Materials and Supplies,1594,
PARKINGTAGS,Parking Tags Enforcement & Operations,300A,Equipment,94.2,
PARKINGTAGS,Parking Tags Enforcement & Operations,400A,Services & Rents,7375.6,
PARKINGTAGS,Parking Tags Enforcement & Operations,505A,Contributions to Capital,534,
PARKINGTAGS,Parking Tags Enforcement & Operations,510A,Contributions to Reserve/Res Funds,169,
PARKINGTAGS,Parking Tags Enforcement & Operations,650A,Other Expenditures,265,
PARKINGTAGS,Parking Tags Enforcement & Operations,700A,Interdivisional Charges,11451.3,
PARKS,"Parks, Forestry and Recreation",100A,Salaries and Benefits,258774.8,
PARKS,"Parks, Forestry and Recreation",200A,Materials and Supplies,32467.7,
PARKS,"Parks, Forestry and Recreation",300A,Equipment,2364.9,
PARKS,"Parks, Forestry and Recreation",400A,Services & Rents,49773,
PARKS,"Parks, Forestry and Recreation",505A,Contributions to Capital,,
PARKS,"Parks, Forestry and Recreation",510A,Contributions to Reserve/Res Funds,8644.8,
PARKS,"Parks, Forestry and Recreation",650A,Other Expenditures,11274,
PARKS,"Parks, Forestry and Recreation",700A,Interdivisional Charges,19336.4,
POLICYADMIN,"Policy, Planning, Finance and Administration",100A,Salaries and Benefits,18647.9,
POLICYADMIN,"Policy, Planning, Finance and Administration",200A,Materials and Supplies,1271.8,
POLICYADMIN,"Policy, Planning, Finance and Administration",300A,Equipment,204.1,
POLICYADMIN,"Policy, Planning, Finance and Administration",400A,Services & Rents,765.6,
POLICYADMIN,"Policy, Planning, Finance and Administration",505A,Contributions to Capital,,
POLICYADMIN,"Policy, Planning, Finance and Administration",510A,Contributions to Reserve/Res Funds,121.5,
POLICYADMIN,"Policy, Planning, Finance and Administration",650A,Other Expenditures,0,
POLICYADMIN,"Policy, Planning, Finance and Administration",700A,Interdivisional Charges,1093.1,
SHELTERADMIN,"Shelter, Support & Housing Administration",100A,Salaries and Benefits,63731.1,
SHELTERADMIN,"Shelter, Support & Housing Administration",200A,Materials and Supplies,4835,
SHELTERADMIN,"Shelter, Support & Housing Administration",300A,Equipment,300,
SHELTERADMIN,"Shelter, Support & Housing Administration",400A,Services & Rents,65187.1,
SHELTERADMIN,"Shelter, Support & Housing Administration",505A,Contributions to Capital,0,
SHELTERADMIN,"Shelter, Support & Housing Administration",510A,Contributions to Reserve/Res Funds,1156.1385,
SHELTERADMIN,"Shelter, Support & Housing Administration",650A,Other Expenditures,654893.768,
SHELTERADMIN,"Shelter, Support & Housing Administration",700A,Interdivisional Charges,1133.5,
SOCIALDEV,"Social Development, Finance & Administration",100A,Salaries and Benefits,13150.9,
SOCIALDEV,"Social Development, Finance & Administration",200A,Materials and Supplies,123.4,
SOCIALDEV,"Social Development, Finance & Administration",300A,Equipment,21.7,
SOCIALDEV,"Social Development, Finance & Administration",400A,Services & Rents,3067.55,
SOCIALDEV,"Social Development, Finance & Administration",505A,Contributions to Capital,0,
SOCIALDEV,"Social Development, Finance & Administration",510A,Contributions to Reserve/Res Funds,111.52977,
SOCIALDEV,"Social Development, Finance & Administration",650A,Other Expenditures,17208.5,
SOCIALDEV,"Social Development, Finance & Administration",700A,Interdivisional Charges,6103.1,
SOLIDWASTE,Solid Waste Management Services,100A,Salaries and Benefits,100712,
SOLIDWASTE,Solid Waste Management Services,200A,Materials and Supplies,7663,
SOLIDWASTE,Solid Waste Management Services,300A,Equipment,854.3,
SOLIDWASTE,Solid Waste Management Services,400A,Services & Rents,99292.7,
SOLIDWASTE,Solid Waste Management Services,505A,Contributions to Capital,,
SOLIDWASTE,Solid Waste Management Services,510A,Contributions to Reserve/Res Funds,38455,
SOLIDWASTE,Solid Waste Management Services,650A,Other Expenditures,68355,
SOLIDWASTE,Solid Waste Management Services,700A,Interdivisional Charges,30533,
ENGINEERING,Technical Services,100A,Salaries and Benefits,61390.733,
ENGINEERING,Technical Services,200A,Materials and Supplies,455.568,
ENGINEERING,Technical Services,300A,Equipment,278.297,
ENGINEERING,Technical Services,400A,Services & Rents,3715.828,
ENGINEERING,Technical Services,505A,Contributions to Capital,,
ENGINEERING,Technical Services,510A,Contributions to Reserve/Res Funds,759.739,
ENGINEERING,Technical Services,650A,Other Expenditures,0.204,
ENGINEERING,Technical Services,700A,Interdivisional Charges,3410.416,
SONYCENTRE,Sony Centre for the Performing Arts,100A,Salaries and Benefits,6584.7,
SONYCENTRE,Sony Centre for the Performing Arts,200A,Materials and Supplies,1359.1,
SONYCENTRE,Sony Centre for the Performing Arts,300A,Equipment,19.6,
SONYCENTRE,Sony Centre for the Performing Arts,400A,Services & Rents,8467.2,
SONYCENTRE,Sony Centre for the Performing Arts,505A,Contribution to Capital,,
SONYCENTRE,Sony Centre for the Performing Arts,510A,Contributions to Reserves,312.5,
SONYCENTRE,Sony Centre for the Performing Arts,510A,Contributions to Reserve Funds,1256.2,
SONYCENTRE,Sony Centre for the Performing Arts,650A,Other Expenditures,1927.4,
STLAWRENCECENTRE,St. Lawrence Cenmtre for the Arts,100A,Salaries and Benefits,2533.2,
STLAWRENCECENTRE,St. Lawrence Cenmtre for the Arts,200A,Materials and Supplies,467.9,
STLAWRENCECENTRE,St. Lawrence Cenmtre for the Arts,300A,Equipment,,
STLAWRENCECENTRE,St. Lawrence Cenmtre for the Arts,400A,Services & Rents,452.2,
STLAWRENCECENTRE,St. Lawrence Cenmtre for the Arts,505A,Contributions to Capital,,
STLAWRENCECENTRE,St. Lawrence Cenmtre for the Arts,510A,Contributions to Reserve/Res Funds,88.9,
STLAWRENCECENTRE,St. Lawrence Cenmtre for the Arts,650A,Other Expenditures,99.5,
STLAWRENCECENTRE,St. Lawrence Cenmtre for the Arts,700A,Interdivisional Charges,,
TORONTOCENTRE,Toronto Centre for the Arts,100A,Salaries and Benefits,2889.9,
TORONTOCENTRE,Toronto Centre for the Arts,200A,Materials and Supplies,523.1,
TORONTOCENTRE,Toronto Centre for the Arts,300A,Equipment,302.5,
TORONTOCENTRE,Toronto Centre for the Arts,400A,Services & Rents,399.6,
TORONTOCENTRE,Toronto Centre for the Arts,505A,Contributions to Capital,,
TORONTOCENTRE,Toronto Centre for the Arts,510A,Contributions to Reserve/Res Funds,216.7,
TORONTOCENTRE,Toronto Centre for the Arts,650A,Other Expenditures,,
TORONTOCENTRE,Toronto Centre for the Arts,700A,Interdivisional Charges,,
ATMOSPHERE,Toronto Atmospheric Fund,100A,Salaries and Benefits,755,
ATMOSPHERE,Toronto Atmospheric Fund,200A,Materials and Supplies,109,
ATMOSPHERE,Toronto Atmospheric Fund,300A,Equipment, ,
ATMOSPHERE,Toronto Atmospheric Fund,400A,Services & Rents,54,
ATMOSPHERE,Toronto Atmospheric Fund,505A,Contributions to Capital,,
ATMOSPHERE,Toronto Atmospheric Fund,510A,Contributions to Reserve/Res Funds, ,
ATMOSPHERE,Toronto Atmospheric Fund,650A,Other Expenditures,1361,
ATMOSPHERE,Toronto Atmospheric Fund,700A,Interdivisional Charges, ,
BUILDINGS,Toronto Building Services,100A,Salaries and Benefits,41744,
BUILDINGS,Toronto Building Services,200A,Materials and Supplies,271.5,
BUILDINGS,Toronto Building Services,300A,Equipment,186.7,
BUILDINGS,Toronto Building Services,400A,Services & Rents,1243.4,
BUILDINGS,Toronto Building Services,505A,Contributions to Capital,,
BUILDINGS,Toronto Building Services,510A,Contributions to Reserve/Res Funds,2527,
BUILDINGS,Toronto Building Services,650A,Other Expenditures,266,
BUILDINGS,Toronto Building Services,700A,Interdivisional Charges,480.9,
SOCIALSERV,Toronto Employment & Social Services,100A,Salaries and Benefits,186332.63,
SOCIALSERV,Toronto Employment & Social Services,200A,Materials and Supplies,15816.633,
SOCIALSERV,Toronto Employment & Social Services,300A,Equipment,500.818,
SOCIALSERV,Toronto Employment & Social Services,400A,Services & Rents,51890.554,
SOCIALSERV,Toronto Employment & Social Services,505A,Contributions to Capital,923,
SOCIALSERV,Toronto Employment & Social Services,510A,Contributions to Reserve/Res Funds,15729.54,
SOCIALSERV,Toronto Employment & Social Services,650A,Other Expenditures,925328.6,
SOCIALSERV,Toronto Employment & Social Services,700A,Interdivisional Charges,28599.045,
ENVIRONMENTOFFICE,Toronto Environment Office,100A,Salaries and Benefits,2490.2,
ENVIRONMENTOFFICE,Toronto Environment Office,200A,Materials and Supplies,99.7,
ENVIRONMENTOFFICE,Toronto Environment Office,300A,Equipment,2,
ENVIRONMENTOFFICE,Toronto Environment Office,400A,Services & Rents,1707.9,
ENVIRONMENTOFFICE,Toronto Environment Office,505A,Contributions to Capital,,
ENVIRONMENTOFFICE,Toronto Environment Office,510A,Contributions to Reserve/Res Funds,1572,
ENVIRONMENTOFFICE,Toronto Environment Office,650A,Other Expenditures,14.2,
ENVIRONMENTOFFICE,Toronto Environment Office,700A,Interdivisional Charges,46.3,
PARKING,Toronto Parking Authority,100A,Salaries and Benefits,21563.6,
PARKING,Toronto Parking Authority,200A,Materials and Supplies,6895.5,
PARKING,Toronto Parking Authority,300A,Equipment,8670.6,
PARKING,Toronto Parking Authority,400A,Services & Rents,16299.6,
PARKING,Toronto Parking Authority,505A,Contributions to Capital,,
PARKING,Toronto Parking Authority,510A,Contributions to Reserve/Res Funds,,
PARKING,Toronto Parking Authority,650A,Other Expenditures,18897.6,
PARKING,Toronto Parking Authority,700A,Interdivisional Charges,,
POLICEBOARD,Toronto Police Services Board,100A,Salaries and Benefits,929.2,
POLICEBOARD,Toronto Police Services Board,200A,Materials and Supplies,7.3,
POLICEBOARD,Toronto Police Services Board,300A,Equipment,,
POLICEBOARD,Toronto Police Services Board,400A,Services & Rents,549.6,
POLICEBOARD,Toronto Police Services Board,505A,Contributions to Capital,,
POLICEBOARD,Toronto Police Services Board,510A,Contributions to Reserve/Res Funds,610.6,
POLICEBOARD,Toronto Police Services Board,650A,Other Expenditures,,
POLICEBOARD,Toronto Police Services Board,700A,Interdivisional Charges,612,
POLICE,Toronto Police Service,100A,Salaries and Benefits,898099.2,
POLICE,Toronto Police Service,200A,Materials and Supplies,21271.1,
