Office of the Treasurer ,681.0 49.0 730.0 ,659.0 23.0 682.0 ,661.0 23.0 684.0 ,2.0 ,0.0 2.0 ,0.3
Facilities Management & Real Estate (incl TE ,698.9 47.3 746.2 ,727.9 42.3 770.2 ,761.4 38.3 799.7 ,33.5 ,(4.0) 29.5 ,3.8
Fleet Services ,172.0 0.0 172.0 ,174.0 0.0 174.0 ,174.0 0.0 174.0 ,0.0 ,0.0 0.0 ,0.0
Information & Technology ,504.0 2.0 506.0 ,584.0 3.0 587.0 ,589.0 4.0 593.0 ,5.0 ,1.0 6.0 ,1.0
311 Toronto ,158.0 0.0 158.0 ,154.0 0.0 154.0 ,138.0 20.0 158.0 ,(16.0) ,20.0 4.0 ,2.6
Sub-Total Internal Services ,"2,307.9 99.3 2,407.2 ","2,394.9 68.3 2,463.2 ","2,423.4 85.3 2,508.7 ",28.5 ,17.0 45.5 ,1.8
City Manager,"","","","","",""
City Manager's Office ,379.0 13.0 392.0 ,395.5 11.0 406.5 ,396.5 14.0 410.5 ,1.0 ,3.0 4.0 ,1.0
Sub-Total City Manager ,379.0 13.0 392.0 ,395.5 11.0 406.5 ,396.5 14.0 410.5 ,1.0 ,3.0 4.0 ,1.0
Other City Programs,"","","","","",""
City Clerk's Office ,396.3 3.5 399.8 ,391.3 11.5 402.8 ,394.3 45.4 439.7 ,3.0 ,33.9 36.9 ,9.2
Legal Services ,255.0 18.0 273.0 ,266.0 28.0 294.0 ,267.0 30.0 297.0 ,1.0 ,2.0 3.0 ,1.0
Mayor's Office ,1.0 17.0 18.0 ,1.0 8.0 9.0 ,1.0 8.0 9.0 ,0.0 ,0.0 0.0 ,0.0
City Council ,44.0 132.0 176.0 ,44.0 132.0 176.0 ,44.0 132.0 176.0 ,0.0 ,0.0 0.0 ,0.0
Auditor General's Office ,29.0 0.0 29.0 ,29.0 0.0 29.0 ,29.5 0.0 29.5 ,0.5 ,0.0 0.5 ,1.7
Lobbyist Registrar ,8.0 0.3 8.3 ,8.0 0.3 8.3 ,8.0 0.3 8.3 ,0.0 ,0.0 0.0 ,0.0
Integrity Commissioner's Office ,1.0 0.5 1.5 ,2.0 0.0 2.0 ,2.0 0.0 2.0 ,0.0 ,0.0 0.0 ,0.0
Office of the Ombudsman ,10.0 0.0 10.0 ,11.0 0.0 11.0 ,11.0 0.0 11.0 ,0.0 ,0.0 0.0 ,0.0
Sub-Total Other City Programs ,744.3 171.3 915.6 ,752.3 179.8 932.0 ,756.8 215.7 972.4 ,4.5 ,35.9 40.4 ,4.3
TOTAL - CITY OPERATIONS ,"18,197.5 3,422.1 21,619.6 ","18,417.2 3,290.3 21,707.4 ","18,572.9 3,446.4 22,019.3 ",155.8 ,156.1 311.9 ,1.4
Agencies,"","","","","",""
Toronto Public Health ,"1,795.2 47.0 1,842.2 ","1,795.5 40.7 1,836.2 ","1,796.0 42.7 1,838.7 ",0.5 ,2.0 2.5 ,0.1
Toronto Public Library ,"1,717.9 0.0 1,717.9 ","1,713.4 0.0 1,713.4 ","1,737.4 0.0 1,737.4 ",24.0 ,0.0 24.0 ,1.4
Association of Community Centres ,77.8 1.2 79.0 ,48.1 29.3 77.4 ,48.1 29.3 77.4 ,0.0 ,0.0 0.0 ,0.0
Exhibition Place ,155.5 374.0 529.5 ,392.5 0.0 392.5 ,392.5 0.0 392.5 ,0.0 ,0.0 0.0 ,0.0
Heritage Toronto ,6.5 0.0 6.5 ,6.0 0.0 6.0 ,7.0 0.0 7.0 ,1.0 ,0.0 1.0 ,16.7
Theatres ,77.5 103.6 181.1 ,76.9 88.3 165.2 ,76.9 79.6 156.5 ,0.0 ,(8.7) (8.7) ,(5.3)
Toronto Zoo ,278.0 110.0 388.0 ,278.0 141.4 419.4 ,278.0 132.2 410.2 ,0.0 ,(9.2) (9.2) ,(2.2)
Arena Boards of Management ,41.0 24.5 65.5 ,43.0 25.2 68.2 ,44.0 23.4 67.4 ,1.0 ,(1.8) (0.8) ,(1.2)
Yonge-Dundas Square ,5.0 0.0 5.0 ,5.0 1.5 6.5 ,6.0 0.5 6.5 ,1.0 ,(1.0) 0.0 ,0.0
Parking Tag Enforcement & Operations ,394.0 0.0 394.0 ,394.0 0.0 394.0 ,394.0 0.0 394.0 ,0.0 ,0.0 0.0 ,0.0
Toronto Atmospheric Fund ,7.0 0.0 7.0 ,7.0 0.0 7.0 ,8.0 0.0 8.0 ,1.0 ,0.0 1.0 ,14.3
Toronto Transit Commission - Conventional ,"10,614.0 0.0 10,614.0 ","10,878.0 4.0 10,882.0 ","11,176.0 3.0 11,179.0 ",298.0 ,(1.0) 297.0 ,2.7
Toronto Transit Commission - Wheel-Trans ,529.0 0.0 529.0 ,531.0 0.0 531.0 ,557.0 0.0 557.0 ,26.0 ,0.0 26.0 ,4.9
Toronto Police Service ,"7,862.0 7.0 7,869.0 ","7,658.0 211.0 7,869.0 ","7,659.0 211.0 7,870.0 ",1.0 ,0.0 1.0 ,0.0
Toronto Police Services Board ,8.0 0.0 8.0 ,8.0 0.0 8.0 ,8.0 0.0 8.0 ,0.0 ,0.0 0.0 ,0.0
TOTAL - AGENCIES ,"23,568.4 667.3 24,235.7 ","23,834.4 541.4 24,375.8 ","24,187.9 521.7 24,709.6 ",353.5 ,(19.7) 333.8 ,1.4
TOTAL - TAX SUPPORTED OPERATIONS ,"41,765.9 4,089.4 45,855.3 ","42,251.6 3,831.7 46,083.3 ","42,760.8 3,968.1 46,728.9 ",509.3 ,136.4 645.7 ,1.4
Rate Supported Operations,"","","","","",""
Solid Waste Management Services ,"943.5 152.5 1,096.0 ","970.5 121.2 1,091.7 ","958.5 117.2 1,075.7 ",(12.0) ,(4.0) (16.0) ,(1.5)
Toronto Water ,"1,590.0 69.3 1,659.3 ","1,612.0 84.3 1,696.3 ","1,631.0 71.3 1,702.3 ",19.0 ,(13.0) 6.0 ,0.4
Toronto Parking Authority ,244.0 54.7 298.7 ,241.0 54.7 295.7 ,242.0 55.4 297.4 ,1.0 ,0.7 1.7 ,0.6
TOTAL - RATE SUPPORTED OPERATION ,"2,777.5 276.5 3,054.0 ","2,823.5 260.2 3,083.7 ","2,831.5 243.9 3,075.4 ",8.0 ,(16.3) (8.3) ,(0.3)
TOTAL ,"44,543.4 4,365.9 48,909.3 ","45,075.1 4,091.9 49,167.0 ","45,592.3 4,212.0 49,804.3 ",517.3 ,120.1 637.4 ,1.3
