baseitem,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
PARKINGTAGS,,,,,395,395,395,395,395,395,395,395,394,394,394,394,394,394
PARKS,,,,,3682.2,3718.6,3975.3,4095.8,4148.6,4213.3,4230.1,4280.6,4200.2,4206,4347.6,4454.8,4503.5,4267.6
PLANNING,,,,,1098.5,1149.5,327.5,328,359.5,362.5,350,342,333,339,352,360,368,367.5
POLICE,,,,,7296,7296,7580,7705,7710,7792,7834,7888,7869,7869,7870,7883,7881,7881
PUBLICHEALTH,,,,,1819,1822.5,2103,1933.5,1937.2,1863.3,1865.7,1902.3,1835.7,1836.2,1838.7,1841.6,1850,1813.3
REGIONCONSERV,,,,,356.6,371.2,394.7,410.8,,,,,,,,,419.6,426.6
SHELTERADMIN,,,,,1137.5,1180.5,695,686,695.5,743.9,748.8,752.7,739.4,723.9,718.6,707.2,756.5,739.1
SOCIALDEV,,,,,159.9,160,222.3,223.8,214.8,202.8,172.9,145.3,129.7,127.6,126.3,127.5,136.5,147
SOCIALSERV,,,,,1953,1953,1943,1950,1982,2148,2354,2289,2190.5,2186,2148.5,2092,2120,2012
SOLIDWASTE,,,,,1301.9,1357,1366.2,1339.6,1291.6,1354.8,1309.1,1327.7,1093.2,1091.7,1075.7,1081.7,1108.7,1113.7
THEATRES,,,,,186.7,198.1,201.9,177.2,177,148.6,176.6,211,181.1,165.2,156.5,163.1,171.9,186.7
TRANSPORTATION,,,,,1184,1190,1376.3,1367.7,1302.2,1350.2,1279.2,1265,1043.7,1032.4,1055.4,1028.8,1030.5,1013.1
TTCCONV,,,,,10430,10649,9889,10284,10716,11049,10560,10706,10561,10882,11179,11691,11870,11793
WATER,,,,,1700,1700,1773.9,1779.9,1678.5,1723.5,1726.4,1706.3,1659.3,1696.3,1702.3,1710.3,1753.7,1752.7
YONGEDUNDAS,,,,,3,3,4,4,4,5,5,5,5,6.5,6.5,6.5,6.5,6.5
ZOO,,,,,348.3,352.5,354,354,358.3,373.8,383.5,389,388,419.4,410.2,402.5,394,394
ARENAS,,,,,63.5,63.5,63.5,63.5,63.5,65.5,65.5,65.5,65.5,68.2,67.4,66.6,67.7,67.7
AFFHOUSING,,,,,,,24,24,24,23,22,22,19,19,19,19,19,19
BUILDINGS,,,,,,,401.5,407.5,407.5,417.5,428.5,426,418,425,425,442,456,467
LICENCING,,,,,,,381,380,369,497.6,501.3,487.6,452.6,452.6,456,460,460,470.5
LOBBYREG,,,,,,,,2,5,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3
POLICYADMIN,,,,,,,104.6,110.9,442.2,400.2,239.1,229.1,208.1,199.1,200.4,199.4,196.4,188.4
TREASURER,,,,,,,728,738,771,787,765,753,730,682,684,693,680.2,646.2
311SERVICE,,,,,,,4,4,6,152,146.7,159,154,154,158,157,145,160
OMBUDSMAN,,,,,,,,,3,7,7,10,10,11,11,12,12,12
INTEGRITYCOMM,,,,,,,,,,0.5,1.5,1.5,1.5,2,2,3,3,3
TTCWHEEL,,,,,,,,,,,530,532,529,531,557,562,565,571
POLICEBOARD,,,,,,,,,,,,8,8,8,8,7,7,7
CORPACCOUNTS,,,,,,,,,,,,,,,,,,3
