_META_START_,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,700A,Inter-Divisional Charges,630397,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,200A,Materials & Supplies,23184,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,100A,Salaries And Benefits,7139682,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,400A,Service And Rent,608954,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,510A,Contribution To Reserves/Reserve Funds,221224,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,300A,Equipment,11666,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,700A,Inter-Divisional Charges,105913,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,200A,Materials & Supplies,874296,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,100A,Salaries And Benefits,6399036,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,400A,Service And Rent,4963295,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,510A,Contribution To Reserves/Reserve Funds,55700,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,300A,Equipment,8405,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,700A,Inter-Divisional Charges,36916,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,200A,Materials & Supplies,59475,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,650A,Other Expenditures,1500,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,100A,Salaries And Benefits,10640054,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,400A,Service And Rent,393195,
City Council,,,510A,Contribution To Reserves/Reserve Funds,99217,
City Council,,,300A,Equipment,182000,
City Council,,,700A,Inter-Divisional Charges,244219,
City Council,,,200A,Materials & Supplies,1253604,
City Council,,,100A,Salaries And Benefits,18672088,
City Council,,,400A,Service And Rent,371500,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,300A,Equipment,1633,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,200A,Materials & Supplies,2937,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,100A,Salaries And Benefits,870717,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,400A,Service And Rent,4412,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,300A,Equipment,95,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,700A,Inter-Divisional Charges,6910,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,200A,Materials & Supplies,1262,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,100A,Salaries And Benefits,312913,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,400A,Service And Rent,1948,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,300A,Equipment,2091,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,200A,Materials & Supplies,1723,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,100A,Salaries And Benefits,593937,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,400A,Service And Rent,6715,
City Manager's Office,CM-Executive Management,Accountability Processes,200A,Materials & Supplies,819,
City Manager's Office,CM-Executive Management,Accountability Processes,100A,Salaries And Benefits,191819,
City Manager's Office,CM-Executive Management,Accountability Processes,400A,Service And Rent,1266,
City Manager's Office,CM-Executive Management,City Manager,510A,Contribution To Reserves/Reserve Funds,19973,
City Manager's Office,CM-Executive Management,City Manager,300A,Equipment,9700,
City Manager's Office,CM-Executive Management,City Manager,700A,Inter-Divisional Charges,12800,
City Manager's Office,CM-Executive Management,City Manager,200A,Materials & Supplies,9858,
City Manager's Office,CM-Executive Management,City Manager,100A,Salaries And Benefits,68433,
City Manager's Office,CM-Executive Management,City Manager,400A,Service And Rent,18472,
City Manager's Office,CM-Executive Management,Corporate Issues & Agenda Management,200A,Materials & Supplies,1487,
City Manager's Office,CM-Executive Management,Corporate Issues & Agenda Management,100A,Salaries And Benefits,977636,
City Manager's Office,CM-Executive Management,Corporate Issues & Agenda Management,400A,Service And Rent,15776,
City Manager's Office,CM-Executive Management,Financial Management & Program Support,200A,Materials & Supplies,2346,
City Manager's Office,CM-Executive Management,Financial Management & Program Support,100A,Salaries And Benefits,969995,
City Manager's Office,CM-Executive Management,Financial Management & Program Support,400A,Service And Rent,6421,
City Manager's Office,CM-Executive Management,Performance Management & Benchmarking,200A,Materials & Supplies,1190,
City Manager's Office,CM-Executive Management,Performance Management & Benchmarking,100A,Salaries And Benefits,652302,
City Manager's Office,CM-Executive Management,Performance Management & Benchmarking,400A,Service And Rent,12626,
City Manager's Office,CM-Internal Auditing,Audit Reporting,300A,Equipment,25000,
City Manager's Office,CM-Internal Auditing,Audit Reporting,200A,Materials & Supplies,929,
City Manager's Office,CM-Internal Auditing,Audit Reporting,100A,Salaries And Benefits,921650,
City Manager's Office,CM-Internal Auditing,Audit Reporting,400A,Service And Rent,16892,
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,200A,Materials & Supplies,164,
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,100A,Salaries And Benefits,163368,
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,400A,Service And Rent,3221,
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,200A,Materials & Supplies,1128,
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,100A,Salaries And Benefits,1130245,
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,400A,Service And Rent,12512,
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,700A,Inter-Divisional Charges,7500,
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,200A,Materials & Supplies,1128,
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,100A,Salaries And Benefits,1817746,
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,400A,Service And Rent,82512,
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,200A,Materials & Supplies,631,
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,100A,Salaries And Benefits,938461,
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,400A,Service And Rent,386978,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,300A,Equipment,705,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,700A,Inter-Divisional Charges,30950,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,200A,Materials & Supplies,1800,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,100A,Salaries And Benefits,901706,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,400A,Service And Rent,45558,
City Manager's Office,CM-Strategic Communications,Internal Communications,300A,Equipment,705,
City Manager's Office,CM-Strategic Communications,Internal Communications,200A,Materials & Supplies,1800,
City Manager's Office,CM-Strategic Communications,Internal Communications,100A,Salaries And Benefits,951380,
City Manager's Office,CM-Strategic Communications,Internal Communications,400A,Service And Rent,40674,
City Manager's Office,CM-Strategic Communications,Media Relations,300A,Equipment,1175,
City Manager's Office,CM-Strategic Communications,Media Relations,200A,Materials & Supplies,3000,
City Manager's Office,CM-Strategic Communications,Media Relations,100A,Salaries And Benefits,1372994,
City Manager's Office,CM-Strategic Communications,Media Relations,400A,Service And Rent,75930,
City Manager's Office,CM-Strategic Communications,Public Communications,300A,Equipment,4115,
City Manager's Office,CM-Strategic Communications,Public Communications,200A,Materials & Supplies,3400,
City Manager's Office,CM-Strategic Communications,Public Communications,100A,Salaries And Benefits,2841464,
City Manager's Office,CM-Strategic Communications,Public Communications,400A,Service And Rent,183674,
City Manager's Office,HR Employee & Labour Relations,,510A,Contribution To Reserves/Reserve Funds,37783,
City Manager's Office,HR Employee & Labour Relations,,300A,Equipment,8722,
City Manager's Office,HR Employee & Labour Relations,,700A,Inter-Divisional Charges,82045,
City Manager's Office,HR Employee & Labour Relations,,200A,Materials & Supplies,26582,
City Manager's Office,HR Employee & Labour Relations,,100A,Salaries And Benefits,6574835,
City Manager's Office,HR Employee & Labour Relations,,400A,Service And Rent,1110713,
City Manager's Office,HR Employment Services,,510A,Contribution To Reserves/Reserve Funds,16664,
City Manager's Office,HR Employment Services,,300A,Equipment,29865,
City Manager's Office,HR Employment Services,,700A,Inter-Divisional Charges,30531,
City Manager's Office,HR Employment Services,,200A,Materials & Supplies,38948,
City Manager's Office,HR Employment Services,,100A,Salaries And Benefits,11155345,
City Manager's Office,HR Employment Services,,400A,Service And Rent,383723,
City Manager's Office,HR Organizational & Employee Effectiveness,,510A,Contribution To Reserves/Reserve Funds,16664,
City Manager's Office,HR Organizational & Employee Effectiveness,,300A,Equipment,14670,
City Manager's Office,HR Organizational & Employee Effectiveness,,700A,Inter-Divisional Charges,48109,
City Manager's Office,HR Organizational & Employee Effectiveness,,200A,Materials & Supplies,37233,
City Manager's Office,HR Organizational & Employee Effectiveness,,100A,Salaries And Benefits,6586428,
City Manager's Office,HR Organizational & Employee Effectiveness,,400A,Service And Rent,1552169,
City Manager's Office,HR Safe & Healthy Workplaces,,510A,Contribution To Reserves/Reserve Funds,16664,
City Manager's Office,HR Safe & Healthy Workplaces,,300A,Equipment,16809,
City Manager's Office,HR Safe & Healthy Workplaces,,700A,Inter-Divisional Charges,37742,
City Manager's Office,HR Safe & Healthy Workplaces,,200A,Materials & Supplies,56739,
City Manager's Office,HR Safe & Healthy Workplaces,,100A,Salaries And Benefits,10449035,
City Manager's Office,HR Safe & Healthy Workplaces,,400A,Service And Rent,677871,
City Planning,City Building & Policy Development,,510A,Contribution To Reserves/Reserve Funds,63138,
City Planning,City Building & Policy Development,,300A,Equipment,85998,
City Planning,City Building & Policy Development,,700A,Inter-Divisional Charges,400931,
City Planning,City Building & Policy Development,,200A,Materials & Supplies,76061,
City Planning,City Building & Policy Development,,650A,Other Expenditures,317000,
City Planning,City Building & Policy Development,,100A,Salaries And Benefits,17063756,
City Planning,City Building & Policy Development,,400A,Service And Rent,864930,
City Planning,"Development Review, Decision & Implementation",,510A,Contribution To Reserves/Reserve Funds,18086,
City Planning,"Development Review, Decision & Implementation",,300A,Equipment,77546,
City Planning,"Development Review, Decision & Implementation",,700A,Inter-Divisional Charges,612692,
City Planning,"Development Review, Decision & Implementation",,200A,Materials & Supplies,111667,
City Planning,"Development Review, Decision & Implementation",,650A,Other Expenditures,83700,
City Planning,"Development Review, Decision & Implementation",,100A,Salaries And Benefits,22592547,
City Planning,"Development Review, Decision & Implementation",,400A,Service And Rent,708037,
Court Services,Court Case Management,,510A,Contribution To Reserves/Reserve Funds,70032,
Court Services,Court Case Management,,300A,Equipment,48671,
Court Services,Court Case Management,,700A,Inter-Divisional Charges,16096765,
Court Services,Court Case Management,,200A,Materials & Supplies,106163,
Court Services,Court Case Management,,650A,Other Expenditures,383110,
Court Services,Court Case Management,,100A,Salaries And Benefits,12146789,
Court Services,Court Case Management,,400A,Service And Rent,6701939,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,510A,Contribution To Reserves/Reserve Funds,4219,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,300A,Equipment,53051,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,700A,Inter-Divisional Charges,920405,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,200A,Materials & Supplies,44498,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,650A,Other Expenditures,15670,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,100A,Salaries And Benefits,5823792,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,400A,Service And Rent,671400,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,510A,Contribution To Reserves/Reserve Funds,1688,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,300A,Equipment,788,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,700A,Inter-Divisional Charges,472489,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,200A,Materials & Supplies,3045,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,650A,Other Expenditures,6268,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,100A,Salaries And Benefits,344349,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,400A,Service And Rent,130800,
Court Services,Default Fine Collection Management,,510A,Contribution To Reserves/Reserve Funds,8438,
Court Services,Default Fine Collection Management,,300A,Equipment,2865,
Court Services,Default Fine Collection Management,,700A,Inter-Divisional Charges,1943823,
Court Services,Default Fine Collection Management,,200A,Materials & Supplies,4040,
Court Services,Default Fine Collection Management,,650A,Other Expenditures,1415140,
Court Services,Default Fine Collection Management,,100A,Salaries And Benefits,1467609,
Court Services,Default Fine Collection Management,,400A,Service And Rent,643251,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,510A,Contribution To Reserves/Reserve Funds,4856,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,300A,Equipment,5550,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,700A,Inter-Divisional Charges,13200,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,200A,Materials & Supplies,11951,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,650A,Other Expenditures,125796,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,100A,Salaries And Benefits,1763146,
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,400A,Service And Rent,63250,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,300A,Equipment,4196,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,700A,Inter-Divisional Charges,31521,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,200A,Materials & Supplies,37774,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,650A,Other Expenditures,1185820,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,100A,Salaries And Benefits,1489616,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,400A,Service And Rent,1001526,
Economic Development & Culture,EC-Business Services,Filming Activity,300A,Equipment,7000,
Economic Development & Culture,EC-Business Services,Filming Activity,700A,Inter-Divisional Charges,400,
Economic Development & Culture,EC-Business Services,Filming Activity,200A,Materials & Supplies,30585,
Economic Development & Culture,EC-Business Services,Filming Activity,650A,Other Expenditures,46089,
Economic Development & Culture,EC-Business Services,Filming Activity,100A,Salaries And Benefits,933601,
Economic Development & Culture,EC-Business Services,Filming Activity,400A,Service And Rent,188208,
Economic Development & Culture,EC-Cultural Services,Arts Programming,300A,Equipment,11647,
Economic Development & Culture,EC-Cultural Services,Arts Programming,700A,Inter-Divisional Charges,8263,
Economic Development & Culture,EC-Cultural Services,Arts Programming,200A,Materials & Supplies,101155,
Economic Development & Culture,EC-Cultural Services,Arts Programming,650A,Other Expenditures,365000,
Economic Development & Culture,EC-Cultural Services,Arts Programming,100A,Salaries And Benefits,2005444,
Economic Development & Culture,EC-Cultural Services,Arts Programming,400A,Service And Rent,206641,
Economic Development & Culture,EC-Cultural Services,Cultural Development,300A,Equipment,6158,
Economic Development & Culture,EC-Cultural Services,Cultural Development,700A,Inter-Divisional Charges,6351,
Economic Development & Culture,EC-Cultural Services,Cultural Development,200A,Materials & Supplies,169321,
Economic Development & Culture,EC-Cultural Services,Cultural Development,650A,Other Expenditures,274248,
Economic Development & Culture,EC-Cultural Services,Cultural Development,100A,Salaries And Benefits,1056352,
Economic Development & Culture,EC-Cultural Services,Cultural Development,400A,Service And Rent,872065,
Economic Development & Culture,EC-Cultural Services,Cultural Grants,650A,Other Expenditures,27819200,
Economic Development & Culture,EC-Cultural Services,Cultural Grants,100A,Salaries And Benefits,10881,
Economic Development & Culture,EC-Cultural Services,Events Programming,510A,Contribution To Reserves/Reserve Funds,80505,
Economic Development & Culture,EC-Cultural Services,Events Programming,300A,Equipment,3997,
Economic Development & Culture,EC-Cultural Services,Events Programming,700A,Inter-Divisional Charges,161760,
Economic Development & Culture,EC-Cultural Services,Events Programming,200A,Materials & Supplies,224496,
Economic Development & Culture,EC-Cultural Services,Events Programming,650A,Other Expenditures,122918,
Economic Development & Culture,EC-Cultural Services,Events Programming,100A,Salaries And Benefits,4054621,
Economic Development & Culture,EC-Cultural Services,Events Programming,400A,Service And Rent,8554754,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,510A,Contribution To Reserves/Reserve Funds,878651,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,300A,Equipment,79408,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,700A,Inter-Divisional Charges,180868,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,200A,Materials & Supplies,722627,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,650A,Other Expenditures,111403,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,100A,Salaries And Benefits,10576385,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,400A,Service And Rent,1895219,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,300A,Equipment,7500,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,700A,Inter-Divisional Charges,12190,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,200A,Materials & Supplies,8588,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,650A,Other Expenditures,206052,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,100A,Salaries And Benefits,1454362,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,400A,Service And Rent,79873,
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,200A,Materials & Supplies,36660,
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,650A,Other Expenditures,45000,
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,100A,Salaries And Benefits,1544800,
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,400A,Service And Rent,61447,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,300A,Equipment,2150,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,700A,Inter-Divisional Charges,38071,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,200A,Materials & Supplies,82518,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,650A,Other Expenditures,175799,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,100A,Salaries And Benefits,1944833,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,400A,Service And Rent,1037718,
