311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Recoveries,750A,5293589,
City Council,City Council,City Council,Contribution From Reserves/Reserve Funds,930A,130000,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,Inter-Divisional Recoveries,750A,2500,
City Manager's Office,CM-Internal Auditing,Audit Reporting,Inter-Divisional Recoveries,750A,568900,
City Manager's Office,CM-Internal Auditing,Audit Reporting,Sundry and Other Revenues,940A,35789,
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,Sundry and Other Revenues,940A,6316,
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,Inter-Divisional Recoveries,750A,475192,
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,Contribution From Reserves/Reserve Funds,930A,376342,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,Contribution From Reserves/Reserve Funds,930A,49500,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,Inter-Divisional Recoveries,750A,1142884,
City Manager's Office,CM-Strategic Communications,Internal Communications,Contribution From Reserves/Reserve Funds,930A,49500,
City Manager's Office,CM-Strategic Communications,Media Relations,Contribution From Reserves/Reserve Funds,930A,82500,
City Manager's Office,CM-Strategic Communications,Public Communications,Contribution From Reserves/Reserve Funds,930A,253291,
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Inter-Divisional Recoveries,750A,576876,
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Sundry and Other Revenues,940A,146641,
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Transfers From Capital,920A,413479,
City Manager's Office,HR Employment Services,HR Employment Services,Inter-Divisional Recoveries,750A,1565191,
City Manager's Office,HR Employment Services,HR Employment Services,Transfers From Capital,920A,413479,
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Contribution From Reserves/Reserve Funds,930A,190000,
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Inter-Divisional Recoveries,750A,293177,
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Transfers From Capital,920A,1082956,
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Inter-Divisional Recoveries,750A,237688,
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Transfers From Capital,920A,413479,
City Planning,City Building & Policy Development,City Building & Policy Development,Sundry and Other Revenues,940A,810300,
City Planning,City Building & Policy Development,City Building & Policy Development,Transfers From Capital,920A,2372893,
City Planning,City Building & Policy Development,City Building & Policy Development,User Fees & Donations,850A,127640,
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Sundry and Other Revenues,940A,88050,
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",User Fees & Donations,850A,24078338,
Court Services,Court Case Management,Court Case Management,Inter-Divisional Recoveries,750A,5280777,
Court Services,Court Case Management,Court Case Management,Sundry and Other Revenues,940A,47168700,
Court Services,Court Case Management,Court Case Management,User Fees & Donations,850A,234059,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Inter-Divisional Recoveries,750A,874571,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Sundry and Other Revenues,940A,63000,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,User Fees & Donations,850A,14102,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Inter-Divisional Recoveries,750A,127248,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Sundry and Other Revenues,940A,25200,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,User Fees & Donations,850A,5639,
Court Services,Default Fine Collection Management,Default Fine Collection Management,Inter-Divisional Recoveries,750A,636238,
Court Services,Default Fine Collection Management,Default Fine Collection Management,Sundry and Other Revenues,940A,126000,
Court Services,Default Fine Collection Management,Default Fine Collection Management,User Fees & Donations,850A,28200,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Contribution From Reserves/Reserve Funds,930A,639623,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Provincial Subsidies,805A,192500,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Sundry and Other Revenues,940A,2667893,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,User Fees & Donations,850A,5000,
Economic Development & Culture,EC-Business Services,Filming Activity,Licences & Permits Revenue,860A,407000,
Economic Development & Culture,EC-Cultural Services,Arts Programming,Contribution From Reserves/Reserve Funds,930A,200000,
Economic Development & Culture,EC-Cultural Services,Arts Programming,Licences & Permits Revenue,860A,148640,
Economic Development & Culture,EC-Cultural Services,Arts Programming,Sundry and Other Revenues,940A,20900,
Economic Development & Culture,EC-Cultural Services,Arts Programming,User Fees & Donations,850A,242049,
Economic Development & Culture,EC-Cultural Services,Cultural Development,Federal Subsidies,810A,75000,
Economic Development & Culture,EC-Cultural Services,Cultural Development,Sundry and Other Revenues,940A,82900,
Economic Development & Culture,EC-Cultural Services,Cultural Development,User Fees & Donations,850A,193830,
Economic Development & Culture,EC-Cultural Services,Cultural Grants,Contribution From Reserves/Reserve Funds,930A,3200000,
Economic Development & Culture,EC-Cultural Services,Events Programming,Contribution From Reserves/Reserve Funds,930A,2646741,
Economic Development & Culture,EC-Cultural Services,Events Programming,Federal Subsidies,810A,1400000,
Economic Development & Culture,EC-Cultural Services,Events Programming,Provincial Subsidies,805A,2000000,
Economic Development & Culture,EC-Cultural Services,Events Programming,Sundry and Other Revenues,940A,2179031,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,Federal Subsidies,810A,179172,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,Licences & Permits Revenue,860A,179766,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,Other Subsidies,820A,37000,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,Provincial Subsidies,805A,342700,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,Sundry and Other Revenues,940A,537250,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,Transfers From Capital,920A,657000,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,User Fees & Donations,850A,1960736,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,Contribution From Reserves/Reserve Funds,930A,200000,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,Sundry and Other Revenues,940A,11284,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,Transfers From Capital,920A,379000,
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,Federal Subsidies,810A,32500,
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,Sundry and Other Revenues,940A,100000,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,Contribution From Reserves/Reserve Funds,930A,739623,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,User Fees & Donations,850A,5000,
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,Contribution From Reserves/Reserve Funds,930A,489500,
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,Provincial Subsidies,805A,40000,
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,Sundry and Other Revenues,940A,50000,
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,Contribution From Reserves/Reserve Funds,930A,794029,
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,Provincial Subsidies,805A,200000,
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,Sundry and Other Revenues,940A,508597,
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,Sundry and Other Revenues,940A,24300,
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,Transfers From Capital,920A,778734,
Engineering & Construction Services,WT-Engineering Information,Land Information,Inter-Divisional Recoveries,750A,175570,
Engineering & Construction Services,WT-Engineering Information,Land Information,Sundry and Other Revenues,940A,64300,
Engineering & Construction Services,WT-Engineering Information,Land Information,Transfers From Capital,920A,4033798,
Engineering & Construction Services,WT-Engineering Information,Land Information,User Fees & Donations,850A,484340,
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,Licences & Permits Revenue,860A,327240,
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,Sundry and Other Revenues,940A,380496,
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,Transfers From Capital,920A,2508760,
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,User Fees & Donations,850A,446750,
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,Licences & Permits Revenue,860A,714420,
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,Sundry and Other Revenues,940A,1837467,
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,Transfers From Capital,920A,691199,
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,User Fees & Donations,850A,2660709,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,Licences & Permits Revenue,860A,578340,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,Sundry and Other Revenues,940A,480744,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,Transfers From Capital,920A,22770115,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,User Fees & Donations,850A,1431112,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,Sundry and Other Revenues,940A,170100,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,Transfers From Capital,920A,18465850,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,User Fees & Donations,850A,269627,
Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",Contribution From Reserves/Reserve Funds,930A,2359407,
Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",User Fees & Donations,850A,2435083,
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,Contribution From Reserves/Reserve Funds,930A,875000,
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,User Fees & Donations,850A,820450,
Exhibition Place,Exhibition Place Parking Access,Exhibition Place Parking Access,User Fees & Donations,850A,6689785,
Exhibition Place,Exhibitions & Events,Exhibitions & Events,Contribution From Reserves/Reserve Funds,930A,50000,
Exhibition Place,Exhibitions & Events,Exhibitions & Events,User Fees & Donations,850A,25201191,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Contribution From Reserves/Reserve Funds,930A,6263231,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Inter-Divisional Recoveries,750A,8135904,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Sundry and Other Revenues,940A,780398,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,User Fees & Donations,850A,249780,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,Contribution From Reserves/Reserve Funds,930A,505560,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,Provincial Subsidies,805A,250000,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,Sundry and Other Revenues,940A,45009,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,User Fees & Donations,850A,70030,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,Contribution From Reserves/Reserve Funds,930A,268994,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,Sundry and Other Revenues,940A,700000,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Research & Policy Development,Contribution From Reserves/Reserve Funds,930A,474033,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,Federal Subsidies,810A,115830,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,Inter-Divisional Recoveries,750A,12768829,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,Sundry and Other Revenues,940A,303712,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,User Fees & Donations,850A,446490,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Federal Subsidies,810A,104650,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Inter-Divisional Recoveries,750A,17660557,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Sundry and Other Revenues,940A,1975378,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Transfers From Capital,920A,9289244,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,User Fees & Donations,850A,1066419,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,Inter-Divisional Recoveries,750A,5886918,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,Sundry and Other Revenues,940A,293031,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,Transfers From Capital,920A,560000,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Development & Portfolio Planning,Contribution From Reserves/Reserve Funds,930A,200000,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,Contribution From Reserves/Reserve Funds,930A,3638489,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,Inter-Divisional Recoveries,750A,5518650,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,Sundry and Other Revenues,940A,2678241,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,User Fees & Donations,850A,41213636,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Acquisition,Sundry and Other Revenues,940A,674122,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,Contribution From Reserves/Reserve Funds,930A,50000,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,Sundry and Other Revenues,940A,602835,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,Contribution From Reserves/Reserve Funds,930A,545000,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,Inter-Divisional Recoveries,750A,224094,
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,Inter-Divisional Recoveries,750A,240210,
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,Sundry and Other Revenues,940A,102739,
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,Transfers From Capital,920A,231765,
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,User Fees & Donations,850A,13066628,
Fire Services,FR-Disaster Response & Event Support,"Chemical, Biological, Radiological, Nuclear & Exposive Resp.",Provincial Subsidies,805A,100000,
Fire Services,FR-Disaster Response & Event Support,Event Support,Contribution From Reserves/Reserve Funds,930A,403996,
Fire Services,FR-Disaster Response & Event Support,Event Support,Sundry and Other Revenues,940A,2042700,
Fire Services,FR-Disaster Response & Event Support,Heavy Urban Search & Rescue,Provincial Subsidies,805A,300000,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Development Review,User Fees & Donations,850A,14644,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,Inter-Divisional Recoveries,750A,5757,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,User Fees & Donations,850A,480491,
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,Inter-Divisional Recoveries,750A,1439,
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,User Fees & Donations,850A,1753,
Fire Services,FR-Fire Safety Education,School Based Fire Education,Contribution From Reserves/Reserve Funds,930A,4,
Fire Services,FR-Fire Safety Education,School Based Fire Education,Sundry and Other Revenues,940A,8061,
Fleet Services,FL-Fleet Management,Fleet Acquisition,Contribution From Reserves/Reserve Funds,930A,162515,
Fleet Services,FL-Fleet Management,Fleet Acquisition,Inter-Divisional Recoveries,750A,132494,
Fleet Services,FL-Fleet Management,Fleet Acquisition,Sundry and Other Revenues,940A,1272946,
Fleet Services,FL-Fleet Management,Fleet Disposal,Sundry and Other Revenues,940A,275800,
Fleet Services,FL-Fleet Management,Fleet Maintenance,Contribution From Reserves/Reserve Funds,930A,-53615,Non-normal value
Fleet Services,FL-Fleet Management,Fleet Maintenance,Inter-Divisional Recoveries,750A,32215603,
Fleet Services,FL-Fleet Management,Fleet Maintenance,Sundry and Other Revenues,940A,-1512996,Non-normal value
Fleet Services,FL-Fleet Management,Fleet Maintenance,Transfers From Capital,920A,72024,
Fleet Services,FL-Fleet Management,Vehicle Safety,Sundry and Other Revenues,940A,1252153,
Fleet Services,FL-Fuel Management,Fuel Acquisition,Inter-Divisional Recoveries,750A,15196629,
Fleet Services,FL-Fuel Management,Fuel Acquisition,Sundry and Other Revenues,940A,1097689,
Fleet Services,FL-Fuel Management,Fuel Acquisition,Transfers From Capital,920A,44458,
Fleet Services,FL-Fuel Management,Fuel Distribution,Contribution From Reserves/Reserve Funds,930A,12100,
Fleet Services,FL-Fuel Management,Fuel Distribution,Inter-Divisional Recoveries,750A,142500,
Fleet Services,FL-Fuel Management,Fuel Distribution,Sundry and Other Revenues,940A,398682,
Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,User Fees & Donations,850A,77000,
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Federal Subsidies,810A,70000,
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Provincial Subsidies,805A,36200,
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Sundry and Other Revenues,940A,150800,
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,User Fees & Donations,850A,115500,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Inter-Divisional Recoveries,750A,549407,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Sundry and Other Revenues,940A,122013,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Transfers From Capital,920A,122795,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,User Fees & Donations,850A,186103,
Information & Technology,IT-Business IT Solutions,IT Common Components,Inter-Divisional Recoveries,750A,627859,
Information & Technology,IT-Business IT Solutions,IT Common Components,Sundry and Other Revenues,940A,73208,
Information & Technology,IT-Business IT Solutions,IT Common Components,Transfers From Capital,920A,910031,
Information & Technology,IT-Business IT Solutions,Solution Implementation,Contribution From Reserves/Reserve Funds,930A,141348,
Information & Technology,IT-Business IT Solutions,Solution Implementation,Inter-Divisional Recoveries,750A,1595333,
Information & Technology,IT-Business IT Solutions,Solution Implementation,Transfers From Capital,920A,14440169,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Contribution From Reserves/Reserve Funds,930A,255219,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Inter-Divisional Recoveries,750A,1423173,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Transfers From Capital,920A,173426,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Contribution From Reserves/Reserve Funds,930A,2182311,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Inter-Divisional Recoveries,750A,2762093,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Sundry and Other Revenues,940A,90809,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Transfers From Capital,920A,4916216,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Contribution From Reserves/Reserve Funds,930A,62996,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Inter-Divisional Recoveries,750A,5014769,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Sundry and Other Revenues,940A,5591,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Transfers From Capital,920A,345143,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Contribution From Reserves/Reserve Funds,930A,769273,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Inter-Divisional Recoveries,750A,836610,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Sundry and Other Revenues,940A,24402,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Transfers From Capital,920A,3675778,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Contribution From Reserves/Reserve Funds,930A,665008,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Inter-Divisional Recoveries,750A,690076,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Sundry and Other Revenues,940A,410326,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Transfers From Capital,920A,3704333,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Contribution From Reserves/Reserve Funds,930A,143910,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Inter-Divisional Recoveries,750A,9558,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Transfers From Capital,920A,2313024,
Legal Services,Civil Litigation,Civil Litigation,Contribution From Reserves/Reserve Funds,930A,300000,
Legal Services,Civil Litigation,Civil Litigation,Inter-Divisional Recoveries,750A,5278602,
Legal Services,Prosecution,Prosecution,Inter-Divisional Recoveries,750A,13758142,
Legal Services,Solicitor,Solicitor,Inter-Divisional Recoveries,750A,3125734,
Legal Services,Solicitor,Solicitor,Sundry and Other Revenues,940A,3106558,
Legal Services,Solicitor,Solicitor,Transfers From Capital,920A,1162621,
Legal Services,Solicitor,Solicitor,User Fees & Donations,850A,2529571,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,Provincial Subsidies,805A,1374900,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,User Fees & Donations,850A,183000,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,Provincial Subsidies,805A,4076300,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,Provincial Subsidies,805A,5154300,
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Inter-Divisional Recoveries,750A,72800,
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Provincial Subsidies,805A,136213621,
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Sundry and Other Revenues,940A,138000,
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Transfers From Capital,920A,260000,
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,User Fees & Donations,850A,48469700,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Licences & Permits Revenue,860A,833812,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Sundry and Other Revenues,940A,114244,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,User Fees & Donations,850A,46484,
