311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Recoveries,750A,Revenues,5293589,
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,Contribution From Reserves/Reserve Funds,930A,Revenues,376342,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,Contribution From Reserves/Reserve Funds,930A,Revenues,49500,
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,Inter-Divisional Recoveries,750A,Revenues,1142884,
City Manager's Office,CM-Strategic Communications,Internal Communications,Contribution From Reserves/Reserve Funds,930A,Revenues,49500,
City Manager's Office,CM-Strategic Communications,Media Relations,Contribution From Reserves/Reserve Funds,930A,Revenues,82500,
City Manager's Office,CM-Strategic Communications,Public Communications,Contribution From Reserves/Reserve Funds,930A,Revenues,253291,
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Inter-Divisional Recoveries,750A,Revenues,576876,
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Sundry and Other Revenues,940A,Revenues,146641,
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Transfers From Capital,920A,Revenues,413479,
City Manager's Office,HR Employment Services,HR Employment Services,Inter-Divisional Recoveries,750A,Revenues,1565191,
City Manager's Office,HR Employment Services,HR Employment Services,Transfers From Capital,920A,Revenues,413479,
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Contribution From Reserves/Reserve Funds,930A,Revenues,190000,
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Inter-Divisional Recoveries,750A,Revenues,293177,
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Transfers From Capital,920A,Revenues,1082956,
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Inter-Divisional Recoveries,750A,Revenues,237688,
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Transfers From Capital,920A,Revenues,413479,
City Planning,City Building & Policy Development,City Building & Policy Development,Sundry and Other Revenues,940A,Revenues,810300,
City Planning,City Building & Policy Development,City Building & Policy Development,Transfers From Capital,920A,Revenues,2372893,
City Planning,City Building & Policy Development,City Building & Policy Development,User Fees & Donations,850A,Revenues,127640,
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Sundry and Other Revenues,940A,Revenues,88050,
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",User Fees & Donations,850A,Revenues,24078338,
Court Services,Court Case Management,Court Case Management,Inter-Divisional Recoveries,750A,Revenues,5280777,
Court Services,Court Case Management,Court Case Management,Sundry and Other Revenues,940A,Revenues,47168700,
Court Services,Court Case Management,Court Case Management,User Fees & Donations,850A,Revenues,234059,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Inter-Divisional Recoveries,750A,Revenues,874571,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Sundry and Other Revenues,940A,Revenues,63000,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,User Fees & Donations,850A,Revenues,14102,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Inter-Divisional Recoveries,750A,Revenues,127248,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Sundry and Other Revenues,940A,Revenues,25200,
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,User Fees & Donations,850A,Revenues,5639,
Court Services,Default Fine Collection Management,Default Fine Collection Management,Inter-Divisional Recoveries,750A,Revenues,636238,
Court Services,Default Fine Collection Management,Default Fine Collection Management,Sundry and Other Revenues,940A,Revenues,126000,
Court Services,Default Fine Collection Management,Default Fine Collection Management,User Fees & Donations,850A,Revenues,28200,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Contribution From Reserves/Reserve Funds,930A,Revenues,639623,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Provincial Subsidies,805A,Revenues,192500,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Sundry and Other Revenues,940A,Revenues,2667893,
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,User Fees & Donations,850A,Revenues,5000,
Economic Development & Culture,EC-Business Services,Filming Activity,Licences & Permits Revenue,860A,Revenues,407000,
Economic Development & Culture,EC-Cultural Services,Arts Programming,Contribution From Reserves/Reserve Funds,930A,Revenues,200000,
Economic Development & Culture,EC-Cultural Services,Arts Programming,Licences & Permits Revenue,860A,Revenues,148640,
Economic Development & Culture,EC-Cultural Services,Arts Programming,Sundry and Other Revenues,940A,Revenues,20900,
Economic Development & Culture,EC-Cultural Services,Arts Programming,User Fees & Donations,850A,Revenues,242049,
Economic Development & Culture,EC-Cultural Services,Cultural Development,Federal Subsidies,810A,Revenues,75000,
Economic Development & Culture,EC-Cultural Services,Cultural Development,Sundry and Other Revenues,940A,Revenues,82900,
Economic Development & Culture,EC-Cultural Services,Cultural Development,User Fees & Donations,850A,Revenues,193830,
Economic Development & Culture,EC-Cultural Services,Cultural Grants,Contribution From Reserves/Reserve Funds,930A,Revenues,3200000,
Economic Development & Culture,EC-Cultural Services,Events Programming,Contribution From Reserves/Reserve Funds,930A,Revenues,2646741,
Economic Development & Culture,EC-Cultural Services,Events Programming,Federal Subsidies,810A,Revenues,1400000,
Economic Development & Culture,EC-Cultural Services,Events Programming,Provincial Subsidies,805A,Revenues,2000000,
Economic Development & Culture,EC-Cultural Services,Events Programming,Sundry and Other Revenues,940A,Revenues,2179031,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,Federal Subsidies,810A,Revenues,179172,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,Licences & Permits Revenue,860A,Revenues,179766,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,Other Subsidies,820A,Revenues,37000,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,Provincial Subsidies,805A,Revenues,342700,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,Sundry and Other Revenues,940A,Revenues,537250,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,Transfers From Capital,920A,Revenues,657000,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,User Fees & Donations,850A,Revenues,1960736,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,Contribution From Reserves/Reserve Funds,930A,Revenues,200000,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,Sundry and Other Revenues,940A,Revenues,11284,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,Transfers From Capital,920A,Revenues,379000,
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,Federal Subsidies,810A,Revenues,32500,
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,Sundry and Other Revenues,940A,Revenues,100000,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,Contribution From Reserves/Reserve Funds,930A,Revenues,739623,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,User Fees & Donations,850A,Revenues,5000,
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,Contribution From Reserves/Reserve Funds,930A,Revenues,489500,
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,Provincial Subsidies,805A,Revenues,40000,
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,Sundry and Other Revenues,940A,Revenues,50000,
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,Contribution From Reserves/Reserve Funds,930A,Revenues,794029,
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,Provincial Subsidies,805A,Revenues,200000,
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,Sundry and Other Revenues,940A,Revenues,508597,
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,Sundry and Other Revenues,940A,Revenues,24300,
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,Transfers From Capital,920A,Revenues,778734,
Engineering & Construction Services,WT-Engineering Information,Land Information,Inter-Divisional Recoveries,750A,Revenues,175570,
Engineering & Construction Services,WT-Engineering Information,Land Information,Sundry and Other Revenues,940A,Revenues,64300,
Engineering & Construction Services,WT-Engineering Information,Land Information,Transfers From Capital,920A,Revenues,4033798,
Engineering & Construction Services,WT-Engineering Information,Land Information,User Fees & Donations,850A,Revenues,484340,
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,Licences & Permits Revenue,860A,Revenues,327240,
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,Sundry and Other Revenues,940A,Revenues,380496,
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,Transfers From Capital,920A,Revenues,2508760,
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,User Fees & Donations,850A,Revenues,446750,
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,Licences & Permits Revenue,860A,Revenues,714420,
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,Sundry and Other Revenues,940A,Revenues,1837467,
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,Transfers From Capital,920A,Revenues,691199,
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,User Fees & Donations,850A,Revenues,2660709,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,Licences & Permits Revenue,860A,Revenues,578340,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,Sundry and Other Revenues,940A,Revenues,480744,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,Transfers From Capital,920A,Revenues,22770115,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,User Fees & Donations,850A,Revenues,1431112,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,Sundry and Other Revenues,940A,Revenues,170100,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,Transfers From Capital,920A,Revenues,18465850,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,User Fees & Donations,850A,Revenues,269627,
Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",Contribution From Reserves/Reserve Funds,930A,Revenues,2359407,
Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",User Fees & Donations,850A,Revenues,2435083,
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,Contribution From Reserves/Reserve Funds,930A,Revenues,875000,
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,User Fees & Donations,850A,Revenues,820450,
Exhibition Place,Exhibition Place Parking Access,Exhibition Place Parking Access,User Fees & Donations,850A,Revenues,6689785,
Exhibition Place,Exhibitions & Events,Exhibitions & Events,Contribution From Reserves/Reserve Funds,930A,Revenues,50000,
Exhibition Place,Exhibitions & Events,Exhibitions & Events,User Fees & Donations,850A,Revenues,25201191,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Contribution From Reserves/Reserve Funds,930A,Revenues,6263231,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Inter-Divisional Recoveries,750A,Revenues,8135904,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Sundry and Other Revenues,940A,Revenues,780398,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,User Fees & Donations,850A,Revenues,249780,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,Contribution From Reserves/Reserve Funds,930A,Revenues,505560,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,Provincial Subsidies,805A,Revenues,250000,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,Sundry and Other Revenues,940A,Revenues,45009,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,User Fees & Donations,850A,Revenues,70030,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,Contribution From Reserves/Reserve Funds,930A,Revenues,268994,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,Sundry and Other Revenues,940A,Revenues,700000,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Research & Policy Development,Contribution From Reserves/Reserve Funds,930A,Revenues,474033,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,Federal Subsidies,810A,Revenues,115830,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,Inter-Divisional Recoveries,750A,Revenues,12768829,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,Sundry and Other Revenues,940A,Revenues,303712,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,User Fees & Donations,850A,Revenues,446490,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Federal Subsidies,810A,Revenues,104650,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Inter-Divisional Recoveries,750A,Revenues,17660557,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Sundry and Other Revenues,940A,Revenues,1975378,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Transfers From Capital,920A,Revenues,9289244,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,User Fees & Donations,850A,Revenues,1066419,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,Inter-Divisional Recoveries,750A,Revenues,5886918,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,Sundry and Other Revenues,940A,Revenues,293031,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,Transfers From Capital,920A,Revenues,560000,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Development & Portfolio Planning,Contribution From Reserves/Reserve Funds,930A,Revenues,200000,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,Contribution From Reserves/Reserve Funds,930A,Revenues,3638489,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,Inter-Divisional Recoveries,750A,Revenues,5518650,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,Sundry and Other Revenues,940A,Revenues,2678241,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,User Fees & Donations,850A,Revenues,41213636,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Acquisition,Sundry and Other Revenues,940A,Revenues,674122,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,Contribution From Reserves/Reserve Funds,930A,Revenues,50000,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,Sundry and Other Revenues,940A,Revenues,602835,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,Contribution From Reserves/Reserve Funds,930A,Revenues,545000,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,Inter-Divisional Recoveries,750A,Revenues,224094,
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,Inter-Divisional Recoveries,750A,Revenues,240210,
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,Sundry and Other Revenues,940A,Revenues,102739,
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,Transfers From Capital,920A,Revenues,231765,
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,User Fees & Donations,850A,Revenues,13066628,
Fire Services,FR-Disaster Response & Event Support,"Chemical, Biological, Radiological, Nuclear & Exposive Resp.",Provincial Subsidies,805A,Revenues,100000,
Fire Services,FR-Disaster Response & Event Support,Event Support,Contribution From Reserves/Reserve Funds,930A,Revenues,403996,
Fire Services,FR-Disaster Response & Event Support,Event Support,Sundry and Other Revenues,940A,Revenues,2042700,
Fire Services,FR-Disaster Response & Event Support,Heavy Urban Search & Rescue,Provincial Subsidies,805A,Revenues,300000,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Development Review,User Fees & Donations,850A,Revenues,14644,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,Inter-Divisional Recoveries,750A,Revenues,5757,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,User Fees & Donations,850A,Revenues,480491,
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,Inter-Divisional Recoveries,750A,Revenues,1439,
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,User Fees & Donations,850A,Revenues,1753,
Fire Services,FR-Fire Safety Education,School Based Fire Education,Contribution From Reserves/Reserve Funds,930A,Revenues,4,
Fire Services,FR-Fire Safety Education,School Based Fire Education,Sundry and Other Revenues,940A,Revenues,8061,
Fleet Services,FL-Fleet Management,Fleet Acquisition,Contribution From Reserves/Reserve Funds,930A,Revenues,162515,
Fleet Services,FL-Fleet Management,Fleet Acquisition,Inter-Divisional Recoveries,750A,Revenues,132494,
Fleet Services,FL-Fleet Management,Fleet Acquisition,Sundry and Other Revenues,940A,Revenues,1272946,
Fleet Services,FL-Fleet Management,Fleet Disposal,Sundry and Other Revenues,940A,Revenues,275800,
Fleet Services,FL-Fleet Management,Fleet Maintenance,Contribution From Reserves/Reserve Funds,930A,Revenues,-53615,Non-normal value
Fleet Services,FL-Fleet Management,Fleet Maintenance,Inter-Divisional Recoveries,750A,Revenues,32215603,
Fleet Services,FL-Fleet Management,Fleet Maintenance,Sundry and Other Revenues,940A,Revenues,-1512996,Non-normal value
Fleet Services,FL-Fleet Management,Fleet Maintenance,Transfers From Capital,920A,Revenues,72024,
Fleet Services,FL-Fleet Management,Vehicle Safety,Sundry and Other Revenues,940A,Revenues,1252153,
Fleet Services,FL-Fuel Management,Fuel Acquisition,Inter-Divisional Recoveries,750A,Revenues,15196629,
Fleet Services,FL-Fuel Management,Fuel Acquisition,Sundry and Other Revenues,940A,Revenues,1097689,
Fleet Services,FL-Fuel Management,Fuel Acquisition,Transfers From Capital,920A,Revenues,44458,
Fleet Services,FL-Fuel Management,Fuel Distribution,Contribution From Reserves/Reserve Funds,930A,Revenues,12100,
Fleet Services,FL-Fuel Management,Fuel Distribution,Inter-Divisional Recoveries,750A,Revenues,142500,
Fleet Services,FL-Fuel Management,Fuel Distribution,Sundry and Other Revenues,940A,Revenues,398682,
Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,User Fees & Donations,850A,Revenues,77000,
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Federal Subsidies,810A,Revenues,70000,
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Provincial Subsidies,805A,Revenues,36200,
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Sundry and Other Revenues,940A,Revenues,150800,
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,User Fees & Donations,850A,Revenues,115500,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Inter-Divisional Recoveries,750A,Revenues,549407,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Sundry and Other Revenues,940A,Revenues,122013,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Transfers From Capital,920A,Revenues,122795,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,User Fees & Donations,850A,Revenues,186103,
Information & Technology,IT-Business IT Solutions,IT Common Components,Inter-Divisional Recoveries,750A,Revenues,627859,
Information & Technology,IT-Business IT Solutions,IT Common Components,Sundry and Other Revenues,940A,Revenues,73208,
Information & Technology,IT-Business IT Solutions,IT Common Components,Transfers From Capital,920A,Revenues,910031,
Information & Technology,IT-Business IT Solutions,Solution Implementation,Contribution From Reserves/Reserve Funds,930A,Revenues,141348,
Information & Technology,IT-Business IT Solutions,Solution Implementation,Inter-Divisional Recoveries,750A,Revenues,1595333,
Information & Technology,IT-Business IT Solutions,Solution Implementation,Transfers From Capital,920A,Revenues,14440169,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Contribution From Reserves/Reserve Funds,930A,Revenues,255219,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Inter-Divisional Recoveries,750A,Revenues,1423173,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Transfers From Capital,920A,Revenues,173426,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Contribution From Reserves/Reserve Funds,930A,Revenues,2182311,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Inter-Divisional Recoveries,750A,Revenues,2762093,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Sundry and Other Revenues,940A,Revenues,90809,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Transfers From Capital,920A,Revenues,4916216,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Contribution From Reserves/Reserve Funds,930A,Revenues,62996,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Inter-Divisional Recoveries,750A,Revenues,5014769,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Sundry and Other Revenues,940A,Revenues,5591,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Transfers From Capital,920A,Revenues,345143,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Contribution From Reserves/Reserve Funds,930A,Revenues,769273,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Inter-Divisional Recoveries,750A,Revenues,836610,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Sundry and Other Revenues,940A,Revenues,24402,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Transfers From Capital,920A,Revenues,3675778,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Contribution From Reserves/Reserve Funds,930A,Revenues,665008,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Inter-Divisional Recoveries,750A,Revenues,690076,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Sundry and Other Revenues,940A,Revenues,410326,
