311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Recoveries,750A,Revenues,"(5,293,589)"
City Manager's Office,CM-Internal Auditing,Audit Reporting,Sundry and Other Revenues,940A,Revenues,"(35,789)"
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,Sundry and Other Revenues,940A,Revenues,"(6,316)"
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,Inter-Divisional Recoveries,750A,Revenues,"(475,192)"
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,Contribution From Reserves/Reserve Funds,930A,Revenues,"(376,342)"
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,Contribution From Reserves/Reserve Funds,930A,Revenues,"(49,500)"
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,Inter-Divisional Recoveries,750A,Revenues,"(1,142,884)"
City Manager's Office,CM-Strategic Communications,Internal Communications,Contribution From Reserves/Reserve Funds,930A,Revenues,"(49,500)"
City Manager's Office,CM-Strategic Communications,Media Relations,Contribution From Reserves/Reserve Funds,930A,Revenues,"(82,500)"
City Manager's Office,CM-Strategic Communications,Public Communications,Contribution From Reserves/Reserve Funds,930A,Revenues,"(253,291)"
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Inter-Divisional Recoveries,750A,Revenues,"(576,876)"
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Sundry and Other Revenues,940A,Revenues,"(146,641)"
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Transfers From Capital,920A,Revenues,"(413,479)"
City Manager's Office,HR Employment Services,HR Employment Services,Inter-Divisional Recoveries,750A,Revenues,"(1,565,191)"
City Manager's Office,HR Employment Services,HR Employment Services,Transfers From Capital,920A,Revenues,"(413,479)"
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Contribution From Reserves/Reserve Funds,930A,Revenues,"(190,000)"
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Inter-Divisional Recoveries,750A,Revenues,"(293,177)"
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Transfers From Capital,920A,Revenues,"(1,082,956)"
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Inter-Divisional Recoveries,750A,Revenues,"(237,688)"
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Transfers From Capital,920A,Revenues,"(413,479)"
City Planning,City Building & Policy Development,City Building & Policy Development,Sundry and Other Revenues,940A,Revenues,"(810,300)"
City Planning,City Building & Policy Development,City Building & Policy Development,Transfers From Capital,920A,Revenues,"(2,372,893)"
City Planning,City Building & Policy Development,City Building & Policy Development,User Fees & Donations,850A,Revenues,"(127,640)"
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Sundry and Other Revenues,940A,Revenues,"(88,050)"
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",User Fees & Donations,850A,Revenues,"(24,078,338)"
Court Services,Court Case Management,Court Case Management,Inter-Divisional Recoveries,750A,Revenues,"(5,280,777)"
Court Services,Court Case Management,Court Case Management,Sundry and Other Revenues,940A,Revenues,"(47,168,700)"
Court Services,Court Case Management,Court Case Management,User Fees & Donations,850A,Revenues,"(234,059)"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Inter-Divisional Recoveries,750A,Revenues,"(874,571)"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Sundry and Other Revenues,940A,Revenues,"(63,000)"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,User Fees & Donations,850A,Revenues,"(14,102)"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Inter-Divisional Recoveries,750A,Revenues,"(127,248)"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Sundry and Other Revenues,940A,Revenues,"(25,200)"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,User Fees & Donations,850A,Revenues,"(5,639)"
Court Services,Default Fine Collection Management,Default Fine Collection Management,Inter-Divisional Recoveries,750A,Revenues,"(636,238)"
Court Services,Default Fine Collection Management,Default Fine Collection Management,Sundry and Other Revenues,940A,Revenues,"(126,000)"
Court Services,Default Fine Collection Management,Default Fine Collection Management,User Fees & Donations,850A,Revenues,"(28,200)"
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Contribution From Reserves/Reserve Funds,930A,Revenues,"(639,623)"
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Provincial Subsidies,805A,Revenues,"(192,500)"
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Sundry and Other Revenues,940A,Revenues,"(2,667,893)"
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,User Fees & Donations,850A,Revenues,"(5,000)"
Economic Development & Culture,EC-Business Services,Filming Activity,Licences & Permits Revenue,860A,Revenues,"(407,000)"
Economic Development & Culture,EC-Cultural Services,Arts Programming,Contribution From Reserves/Reserve Funds,930A,Revenues,"(200,000)"
Economic Development & Culture,EC-Cultural Services,Arts Programming,Licences & Permits Revenue,860A,Revenues,"(148,640)"
Economic Development & Culture,EC-Cultural Services,Arts Programming,Sundry and Other Revenues,940A,Revenues,"(20,900)"
Economic Development & Culture,EC-Cultural Services,Arts Programming,User Fees & Donations,850A,Revenues,"(242,049)"
Economic Development & Culture,EC-Cultural Services,Cultural Development,Federal Subsidies,810A,Revenues,"(75,000)"
Economic Development & Culture,EC-Cultural Services,Cultural Development,Sundry and Other Revenues,940A,Revenues,"(82,900)"
Economic Development & Culture,EC-Cultural Services,Cultural Development,User Fees & Donations,850A,Revenues,"(193,830)"
Economic Development & Culture,EC-Cultural Services,Cultural Grants,Contribution From Reserves/Reserve Funds,930A,Revenues,"(3,200,000)"
Economic Development & Culture,EC-Cultural Services,Events Programming,Contribution From Reserves/Reserve Funds,930A,Revenues,"(2,646,741)"
Economic Development & Culture,EC-Cultural Services,Events Programming,Federal Subsidies,810A,Revenues,"(1,400,000)"
Economic Development & Culture,EC-Cultural Services,Events Programming,Provincial Subsidies,805A,Revenues,"(2,000,000)"
Economic Development & Culture,EC-Cultural Services,Events Programming,Sundry and Other Revenues,940A,Revenues,"(2,179,031)"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,Federal Subsidies,810A,Revenues,"(179,172)"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,Licences & Permits Revenue,860A,Revenues,"(179,766)"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,Other Subsidies,820A,Revenues,"(37,000)"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,Provincial Subsidies,805A,Revenues,"(342,700)"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,Sundry and Other Revenues,940A,Revenues,"(537,250)"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,Transfers From Capital,920A,Revenues,"(657,000)"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,User Fees & Donations,850A,Revenues,"(1,960,736)"
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,Contribution From Reserves/Reserve Funds,930A,Revenues,"(200,000)"
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,Sundry and Other Revenues,940A,Revenues,"(11,284)"
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,Transfers From Capital,920A,Revenues,"(379,000)"
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,Federal Subsidies,810A,Revenues,"(32,500)"
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,Sundry and Other Revenues,940A,Revenues,"(100,000)"
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,Contribution From Reserves/Reserve Funds,930A,Revenues,"(739,623)"
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,User Fees & Donations,850A,Revenues,"(5,000)"
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,Contribution From Reserves/Reserve Funds,930A,Revenues,"(489,500)"
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,Provincial Subsidies,805A,Revenues,"(40,000)"
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,Sundry and Other Revenues,940A,Revenues,"(50,000)"
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,Contribution From Reserves/Reserve Funds,930A,Revenues,"(794,029)"
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,Provincial Subsidies,805A,Revenues,"(200,000)"
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,Sundry and Other Revenues,940A,Revenues,"(508,597)"
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,Sundry and Other Revenues,940A,Revenues,"(24,300)"
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,Transfers From Capital,920A,Revenues,"(778,734)"
Engineering & Construction Services,WT-Engineering Information,Land Information,Inter-Divisional Recoveries,750A,Revenues,"(175,570)"
Engineering & Construction Services,WT-Engineering Information,Land Information,Sundry and Other Revenues,940A,Revenues,"(64,300)"
Engineering & Construction Services,WT-Engineering Information,Land Information,Transfers From Capital,920A,Revenues,"(4,033,798)"
Engineering & Construction Services,WT-Engineering Information,Land Information,User Fees & Donations,850A,Revenues,"(484,340)"
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,Licences & Permits Revenue,860A,Revenues,"(327,240)"
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,Sundry and Other Revenues,940A,Revenues,"(380,496)"
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,Transfers From Capital,920A,Revenues,"(2,508,760)"
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,User Fees & Donations,850A,Revenues,"(446,750)"
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,Licences & Permits Revenue,860A,Revenues,"(714,420)"
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,Sundry and Other Revenues,940A,Revenues,"(1,837,467)"
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,Transfers From Capital,920A,Revenues,"(691,199)"
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,User Fees & Donations,850A,Revenues,"(2,660,709)"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,Licences & Permits Revenue,860A,Revenues,"(578,340)"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,Sundry and Other Revenues,940A,Revenues,"(480,744)"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,Transfers From Capital,920A,Revenues,"(22,770,115)"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,User Fees & Donations,850A,Revenues,"(1,431,112)"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,Sundry and Other Revenues,940A,Revenues,"(170,100)"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,Transfers From Capital,920A,Revenues,"(18,465,850)"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,User Fees & Donations,850A,Revenues,"(269,627)"
Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",Contribution From Reserves/Reserve Funds,930A,Revenues,"(2,359,407)"
Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",User Fees & Donations,850A,Revenues,"(2,435,083)"
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,Contribution From Reserves/Reserve Funds,930A,Revenues,"(875,000)"
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,User Fees & Donations,850A,Revenues,"(820,450)"
Exhibition Place,Exhibition Place Parking Access,Exhibition Place Parking Access,User Fees & Donations,850A,Revenues,"(6,689,785)"
Exhibition Place,Exhibitions & Events,Exhibitions & Events,Contribution From Reserves/Reserve Funds,930A,Revenues,"(50,000)"
Exhibition Place,Exhibitions & Events,Exhibitions & Events,User Fees & Donations,850A,Revenues,"(25,201,191)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Contribution From Reserves/Reserve Funds,930A,Revenues,"(6,263,231)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Inter-Divisional Recoveries,750A,Revenues,"(8,135,904)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Sundry and Other Revenues,940A,Revenues,"(780,398)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,User Fees & Donations,850A,Revenues,"(249,780)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,Contribution From Reserves/Reserve Funds,930A,Revenues,"(505,560)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,Provincial Subsidies,805A,Revenues,"(250,000)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,Sundry and Other Revenues,940A,Revenues,"(45,009)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,User Fees & Donations,850A,Revenues,"(70,030)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,Contribution From Reserves/Reserve Funds,930A,Revenues,"(268,994)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,Sundry and Other Revenues,940A,Revenues,"(700,000)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Research & Policy Development,Contribution From Reserves/Reserve Funds,930A,Revenues,"(474,033)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,Federal Subsidies,810A,Revenues,"(115,830)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,Inter-Divisional Recoveries,750A,Revenues,"(12,768,829)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,Sundry and Other Revenues,940A,Revenues,"(303,712)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,User Fees & Donations,850A,Revenues,"(446,490)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Federal Subsidies,810A,Revenues,"(104,650)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Inter-Divisional Recoveries,750A,Revenues,"(17,660,557)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Sundry and Other Revenues,940A,Revenues,"(1,975,378)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Transfers From Capital,920A,Revenues,"(9,289,244)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,User Fees & Donations,850A,Revenues,"(1,066,419)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,Inter-Divisional Recoveries,750A,Revenues,"(5,886,918)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,Sundry and Other Revenues,940A,Revenues,"(293,031)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,Transfers From Capital,920A,Revenues,"(560,000)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Development & Portfolio Planning,Contribution From Reserves/Reserve Funds,930A,Revenues,"(200,000)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,Contribution From Reserves/Reserve Funds,930A,Revenues,"(3,638,489)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,Inter-Divisional Recoveries,750A,Revenues,"(5,518,650)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,Sundry and Other Revenues,940A,Revenues,"(2,678,241)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,User Fees & Donations,850A,Revenues,"(41,213,636)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Acquisition,Sundry and Other Revenues,940A,Revenues,"(674,122)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,Contribution From Reserves/Reserve Funds,930A,Revenues,"(50,000)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,Sundry and Other Revenues,940A,Revenues,"(602,835)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,Contribution From Reserves/Reserve Funds,930A,Revenues,"(545,000)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,Inter-Divisional Recoveries,750A,Revenues,"(224,094)"
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,Inter-Divisional Recoveries,750A,Revenues,"(240,210)"
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,Sundry and Other Revenues,940A,Revenues,"(102,739)"
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,Transfers From Capital,920A,Revenues,"(231,765)"
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,User Fees & Donations,850A,Revenues,"(13,066,628)"
Fire Services,FR-Disaster Response & Event Support,"Chemical, Biological, Radiological, Nuclear & Exposive Resp.",Provincial Subsidies,805A,Revenues,"(100,000)"
Fire Services,FR-Disaster Response & Event Support,Event Support,Contribution From Reserves/Reserve Funds,930A,Revenues,"(403,996)"
Fire Services,FR-Disaster Response & Event Support,Event Support,Sundry and Other Revenues,940A,Revenues,"(2,042,700)"
Fire Services,FR-Disaster Response & Event Support,Heavy Urban Search & Rescue,Provincial Subsidies,805A,Revenues,"(300,000)"
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Development Review,User Fees & Donations,850A,Revenues,"(14,644)"
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,Inter-Divisional Recoveries,750A,Revenues,"(5,757)"
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,User Fees & Donations,850A,Revenues,"(480,491)"
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,Inter-Divisional Recoveries,750A,Revenues,"(1,439)"
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,User Fees & Donations,850A,Revenues,"(1,753)"
Fire Services,FR-Fire Safety Education,School Based Fire Education,Contribution From Reserves/Reserve Funds,930A,Revenues,(4)
Fire Services,FR-Fire Safety Education,School Based Fire Education,Sundry and Other Revenues,940A,Revenues,"(8,061)"
Fleet Services,FL-Fleet Management,Fleet Acquisition,Contribution From Reserves/Reserve Funds,930A,Revenues,"(162,515)"
Fleet Services,FL-Fleet Management,Fleet Acquisition,Inter-Divisional Recoveries,750A,Revenues,"(132,494)"
Fleet Services,FL-Fleet Management,Fleet Acquisition,Sundry and Other Revenues,940A,Revenues,"(1,272,946)"
Fleet Services,FL-Fleet Management,Fleet Disposal,Sundry and Other Revenues,940A,Revenues,"(275,800)"
Fleet Services,FL-Fleet Management,Fleet Maintenance,Contribution From Reserves/Reserve Funds,930A,Revenues,53615
Fleet Services,FL-Fleet Management,Fleet Maintenance,Inter-Divisional Recoveries,750A,Revenues,"(32,215,603)"
Fleet Services,FL-Fleet Management,Fleet Maintenance,Sundry and Other Revenues,940A,Revenues,1512996
Fleet Services,FL-Fleet Management,Fleet Maintenance,Transfers From Capital,920A,Revenues,"(72,024)"
Fleet Services,FL-Fleet Management,Vehicle Safety,Sundry and Other Revenues,940A,Revenues,"(1,252,153)"
Fleet Services,FL-Fuel Management,Fuel Acquisition,Inter-Divisional Recoveries,750A,Revenues,"(15,196,629)"
Fleet Services,FL-Fuel Management,Fuel Acquisition,Sundry and Other Revenues,940A,Revenues,"(1,097,689)"
Fleet Services,FL-Fuel Management,Fuel Acquisition,Transfers From Capital,920A,Revenues,"(44,458)"
Fleet Services,FL-Fuel Management,Fuel Distribution,Contribution From Reserves/Reserve Funds,930A,Revenues,"(12,100)"
Fleet Services,FL-Fuel Management,Fuel Distribution,Inter-Divisional Recoveries,750A,Revenues,"(142,500)"
Fleet Services,FL-Fuel Management,Fuel Distribution,Sundry and Other Revenues,940A,Revenues,"(398,682)"
Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,User Fees & Donations,850A,Revenues,"(77,000)"
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Federal Subsidies,810A,Revenues,"(70,000)"
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Provincial Subsidies,805A,Revenues,"(36,200)"
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,Sundry and Other Revenues,940A,Revenues,"(150,800)"
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,User Fees & Donations,850A,Revenues,"(115,500)"
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Inter-Divisional Recoveries,750A,Revenues,"(549,407)"
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Sundry and Other Revenues,940A,Revenues,"(122,013)"
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Transfers From Capital,920A,Revenues,"(122,795)"
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,User Fees & Donations,850A,Revenues,"(186,103)"
Information & Technology,IT-Business IT Solutions,IT Common Components,Inter-Divisional Recoveries,750A,Revenues,"(627,859)"
Information & Technology,IT-Business IT Solutions,IT Common Components,Sundry and Other Revenues,940A,Revenues,"(73,208)"
Information & Technology,IT-Business IT Solutions,IT Common Components,Transfers From Capital,920A,Revenues,"(910,031)"
Information & Technology,IT-Business IT Solutions,Solution Implementation,Contribution From Reserves/Reserve Funds,930A,Revenues,"(141,348)"
Information & Technology,IT-Business IT Solutions,Solution Implementation,Inter-Divisional Recoveries,750A,Revenues,"(1,595,333)"
Information & Technology,IT-Business IT Solutions,Solution Implementation,Transfers From Capital,920A,Revenues,"(14,440,169)"
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Contribution From Reserves/Reserve Funds,930A,Revenues,"(255,219)"
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Inter-Divisional Recoveries,750A,Revenues,"(1,423,173)"
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Transfers From Capital,920A,Revenues,"(173,426)"
