Program,Service,Activity,Category,Category Name,Expense/Revenue,Sum - 2016
City Clerk's Office,GV-Make Government Work,Government & Official Services,920A,Transfers From Capital,Revenues,"(1,099,515)"
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,750A,Inter-Divisional Recoveries,Revenues,"(87,500)"
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,850A,User Fees & Donations,Revenues,"(351,786)"
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,940A,Sundry and Other Revenues,Revenues,"(32,556)"
City Clerk's Office,GV-Open Government,Corporate Information Production Services,750A,Inter-Divisional Recoveries,Revenues,"(8,764,304)"
City Clerk's Office,GV-Open Government,Corporate Information Production Services,850A,User Fees & Donations,Revenues,"(187,400)"
City Clerk's Office,GV-Open Government,Corporate Information Production Services,940A,Sundry and Other Revenues,Revenues,"(625,302)"
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,750A,Inter-Divisional Recoveries,Revenues,"(484,664)"
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,850A,User Fees & Donations,Revenues,"(14,900)"
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,920A,Transfers From Capital,Revenues,"(135,000)"
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,940A,Sundry and Other Revenues,Revenues,"(147,620)"
City Council,City Council,City Council,930A,Contribution From Reserves/Reserve Funds,Revenues,"(40,000)"
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,750A,Inter-Divisional Recoveries,Revenues,"(2,500)"
City Manager's Office,CM-Internal Auditing,Audit Reporting,750A,Inter-Divisional Recoveries,Revenues,"(609,900)"
City Manager's Office,CM-Internal Auditing,Audit Reporting,940A,Sundry and Other Revenues,Revenues,"(35,789)"
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,940A,Sundry and Other Revenues,Revenues,"(6,316)"
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,930A,Contribution From Reserves/Reserve Funds,Revenues,"320,260"
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,750A,Inter-Divisional Recoveries,Revenues,"(65,135)"
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,930A,Contribution From Reserves/Reserve Funds,Revenues,"(376,342)"
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,930A,Contribution From Reserves/Reserve Funds,Revenues,"(49,500)"
City Manager's Office,CM-Strategic Communications,Internal Communications,930A,Contribution From Reserves/Reserve Funds,Revenues,"(49,500)"
City Manager's Office,CM-Strategic Communications,Media Relations,930A,Contribution From Reserves/Reserve Funds,Revenues,"(82,500)"
City Manager's Office,CM-Strategic Communications,Public Communications,750A,Inter-Divisional Recoveries,Revenues,"(1,143,428)"
City Manager's Office,CM-Strategic Communications,Public Communications,930A,Contribution From Reserves/Reserve Funds,Revenues,"181,500"
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,750A,Inter-Divisional Recoveries,Revenues,"(1,127,496)"
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,920A,Transfers From Capital,Revenues,"(416,367)"
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,940A,Sundry and Other Revenues,Revenues,"(159,170)"
City Manager's Office,HR Employment Services,HR Employment Services,750A,Inter-Divisional Recoveries,Revenues,"(1,577,719)"
City Manager's Office,HR Employment Services,HR Employment Services,920A,Transfers From Capital,Revenues,"(416,366)"
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,750A,Inter-Divisional Recoveries,Revenues,"(293,177)"
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,920A,Transfers From Capital,Revenues,"(1,249,726)"
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,750A,Inter-Divisional Recoveries,Revenues,"(313,537)"
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,920A,Transfers From Capital,Revenues,"(416,367)"
City Planning,City Building & Policy Development,City Building & Policy Development,850A,User Fees & Donations,Revenues,"(127,640)"
City Planning,City Building & Policy Development,City Building & Policy Development,920A,Transfers From Capital,Revenues,"(2,037,893)"
City Planning,City Building & Policy Development,City Building & Policy Development,940A,Sundry and Other Revenues,Revenues,"(849,981)"
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",850A,User Fees & Donations,Revenues,"(24,827,204)"
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",930A,Contribution From Reserves/Reserve Funds,Revenues,"(11,857)"
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",940A,Sundry and Other Revenues,Revenues,"(127,731)"
Court Services,Court Case Management,Court Case Management,750A,Inter-Divisional Recoveries,Revenues,"(5,699,444)"
Court Services,Court Case Management,Court Case Management,850A,User Fees & Donations,Revenues,"(203,350)"
Court Services,Court Case Management,Court Case Management,940A,Sundry and Other Revenues,Revenues,"(33,486,980)"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,750A,Inter-Divisional Recoveries,Revenues,"(904,573)"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,850A,User Fees & Donations,Revenues,"(12,250)"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,940A,Sundry and Other Revenues,Revenues,"(78,800)"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,750A,Inter-Divisional Recoveries,Revenues,"(137,336)"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,850A,User Fees & Donations,Revenues,"(4,900)"
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,940A,Sundry and Other Revenues,Revenues,"(31,520)"
Court Services,Default Fine Collection Management,Default Fine Collection Management,750A,Inter-Divisional Recoveries,Revenues,"(686,680)"
Court Services,Default Fine Collection Management,Default Fine Collection Management,850A,User Fees & Donations,Revenues,"(24,500)"
Court Services,Default Fine Collection Management,Default Fine Collection Management,940A,Sundry and Other Revenues,Revenues,"(157,600)"
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,750A,Inter-Divisional Recoveries,Revenues,"(1,890,293)"
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,805A,Provincial Subsidies,Revenues,"(1,049,000)"
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,850A,User Fees & Donations,Revenues,"(5,000)"
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,940A,Sundry and Other Revenues,Revenues,"(861,600)"
Economic Development & Culture,EC-Business Services,Filming Activity,860A,Licences & Permits Revenue,Revenues,"(547,000)"
Economic Development & Culture,EC-Cultural Services,Arts Programming,850A,User Fees & Donations,Revenues,"(242,049)"
Economic Development & Culture,EC-Cultural Services,Arts Programming,860A,Licences & Permits Revenue,Revenues,"(148,640)"
Economic Development & Culture,EC-Cultural Services,Arts Programming,930A,Contribution From Reserves/Reserve Funds,Revenues,"(200,000)"
Economic Development & Culture,EC-Cultural Services,Arts Programming,940A,Sundry and Other Revenues,Revenues,"(20,900)"
Economic Development & Culture,EC-Cultural Services,Cultural Development,810A,Federal Subsidies,Revenues,"(75,000)"
Economic Development & Culture,EC-Cultural Services,Cultural Development,850A,User Fees & Donations,Revenues,"(193,830)"
Economic Development & Culture,EC-Cultural Services,Cultural Development,940A,Sundry and Other Revenues,Revenues,"(82,900)"
Economic Development & Culture,EC-Cultural Services,Cultural Grants,930A,Contribution From Reserves/Reserve Funds,Revenues,"(3,200,000)"
Economic Development & Culture,EC-Cultural Services,Events Programming,940A,Sundry and Other Revenues,Revenues,"(2,263,031)"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,805A,Provincial Subsidies,Revenues,"(242,700)"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,810A,Federal Subsidies,Revenues,"(79,172)"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,820A,Other Subsidies,Revenues,"(37,000)"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,850A,User Fees & Donations,Revenues,"(1,636,736)"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,860A,Licences & Permits Revenue,Revenues,"(179,766)"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,920A,Transfers From Capital,Revenues,"(657,000)"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,940A,Sundry and Other Revenues,Revenues,"(521,250)"
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,920A,Transfers From Capital,Revenues,"(379,000)"
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,940A,Sundry and Other Revenues,Revenues,"(11,284)"
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,810A,Federal Subsidies,Revenues,"(32,500)"
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,850A,User Fees & Donations,Revenues,"(5,000)"
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,930A,Contribution From Reserves/Reserve Funds,Revenues,"(100,000)"
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,940A,Sundry and Other Revenues,Revenues,"(84,000)"
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,805A,Provincial Subsidies,Revenues,"(40,000)"
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,930A,Contribution From Reserves/Reserve Funds,Revenues,"(448,023)"
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,940A,Sundry and Other Revenues,Revenues,"(50,000)"
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,805A,Provincial Subsidies,Revenues,"(200,000)"
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,930A,Contribution From Reserves/Reserve Funds,Revenues,"(150,000)"
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,940A,Sundry and Other Revenues,Revenues,"(508,597)"
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,850A,User Fees & Donations,Revenues,"(10,000)"
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,920A,Transfers From Capital,Revenues,"(831,812)"
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,940A,Sundry and Other Revenues,Revenues,"(25,126)"
Engineering & Construction Services,WT-Engineering Information,Land Information,750A,Inter-Divisional Recoveries,Revenues,"(475,570)"
Engineering & Construction Services,WT-Engineering Information,Land Information,850A,User Fees & Donations,Revenues,"(498,340)"
Engineering & Construction Services,WT-Engineering Information,Land Information,920A,Transfers From Capital,Revenues,"(4,158,332)"
Engineering & Construction Services,WT-Engineering Information,Land Information,940A,Sundry and Other Revenues,Revenues,"(65,126)"
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,850A,User Fees & Donations,Revenues,"(602,152)"
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,860A,Licences & Permits Revenue,Revenues,"(328,215)"
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,920A,Transfers From Capital,Revenues,"(2,565,043)"
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,940A,Sundry and Other Revenues,Revenues,"(410,326)"
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,850A,User Fees & Donations,Revenues,"(2,904,014)"
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,860A,Licences & Permits Revenue,Revenues,"(723,195)"
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,920A,Transfers From Capital,Revenues,"(730,193)"
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,940A,Sundry and Other Revenues,Revenues,"(2,092,725)"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,850A,User Fees & Donations,Revenues,"(1,776,358)"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,860A,Licences & Permits Revenue,Revenues,"(578,340)"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,920A,Transfers From Capital,Revenues,"(23,567,787)"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,940A,Sundry and Other Revenues,Revenues,"(486,522)"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,850A,User Fees & Donations,Revenues,"(326,243)"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,920A,Transfers From Capital,Revenues,"(18,860,883)"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,940A,Sundry and Other Revenues,Revenues,"(175,879)"
Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",850A,User Fees & Donations,Revenues,"(2,556,798)"
Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",930A,Contribution From Reserves/Reserve Funds,Revenues,"(2,249,357)"
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,850A,User Fees & Donations,Revenues,"(1,171,816)"
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,930A,Contribution From Reserves/Reserve Funds,Revenues,"(418,000)"
Exhibition Place,Exhibition Place Parking Access,Exhibition Place Parking Access,850A,User Fees & Donations,Revenues,"(7,293,925)"
Exhibition Place,Exhibitions & Events,Exhibitions & Events,850A,User Fees & Donations,Revenues,"(22,931,008)"
Exhibition Place,Exhibitions & Events,Exhibitions & Events,930A,Contribution From Reserves/Reserve Funds,Revenues,"(50,000)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,750A,Inter-Divisional Recoveries,Revenues,"(8,884,414)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,850A,User Fees & Donations,Revenues,"(239,544)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,930A,Contribution From Reserves/Reserve Funds,Revenues,"(6,087,580)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,940A,Sundry and Other Revenues,Revenues,"(780,398)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,805A,Provincial Subsidies,Revenues,"(250,000)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,850A,User Fees & Donations,Revenues,"(120,030)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,930A,Contribution From Reserves/Reserve Funds,Revenues,"(402,061)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,940A,Sundry and Other Revenues,Revenues,"(110,000)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,930A,Contribution From Reserves/Reserve Funds,Revenues,"(268,994)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,940A,Sundry and Other Revenues,Revenues,"(1,112,500)"
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Research & Policy Development,930A,Contribution From Reserves/Reserve Funds,Revenues,"(459,642)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,750A,Inter-Divisional Recoveries,Revenues,"(12,424,921)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,810A,Federal Subsidies,Revenues,"(160,256)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,850A,User Fees & Donations,Revenues,"(446,490)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,940A,Sundry and Other Revenues,Revenues,"(303,712)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,750A,Inter-Divisional Recoveries,Revenues,"(18,483,158)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,810A,Federal Subsidies,Revenues,"(45,703)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,850A,User Fees & Donations,Revenues,"(605,419)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,920A,Transfers From Capital,Revenues,"(9,495,624)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,940A,Sundry and Other Revenues,Revenues,"(1,774,667)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,750A,Inter-Divisional Recoveries,Revenues,"(6,087,993)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,850A,User Fees & Donations,Revenues,(0)
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,920A,Transfers From Capital,Revenues,"(800,000)"
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,940A,Sundry and Other Revenues,Revenues,"(293,031)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,750A,Inter-Divisional Recoveries,Revenues,"(5,691,262)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,850A,User Fees & Donations,Revenues,"(42,392,564)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,920A,Transfers From Capital,Revenues,"(73,800)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,930A,Contribution From Reserves/Reserve Funds,Revenues,"(4,553,328)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,940A,Sundry and Other Revenues,Revenues,"(2,762,241)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Acquisition,940A,Sundry and Other Revenues,Revenues,"(928,227)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,850A,User Fees & Donations,Revenues,(0)
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,930A,Contribution From Reserves/Reserve Funds,Revenues,"(50,000)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,940A,Sundry and Other Revenues,Revenues,"(610,508)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,750A,Inter-Divisional Recoveries,Revenues,"(224,094)"
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,930A,Contribution From Reserves/Reserve Funds,Revenues,"(545,000)"
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,750A,Inter-Divisional Recoveries,Revenues,"(150,332)"
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,850A,User Fees & Donations,Revenues,"(14,040,378)"
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,920A,Transfers From Capital,Revenues,"(144,856)"
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,940A,Sundry and Other Revenues,Revenues,"(102,739)"
Fire Services,FR-Disaster Response & Event Support,"Chemical, Biological, Radiological, Nuclear & Exposive Resp.",805A,Provincial Subsidies,Revenues,"(100,000)"
Fire Services,FR-Disaster Response & Event Support,Event Support,930A,Contribution From Reserves/Reserve Funds,Revenues,4
Fire Services,FR-Disaster Response & Event Support,Heavy Urban Search & Rescue,805A,Provincial Subsidies,Revenues,"(300,000)"
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Development Review,850A,User Fees & Donations,Revenues,"(14,086)"
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,750A,Inter-Divisional Recoveries,Revenues,"(6,217)"
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,850A,User Fees & Donations,Revenues,"(459,449)"
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,750A,Inter-Divisional Recoveries,Revenues,"(1,554)"
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,850A,User Fees & Donations,Revenues,"(1,003)"
Fire Services,FR-Fire Safety Education,School Based Fire Education,930A,Contribution From Reserves/Reserve Funds,Revenues,(4)
Fire Services,FR-Fire Safety Education,School Based Fire Education,940A,Sundry and Other Revenues,Revenues,"(8,061)"
Fleet Services,FL-Fleet Management,Fleet Acquisition,750A,Inter-Divisional Recoveries,Revenues,"(168,051)"
Fleet Services,FL-Fleet Management,Fleet Acquisition,920A,Transfers From Capital,Revenues,"(80,000)"
Fleet Services,FL-Fleet Management,Fleet Acquisition,930A,Contribution From Reserves/Reserve Funds,Revenues,"(164,415)"
Fleet Services,FL-Fleet Management,Fleet Acquisition,940A,Sundry and Other Revenues,Revenues,"(856,663)"
Fleet Services,FL-Fleet Management,Fleet Disposal,940A,Sundry and Other Revenues,Revenues,"(275,800)"
Fleet Services,FL-Fleet Management,Fleet Maintenance,750A,Inter-Divisional Recoveries,Revenues,"(32,670,596)"
Fleet Services,FL-Fleet Management,Fleet Maintenance,920A,Transfers From Capital,Revenues,"(690,280)"
Fleet Services,FL-Fleet Management,Fleet Maintenance,930A,Contribution From Reserves/Reserve Funds,Revenues,"38,415"
Fleet Services,FL-Fleet Management,Fleet Maintenance,940A,Sundry and Other Revenues,Revenues,"1,272,068"
Fleet Services,FL-Fleet Management,Vehicle Safety,940A,Sundry and Other Revenues,Revenues,"(1,592,054)"
Fleet Services,FL-Fuel Management,Fuel Acquisition,750A,Inter-Divisional Recoveries,Revenues,"(12,435,504)"
Fleet Services,FL-Fuel Management,Fuel Acquisition,940A,Sundry and Other Revenues,Revenues,"(1,069,025)"
Fleet Services,FL-Fuel Management,Fuel Distribution,750A,Inter-Divisional Recoveries,Revenues,"(2,387,301)"
Fleet Services,FL-Fuel Management,Fuel Distribution,930A,Contribution From Reserves/Reserve Funds,Revenues,"(14,000)"
Fleet Services,FL-Fuel Management,Fuel Distribution,940A,Sundry and Other Revenues,Revenues,"(358,936)"
Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,850A,User Fees & Donations,Revenues,"(151,000)"
Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,940A,Sundry and Other Revenues,Revenues,"(40,000)"
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,810A,Federal Subsidies,Revenues,"(38,000)"
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,850A,User Fees & Donations,Revenues,"(69,000)"
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,940A,Sundry and Other Revenues,Revenues,"(161,500)"
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,750A,Inter-Divisional Recoveries,Revenues,"(929,408)"
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,850A,User Fees & Donations,Revenues,"(188,126)"
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,920A,Transfers From Capital,Revenues,"(150,078)"
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,930A,Contribution From Reserves/Reserve Funds,Revenues,"(40,714)"
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,940A,Sundry and Other Revenues,Revenues,"(122,013)"
Information & Technology,IT-Business IT Solutions,IT Common Components,750A,Inter-Divisional Recoveries,Revenues,"(368,387)"
Information & Technology,IT-Business IT Solutions,IT Common Components,920A,Transfers From Capital,Revenues,"(236,239)"
Information & Technology,IT-Business IT Solutions,IT Common Components,930A,Contribution From Reserves/Reserve Funds,Revenues,"(40,714)"
Information & Technology,IT-Business IT Solutions,IT Common Components,940A,Sundry and Other Revenues,Revenues,"(73,208)"
Information & Technology,IT-Business IT Solutions,Solution Implementation,750A,Inter-Divisional Recoveries,Revenues,"(1,752,162)"
Information & Technology,IT-Business IT Solutions,Solution Implementation,920A,Transfers From Capital,Revenues,"(26,805,915)"
Information & Technology,IT-Business IT Solutions,Solution Implementation,930A,Contribution From Reserves/Reserve Funds,Revenues,"(40,714)"
Information & Technology,IT-Business IT Solutions,Solution Sustainment,750A,Inter-Divisional Recoveries,Revenues,"(1,799,620)"
Information & Technology,IT-Business IT Solutions,Solution Sustainment,920A,Transfers From Capital,Revenues,"(360,119)"
Information & Technology,IT-Business IT Solutions,Solution Sustainment,930A,Contribution From Reserves/Reserve Funds,Revenues,"(40,714)"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,750A,Inter-Divisional Recoveries,Revenues,"(3,006,688)"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,850A,User Fees & Donations,Revenues,"(208,800)"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,920A,Transfers From Capital,Revenues,"(871,976)"
