311 Toronto,311 Service Delivery,311 Service Delivery,750A,Inter-Divisional Recoveries,Revenues,5693589
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,940A,Sundry and Other Revenues,Revenues,11284
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,810A,Federal Subsidies,Revenues,32500
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,850A,User Fees & Donations,Revenues,5000
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,930A,Contribution From Reserves/Reserve Funds,Revenues,100000
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,940A,Sundry and Other Revenues,Revenues,84000
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,805A,Provincial Subsidies,Revenues,40000
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,930A,Contribution From Reserves/Reserve Funds,Revenues,448023
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,940A,Sundry and Other Revenues,Revenues,50000
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,805A,Provincial Subsidies,Revenues,200000
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,930A,Contribution From Reserves/Reserve Funds,Revenues,150000
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,940A,Sundry and Other Revenues,Revenues,508597
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,850A,User Fees & Donations,Revenues,10000
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,920A,Transfers From Capital,Revenues,831812
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,940A,Sundry and Other Revenues,Revenues,25126
Engineering & Construction Services,WT-Engineering Information,Land Information,750A,Inter-Divisional Recoveries,Revenues,475570
Engineering & Construction Services,WT-Engineering Information,Land Information,850A,User Fees & Donations,Revenues,498340
Engineering & Construction Services,WT-Engineering Information,Land Information,920A,Transfers From Capital,Revenues,4158332
Engineering & Construction Services,WT-Engineering Information,Land Information,940A,Sundry and Other Revenues,Revenues,65126
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,850A,User Fees & Donations,Revenues,602152
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,860A,Licences & Permits Revenue,Revenues,328215
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,920A,Transfers From Capital,Revenues,2565043
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,940A,Sundry and Other Revenues,Revenues,410326
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,850A,User Fees & Donations,Revenues,2904014
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,860A,Licences & Permits Revenue,Revenues,723195
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,920A,Transfers From Capital,Revenues,730193
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,940A,Sundry and Other Revenues,Revenues,2092725
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,850A,User Fees & Donations,Revenues,1776358
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,860A,Licences & Permits Revenue,Revenues,578340
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,920A,Transfers From Capital,Revenues,23567787
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,940A,Sundry and Other Revenues,Revenues,486522
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,850A,User Fees & Donations,Revenues,326243
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,920A,Transfers From Capital,Revenues,18860883
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,940A,Sundry and Other Revenues,Revenues,175879
Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",850A,User Fees & Donations,Revenues,2556798
Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",930A,Contribution From Reserves/Reserve Funds,Revenues,2249357
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,850A,User Fees & Donations,Revenues,1171816
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,930A,Contribution From Reserves/Reserve Funds,Revenues,418000
Exhibition Place,Exhibition Place Parking Access,Exhibition Place Parking Access,850A,User Fees & Donations,Revenues,7293925
Exhibition Place,Exhibitions & Events,Exhibitions & Events,850A,User Fees & Donations,Revenues,22931008
Exhibition Place,Exhibitions & Events,Exhibitions & Events,930A,Contribution From Reserves/Reserve Funds,Revenues,50000
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,750A,Inter-Divisional Recoveries,Revenues,8884414
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,850A,User Fees & Donations,Revenues,239544
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,930A,Contribution From Reserves/Reserve Funds,Revenues,6087580
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,940A,Sundry and Other Revenues,Revenues,780398
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,805A,Provincial Subsidies,Revenues,250000
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,850A,User Fees & Donations,Revenues,120030
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,930A,Contribution From Reserves/Reserve Funds,Revenues,402061
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,940A,Sundry and Other Revenues,Revenues,110000
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,930A,Contribution From Reserves/Reserve Funds,Revenues,268994
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,940A,Sundry and Other Revenues,Revenues,1112500
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Research & Policy Development,930A,Contribution From Reserves/Reserve Funds,Revenues,459642
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,750A,Inter-Divisional Recoveries,Revenues,12424921
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,810A,Federal Subsidies,Revenues,160256
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,850A,User Fees & Donations,Revenues,446490
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,940A,Sundry and Other Revenues,Revenues,303712
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,750A,Inter-Divisional Recoveries,Revenues,18483158
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,810A,Federal Subsidies,Revenues,45703
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,850A,User Fees & Donations,Revenues,605419
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,920A,Transfers From Capital,Revenues,9495624
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,940A,Sundry and Other Revenues,Revenues,1774667
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,750A,Inter-Divisional Recoveries,Revenues,6087993
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,850A,User Fees & Donations,Revenues,0
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,920A,Transfers From Capital,Revenues,800000
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,940A,Sundry and Other Revenues,Revenues,293031
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,750A,Inter-Divisional Recoveries,Revenues,5691262
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,850A,User Fees & Donations,Revenues,42392564
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,920A,Transfers From Capital,Revenues,73800
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,930A,Contribution From Reserves/Reserve Funds,Revenues,4553328
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,940A,Sundry and Other Revenues,Revenues,2762241
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Acquisition,940A,Sundry and Other Revenues,Revenues,928227
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,850A,User Fees & Donations,Revenues,0
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,930A,Contribution From Reserves/Reserve Funds,Revenues,50000
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,940A,Sundry and Other Revenues,Revenues,610508
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,750A,Inter-Divisional Recoveries,Revenues,224094
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,930A,Contribution From Reserves/Reserve Funds,Revenues,545000
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,750A,Inter-Divisional Recoveries,Revenues,150332
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,850A,User Fees & Donations,Revenues,14040378
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,920A,Transfers From Capital,Revenues,144856
Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,940A,Sundry and Other Revenues,Revenues,102739
Fire Services,FR-Disaster Response & Event Support,"Chemical, Biological, Radiological, Nuclear & Exposive Resp.",805A,Provincial Subsidies,Revenues,100000
Fire Services,FR-Disaster Response & Event Support,Event Support,930A,Contribution From Reserves/Reserve Funds,Revenues,-4
Fire Services,FR-Disaster Response & Event Support,Heavy Urban Search & Rescue,805A,Provincial Subsidies,Revenues,300000
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Development Review,850A,User Fees & Donations,Revenues,14086
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,750A,Inter-Divisional Recoveries,Revenues,6217
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,850A,User Fees & Donations,Revenues,459449
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,750A,Inter-Divisional Recoveries,Revenues,1554
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,850A,User Fees & Donations,Revenues,1003
Fire Services,FR-Fire Safety Education,School Based Fire Education,930A,Contribution From Reserves/Reserve Funds,Revenues,4
Fire Services,FR-Fire Safety Education,School Based Fire Education,940A,Sundry and Other Revenues,Revenues,8061
Fleet Services,FL-Fleet Management,Fleet Acquisition,750A,Inter-Divisional Recoveries,Revenues,168051
Fleet Services,FL-Fleet Management,Fleet Acquisition,920A,Transfers From Capital,Revenues,80000
Fleet Services,FL-Fleet Management,Fleet Acquisition,930A,Contribution From Reserves/Reserve Funds,Revenues,164415
Fleet Services,FL-Fleet Management,Fleet Acquisition,940A,Sundry and Other Revenues,Revenues,856663
Fleet Services,FL-Fleet Management,Fleet Disposal,940A,Sundry and Other Revenues,Revenues,275800
Fleet Services,FL-Fleet Management,Fleet Maintenance,750A,Inter-Divisional Recoveries,Revenues,32670596
Fleet Services,FL-Fleet Management,Fleet Maintenance,920A,Transfers From Capital,Revenues,690280
Fleet Services,FL-Fleet Management,Fleet Maintenance,930A,Contribution From Reserves/Reserve Funds,Revenues,-38415
Fleet Services,FL-Fleet Management,Fleet Maintenance,940A,Sundry and Other Revenues,Revenues,-1272068
Fleet Services,FL-Fleet Management,Vehicle Safety,940A,Sundry and Other Revenues,Revenues,1592054
Fleet Services,FL-Fuel Management,Fuel Acquisition,750A,Inter-Divisional Recoveries,Revenues,12435504
Fleet Services,FL-Fuel Management,Fuel Acquisition,940A,Sundry and Other Revenues,Revenues,1069025
Fleet Services,FL-Fuel Management,Fuel Distribution,750A,Inter-Divisional Recoveries,Revenues,2387301
Fleet Services,FL-Fuel Management,Fuel Distribution,930A,Contribution From Reserves/Reserve Funds,Revenues,14000
Fleet Services,FL-Fuel Management,Fuel Distribution,940A,Sundry and Other Revenues,Revenues,358936
Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,850A,User Fees & Donations,Revenues,151000
Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,940A,Sundry and Other Revenues,Revenues,40000
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,810A,Federal Subsidies,Revenues,38000
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,850A,User Fees & Donations,Revenues,69000
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,940A,Sundry and Other Revenues,Revenues,161500
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,750A,Inter-Divisional Recoveries,Revenues,929408
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,850A,User Fees & Donations,Revenues,188126
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,920A,Transfers From Capital,Revenues,150078
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,930A,Contribution From Reserves/Reserve Funds,Revenues,40714
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,940A,Sundry and Other Revenues,Revenues,122013
Information & Technology,IT-Business IT Solutions,IT Common Components,750A,Inter-Divisional Recoveries,Revenues,368387
Information & Technology,IT-Business IT Solutions,IT Common Components,920A,Transfers From Capital,Revenues,236239
Information & Technology,IT-Business IT Solutions,IT Common Components,930A,Contribution From Reserves/Reserve Funds,Revenues,40714
Information & Technology,IT-Business IT Solutions,IT Common Components,940A,Sundry and Other Revenues,Revenues,73208
Information & Technology,IT-Business IT Solutions,Solution Implementation,750A,Inter-Divisional Recoveries,Revenues,1752162
Information & Technology,IT-Business IT Solutions,Solution Implementation,920A,Transfers From Capital,Revenues,26805915
Information & Technology,IT-Business IT Solutions,Solution Implementation,930A,Contribution From Reserves/Reserve Funds,Revenues,40714
Information & Technology,IT-Business IT Solutions,Solution Sustainment,750A,Inter-Divisional Recoveries,Revenues,1799620
Information & Technology,IT-Business IT Solutions,Solution Sustainment,920A,Transfers From Capital,Revenues,360119
Information & Technology,IT-Business IT Solutions,Solution Sustainment,930A,Contribution From Reserves/Reserve Funds,Revenues,40714
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,750A,Inter-Divisional Recoveries,Revenues,3006688
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,850A,User Fees & Donations,Revenues,208800
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,920A,Transfers From Capital,Revenues,871976
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,930A,Contribution From Reserves/Reserve Funds,Revenues,3185858
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,940A,Sundry and Other Revenues,Revenues,90809
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,750A,Inter-Divisional Recoveries,Revenues,4999814
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,920A,Transfers From Capital,Revenues,259914
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,930A,Contribution From Reserves/Reserve Funds,Revenues,16413
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,940A,Sundry and Other Revenues,Revenues,5591
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",750A,Inter-Divisional Recoveries,Revenues,509866
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",920A,Transfers From Capital,Revenues,1559405
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",930A,Contribution From Reserves/Reserve Funds,Revenues,30000
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",940A,Sundry and Other Revenues,Revenues,24402
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,750A,Inter-Divisional Recoveries,Revenues,1151365
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,920A,Transfers From Capital,Revenues,629581
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,930A,Contribution From Reserves/Reserve Funds,Revenues,310714
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,940A,Sundry and Other Revenues,Revenues,410326
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,750A,Inter-Divisional Recoveries,Revenues,11008
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,920A,Transfers From Capital,Revenues,1353369
Legal Services,Civil Litigation,Civil Litigation,750A,Inter-Divisional Recoveries,Revenues,5391940
Legal Services,Civil Litigation,Civil Litigation,930A,Contribution From Reserves/Reserve Funds,Revenues,700000
Legal Services,Prosecution,Prosecution,750A,Inter-Divisional Recoveries,Revenues,13842691
Legal Services,Solicitor,Solicitor,750A,Inter-Divisional Recoveries,Revenues,3035945
