_META_START_,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,
Economic Development & Culture,EC-Cultural Services,Cultural Development,810A,Federal Subsidies,75000,
Economic Development & Culture,EC-Cultural Services,Cultural Development,940A,Sundry and Other Revenues,82900,
Economic Development & Culture,EC-Cultural Services,Cultural Development,850A,User Fees & Donations,193830,
Economic Development & Culture,EC-Cultural Services,Cultural Grants,930A,Contribution From Reserves/Reserve Funds,3200000,
Economic Development & Culture,EC-Cultural Services,Events Programming,930A,Contribution From Reserves/Reserve Funds,2646741,
Economic Development & Culture,EC-Cultural Services,Events Programming,810A,Federal Subsidies,1400000,
Economic Development & Culture,EC-Cultural Services,Events Programming,805A,Provincial Subsidies,2000000,
Economic Development & Culture,EC-Cultural Services,Events Programming,940A,Sundry and Other Revenues,2179031,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,810A,Federal Subsidies,179172,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,860A,Licences & Permits Revenue,179766,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,820A,Other Subsidies,37000,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,805A,Provincial Subsidies,342700,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,940A,Sundry and Other Revenues,537250,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,920A,Transfers From Capital,657000,
Economic Development & Culture,EC-Cultural Services,Heritage Programming,850A,User Fees & Donations,1960736,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,930A,Contribution From Reserves/Reserve Funds,200000,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,940A,Sundry and Other Revenues,11284,
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,920A,Transfers From Capital,379000,
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,810A,Federal Subsidies,32500,
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,940A,Sundry and Other Revenues,100000,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,930A,Contribution From Reserves/Reserve Funds,739623,
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,850A,User Fees & Donations,5000,
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,930A,Contribution From Reserves/Reserve Funds,489500,
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,805A,Provincial Subsidies,40000,
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,940A,Sundry and Other Revenues,50000,
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,930A,Contribution From Reserves/Reserve Funds,794029,
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,805A,Provincial Subsidies,200000,
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,940A,Sundry and Other Revenues,508597,
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,940A,Sundry and Other Revenues,24300,
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,920A,Transfers From Capital,778734,
Engineering & Construction Services,WT-Engineering Information,Land Information,750A,Inter-Divisional Recoveries,175570,
Engineering & Construction Services,WT-Engineering Information,Land Information,940A,Sundry and Other Revenues,64300,
Engineering & Construction Services,WT-Engineering Information,Land Information,920A,Transfers From Capital,4033798,
Engineering & Construction Services,WT-Engineering Information,Land Information,850A,User Fees & Donations,484340,
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,860A,Licences & Permits Revenue,327240,
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,940A,Sundry and Other Revenues,380496,
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,920A,Transfers From Capital,2508760,
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,850A,User Fees & Donations,446750,
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,860A,Licences & Permits Revenue,714420,
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,940A,Sundry and Other Revenues,1837467,
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,920A,Transfers From Capital,691199,
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,850A,User Fees & Donations,2660709,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,860A,Licences & Permits Revenue,578340,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,940A,Sundry and Other Revenues,480744,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,920A,Transfers From Capital,22770115,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,850A,User Fees & Donations,1431112,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,940A,Sundry and Other Revenues,170100,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,920A,Transfers From Capital,18465850,
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,850A,User Fees & Donations,269627,
Exhibition Place,"Conventions, Conferences & Meetings",,930A,Contribution From Reserves/Reserve Funds,2359407,
Exhibition Place,"Conventions, Conferences & Meetings",,850A,User Fees & Donations,2435083,
Exhibition Place,Exhibition Place Asset Management,,930A,Contribution From Reserves/Reserve Funds,875000,
Exhibition Place,Exhibition Place Asset Management,,850A,User Fees & Donations,820450,
Exhibition Place,Exhibition Place Parking Access,,850A,User Fees & Donations,6689785,
Exhibition Place,Exhibitions & Events,,930A,Contribution From Reserves/Reserve Funds,50000,
Exhibition Place,Exhibitions & Events,,850A,User Fees & Donations,25201191,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,930A,Contribution From Reserves/Reserve Funds,6263231,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,750A,Inter-Divisional Recoveries,8135904,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,940A,Sundry and Other Revenues,780398,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,850A,User Fees & Donations,249780,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,930A,Contribution From Reserves/Reserve Funds,505560,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,805A,Provincial Subsidies,250000,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,940A,Sundry and Other Revenues,45009,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,850A,User Fees & Donations,70030,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,930A,Contribution From Reserves/Reserve Funds,268994,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,940A,Sundry and Other Revenues,700000,
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Research & Policy Development,930A,Contribution From Reserves/Reserve Funds,474033,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,810A,Federal Subsidies,115830,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,750A,Inter-Divisional Recoveries,12768829,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,940A,Sundry and Other Revenues,303712,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,850A,User Fees & Donations,446490,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,810A,Federal Subsidies,104650,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,750A,Inter-Divisional Recoveries,17660557,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,940A,Sundry and Other Revenues,1975378,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,920A,Transfers From Capital,9289244,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,850A,User Fees & Donations,1066419,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,750A,Inter-Divisional Recoveries,5886918,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,940A,Sundry and Other Revenues,293031,
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Security & Safety,920A,Transfers From Capital,560000,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Development & Portfolio Planning,930A,Contribution From Reserves/Reserve Funds,200000,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,930A,Contribution From Reserves/Reserve Funds,3638489,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,750A,Inter-Divisional Recoveries,5518650,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,940A,Sundry and Other Revenues,2678241,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,850A,User Fees & Donations,41213636,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Acquisition,940A,Sundry and Other Revenues,674122,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,930A,Contribution From Reserves/Reserve Funds,50000,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,940A,Sundry and Other Revenues,602835,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,930A,Contribution From Reserves/Reserve Funds,545000,
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,750A,Inter-Divisional Recoveries,224094,
Fire Services,Fire Rescue & Emergency Response,,750A,Inter-Divisional Recoveries,240210,
Fire Services,Fire Rescue & Emergency Response,,940A,Sundry and Other Revenues,102739,
Fire Services,Fire Rescue & Emergency Response,,920A,Transfers From Capital,231765,
Fire Services,Fire Rescue & Emergency Response,,850A,User Fees & Donations,13066628,
Fire Services,FR-Disaster Response & Event Support,"Chemical, Biological, Radiological, Nuclear & Exposive Resp.",805A,Provincial Subsidies,100000,
Fire Services,FR-Disaster Response & Event Support,Event Support,930A,Contribution From Reserves/Reserve Funds,403996,
Fire Services,FR-Disaster Response & Event Support,Event Support,940A,Sundry and Other Revenues,2042700,
Fire Services,FR-Disaster Response & Event Support,Heavy Urban Search & Rescue,805A,Provincial Subsidies,300000,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Development Review,850A,User Fees & Donations,14644,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,750A,Inter-Divisional Recoveries,5757,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,850A,User Fees & Donations,480491,
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,750A,Inter-Divisional Recoveries,1439,
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,850A,User Fees & Donations,1753,
Fire Services,FR-Fire Safety Education,School Based Fire Education,930A,Contribution From Reserves/Reserve Funds,4,
Fire Services,FR-Fire Safety Education,School Based Fire Education,940A,Sundry and Other Revenues,8061,
Fleet Services,FL-Fleet Management,Fleet Acquisition,930A,Contribution From Reserves/Reserve Funds,162515,
Fleet Services,FL-Fleet Management,Fleet Acquisition,750A,Inter-Divisional Recoveries,132494,
Fleet Services,FL-Fleet Management,Fleet Acquisition,940A,Sundry and Other Revenues,1272946,
Fleet Services,FL-Fleet Management,Fleet Disposal,940A,Sundry and Other Revenues,275800,
Fleet Services,FL-Fleet Management,Fleet Maintenance,930A,Contribution From Reserves/Reserve Funds,-53615,Non-normal value
Fleet Services,FL-Fleet Management,Fleet Maintenance,750A,Inter-Divisional Recoveries,32215603,
Fleet Services,FL-Fleet Management,Fleet Maintenance,940A,Sundry and Other Revenues,-1512996,Non-normal value
Fleet Services,FL-Fleet Management,Fleet Maintenance,920A,Transfers From Capital,72024,
Fleet Services,FL-Fleet Management,Vehicle Safety,940A,Sundry and Other Revenues,1252153,
Fleet Services,FL-Fuel Management,Fuel Acquisition,750A,Inter-Divisional Recoveries,15196629,
Fleet Services,FL-Fuel Management,Fuel Acquisition,940A,Sundry and Other Revenues,1097689,
Fleet Services,FL-Fuel Management,Fuel Acquisition,920A,Transfers From Capital,44458,
Fleet Services,FL-Fuel Management,Fuel Distribution,930A,Contribution From Reserves/Reserve Funds,12100,
Fleet Services,FL-Fuel Management,Fuel Distribution,750A,Inter-Divisional Recoveries,142500,
Fleet Services,FL-Fuel Management,Fuel Distribution,940A,Sundry and Other Revenues,398682,
Heritage Toronto,Heritage Fundraising & Partnership Development,,850A,User Fees & Donations,77000,
Heritage Toronto,Heritage Promotion & Education,,810A,Federal Subsidies,70000,
Heritage Toronto,Heritage Promotion & Education,,805A,Provincial Subsidies,36200,
Heritage Toronto,Heritage Promotion & Education,,940A,Sundry and Other Revenues,150800,
Heritage Toronto,Heritage Promotion & Education,,850A,User Fees & Donations,115500,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,750A,Inter-Divisional Recoveries,549407,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,940A,Sundry and Other Revenues,122013,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,920A,Transfers From Capital,122795,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,850A,User Fees & Donations,186103,
Information & Technology,IT-Business IT Solutions,IT Common Components,750A,Inter-Divisional Recoveries,627859,
Information & Technology,IT-Business IT Solutions,IT Common Components,940A,Sundry and Other Revenues,73208,
Information & Technology,IT-Business IT Solutions,IT Common Components,920A,Transfers From Capital,910031,
Information & Technology,IT-Business IT Solutions,Solution Implementation,930A,Contribution From Reserves/Reserve Funds,141348,
Information & Technology,IT-Business IT Solutions,Solution Implementation,750A,Inter-Divisional Recoveries,1595333,
Information & Technology,IT-Business IT Solutions,Solution Implementation,920A,Transfers From Capital,14440169,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,930A,Contribution From Reserves/Reserve Funds,255219,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,750A,Inter-Divisional Recoveries,1423173,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,920A,Transfers From Capital,173426,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,930A,Contribution From Reserves/Reserve Funds,2182311,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,750A,Inter-Divisional Recoveries,2762093,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,940A,Sundry and Other Revenues,90809,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,920A,Transfers From Capital,4916216,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,930A,Contribution From Reserves/Reserve Funds,62996,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,750A,Inter-Divisional Recoveries,5014769,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,940A,Sundry and Other Revenues,5591,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,920A,Transfers From Capital,345143,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",930A,Contribution From Reserves/Reserve Funds,769273,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",750A,Inter-Divisional Recoveries,836610,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",940A,Sundry and Other Revenues,24402,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",920A,Transfers From Capital,3675778,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,930A,Contribution From Reserves/Reserve Funds,665008,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,750A,Inter-Divisional Recoveries,690076,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,940A,Sundry and Other Revenues,410326,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,920A,Transfers From Capital,3704333,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,930A,Contribution From Reserves/Reserve Funds,143910,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,750A,Inter-Divisional Recoveries,9558,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,920A,Transfers From Capital,2313024,
Legal Services,Civil Litigation,,930A,Contribution From Reserves/Reserve Funds,300000,
Legal Services,Civil Litigation,,750A,Inter-Divisional Recoveries,5278602,
Legal Services,Prosecution,,750A,Inter-Divisional Recoveries,13758142,
Legal Services,Solicitor,,750A,Inter-Divisional Recoveries,3125734,
Legal Services,Solicitor,,940A,Sundry and Other Revenues,3106558,
Legal Services,Solicitor,,920A,Transfers From Capital,1162621,
Legal Services,Solicitor,,850A,User Fees & Donations,2529571,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,805A,Provincial Subsidies,1374900,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,850A,User Fees & Donations,183000,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,805A,Provincial Subsidies,4076300,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,805A,Provincial Subsidies,5154300,
Long Term Care Homes & Services,Long Term Care Homes,,750A,Inter-Divisional Recoveries,72800,
Long Term Care Homes & Services,Long Term Care Homes,,805A,Provincial Subsidies,136213621,
Long Term Care Homes & Services,Long Term Care Homes,,940A,Sundry and Other Revenues,138000,
Long Term Care Homes & Services,Long Term Care Homes,,920A,Transfers From Capital,260000,
Long Term Care Homes & Services,Long Term Care Homes,,850A,User Fees & Donations,48469700,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,860A,Licences & Permits Revenue,833812,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,940A,Sundry and Other Revenues,114244,
