_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,
CLERK,City Clerk's Office,650A,Other Expenditures,44.5,
CLERK,City Clerk's Office,700A,Interdivisional Charges,1812.9,
COUNCIL,City Council,100A,Salaries and Benefits,16811.2,
COUNCIL,City Council,200A,Materials and Supplies,1198.1,
COUNCIL,City Council,300A,Equipment,17,
COUNCIL,City Council,400A,Services & Rents,392.1,
COUNCIL,City Council,505A,Contributions to Capital,,
COUNCIL,City Council,510A,Contributions to Reserve/Res Funds,294.2,
COUNCIL,City Council,650A,Other Expenditures,,
COUNCIL,City Council,700A,Interdivisional Charges,171.3,
CITYMANAGER,City Manager's Office,100A,Salaries and Benefits,37769.1,
CITYMANAGER,City Manager's Office,200A,Materials and Supplies,228,
CITYMANAGER,City Manager's Office,300A,Equipment,95,
CITYMANAGER,City Manager's Office,400A,Services & Rents,3765.7,
CITYMANAGER,City Manager's Office,505A,Contributions to Capital,,
CITYMANAGER,City Manager's Office,510A,Contributions to Reserve/Res Funds,73.4,
CITYMANAGER,City Manager's Office,650A,Other Expenditures,,
CITYMANAGER,City Manager's Office,700A,Interdivisional Charges,541.6,
PLANNING,City Planning,100A,Salaries and Benefits,33739.9,
PLANNING,City Planning,200A,Materials and Supplies,186.8,
PLANNING,City Planning,300A,Equipment,162.9,
PLANNING,City Planning,400A,Services & Rents,1846.1,
PLANNING,City Planning,505A,Contributions to Capital,0,
PLANNING,City Planning,510A,Contributions to Reserve/Res Funds,58.7,
PLANNING,City Planning,650A,Other Expenditures,83.7,
PLANNING,City Planning,700A,Interdivisional Charges,439,
COURTSERV,Court Services,100A,Salaries and Benefits,21347.83783,
COURTSERV,Court Services,200A,Materials and Supplies,253.29974,
COURTSERV,Court Services,300A,Equipment,151.97472,
COURTSERV,Court Services,400A,Services & Rents,12109.16968,
COURTSERV,Court Services,505A,Contributions to Capital,0,
COURTSERV,Court Services,510A,Contributions to Reserve/Res Funds,67.13652,
COURTSERV,Court Services,650A,Other Expenditures,2255.50009,
COURTSERV,Court Services,700A,Interdivisional Charges,18082.42598,
COMMPARTNER,Community Partnership and Investment Program,100A,Salaries and Benefits,,
COMMPARTNER,Community Partnership and Investment Program,200A,Materials and Supplies,,
COMMPARTNER,Community Partnership and Investment Program,300A,Equipment,,
COMMPARTNER,Community Partnership and Investment Program,400A,Services & Rents,,
COMMPARTNER,Community Partnership and Investment Program,505A,Contributions to Capital,,
COMMPARTNER,Community Partnership and Investment Program,510A,Contributions to Reserve/Res Funds,,
COMMPARTNER,Community Partnership and Investment Program,650A,Other Expenditures,47277.1,
COMMPARTNER,Community Partnership and Investment Program,700A,Interdivisional Charges,,
ECONDEV,Economic Development and Culture,100A,Salaries and Benefits,23453.67,
ECONDEV,Economic Development and Culture,200A,Materials and Supplies,1159.1,
ECONDEV,Economic Development and Culture,300A,Equipment,144.3,
ECONDEV,Economic Development and Culture,400A,Services & Rents,7291.2,
ECONDEV,Economic Development and Culture,505A,Contributions to Capital,1884.7,
ECONDEV,Economic Development and Culture,510A,Contributions to Reserve/Res Funds,925.7,
ECONDEV,Economic Development and Culture,650A,Other Expenditures,4.3,
ECONDEV,Economic Development and Culture,700A,Interdivisional Charges,472.7,
PARAMEDIC,Emergency Medical Services,100A,Salaries and Benefits,139583.32,
PARAMEDIC,Emergency Medical Services,200A,Materials and Supplies,5614.262,
PARAMEDIC,Emergency Medical Services,300A,Equipment,1061.466,
PARAMEDIC,Emergency Medical Services,400A,Services & Rents,9533.365,
PARAMEDIC,Emergency Medical Services,505A,Contributions to Capital,472,
PARAMEDIC,Emergency Medical Services,510A,Contributions to Reserve/Res Funds,5147.12649,
PARAMEDIC,Emergency Medical Services,650A,Other Expenditures,31.677,
PARAMEDIC,Emergency Medical Services,700A,Interdivisional Charges,9331.107,
EXHIBPLACE,Exhibition Place,100A,Salaries and Benefits,36671.2,
EXHIBPLACE,Exhibition Place,200A,Materials and Supplies,5520.7,
EXHIBPLACE,Exhibition Place,300A,Equipment,177.2,
EXHIBPLACE,Exhibition Place,400A,Services & Rents,36284.5,
EXHIBPLACE,Exhibition Place,505A,Contributions to Capital,,
EXHIBPLACE,Exhibition Place,510A,Contributions to Reserve/Res Funds,2122.7,
EXHIBPLACE,Exhibition Place,650A,Other Expenditures,-16526.6,Non-normal value
EXHIBPLACE,Exhibition Place,700A,Interdivisional Charges,,
FACILITIES,Facilities Management and Real Estate,100A,Salaries and Benefits,77515.7405862716,
FACILITIES,Facilities Management and Real Estate,200A,Materials and Supplies,31456.4987145245,
FACILITIES,Facilities Management and Real Estate,300A,Equipment,1242.3601763098,
FACILITIES,Facilities Management and Real Estate,400A,Services & Rents,52161.5423817013,
FACILITIES,Facilities Management and Real Estate,505A,Contributions to Capital,3998.12834,
FACILITIES,Facilities Management and Real Estate,510A,Contributions to Reserve/Res Funds,1511.097,
FACILITIES,Facilities Management and Real Estate,650A,Other Expenditures,10.64,
FACILITIES,Facilities Management and Real Estate,700A,Interdivisional Charges,1806.644,
FIRE,Fire Services,100A,Salaries and Benefits,341460.141688711,
FIRE,Fire Services,200A,Materials and Supplies,8247.702099312,
FIRE,Fire Services,300A,Equipment,800.5449965,
FIRE,Fire Services,400A,Services & Rents,6291.732123762,
FIRE,Fire Services,505A,Contributions to Capital,0,
FIRE,Fire Services,510A,Contributions to Reserve/Res Funds,8703.8943,
FIRE,Fire Services,650A,Other Expenditures,0,
FIRE,Fire Services,700A,Interdivisional Charges,5962.30981,
FLEET,Fleet Services,100A,Salaries and Benefits,18062,
FLEET,Fleet Services,200A,Materials and Supplies,22715,
FLEET,Fleet Services,300A,Equipment,94.5,
FLEET,Fleet Services,400A,Services & Rents,6627.3,
FLEET,Fleet Services,505A,Contributions to Capital,,
FLEET,Fleet Services,510A,Contributions to Reserve/Res Funds,81.3,
FLEET,Fleet Services,650A,Other Expenditures,,
FLEET,Fleet Services,700A,Interdivisional Charges,430.2,
HERITAGE,Heritage Toronto,100A,Salaries and Benefits,489,
HERITAGE,Heritage Toronto,200A,Materials and Supplies,113.7,
HERITAGE,Heritage Toronto,300A,Equipment, ,
HERITAGE,Heritage Toronto,400A,Services & Rents,236.8,
HERITAGE,Heritage Toronto,505A,Contributions to Capital,,
HERITAGE,Heritage Toronto,510A,Contributions to Reserve/Res Funds,1,
HERITAGE,Heritage Toronto,650A,Other Expenditures,4.8,
HERITAGE,Heritage Toronto,700A,Interdivisional Charges, ,
IT,Information and Technology,100A,Salaries and Benefits,71210.1,
IT,Information and Technology,200A,Materials and Supplies,274.1,
IT,Information and Technology,300A,Equipment,668.8,
IT,Information and Technology,400A,Services & Rents,18337.2,
IT,Information and Technology,505A,Contributions to Capital,,
IT,Information and Technology,510A,Contributions to Reserve/Res Funds,101.2,
IT,Information and Technology,650A,Other Expenditures,,
IT,Information and Technology,700A,Interdivisional Charges,479,
INTEGRITYCOMM,The Integrity Commissioner's Office,100A,Salaries and Benefits,186.75,
INTEGRITYCOMM,The Integrity Commissioner's Office,200A,Materials and Supplies,0.97,
INTEGRITYCOMM,The Integrity Commissioner's Office,300A,Equipment,,
INTEGRITYCOMM,The Integrity Commissioner's Office,400A,Services & Rents,9.59,
INTEGRITYCOMM,The Integrity Commissioner's Office,505A,Contributions to Capital,,
INTEGRITYCOMM,The Integrity Commissioner's Office,510A,Contributions to Reserve/Res Funds,3.98,
INTEGRITYCOMM,The Integrity Commissioner's Office,650A,Other Expenditures,,
INTEGRITYCOMM,The Integrity Commissioner's Office,700A,Interdivisional Charges,1,
LEGAL,Legal Services,100A,Salaries and Benefits,33509.4,
LEGAL,Legal Services,200A,Materials and Supplies,336.6,
LEGAL,Legal Services,300A,Equipment,23.5,
LEGAL,Legal Services,400A,Services & Rents,1489.6,
LEGAL,Legal Services,505A,Contributions to Capital,,
LEGAL,Legal Services,510A,Contributions to Reserve/Res Funds,56,
LEGAL,Legal Services,650A,Other Expenditures,,
LEGAL,Legal Services,700A,Interdivisional Charges,5696,
LOBBYREG,The Lobbyist Registrar's Office,100A,Salaries and Benefits,936.9,
LOBBYREG,The Lobbyist Registrar's Office,200A,Materials and Supplies,9.9,
LOBBYREG,The Lobbyist Registrar's Office,300A,Equipment,6.1,
LOBBYREG,The Lobbyist Registrar's Office,400A,Services & Rents,67.99,
LOBBYREG,The Lobbyist Registrar's Office,505A,Contributions to Capital,,
LOBBYREG,The Lobbyist Registrar's Office,510A,Contributions to Reserve/Res Funds,1.3,
LOBBYREG,The Lobbyist Registrar's Office,650A,Other Expenditures,,
LOBBYREG,The Lobbyist Registrar's Office,700A,Interdivisional Charges,1.1,
LONGTERMHOME,Long Term Care Homes & Services,100A,Salaries and Benefits,183284.011,
LONGTERMHOME,Long Term Care Homes & Services,200A,Materials and Supplies,18882.8,
LONGTERMHOME,Long Term Care Homes & Services,300A,Equipment,2417.7,
LONGTERMHOME,Long Term Care Homes & Services,400A,Services & Rents,16938.059,
LONGTERMHOME,Long Term Care Homes & Services,505A,Contributions to Capital,93.5,
LONGTERMHOME,Long Term Care Homes & Services,510A,Contributions to Reserve/Res Funds,1740.1971,
LONGTERMHOME,Long Term Care Homes & Services,650A,Other Expenditures,36,
LONGTERMHOME,Long Term Care Homes & Services,700A,Interdivisional Charges,437.5,
MAYOR,The Mayor's Office,100A,Salaries and Benefits,1745.1,
MAYOR,The Mayor's Office,200A,Materials and Supplies,20,
MAYOR,The Mayor's Office,300A,Equipment,3,
MAYOR,The Mayor's Office,400A,Services & Rents,210.675,
MAYOR,The Mayor's Office,505A,Contributions to Capital,0,
MAYOR,The Mayor's Office,510A,Contributions to Reserve/Res Funds,4.9,
MAYOR,The Mayor's Office,650A,Other Expenditures,0,
MAYOR,The Mayor's Office,700A,Interdivisional Charges,12.35,
LICENCING,Municipal Licensing and Standards,100A,Salaries and Benefits,40096.1,
LICENCING,Municipal Licensing and Standards,200A,Materials and Supplies,1525.8,
LICENCING,Municipal Licensing and Standards,300A,Equipment,259.6,
LICENCING,Municipal Licensing and Standards,400A,Services & Rents,2231.3,
LICENCING,Municipal Licensing and Standards,505A,Contributions to Capital,,
LICENCING,Municipal Licensing and Standards,510A,Contributions to Reserve/Res Funds,716.2,
LICENCING,Municipal Licensing and Standards,650A,Other Expenditures,213,
LICENCING,Municipal Licensing and Standards,700A,Interdivisional Charges,4585.2,
CORPFINANCING,CAPITAL & CORPORATE FINANCE / NON-PROGRAM,100A,Salaries and Benefits,48330.2,
CORPFINANCING,CAPITAL & CORPORATE FINANCE / NON-PROGRAM,200A,Materials and Supplies,29000.45,
CORPFINANCING,CAPITAL & CORPORATE FINANCE / NON-PROGRAM,300A,Equipment,0,
CORPFINANCING,CAPITAL & CORPORATE FINANCE / NON-PROGRAM,400A,Services & Rents,382742.55304,
CORPFINANCING,CAPITAL & CORPORATE FINANCE / NON-PROGRAM,505A,Contributions to Capital,180885,
CORPFINANCING,CAPITAL & CORPORATE FINANCE / NON-PROGRAM,510A,Contributions to Reserve/Res Funds,78314.238,
CORPFINANCING,CAPITAL & CORPORATE FINANCE / NON-PROGRAM,650A,Other Expenditures,596909.87275,
CORPFINANCING,CAPITAL & CORPORATE FINANCE / NON-PROGRAM,700A,Interdivisional Charges,21992.563,
TREASURER,Office of the Treasurer,100A,Salaries and Benefits,61974.9,
TREASURER,Office of the Treasurer,200A,Materials and Supplies,1764.6,
TREASURER,Office of the Treasurer,300A,Equipment,183,
TREASURER,Office of the Treasurer,400A,Services & Rents,7087.7,
TREASURER,Office of the Treasurer,505A,Contributions to Capital,,
TREASURER,Office of the Treasurer,510A,Contributions to Reserve/Res Funds,283,
TREASURER,Office of the Treasurer,650A,Other Expenditures,1404.6,
TREASURER,Office of the Treasurer,700A,Interdivisional Charges,1998.3,
PARKS,"Parks, Forestry and Recreation",100A,Salaries and Benefits,259049.914178998,
PARKS,"Parks, Forestry and Recreation",200A,Materials and Supplies,34554.5691743719,
PARKS,"Parks, Forestry and Recreation",300A,Equipment,2482.5822256,
PARKS,"Parks, Forestry and Recreation",400A,Services & Rents,45405.8999489054,
PARKS,"Parks, Forestry and Recreation",505A,Contributions to Capital,,
PARKS,"Parks, Forestry and Recreation",510A,Contributions to Reserve/Res Funds,8172.71037,
PARKS,"Parks, Forestry and Recreation",650A,Other Expenditures,9560.174,
PARKS,"Parks, Forestry and Recreation",700A,Interdivisional Charges,16933.45267,
POLICYADMIN,"Policy, Planning, Finance and Administration",100A,Salaries and Benefits,20002.2,
POLICYADMIN,"Policy, Planning, Finance and Administration",200A,Materials and Supplies,1338.9,
POLICYADMIN,"Policy, Planning, Finance and Administration",300A,Equipment,268.1,
POLICYADMIN,"Policy, Planning, Finance and Administration",400A,Services & Rents,1330.3,
POLICYADMIN,"Policy, Planning, Finance and Administration",505A,Contributions to Capital,,
POLICYADMIN,"Policy, Planning, Finance and Administration",510A,Contributions to Reserve/Res Funds,198,
POLICYADMIN,"Policy, Planning, Finance and Administration",650A,Other Expenditures,,
POLICYADMIN,"Policy, Planning, Finance and Administration",700A,Interdivisional Charges,1101.3,
SHELTERADMIN,"Shelter, Support and Housing Administration",100A,Salaries and Benefits,64235.2,
SHELTERADMIN,"Shelter, Support and Housing Administration",200A,Materials and Supplies,4975.8,
SHELTERADMIN,"Shelter, Support and Housing Administration",300A,Equipment,385,
SHELTERADMIN,"Shelter, Support and Housing Administration",400A,Services & Rents,65543.1,
SHELTERADMIN,"Shelter, Support and Housing Administration",505A,Contributions to Capital,,
SHELTERADMIN,"Shelter, Support and Housing Administration",510A,Contributions to Reserve/Res Funds,1115.7,
SHELTERADMIN,"Shelter, Support and Housing Administration",650A,Other Expenditures,779640.8,
SHELTERADMIN,"Shelter, Support and Housing Administration",700A,Interdivisional Charges,908.2,
SOCIALDEV,"Social Development, Finance and Administration",100A,Salaries and Benefits,15732.187,
SOCIALDEV,"Social Development, Finance and Administration",200A,Materials and Supplies,124.9078,
SOCIALDEV,"Social Development, Finance and Administration",300A,Equipment,24.8,
SOCIALDEV,"Social Development, Finance and Administration",400A,Services & Rents,4059.0326,
SOCIALDEV,"Social Development, Finance and Administration",505A,Contributions to Capital,,
SOCIALDEV,"Social Development, Finance and Administration",510A,Contributions to Reserve/Res Funds,109.8711,
SOCIALDEV,"Social Development, Finance and Administration",650A,Other Expenditures,,
SOCIALDEV,"Social Development, Finance and Administration",700A,Interdivisional Charges,5298.95,
SOLIDWASTE,Solid Waste Management Services,100A,Salaries and Benefits,99290.8,
SOLIDWASTE,Solid Waste Management Services,200A,Materials and Supplies,8366.6,
SOLIDWASTE,Solid Waste Management Services,300A,Equipment,3718.4,
SOLIDWASTE,Solid Waste Management Services,400A,Services & Rents,101196.5,
SOLIDWASTE,Solid Waste Management Services,505A,Contributions to Capital,0,
SOLIDWASTE,Solid Waste Management Services,510A,Contributions to Reserve/Res Funds,29491.7,
SOLIDWASTE,Solid Waste Management Services,650A,Other Expenditures,69355.6,
SOLIDWASTE,Solid Waste Management Services,700A,Interdivisional Charges,31211.8,
THEATRES,Technical Services,100A,Salaries and Benefits,59610,
THEATRES,Technical Services,200A,Materials and Supplies,417.2,
THEATRES,Technical Services,300A,Equipment,297.2,
THEATRES,Technical Services,400A,Services & Rents,3310.8,
THEATRES,Technical Services,505A,Contributions to Capital,,
THEATRES,Technical Services,510A,Contributions to Reserve/Res Funds,735.8,
THEATRES,Technical Services,650A,Other Expenditures,0,
THEATRES,Technical Services,700A,Interdivisional Charges,3188.6,
OMBUDSMAN,The Ombudsman's Office,100A,Salaries and Benefits,1152.27,
OMBUDSMAN,The Ombudsman's Office,200A,Materials and Supplies,11.89,
OMBUDSMAN,The Ombudsman's Office,300A,Equipment,6.49,
OMBUDSMAN,The Ombudsman's Office,400A,Services & Rents,207,
OMBUDSMAN,The Ombudsman's Office,505A,Contributions to Capital,,
OMBUDSMAN,The Ombudsman's Office,510A,Contributions to Reserve/Res Funds,1.7,
OMBUDSMAN,The Ombudsman's Office,650A,Other Expenditures,,
OMBUDSMAN,The Ombudsman's Office,700A,Interdivisional Charges,11.8,
SONYCENTRE,Theatres - Sony Centre for the Performing Arts,100A,Salaries and Benefits,7430.8,
SONYCENTRE,Theatres - Sony Centre for the Performing Arts,200A,Materials and Supplies,1182.4,
SONYCENTRE,Theatres - Sony Centre for the Performing Arts,300A,Equipment,26.1,
SONYCENTRE,Theatres - Sony Centre for the Performing Arts,400A,Services & Rents,6594.8,
SONYCENTRE,Theatres - Sony Centre for the Performing Arts,505A,Contributions to Capital,,
SONYCENTRE,Theatres - Sony Centre for the Performing Arts,510A,Contributions to Reserve/Res Funds,1353.3,
SONYCENTRE,Theatres - Sony Centre for the Performing Arts,650A,Other Expenditures,1400.8,
SONYCENTRE,Theatres - Sony Centre for the Performing Arts,700A,Interdivisional Charges, ,
STLAWRENCECENTRE,Theatres - St. Lawrence Centre for the Arts,100A,Salaries and Benefits,2537.4,
STLAWRENCECENTRE,Theatres - St. Lawrence Centre for the Arts,200A,Materials and Supplies,456.5,
STLAWRENCECENTRE,Theatres - St. Lawrence Centre for the Arts,300A,Equipment, ,
STLAWRENCECENTRE,Theatres - St. Lawrence Centre for the Arts,400A,Services & Rents,487.5,
STLAWRENCECENTRE,Theatres - St. Lawrence Centre for the Arts,505A,Contributions to Capital,,
STLAWRENCECENTRE,Theatres - St. Lawrence Centre for the Arts,510A,Contributions to Reserve/Res Funds,88.4,
STLAWRENCECENTRE,Theatres - St. Lawrence Centre for the Arts,650A,Other Expenditures,75,
STLAWRENCECENTRE,Theatres - St. Lawrence Centre for the Arts,700A,Interdivisional Charges, ,
TORONTOCENTRE,Theatres - Toronto Centre for the Arts,100A,Salaries and Benefits,2877.5,
TORONTOCENTRE,Theatres - Toronto Centre for the Arts,200A,Materials and Supplies,783.6,
TORONTOCENTRE,Theatres - Toronto Centre for the Arts,300A,Equipment,367,
TORONTOCENTRE,Theatres - Toronto Centre for the Arts,400A,Services & Rents,974.1,
TORONTOCENTRE,Theatres - Toronto Centre for the Arts,505A,Contributions to Capital,,
TORONTOCENTRE,Theatres - Toronto Centre for the Arts,510A,Contributions to Reserve/Res Funds,310.7,
TORONTOCENTRE,Theatres - Toronto Centre for the Arts,650A,Other Expenditures, ,
TORONTOCENTRE,Theatres - Toronto Centre for the Arts,700A,Interdivisional Charges, ,
REGIONCONSERV,Toronto and Region Conservation Authority,100A,Salaries and Benefits,27877.6,
REGIONCONSERV,Toronto and Region Conservation Authority,200A,Materials and Supplies,4108.9,
REGIONCONSERV,Toronto and Region Conservation Authority,300A,Equipment,716.6,
REGIONCONSERV,Toronto and Region Conservation Authority,400A,Services & Rents,3466.9,
REGIONCONSERV,Toronto and Region Conservation Authority,505A,Contributions to Capital,,
REGIONCONSERV,Toronto and Region Conservation Authority,510A,Contributions to Reserve/Res Funds,,
REGIONCONSERV,Toronto and Region Conservation Authority,650A,Other Expenditures,,
REGIONCONSERV,Toronto and Region Conservation Authority,700A,Interdivisional Charges,,
ATMOSPHERE,Toronto Atmospheric Fund,100A,Salaries and Benefits,712.6,
ATMOSPHERE,Toronto Atmospheric Fund,200A,Materials and Supplies, ,
ATMOSPHERE,Toronto Atmospheric Fund,300A,Equipment, ,
ATMOSPHERE,Toronto Atmospheric Fund,400A,Services & Rents, ,
ATMOSPHERE,Toronto Atmospheric Fund,505A,Contributions to Capital,,
ATMOSPHERE,Toronto Atmospheric Fund,510A,Contributions to Reserve/Res Funds, ,
ATMOSPHERE,Toronto Atmospheric Fund,650A,Other Expenditures,1523.6,
ATMOSPHERE,Toronto Atmospheric Fund,700A,Interdivisional Charges, ,
BUILDINGS,Toronto Buildings,100A,Salaries and Benefits,40689,
BUILDINGS,Toronto Buildings,200A,Materials and Supplies,226.9,
BUILDINGS,Toronto Buildings,300A,Equipment,240.2,
BUILDINGS,Toronto Buildings,400A,Services & Rents,1520.3,
BUILDINGS,Toronto Buildings,505A,Contributions to Capital,280,
BUILDINGS,Toronto Buildings,510A,Contributions to Reserve/Res Funds,3191.6,
BUILDINGS,Toronto Buildings,650A,Other Expenditures,191,
BUILDINGS,Toronto Buildings,700A,Interdivisional Charges,371.3,
SOCIALSERV,Toronto Employment and Social Services,100A,Salaries and Benefits,189832.5,
SOCIALSERV,Toronto Employment and Social Services,200A,Materials and Supplies,14618.9,
SOCIALSERV,Toronto Employment and Social Services,300A,Equipment,505.9,
SOCIALSERV,Toronto Employment and Social Services,400A,Services & Rents,66885.7,
SOCIALSERV,Toronto Employment and Social Services,505A,Contributions to Capital,60,
SOCIALSERV,Toronto Employment and Social Services,510A,Contributions to Reserve/Res Funds,20498.4,
SOCIALSERV,Toronto Employment and Social Services,650A,Other Expenditures,888422.4,
SOCIALSERV,Toronto Employment and Social Services,700A,Interdivisional Charges,26660.4,
ENVIRONMENTOFFICE,Toronto Environment Office,100A,Salaries and Benefits,2647.9,
ENVIRONMENTOFFICE,Toronto Environment Office,200A,Materials and Supplies,172.5,
ENVIRONMENTOFFICE,Toronto Environment Office,300A,Equipment,2,
ENVIRONMENTOFFICE,Toronto Environment Office,400A,Services & Rents,3443.3,
ENVIRONMENTOFFICE,Toronto Environment Office,505A,Contributions to Capital,5188,
ENVIRONMENTOFFICE,Toronto Environment Office,510A,Contributions to Reserve/Res Funds,13.7,
ENVIRONMENTOFFICE,Toronto Environment Office,650A,Other Expenditures,,
ENVIRONMENTOFFICE,Toronto Environment Office,700A,Interdivisional Charges,48.1,
PARKING,Toronto Parking Authority,100A,Salaries and Benefits,20900.9,
PARKING,Toronto Parking Authority,200A,Materials and Supplies,6966.1,
PARKING,Toronto Parking Authority,300A,Equipment,8492.3,
PARKING,Toronto Parking Authority,400A,Services & Rents,16026.4,
PARKING,Toronto Parking Authority,505A,Contributions to Capital,,
PARKING,Toronto Parking Authority,510A,Contributions to Reserve/Res Funds,,
PARKING,Toronto Parking Authority,650A,Other Expenditures,18508.9,
