Sub-Total Council Appointed Programs ,"","",n/a ,"","",n/a
TOTAL - CITY OPERATIONS ,"2,910,805 ","2,962,874 ","52,069 1.8% ","15,280 ","2,978,154 ","67,350 2.3%"
Agencies,"","","","","",""
Toronto Public Health ,"197,052 ","183,762 ","(13,290) (6.7%) ",824 ,"184,585 ","(12,467) (6.3%)"
Toronto Public Library ,"16,516 ","17,593 ","1,077 6.5% ","","17,593 ","1,077 6.5%"
Association of Community Centres ,423 ,273 ,(150) (35.4%) ,"",273 ,(150) (35.4%)
Exhibition Place ,"38,431 ","36,016 ","(2,415) (6.3%) ",655 ,"36,671 ","(1,760) (4.6%)"
Heritage Toronto ,449 ,460 ,10 2.2% ,"",460 ,10 2.2%
Theatres ,"17,978 ","17,627 ",(352) (2.0%) ,"","17,627 ",(352) (2.0%)
Toronto Zoo ,"38,855 ","39,180 ",325 0.8% ,"","39,180 ",325 0.8%
Arena Boards of Management ,"8,407 ","8,652 ",245 2.9% ,"","8,652 ",245 2.9%
Yonge-Dundas Square ,"1,873 ","1,945 ",73 3.9% ,"","1,945 ",73 3.9%
Toronto & Region Conservation Authority ,"36,463 ","36,976 ",513 1.4% ,"","36,976 ",513 1.4%
Toronto Transit Commission - Conventional ,"1,220,090 ","1,241,130 ","21,040 1.7% ","2,000 ","1,243,130 ","23,040 1.9%"
Toronto Transit Commission - Wheel Trans ,"6,514 ","6,954 ",439 6.7% ,"","6,954 ",439 6.7%
Toronto Police Service ,"192,654 ","127,464 ","(65,190) (33.8%) ","","127,464 ","(65,190) (33.8%)"
Toronto Police Services Board ,750 ,750 ,"","",750,""
TOTAL - AGENCIES ,"1,776,456 ","1,718,780 ","(57,676) (3.2%) ","3,479 ","1,722,259 ","(54,197) (3.1%)"
