_META_START_,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,
Affordable Housing Office,New Affordable Housing Development,Service And Rent,54090
Arena Boards of Management,Community Ice & Facility Booking,Contribution To Capital,546370
Arena Boards of Management,Community Ice & Facility Booking,Contribution To Reserves/Reserve Funds,270175.24
Arena Boards of Management,Community Ice & Facility Booking,Equipment,44732.98
Arena Boards of Management,Community Ice & Facility Booking,Materials & Supplies,2224298.1
Arena Boards of Management,Community Ice & Facility Booking,Salaries And Benefits,4478873.46
Arena Boards of Management,Community Ice & Facility Booking,Service And Rent,1079405.09
Association of Community Centres,Social Economic & Neighbourhood Development,Contribution To Reserves/Reserve Funds,29231.41
Association of Community Centres,Social Economic & Neighbourhood Development,Equipment,3405.8
Association of Community Centres,Social Economic & Neighbourhood Development,Materials & Supplies,464949.65
Association of Community Centres,Social Economic & Neighbourhood Development,Other Expenditures,7000
Association of Community Centres,Social Economic & Neighbourhood Development,Salaries And Benefits,6787007.51
Association of Community Centres,Social Economic & Neighbourhood Development,Service And Rent,628435.96
Auditor General's Office,Auditor General's Office,Contribution To Reserves/Reserve Funds,7680.85
Auditor General's Office,Auditor General's Office,Equipment,47126.03
Auditor General's Office,Auditor General's Office,Inter-Divisional Charges,22272.48
Auditor General's Office,Auditor General's Office,Materials & Supplies,11030.04
Auditor General's Office,Auditor General's Office,Salaries And Benefits,4783464.67
Auditor General's Office,Auditor General's Office,Service And Rent,101992.45
Capital & Corporate Financing,Corporate Accounts,Contribution To Capital,216379464.96
Capital & Corporate Financing,Corporate Accounts,Contribution To Reserves/Reserve Funds,18911637.96
Capital & Corporate Financing,Corporate Accounts,Inter-Divisional Charges,978186.96
Capital & Corporate Financing,Corporate Accounts,Other Expenditures,486164265.01
Children's Services,Child Care Delivery,Contribution To Reserves/Reserve Funds,952318.2
Children's Services,Child Care Delivery,Equipment,686869.54
Children's Services,Child Care Delivery,Inter-Divisional Charges,4626708.5
Children's Services,Child Care Delivery,Materials & Supplies,2596160.48
Children's Services,Child Care Delivery,Other Expenditures,726600
Children's Services,Child Care Delivery,Salaries And Benefits,78497453.85
Children's Services,Child Care Delivery,Service And Rent,276794489.48
Children's Services,Child Care System Management,Contribution To Reserves/Reserve Funds,328429.8
Children's Services,Child Care System Management,Equipment,54642.46
Children's Services,Child Care System Management,Inter-Divisional Charges,169682.53
Children's Services,Child Care System Management,Materials & Supplies,42946.52
Children's Services,Child Care System Management,Salaries And Benefits,5884063.85
Children's Services,Child Care System Management,Service And Rent,99100741.84
City Clerk's Office,GV-Elect Government,Equipment,7000
City Clerk's Office,GV-Elect Government,Inter-Divisional Charges,308962.2
City Clerk's Office,GV-Elect Government,Materials & Supplies,22003.52
City Clerk's Office,GV-Elect Government,Other Expenditures,253.86
City Clerk's Office,GV-Elect Government,Salaries And Benefits,4288942.32
City Clerk's Office,GV-Elect Government,Service And Rent,953000.73
City Clerk's Office,GV-Make Government Work,Contribution To Reserves/Reserve Funds,187709.08
City Clerk's Office,GV-Make Government Work,Equipment,41986.31
City Clerk's Office,GV-Make Government Work,Inter-Divisional Charges,695560.31
City Clerk's Office,GV-Make Government Work,Materials & Supplies,107773.62
City Clerk's Office,GV-Make Government Work,Other Expenditures,31017.04
City Clerk's Office,GV-Make Government Work,Salaries And Benefits,17895832.77
City Clerk's Office,GV-Make Government Work,Service And Rent,807430
City Clerk's Office,GV-Open Government,Contribution To Reserves/Reserve Funds,276923.96
City Clerk's Office,GV-Open Government,Equipment,37749.11
City Clerk's Office,GV-Open Government,Inter-Divisional Charges,120427.04
City Clerk's Office,GV-Open Government,Materials & Supplies,943806.56
City Clerk's Office,GV-Open Government,Other Expenditures,1500
City Clerk's Office,GV-Open Government,Salaries And Benefits,17047826.02
City Clerk's Office,GV-Open Government,Service And Rent,5937371.03
City Council,City Council,Contribution To Reserves/Reserve Funds,99216.8
City Council,City Council,Equipment,102000
City Council,City Council,Inter-Divisional Charges,253278.7
City Council,City Council,Materials & Supplies,1281482.24
City Council,City Council,Salaries And Benefits,18622473.12
City Council,City Council,Service And Rent,595500
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equipment,3819
City Manager's Office,"CM-Equity, Diversity & Human Rights",Inter-Divisional Charges,6910
City Manager's Office,"CM-Equity, Diversity & Human Rights",Materials & Supplies,4677
City Manager's Office,"CM-Equity, Diversity & Human Rights",Salaries And Benefits,1796575.83
City Manager's Office,"CM-Equity, Diversity & Human Rights",Service And Rent,14319.76
City Manager's Office,CM-Executive Management,Contribution To Reserves/Reserve Funds,19973
City Manager's Office,CM-Executive Management,Equipment,9700
City Manager's Office,CM-Executive Management,Inter-Divisional Charges,12800
City Manager's Office,CM-Executive Management,Materials & Supplies,10187.55
City Manager's Office,CM-Executive Management,Salaries And Benefits,2848829.46
City Manager's Office,CM-Executive Management,Service And Rent,60074.06
City Manager's Office,CM-Internal Auditing,Equipment,25493
City Manager's Office,CM-Internal Auditing,Materials & Supplies,950.24
City Manager's Office,CM-Internal Auditing,Salaries And Benefits,1131479.87
City Manager's Office,CM-Internal Auditing,Service And Rent,19763.08
City Manager's Office,CM-Strategic & Corporate Policy,Inter-Divisional Charges,7500
City Manager's Office,CM-Strategic & Corporate Policy,Materials & Supplies,2625
City Manager's Office,CM-Strategic & Corporate Policy,Salaries And Benefits,3642019.86
City Manager's Office,CM-Strategic & Corporate Policy,Service And Rent,92004.88
City Manager's Office,CM-Strategic Communications,Equipment,6701.08
City Manager's Office,CM-Strategic Communications,Inter-Divisional Charges,30950
City Manager's Office,CM-Strategic Communications,Materials & Supplies,8947.16
City Manager's Office,CM-Strategic Communications,Salaries And Benefits,5732126.04
City Manager's Office,CM-Strategic Communications,Service And Rent,196887.91
City Manager's Office,HR Employee & Labour Relations,Contribution To Reserves/Reserve Funds,37783.46
City Manager's Office,HR Employee & Labour Relations,Equipment,5546.12
City Manager's Office,HR Employee & Labour Relations,Inter-Divisional Charges,83212.89
City Manager's Office,HR Employee & Labour Relations,Materials & Supplies,25060.21
City Manager's Office,HR Employee & Labour Relations,Salaries And Benefits,6676616.8
City Manager's Office,HR Employee & Labour Relations,Service And Rent,1630510.39
City Manager's Office,HR Employment Services,Contribution To Reserves/Reserve Funds,16664.35
City Manager's Office,HR Employment Services,Equipment,29864.83
City Manager's Office,HR Employment Services,Inter-Divisional Charges,30530.91
City Manager's Office,HR Employment Services,Materials & Supplies,37310.06
City Manager's Office,HR Employment Services,Salaries And Benefits,10762391.02
City Manager's Office,HR Employment Services,Service And Rent,385360.83
City Manager's Office,HR Organizational & Employee Effectiveness,Contribution To Reserves/Reserve Funds,16664.36
City Manager's Office,HR Organizational & Employee Effectiveness,Equipment,14669.58
City Manager's Office,HR Organizational & Employee Effectiveness,Inter-Divisional Charges,48109.45
City Manager's Office,HR Organizational & Employee Effectiveness,Materials & Supplies,35589.95
City Manager's Office,HR Organizational & Employee Effectiveness,Salaries And Benefits,7042157.77
City Manager's Office,HR Organizational & Employee Effectiveness,Service And Rent,1363812.71
City Manager's Office,HR Safe & Healthy Workplaces,Contribution To Reserves/Reserve Funds,16664.36
City Manager's Office,HR Safe & Healthy Workplaces,Equipment,16809.48
City Manager's Office,HR Safe & Healthy Workplaces,Inter-Divisional Charges,37741.83
City Manager's Office,HR Safe & Healthy Workplaces,Materials & Supplies,51962.62
City Manager's Office,HR Safe & Healthy Workplaces,Salaries And Benefits,10182105.57
City Manager's Office,HR Safe & Healthy Workplaces,Service And Rent,682647.21
City Planning,City Building & Policy Development,Contribution To Reserves/Reserve Funds,63138.07
City Planning,City Building & Policy Development,Equipment,85998.2
City Planning,City Building & Policy Development,Inter-Divisional Charges,266403.6
City Planning,City Building & Policy Development,Materials & Supplies,68910
City Planning,City Building & Policy Development,Other Expenditures,317000
City Planning,City Building & Policy Development,Salaries And Benefits,17974675.64
City Planning,City Building & Policy Development,Service And Rent,848827.2
City Planning,"Development Review, Decision & Implementation",Contribution To Reserves/Reserve Funds,18085.77
City Planning,"Development Review, Decision & Implementation",Equipment,77545.9
City Planning,"Development Review, Decision & Implementation",Inter-Divisional Charges,607251.19
City Planning,"Development Review, Decision & Implementation",Materials & Supplies,102816.9
City Planning,"Development Review, Decision & Implementation",Other Expenditures,103700.12
City Planning,"Development Review, Decision & Implementation",Salaries And Benefits,22071272.44
City Planning,"Development Review, Decision & Implementation",Service And Rent,704137.4
Court Services,Court Case Management,Contribution To Reserves/Reserve Funds,70032.32
Court Services,Court Case Management,Equipment,22314.5
Court Services,Court Case Management,Inter-Divisional Charges,15738928.43
Court Services,Court Case Management,Materials & Supplies,84484.46
Court Services,Court Case Management,Other Expenditures,377601.14
Court Services,Court Case Management,Salaries And Benefits,11807122.51
Court Services,Court Case Management,Service And Rent,8253994.63
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Contribution To Reserves/Reserve Funds,5906.34
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Equipment,36105.5
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Inter-Divisional Charges,1370782.7
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Materials & Supplies,40084.44
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Other Expenditures,21473.06
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Salaries And Benefits,5829228.36
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Service And Rent,901589.68
Court Services,Default Fine Collection Management,Contribution To Reserves/Reserve Funds,8437.63
Court Services,Default Fine Collection Management,Equipment,1830
Court Services,Default Fine Collection Management,Inter-Divisional Charges,1896256.43
Court Services,Default Fine Collection Management,Materials & Supplies,2731.1
Court Services,Default Fine Collection Management,Other Expenditures,1414475.8
Court Services,Default Fine Collection Management,Salaries And Benefits,1408476.08
Court Services,Default Fine Collection Management,Service And Rent,787282.08
Economic Development & Culture,EC-Business Services,Contribution To Reserves/Reserve Funds,4856.15
Economic Development & Culture,EC-Business Services,Equipment,16746.03
Economic Development & Culture,EC-Business Services,Inter-Divisional Charges,48174.26
Economic Development & Culture,EC-Business Services,Materials & Supplies,130310.9
Economic Development & Culture,EC-Business Services,Other Expenditures,1907704.76
Economic Development & Culture,EC-Business Services,Salaries And Benefits,4456592.34
Economic Development & Culture,EC-Business Services,Service And Rent,1034467.37
Economic Development & Culture,EC-Cultural Services,Contribution To Reserves/Reserve Funds,959155.72
Economic Development & Culture,EC-Cultural Services,Equipment,101208.68
Economic Development & Culture,EC-Cultural Services,Inter-Divisional Charges,355609.67
Economic Development & Culture,EC-Cultural Services,Materials & Supplies,1076937.01
Economic Development & Culture,EC-Cultural Services,Other Expenditures,31955975.89
Economic Development & Culture,EC-Cultural Services,Salaries And Benefits,17815409.09
Economic Development & Culture,EC-Cultural Services,Service And Rent,6298299.58
Economic Development & Culture,EC-Economic Competitiveness Services,Equipment,9649.69
Economic Development & Culture,EC-Economic Competitiveness Services,Inter-Divisional Charges,200180.06
Economic Development & Culture,EC-Economic Competitiveness Services,Materials & Supplies,240082.62
Economic Development & Culture,EC-Economic Competitiveness Services,Other Expenditures,625648.34
Economic Development & Culture,EC-Economic Competitiveness Services,Salaries And Benefits,6701343.33
Economic Development & Culture,EC-Economic Competitiveness Services,Service And Rent,1340298.06
Engineering & Construction Services,WT-Engineering Information,Contribution To Reserves/Reserve Funds,80857
Engineering & Construction Services,WT-Engineering Information,Equipment,59538.84
Engineering & Construction Services,WT-Engineering Information,Inter-Divisional Charges,248097.74
Engineering & Construction Services,WT-Engineering Information,Materials & Supplies,55186.65
Engineering & Construction Services,WT-Engineering Information,Salaries And Benefits,8440990.51
Engineering & Construction Services,WT-Engineering Information,Service And Rent,390044.03
Engineering & Construction Services,WT-Engineering Review & Acceptance,Contribution To Reserves/Reserve Funds,107809.54
Engineering & Construction Services,WT-Engineering Review & Acceptance,Equipment,63499.51
Engineering & Construction Services,WT-Engineering Review & Acceptance,Inter-Divisional Charges,154199.59
Engineering & Construction Services,WT-Engineering Review & Acceptance,Materials & Supplies,101028.53
Engineering & Construction Services,WT-Engineering Review & Acceptance,Salaries And Benefits,11893789.91
Engineering & Construction Services,WT-Engineering Review & Acceptance,Service And Rent,764242.9
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Contribution To Reserves/Reserve Funds,608380.59
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Equipment,383551.68
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Inter-Divisional Charges,3444238.43
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Materials & Supplies,325625.46
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Salaries And Benefits,41201380.68
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Service And Rent,2434491.53
Exhibition Place,"Conventions, Conferences & Meetings",Materials & Supplies,275710
Exhibition Place,"Conventions, Conferences & Meetings",Salaries And Benefits,1000314
Exhibition Place,"Conventions, Conferences & Meetings",Service And Rent,3530131
Exhibition Place,Exhibition Place Asset Management,Contribution To Reserves/Reserve Funds,1066852
Exhibition Place,Exhibition Place Asset Management,Equipment,165840
Exhibition Place,Exhibition Place Asset Management,Materials & Supplies,2005734
Exhibition Place,Exhibition Place Asset Management,Other Expenditures,-517432
Exhibition Place,Exhibition Place Asset Management,Salaries And Benefits,6971773
Exhibition Place,Exhibition Place Asset Management,Service And Rent,4276860
Exhibition Place,Exhibition Place Parking Access,Other Expenditures,-39140
Exhibition Place,Exhibition Place Parking Access,Salaries And Benefits,1419391
Exhibition Place,Exhibition Place Parking Access,Service And Rent,1137333
Exhibition Place,Exhibitions & Events,Contribution To Reserves/Reserve Funds,972500
Exhibition Place,Exhibitions & Events,Equipment,12000
Exhibition Place,Exhibitions & Events,Materials & Supplies,887000
Exhibition Place,Exhibitions & Events,Other Expenditures,-12473218
Exhibition Place,Exhibitions & Events,Salaries And Benefits,21748763
Exhibition Place,Exhibitions & Events,Service And Rent,4125492
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Contribution To Reserves/Reserve Funds,579720.3
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Equipment,46922.72
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Inter-Divisional Charges,106474.76
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Materials & Supplies,28232417.02
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Other Expenditures,4649944
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Salaries And Benefits,7346609.82
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Service And Rent,2984728.05
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Contribution To Reserves/Reserve Funds,280944
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Equipment,550700.71
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Inter-Divisional Charges,1383045.79
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Materials & Supplies,3825886.59
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Salaries And Benefits,78641346.29
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Service And Rent,36795691.97
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Contribution To Reserves/Reserve Funds,1523866.14
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Equipment,44839.23
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Inter-Divisional Charges,138710.85
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Materials & Supplies,212195.45
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Other Expenditures,1432233
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Salaries And Benefits,9529422.77
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Service And Rent,14814758.38
Fire Services,Fire Rescue & Emergency Response,Contribution To Reserves/Reserve Funds,8643674.96
Fire Services,Fire Rescue & Emergency Response,Equipment,540676.66
Fire Services,Fire Rescue & Emergency Response,Inter-Divisional Charges,7558621.69
Fire Services,Fire Rescue & Emergency Response,Materials & Supplies,8374641.69
Fire Services,Fire Rescue & Emergency Response,Salaries And Benefits,373998416.49
Fire Services,Fire Rescue & Emergency Response,Service And Rent,5955177.95
Fire Services,FR-Disaster Response & Event Support,Equipment,252022.99
Fire Services,FR-Disaster Response & Event Support,Inter-Divisional Charges,69000
Fire Services,FR-Disaster Response & Event Support,Materials & Supplies,128463.73
Fire Services,FR-Disaster Response & Event Support,Salaries And Benefits,737439.58
Fire Services,FR-Disaster Response & Event Support,Service And Rent,259006.5
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Contribution To Reserves/Reserve Funds,205233.22
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Equipment,112186.68
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Inter-Divisional Charges,266604.2
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Materials & Supplies,422068.21
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Salaries And Benefits,21346606.05
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Service And Rent,121824.29
Fire Services,FR-Fire Safety Education,Contribution To Reserves/Reserve Funds,7800
Fire Services,FR-Fire Safety Education,Equipment,10571.07
Fire Services,FR-Fire Safety Education,Inter-Divisional Charges,129696
Fire Services,FR-Fire Safety Education,Materials & Supplies,116478.25
Fire Services,FR-Fire Safety Education,Salaries And Benefits,4568653.39
Fire Services,FR-Fire Safety Education,Service And Rent,101408.87
Fleet Services,FL-Fleet Management,Contribution To Reserves/Reserve Funds,914892.62
Fleet Services,FL-Fleet Management,Equipment,58373.55
Fleet Services,FL-Fleet Management,Inter-Divisional Charges,390421.02
Fleet Services,FL-Fleet Management,Materials & Supplies,9696595.95
Fleet Services,FL-Fleet Management,Salaries And Benefits,17801542.39
Fleet Services,FL-Fleet Management,Service And Rent,6497627.91
Fleet Services,FL-Fuel Management,Contribution To Reserves/Reserve Funds,1561396.77
Fleet Services,FL-Fuel Management,Equipment,370
Fleet Services,FL-Fuel Management,Inter-Divisional Charges,240410.33
Fleet Services,FL-Fuel Management,Materials & Supplies,13624088.45
Fleet Services,FL-Fuel Management,Salaries And Benefits,423096.24
Fleet Services,FL-Fuel Management,Service And Rent,403538.32
Heritage Toronto,Heritage Fundraising & Partnership Development,Contribution To Reserves/Reserve Funds,632.89
Heritage Toronto,Heritage Fundraising & Partnership Development,Materials & Supplies,24900
Heritage Toronto,Heritage Fundraising & Partnership Development,Salaries And Benefits,238418.01
Heritage Toronto,Heritage Promotion & Education,Contribution To Reserves/Reserve Funds,632.9
Heritage Toronto,Heritage Promotion & Education,Materials & Supplies,42987.05
Heritage Toronto,Heritage Promotion & Education,Salaries And Benefits,302508.37
Heritage Toronto,Heritage Promotion & Education,Service And Rent,158300
Information & Technology,IT-Business IT Solutions,Equipment,99471.45
Information & Technology,IT-Business IT Solutions,Inter-Divisional Charges,192179.68
Information & Technology,IT-Business IT Solutions,Materials & Supplies,48667.52
Information & Technology,IT-Business IT Solutions,Other Expenditures,316.56
Information & Technology,IT-Business IT Solutions,Salaries And Benefits,49530183.45
Information & Technology,IT-Business IT Solutions,Service And Rent,7416619.31
Information & Technology,IT-Computer & Communications Technology Infrastructure,Contribution To Reserves/Reserve Funds,9483.6
Information & Technology,IT-Computer & Communications Technology Infrastructure,Equipment,463357.6
Information & Technology,IT-Computer & Communications Technology Infrastructure,Inter-Divisional Charges,119908.9
Information & Technology,IT-Computer & Communications Technology Infrastructure,Materials & Supplies,32917.49
Information & Technology,IT-Computer & Communications Technology Infrastructure,Other Expenditures,79.14
Information & Technology,IT-Computer & Communications Technology Infrastructure,Salaries And Benefits,23371637.61
Information & Technology,IT-Computer & Communications Technology Infrastructure,Service And Rent,18503769.38
Information & Technology,IT-Enterprise IT Planning & Client Services,Contribution To Reserves/Reserve Funds,117081.65
Information & Technology,IT-Enterprise IT Planning & Client Services,Equipment,342785.37
Information & Technology,IT-Enterprise IT Planning & Client Services,Inter-Divisional Charges,172705.55
Information & Technology,IT-Enterprise IT Planning & Client Services,Materials & Supplies,33498.22
Information & Technology,IT-Enterprise IT Planning & Client Services,Salaries And Benefits,23903905.4
Information & Technology,IT-Enterprise IT Planning & Client Services,Service And Rent,518664.95
Integrity Commissioner's Office,Integrity Commissioner's Office,Contribution To Reserves/Reserve Funds,4365.48
Integrity Commissioner's Office,Integrity Commissioner's Office,Equipment,53.16
Integrity Commissioner's Office,Integrity Commissioner's Office,Inter-Divisional Charges,400
Integrity Commissioner's Office,Integrity Commissioner's Office,Materials & Supplies,1575.85
Integrity Commissioner's Office,Integrity Commissioner's Office,Salaries And Benefits,455221.18
Integrity Commissioner's Office,Integrity Commissioner's Office,Service And Rent,17618.37
Legal Services,Civil Litigation,Contribution To Reserves/Reserve Funds,22935.64
Legal Services,Civil Litigation,Equipment,10439.81
Legal Services,Civil Litigation,Materials & Supplies,91827.3
Legal Services,Civil Litigation,Salaries And Benefits,13194203.49
Legal Services,Civil Litigation,Service And Rent,630423.42
Legal Services,Prosecution,Contribution To Reserves/Reserve Funds,22935.64
Legal Services,Prosecution,Equipment,14356.32
Legal Services,Prosecution,Inter-Divisional Charges,6685200
Legal Services,Prosecution,Materials & Supplies,109571.21
Legal Services,Prosecution,Salaries And Benefits,9042164.56
Legal Services,Prosecution,Service And Rent,184288.76
Legal Services,Solicitor,Contribution To Reserves/Reserve Funds,23630.59
Legal Services,Solicitor,Equipment,38762.2
Legal Services,Solicitor,Inter-Divisional Charges,53000
Legal Services,Solicitor,Materials & Supplies,240612.25
Legal Services,Solicitor,Salaries And Benefits,19398129.08
Legal Services,Solicitor,Service And Rent,595890.99
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Equipment,21700
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Inter-Divisional Charges,25800
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Materials & Supplies,22550
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Other Expenditures,161500
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Salaries And Benefits,3888198.94
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Service And Rent,8977652.92
Long Term Care Homes & Services,Long Term Care Homes,Contribution To Reserves/Reserve Funds,1901531.92
Long Term Care Homes & Services,Long Term Care Homes,Equipment,2855800
Long Term Care Homes & Services,Long Term Care Homes,Inter-Divisional Charges,599429.91
Long Term Care Homes & Services,Long Term Care Homes,Materials & Supplies,19797200
Long Term Care Homes & Services,Long Term Care Homes,Other Expenditures,-63200
Long Term Care Homes & Services,Long Term Care Homes,Salaries And Benefits,202916701.78
Long Term Care Homes & Services,Long Term Care Homes,Service And Rent,12384854.38
Mayor's Office,Mayor's Office,Inter-Divisional Charges,7047
Mayor's Office,Mayor's Office,Materials & Supplies,4800
Mayor's Office,Mayor's Office,Salaries And Benefits,2200853.44
Mayor's Office,Mayor's Office,Service And Rent,84409.4
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Contribution To Reserves/Reserve Funds,74722.01
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Equipment,41800.06
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Inter-Divisional Charges,551184.53
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Materials & Supplies,751180.39
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Other Expenditures,49999.99
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Salaries And Benefits,7685423.5
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Service And Rent,913310.33
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Contribution To Reserves/Reserve Funds,50744.72
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Equipment,20754.02
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Inter-Divisional Charges,2764694.56
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Materials & Supplies,71255.3
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Other Expenditures,19200
