_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,
Children's Services,Child Care Delivery,,Transfers From Capital,984195
Children's Services,Child Care Delivery,,Contribution From Reserves/Reserve Funds,360000
Children's Services,Child Care System Management,,Provincial Subsidies,94590330
Children's Services,Child Care System Management,,Contribution From Reserves/Reserve Funds,1400001
Children's Services,Child Care System Management,,Transfers From Capital,296435
City Clerk's Office,GV-Elect Government,Elections,Contribution From Reserves/Reserve Funds,5513202
City Clerk's Office,GV-Elect Government,Elections,Transfers From Capital,428200
City Clerk's Office,GV-Elect Government,Elections,Sundry and Other Revenues,75
City Clerk's Office,GV-Make Government Work,Government & Official Services,Transfers From Capital,1084300
City Clerk's Office,GV-Make Government Work,Government & Official Services,Inter-Divisional Recoveries,230061
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,User Fees & Donations,243319
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Sundry and Other Revenues,91556
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Inter-Divisional Recoveries,87500
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Inter-Divisional Recoveries,8743265
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Sundry and Other Revenues,511302
City Clerk's Office,GV-Open Government,Corporate Information Production Services,User Fees & Donations,157400
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Inter-Divisional Recoveries,490646
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Transfers From Capital,391300
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Sundry and Other Revenues,162260
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,User Fees & Donations,15220
City Council,,,Contribution From Reserves/Reserve Funds,272000
City Manager's Office,"Equity, Diversity & Human Rights",,Inter-Divisional Recoveries,2500
City Manager's Office,Executive Management,,Other Subsidies,500000
City Manager's Office,Executive Management,,Sundry and Other Revenues,276422
City Manager's Office,HR Employee & Labour Relations,,Transfers From Capital,431821
City Manager's Office,HR Employee & Labour Relations,,Inter-Divisional Recoveries,178787
City Manager's Office,HR Employee & Labour Relations,,Sundry and Other Revenues,167771
City Manager's Office,HR Employment Services,,Inter-Divisional Recoveries,2383209
City Manager's Office,HR Employment Services,,Transfers From Capital,431821
City Manager's Office,HR Organization & Employee Effectiveness,,Transfers From Capital,930175
City Manager's Office,HR Organization & Employee Effectiveness,,Inter-Divisional Recoveries,295393
City Manager's Office,HR Safe & Healthy Workplaces,,Transfers From Capital,431821
City Manager's Office,HR Safe & Healthy Workplaces,,Inter-Divisional Recoveries,334979
City Manager's Office,Internal Auditing,,Inter-Divisional Recoveries,613030
City Manager's Office,Internal Auditing,,Sundry and Other Revenues,42105
City Manager's Office,Strategic & Corporate Policy,,Transfers From Capital,399472
City Manager's Office,Strategic Communications,,Inter-Divisional Recoveries,1164670
City Planning,City Building & Policy Development,,Transfers From Capital,2533893
City Planning,City Building & Policy Development,,Contribution From Reserves/Reserve Funds,1861012
City Planning,City Building & Policy Development,,Sundry and Other Revenues,810900
City Planning,City Building & Policy Development,,Federal Subsidies,175000
City Planning,City Building & Policy Development,,User Fees & Donations,77040
City Planning,"Development Review, Decision & Implementation",,User Fees & Donations,26143708
City Planning,"Development Review, Decision & Implementation",,Contribution From Reserves/Reserve Funds,1043479
City Planning,"Development Review, Decision & Implementation",,Sundry and Other Revenues,138050
Court Services,Court Case Management,,Sundry and Other Revenues,33749260
Court Services,Court Case Management,,Inter-Divisional Recoveries,5699444
Court Services,Court Case Management,,User Fees & Donations,217875
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Inter-Divisional Recoveries,1758889
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Sundry and Other Revenues,192100
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,User Fees & Donations,23715
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Inter-Divisional Recoveries,137336
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Sundry and Other Revenues,37840
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,User Fees & Donations,5250
Court Services,Default Fine Collection Management,,Inter-Divisional Recoveries,686680
Court Services,Default Fine Collection Management,,Sundry and Other Revenues,189200
Court Services,Default Fine Collection Management,,User Fees & Donations,26250
Economic Development & Culture,Arts Services,"Arts Activities Classes, Exhibits & Events",User Fees & Donations,242049
Economic Development & Culture,Arts Services,"Arts Activities Classes, Exhibits & Events",Licences & Permits Revenue,148640
Economic Development & Culture,Arts Services,"Arts Activities Classes, Exhibits & Events",Sundry and Other Revenues,62350
Economic Development & Culture,Arts Services,Arts Venues & Public Art,Federal Subsidies,75000
Economic Development & Culture,Arts Services,City-Produced Festivals & Events,Sundry and Other Revenues,2443231
Economic Development & Culture,Arts Services,City-Produced Festivals & Events,Contribution From Reserves/Reserve Funds,1921737
Economic Development & Culture,Arts Services,City-Produced Festivals & Events,Federal Subsidies,1508125
Economic Development & Culture,Arts Services,City-Produced Festivals & Events,Provincial Subsidies,1000000
Economic Development & Culture,Business Services,BIA Support & Governance,Transfers From Capital,493000
Economic Development & Culture,Business Services,BIA Support & Governance,Sundry and Other Revenues,11284
Economic Development & Culture,Business Services,Business & Industry Advice,Inter-Divisional Recoveries,990412
Economic Development & Culture,Business Services,Business & Industry Advice,User Fees & Donations,408176
Economic Development & Culture,Business Services,Business & Industry Advice,Sundry and Other Revenues,377600
Economic Development & Culture,Business Services,Business & Industry Advice,Contribution From Reserves/Reserve Funds,240000
Economic Development & Culture,Business Services,Business Incentives,Inter-Divisional Recoveries,1390293
Economic Development & Culture,Business Services,Business Training & Events,Inter-Divisional Recoveries,555000
Economic Development & Culture,Business Services,Business Training & Events,Sundry and Other Revenues,300250
Economic Development & Culture,Business Services,Business Training & Events,Contribution From Reserves/Reserve Funds,153720
Economic Development & Culture,Business Services,Business Training & Events,Federal Subsidies,8125
Economic Development & Culture,Business Services,International Alliances,Inter-Divisional Recoveries,1245000
Economic Development & Culture,Business Services,International Alliances,Sundry and Other Revenues,50000
Economic Development & Culture,Entertainment Industries Services,"Entertainment Ind. Training, Engagement & Other Initiatives",Contribution From Reserves/Reserve Funds,153720
Economic Development & Culture,Entertainment Industries Services,"Entertainment Ind. Training, Engagement & Other Initiatives",Sundry and Other Revenues,100250
Economic Development & Culture,Entertainment Industries Services,"Entertainment Ind. Training, Engagement & Other Initiatives",Federal Subsidies,8125
Economic Development & Culture,Entertainment Industries Services,Entertainment Industry Consultancy,Contribution From Reserves/Reserve Funds,850000
Economic Development & Culture,Entertainment Industries Services,Entertainment Industry Consultancy,Sundry and Other Revenues,264600
Economic Development & Culture,Entertainment Industries Services,Film Permitting,Licences & Permits Revenue,647000
Economic Development & Culture,Entertainment Industries Services,Visitor Information Services,Sundry and Other Revenues,508597
Economic Development & Culture,Entertainment Industries Services,Visitor Information Services,Provincial Subsidies,20000
Economic Development & Culture,Museums & Heritage Services,Collections & Heritage Properties Conservation,Transfers From Capital,657000
Economic Development & Culture,Museums & Heritage Services,Collections & Heritage Properties Conservation,Other Subsidies,37000
Economic Development & Culture,Museums & Heritage Services,Collections & Heritage Properties Conservation,User Fees & Donations,30000
Economic Development & Culture,Museums & Heritage Services,Collections & Heritage Properties Conservation,Sundry and Other Revenues,21200
Economic Development & Culture,Museums & Heritage Services,Collections & Heritage Properties Conservation,Contribution From Reserves/Reserve Funds,20000
Economic Development & Culture,Museums & Heritage Services,Collections & Heritage Properties Conservation,Federal Subsidies,8125
Economic Development & Culture,Museums & Heritage Services,Collections & Heritage Properties Conservation,Licences & Permits Revenue,1500
Economic Development & Culture,Museums & Heritage Services,"Historical Museums, Collections & Heritage Properties",Contribution From Reserves/Reserve Funds,490750
Economic Development & Culture,Museums & Heritage Services,"Historical Museums, Collections & Heritage Properties",Licences & Permits Revenue,358640
Economic Development & Culture,Museums & Heritage Services,"Historical Museums, Collections & Heritage Properties",Sundry and Other Revenues,211100
Economic Development & Culture,Museums & Heritage Services,"Historical Museums, Collections & Heritage Properties",Federal Subsidies,144772
Economic Development & Culture,Museums & Heritage Services,"Historical Museums, Collections & Heritage Properties",User Fees & Donations,107400
Economic Development & Culture,Museums & Heritage Services,"Museums Classes, Exhibits & Events",User Fees & Donations,584336
Economic Development & Culture,Museums & Heritage Services,"Museums Classes, Exhibits & Events",Sundry and Other Revenues,285200
Economic Development & Culture,Museums & Heritage Services,"Museums Classes, Exhibits & Events",Provincial Subsidies,242700
Economic Development & Culture,Museums & Heritage Services,"Museums Classes, Exhibits & Events",Contribution From Reserves/Reserve Funds,153720
Economic Development & Culture,Museums & Heritage Services,"Museums Classes, Exhibits & Events",Federal Subsidies,19400
Economic Development & Culture,Museums & Heritage Services,"Museums Classes, Exhibits & Events",Licences & Permits Revenue,4626
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,Transfers From Capital,934975
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,Sundry and Other Revenues,84260
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,User Fees & Donations,10000
Engineering & Construction Services,WT-Engineering Information,Land Information,Transfers From Capital,5294022
Engineering & Construction Services,WT-Engineering Information,Land Information,User Fees & Donations,549280
Engineering & Construction Services,WT-Engineering Information,Land Information,Sundry and Other Revenues,510126
Engineering & Construction Services,WT-Engineering Information,Land Information,Inter-Divisional Recoveries,482475
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,Transfers From Capital,2610473
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,User Fees & Donations,2428397
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,Sundry and Other Revenues,1275531
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,Licences & Permits Revenue,338215
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,User Fees & Donations,4820224
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,Licences & Permits Revenue,813195
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,Transfers From Capital,791206
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,Sundry and Other Revenues,165030
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,Transfers From Capital,24986214
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,User Fees & Donations,1776358
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,Licences & Permits Revenue,578340
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,Sundry and Other Revenues,486522
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,Transfers From Capital,19754178
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,User Fees & Donations,326243
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,Sundry and Other Revenues,175879
Exhibition Place,"Conventions, Conferences & Meetings",,User Fees & Donations,3268012
Exhibition Place,"Conventions, Conferences & Meetings",,Contribution From Reserves/Reserve Funds,1370425
Exhibition Place,Exhibition Place Asset Management,,User Fees & Donations,1116177
Exhibition Place,Exhibition Place Asset Management,,Contribution From Reserves/Reserve Funds,600000
Exhibition Place,Exhibition Place Asset Management,,Sundry and Other Revenues,519511
Exhibition Place,Exhibition Place Parking Access,,User Fees & Donations,7746725
Exhibition Place,Exhibition Place Parking Access,,Sundry and Other Revenues,40880
Exhibition Place,Exhibitions & Events,,User Fees & Donations,23243676
Exhibition Place,Exhibitions & Events,,Sundry and Other Revenues,12230969
Exhibition Place,Exhibitions & Events,,Contribution From Reserves/Reserve Funds,100000
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Inter-Divisional Recoveries,9113327
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Contribution From Reserves/Reserve Funds,6127307
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Sundry and Other Revenues,780398
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,User Fees & Donations,239544
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,Provincial Subsidies,250000
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,User Fees & Donations,224451
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,Sundry and Other Revenues,53804
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,Sundry and Other Revenues,863907
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,Transfers From Capital,217617
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,Contribution From Reserves/Reserve Funds,200000
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Research & Policy Development,Contribution From Reserves/Reserve Funds,459642
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Corporate Security,Inter-Divisional Recoveries,6013481
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Corporate Security,Transfers From Capital,800000
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Corporate Security,Sundry and Other Revenues,250350
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Corporate Security,User Fees & Donations,43534
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,Inter-Divisional Recoveries,10887668
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,User Fees & Donations,472532
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,Sundry and Other Revenues,278172
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,Federal Subsidies,160256
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Inter-Divisional Recoveries,18214035
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Transfers From Capital,8539708
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Sundry and Other Revenues,1437503
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,User Fees & Donations,714254
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Federal Subsidies,45703
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Development & Portfolio Planning,Contribution From Reserves/Reserve Funds,914581
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,User Fees & Donations,42042992
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,Contribution From Reserves/Reserve Funds,7293234
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,Inter-Divisional Recoveries,5443852
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,Sundry and Other Revenues,2762241
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,Transfers From Capital,99800
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Acquisition,Sundry and Other Revenues,928227
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,User Fees & Donations,622717
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Appraisal,Contribution From Reserves/Reserve Funds,50000
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Property Disposal,Contribution From Reserves/Reserve Funds,545000
Fire Services,Fire Rescue & Emergency Response,,User Fees & Donations,14354226
Fire Services,Fire Rescue & Emergency Response,,Inter-Divisional Recoveries,162176
Fire Services,Fire Rescue & Emergency Response,,Transfers From Capital,144856
Fire Services,Fire Rescue & Emergency Response,,Sundry and Other Revenues,102739
Fire Services,FR-Disaster Response & Event Support,"Chemical, Biological, Radiological, Nuclear & Exposive Resp.",Provincial Subsidies,100000
Fire Services,FR-Disaster Response & Event Support,Heavy Urban Search & Rescue,Provincial Subsidies,300000
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Development Review,User Fees & Donations,434432
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,User Fees & Donations,1485402
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,Inter-Divisional Recoveries,6715
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,Inter-Divisional Recoveries,1679
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,User Fees & Donations,1003
Fire Services,FR-Fire Safety Education,School Based Fire Education,Sundry and Other Revenues,8061
Fleet Services,FL-Fleet Management,Fleet Acquisition,Sundry and Other Revenues,1243763
Fleet Services,FL-Fleet Management,Fleet Acquisition,Inter-Divisional Recoveries,163134
Fleet Services,FL-Fleet Management,Fleet Acquisition,Transfers From Capital,28108
Fleet Services,FL-Fleet Management,Fleet Acquisition,Contribution From Reserves/Reserve Funds,12077
Fleet Services,FL-Fleet Management,Fleet Disposal,Sundry and Other Revenues,75000
Fleet Services,FL-Fleet Management,Fleet Maintenance,Inter-Divisional Recoveries,34873534
Fleet Services,FL-Fleet Management,Fleet Maintenance,Transfers From Capital,988105
Fleet Services,FL-Fleet Management,Fleet Maintenance,Contribution From Reserves/Reserve Funds,96616
Fleet Services,FL-Fleet Management,Vehicle Safety,Sundry and Other Revenues,1589241
Fleet Services,FL-Fuel Management,Fuel Distribution,Inter-Divisional Recoveries,13320894
Fleet Services,FL-Fuel Management,Fuel Distribution,Sundry and Other Revenues,1602723
Fleet Services,FL-Fuel Management,Fuel Distribution,Transfers From Capital,73611
Fleet Services,FL-Fuel Management,Fuel Distribution,Contribution From Reserves/Reserve Funds,12077
Heritage Toronto,Heritage Fundraising & Partnership Development,,User Fees & Donations,209500
Heritage Toronto,Heritage Fundraising & Partnership Development,,Sundry and Other Revenues,55500
Heritage Toronto,Heritage Promotion & Education,,User Fees & Donations,158000
Heritage Toronto,Heritage Promotion & Education,,Sundry and Other Revenues,53500
Heritage Toronto,Heritage Promotion & Education,,Federal Subsidies,20000
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Inter-Divisional Recoveries,915608
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Transfers From Capital,279611
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,User Fees & Donations,133834
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Sundry and Other Revenues,122013
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,Contribution From Reserves/Reserve Funds,40714
Information & Technology,IT-Business IT Solutions,IT Common Components,Inter-Divisional Recoveries,349562
Information & Technology,IT-Business IT Solutions,IT Common Components,Transfers From Capital,186480
Information & Technology,IT-Business IT Solutions,IT Common Components,Sundry and Other Revenues,73208
Information & Technology,IT-Business IT Solutions,IT Common Components,Contribution From Reserves/Reserve Funds,40714
Information & Technology,IT-Business IT Solutions,Solution Implementation,Transfers From Capital,26399823
Information & Technology,IT-Business IT Solutions,Solution Implementation,Inter-Divisional Recoveries,1697836
Information & Technology,IT-Business IT Solutions,Solution Implementation,Contribution From Reserves/Reserve Funds,366336
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Inter-Divisional Recoveries,2383704
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Transfers From Capital,505957
Information & Technology,IT-Business IT Solutions,Solution Sustainment,Contribution From Reserves/Reserve Funds,40714
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Contribution From Reserves/Reserve Funds,3922358
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Inter-Divisional Recoveries,2976637
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Transfers From Capital,855953
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,User Fees & Donations,208800
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Sundry and Other Revenues,90809
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Inter-Divisional Recoveries,5096987
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Transfers From Capital,44194
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Contribution From Reserves/Reserve Funds,16413
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Sundry and Other Revenues,5591
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Transfers From Capital,1034145
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Inter-Divisional Recoveries,588627
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Sundry and Other Revenues,39402
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Inter-Divisional Recoveries,1008891
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Transfers From Capital,943055
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Sundry and Other Revenues,410326
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Contribution From Reserves/Reserve Funds,340714
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Transfers From Capital,1979624
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Inter-Divisional Recoveries,27075
Legal Services,Civil Litigation,,Inter-Divisional Recoveries,6365197
Legal Services,Civil Litigation,,Contribution From Reserves/Reserve Funds,700000
Legal Services,Civil Litigation,,User Fees & Donations,158573
Legal Services,Prosecution,,Inter-Divisional Recoveries,17671190
Legal Services,Solicitor,,User Fees & Donations,4337987
Legal Services,Solicitor,,Sundry and Other Revenues,3408314
Legal Services,Solicitor,,Inter-Divisional Recoveries,3361752
Legal Services,Solicitor,,Transfers From Capital,1624621
Legal Services,Solicitor,,Contribution From Reserves/Reserve Funds,857496
Long-Term Care Homes & Services,Long-Term Care Homes,,Provincial Subsidies,146250899
Long-Term Care Homes & Services,Long-Term Care Homes,,User Fees & Donations,51307600
Long-Term Care Homes & Services,Long-Term Care Homes,,Transfers From Capital,300000
Long-Term Care Homes & Services,Long-Term Care Homes,,Sundry and Other Revenues,141000
Long-Term Care Homes & Services,Long-Term Care Homes,,Inter-Divisional Recoveries,104400
Long-Term Care Homes & Services,LTCHS - Community Based Programs,Adult Day Program,Provincial Subsidies,1374900
Long-Term Care Homes & Services,LTCHS - Community Based Programs,Adult Day Program,User Fees & Donations,215000
Long-Term Care Homes & Services,LTCHS - Community Based Programs,Homemakers & Nurses Services,Provincial Subsidies,4676300
Long-Term Care Homes & Services,LTCHS - Community Based Programs,Supportive Housing Services,Provincial Subsidies,5287900
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Licences & Permits Revenue,732754
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Sundry and Other Revenues,509762
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,User Fees & Donations,63188
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Sundry and Other Revenues,384210
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,User Fees & Donations,132837
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Licences & Permits Revenue,98328
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Inter-Divisional Recoveries,24000
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Transfers From Capital,13123
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Contribution From Reserves/Reserve Funds,4000
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Licences & Permits Revenue,845161
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Sundry and Other Revenues,78157
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Transfers From Capital,6562
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,User Fees & Donations,494
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Sundry and Other Revenues,238785
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,User Fees & Donations,171619
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Licences & Permits Revenue,17110
