_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,
Association of Community Centres,930A,Contribution From Reserves/Reserve Funds,339489,
Association of Community Centres,940A,Sundry and Other Revenues,1500,
Capital & Corporate Financing,750A,Inter-Divisional Recoveries,2874457,
Capital & Corporate Financing,805A,Provincial Subsidies,1431000,
Capital & Corporate Financing,930A,Contribution From Reserves/Reserve Funds,29570000,
Capital & Corporate Financing,940A,Sundry and Other Revenues,2319222,
Children's Services,750A,Inter-Divisional Recoveries,10200000,
Children's Services,805A,Provincial Subsidies,298298770,
Children's Services,850A,User Fees & Donations,19037500,
Children's Services,920A,Transfers From Capital,1561500,
Children's Services,930A,Contribution From Reserves/Reserve Funds,15919025,
City Clerk's Office,750A,Inter-Divisional Recoveries,9846652,
City Clerk's Office,850A,User Fees & Donations,572888,
City Clerk's Office,920A,Transfers From Capital,1154000,
City Clerk's Office,930A,Contribution From Reserves/Reserve Funds,15580192,
City Clerk's Office,940A,Sundry and Other Revenues,910782,
City Council,930A,Contribution From Reserves/Reserve Funds,2330000,
City Manager's Office,750A,Inter-Divisional Recoveries,3707520,
City Manager's Office,810A,Federal Subsidies,17850,
City Manager's Office,850A,User Fees & Donations,15900,
City Manager's Office,920A,Transfers From Capital,4151873,
City Manager's Office,930A,Contribution From Reserves/Reserve Funds,698000,
City Manager's Office,940A,Sundry and Other Revenues,158633,
City Planning,850A,User Fees & Donations,21898094,
City Planning,920A,Transfers From Capital,2278563,
City Planning,930A,Contribution From Reserves/Reserve Funds,924032,
City Planning,940A,Sundry and Other Revenues,898350,
Court Services,750A,Inter-Divisional Recoveries,5445342,
Court Services,850A,User Fees & Donations,378291,
Court Services,940A,Sundry and Other Revenues,61773822,
Economic Development & Culture,805A,Provincial Subsidies,3050200,
Economic Development & Culture,810A,Federal Subsidies,1181672,
Economic Development & Culture,820A,Other Subsidies,37000,
Economic Development & Culture,850A,User Fees & Donations,2437664,
Economic Development & Culture,860A,Licences & Permits Revenue,613366,
Economic Development & Culture,920A,Transfers From Capital,1036000,
Economic Development & Culture,930A,Contribution From Reserves/Reserve Funds,10520934,
Economic Development & Culture,940A,Sundry and Other Revenues,4824329,
Engineering & Construction Services,850A,User Fees & Donations,6305601,
Engineering & Construction Services,860A,Licences & Permits Revenue,2301756,
Engineering & Construction Services,920A,Transfers From Capital,46271564,
Engineering & Construction Services,940A,Sundry and Other Revenues,3118647,
Exhibition Place,850A,User Fees & Donations,41946518,
Exhibition Place,930A,Contribution From Reserves/Reserve Funds,2591536,
"Facilities, Real Estate, Environment & Energy",750A,Inter-Divisional Recoveries,49244020,
"Facilities, Real Estate, Environment & Energy",805A,Provincial Subsidies,180000,
"Facilities, Real Estate, Environment & Energy",810A,Federal Subsidies,220480,
"Facilities, Real Estate, Environment & Energy",850A,User Fees & Donations,43113390,
"Facilities, Real Estate, Environment & Energy",920A,Transfers From Capital,9170965,
"Facilities, Real Estate, Environment & Energy",930A,Contribution From Reserves/Reserve Funds,11865855,
"Facilities, Real Estate, Environment & Energy",940A,Sundry and Other Revenues,9633089,
Fire Services,750A,Inter-Divisional Recoveries,385924,
Fire Services,805A,Provincial Subsidies,400000,
Fire Services,850A,User Fees & Donations,13548915,
Fire Services,930A,Contribution From Reserves/Reserve Funds,187900,
Fire Services,940A,Sundry and Other Revenues,110800,
Fleet Services,750A,Inter-Divisional Recoveries,44769729,
Fleet Services,920A,Transfers From Capital,115873,
Fleet Services,940A,Sundry and Other Revenues,2903295,
Heritage Toronto,805A,Provincial Subsidies,36200,
Heritage Toronto,810A,Federal Subsidies,70000,
Heritage Toronto,850A,User Fees & Donations,192500,
Heritage Toronto,930A,Contribution From Reserves/Reserve Funds,13225,
Heritage Toronto,940A,Sundry and Other Revenues,150800,
Information & Technology,750A,Inter-Divisional Recoveries,12913569,
Information & Technology,850A,User Fees & Donations,103061,
Information & Technology,920A,Transfers From Capital,23335891,
Information & Technology,930A,Contribution From Reserves/Reserve Funds,4815290,
Information & Technology,940A,Sundry and Other Revenues,726349,
Legal Services,750A,Inter-Divisional Recoveries,21795330,
Legal Services,850A,User Fees & Donations,2473908,
Legal Services,920A,Transfers From Capital,807956,
Legal Services,930A,Contribution From Reserves/Reserve Funds,300000,
Legal Services,940A,Sundry and Other Revenues,2474119,
Long Term Care Homes & Services,750A,Inter-Divisional Recoveries,69100,
Long Term Care Homes & Services,805A,Provincial Subsidies,137075384,
Long Term Care Homes & Services,850A,User Fees & Donations,48462422,
Long Term Care Homes & Services,920A,Transfers From Capital,260000,
Long Term Care Homes & Services,940A,Sundry and Other Revenues,142900,
Municipal Licensing & Standards,750A,Inter-Divisional Recoveries,1510461,
Municipal Licensing & Standards,850A,User Fees & Donations,3310044,
Municipal Licensing & Standards,860A,Licences & Permits Revenue,23725155,
Municipal Licensing & Standards,930A,Contribution From Reserves/Reserve Funds,20000,
Municipal Licensing & Standards,940A,Sundry and Other Revenues,403053,
Non-Program Expenditures,805A,Provincial Subsidies,14859939,
Non-Program Expenditures,810A,Federal Subsidies,14859939,
Non-Program Expenditures,850A,User Fees & Donations,1449836,
Non-Program Expenditures,930A,Contribution From Reserves/Reserve Funds,138473491,
Non-Program Expenditures,940A,Sundry and Other Revenues,44809482,
Non-Program Revenues,750A,Inter-Divisional Recoveries,35299700,
Non-Program Revenues,850A,User Fees & Donations,1871534,
Non-Program Revenues,860A,Licences & Permits Revenue,4446608,
Non-Program Revenues,930A,Contribution From Reserves/Reserve Funds,97600000,
Non-Program Revenues,940A,Sundry and Other Revenues,869138764,
Office of the Chief Financial Officer,750A,Inter-Divisional Recoveries,2117342,
Office of the Chief Financial Officer,920A,Transfers From Capital,2524525,
Office of the Chief Financial Officer,930A,Contribution From Reserves/Reserve Funds,2078764,
Office of the Chief Financial Officer,940A,Sundry and Other Revenues,36130,
Office of the Treasurer,750A,Inter-Divisional Recoveries,24641946,
Office of the Treasurer,850A,User Fees & Donations,11005905,
Office of the Treasurer,920A,Transfers From Capital,3786870,
Office of the Treasurer,930A,Contribution From Reserves/Reserve Funds,1382164,
Office of the Treasurer,940A,Sundry and Other Revenues,3196934,
"Parks, Forestry & Recreation",750A,Inter-Divisional Recoveries,7009167,
"Parks, Forestry & Recreation",805A,Provincial Subsidies,609972,
"Parks, Forestry & Recreation",810A,Federal Subsidies,3500000,
"Parks, Forestry & Recreation",850A,User Fees & Donations,76330516,
"Parks, Forestry & Recreation",860A,Licences & Permits Revenue,8906278,
"Parks, Forestry & Recreation",920A,Transfers From Capital,5504059,
"Parks, Forestry & Recreation",930A,Contribution From Reserves/Reserve Funds,18747699,
"Parks, Forestry & Recreation",940A,Sundry and Other Revenues,3519935,
"Policy, Planning, Finance & Administration",750A,Inter-Divisional Recoveries,9471093,
"Policy, Planning, Finance & Administration",805A,Provincial Subsidies,85000,
"Policy, Planning, Finance & Administration",920A,Transfers From Capital,2389912,
"Policy, Planning, Finance & Administration",940A,Sundry and Other Revenues,232040,
Property Tax,940A,Property Tax,3762089651,
Property Tax,940A,Special Levy for Scarborough Subway,12207000,revenue code was missing
"Shelter, Support & Housing Administration",750A,Inter-Divisional Recoveries,37989783,
"Shelter, Support & Housing Administration",805A,Provincial Subsidies,131649626,
"Shelter, Support & Housing Administration",810A,Federal Subsidies,166507179,
"Shelter, Support & Housing Administration",820A,Other Subsidies,75957067,
"Shelter, Support & Housing Administration",850A,User Fees & Donations,902400,
"Shelter, Support & Housing Administration",920A,Transfers From Capital,149616,
"Shelter, Support & Housing Administration",930A,Contribution From Reserves/Reserve Funds,36675474,
"Shelter, Support & Housing Administration",940A,Sundry and Other Revenues,37045,
"Social Development, Finance & Administration",750A,Inter-Divisional Recoveries,561100,
"Social Development, Finance & Administration",805A,Provincial Subsidies,3155602,
"Social Development, Finance & Administration",810A,Federal Subsidies,1975491,
"Social Development, Finance & Administration",930A,Contribution From Reserves/Reserve Funds,5063080,
"Social Development, Finance & Administration",940A,Sundry and Other Revenues,102158,
Solid Waste Management Services,750A,Inter-Divisional Recoveries,5804561,
Solid Waste Management Services,805A,Provincial Subsidies,17675874,
Solid Waste Management Services,850A,User Fees & Donations,270380190,
Solid Waste Management Services,920A,Transfers From Capital,3439978,
Solid Waste Management Services,930A,Contribution From Reserves/Reserve Funds,5503047,
Solid Waste Management Services,940A,Sundry and Other Revenues,51222192,
Theatres,850A,User Fees & Donations,12312867,
Theatres,930A,Contribution From Reserves/Reserve Funds,2317400,
Theatres,940A,Sundry and Other Revenues,2773525,
Toronto & Region Conservation Authority,805A,Provincial Subsidies,1961000,
Toronto & Region Conservation Authority,850A,User Fees & Donations,24174000,
Toronto & Region Conservation Authority,940A,Sundry and Other Revenues,9399000,
Toronto Atmospheric Fund,850A,User Fees & Donations,816000,
Toronto Atmospheric Fund,940A,Sundry and Other Revenues,1609000,
Toronto Building,750A,Inter-Divisional Recoveries,896132,
Toronto Building,850A,User Fees & Donations,1628951,
Toronto Building,860A,Licences & Permits Revenue,55998919,
Toronto Building,920A,Transfers From Capital,483844,
Toronto Building,930A,Contribution From Reserves/Reserve Funds,280000,
Toronto Building,940A,Sundry and Other Revenues,65000,
Toronto Employment & Social Services,750A,Inter-Divisional Recoveries,218168,
Toronto Employment & Social Services,805A,Provincial Subsidies,938590373,
Toronto Employment & Social Services,820A,Other Subsidies,23599500,
Toronto Employment & Social Services,920A,Transfers From Capital,616402,
Toronto Employment & Social Services,930A,Contribution From Reserves/Reserve Funds,20138866,
Toronto Employment & Social Services,940A,Sundry and Other Revenues,16800000,
Toronto Paramedic Services,750A,Inter-Divisional Recoveries,922088,
Toronto Paramedic Services,805A,Provincial Subsidies,115031058,
Toronto Paramedic Services,850A,User Fees & Donations,1190583,
Toronto Paramedic Services,920A,Transfers From Capital,156143,
Toronto Paramedic Services,940A,Sundry and Other Revenues,773932,
Toronto Parking Authority,850A,User Fees & Donations,133910290,
Toronto Parking Authority,940A,Sundry and Other Revenues,4525503,
Toronto Police Service,750A,Inter-Divisional Recoveries,20682200,
Toronto Police Service,805A,Provincial Subsidies,41495400,
Toronto Police Service,850A,User Fees & Donations,47815000,
Toronto Police Service,930A,Contribution From Reserves/Reserve Funds,17897312,
Toronto Police Services Board,930A,Contribution From Reserves/Reserve Funds,800000,
Toronto Public Health,750A,Inter-Divisional Recoveries,10407536,
Toronto Public Health,805A,Provincial Subsidies,174900996,
Toronto Public Health,810A,Federal Subsidies,570539,
Toronto Public Health,850A,User Fees & Donations,996701,
Toronto Public Health,920A,Transfers From Capital,3968288,
Toronto Public Health,930A,Contribution From Reserves/Reserve Funds,293778,
Toronto Public Health,940A,Sundry and Other Revenues,1512132,
Toronto Public Library,805A,Provincial Subsidies,5685704,
Toronto Public Library,810A,Federal Subsidies,20000,
Toronto Public Library,850A,User Fees & Donations,5208648,
Toronto Public Library,920A,Transfers From Capital,339971,
Toronto Public Library,930A,Contribution From Reserves/Reserve Funds,2825000,
Toronto Public Library,940A,Sundry and Other Revenues,2503377,
Toronto Transit Commission - Conventional,850A,User Fees & Donations,1166478100,
Toronto Transit Commission - Wheel Trans,850A,User Fees & Donations,5738800,
Toronto Water,850A,User Fees & Donations,35303046,
Toronto Water,920A,Transfers From Capital,2012963,
Toronto Water,930A,Contribution From Reserves/Reserve Funds,195000,
Toronto Water,940A,Sundry and Other Revenues,984575447,
Toronto Zoo,805A,Provincial Subsidies,1102500,
Toronto Zoo,850A,User Fees & Donations,37981755,
Toronto Zoo,920A,Transfers From Capital,171000,
Toronto Zoo,930A,Contribution From Reserves/Reserve Funds,386000,
Toronto Zoo,940A,Sundry and Other Revenues,671200,
Transportation Services,750A,Inter-Divisional Recoveries,7115354,
Transportation Services,850A,User Fees & Donations,30045689,
Transportation Services,860A,Licences & Permits Revenue,6040166,
Transportation Services,920A,Transfers From Capital,27353983,
Transportation Services,930A,Contribution From Reserves/Reserve Funds,25765264,
Transportation Services,940A,Sundry and Other Revenues,37774681,
Yonge-Dundas Square,850A,User Fees & Donations,1000000,
Yonge-Dundas Square,860A,Licences & Permits Revenue,345000,
Yonge-Dundas Square,940A,Sundry and Other Revenues,477649,
